@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,8-9'

@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.44,0.32,19
0.415,0.2,9
0.48,0.305,10
0.475,0.295,15
0.345,0.135,7
0.235,0.045,6
0.475,0.345,14
0.56,0.485,15
0.435,0.335,15
0.415,0.205,10
0.365,0.14,9
0.425,0.255,14
0.13,0.01,4
0.46,0.34,13
0.405,0.22,8
0.21,0.035,5
0.45,0.36,14
0.3,0.12,9
0.405,0.255,10
0.275,0.07,9
0.42,0.245,11
0.2,0.04,6
0.355,0.15,9
0.395,0.225,14
0.215,0.04,6
0.27,0.0715,6
0.36,0.15,10
0.41,0.195,14
0.355,0.14,8
0.21,0.03,5
0.31,0.1,11
0.205,0.035,5
0.255,0.065,7
0.38,0.2,12
0.475,0.325,14
0.48,0.28,14
0.45,0.27,22
0.58,0.58,20
0.525,0.395,13
0.525,0.395,18
0.585,0.7,17
0.545,0.485,16
0.545,0.605,20
0.49,0.285,11
0.4,0.2,10
0.345,0.11,7
0.5,0.36,16
0.41,0.235,13
0.5,0.375,12
0.555,0.465,21
0.525,0.345,11
0.52,0.395,23
0.35,0.135,10
0.355,0.131,11
0.44,0.305,17
0.47,0.32,13
0.145,0.012,4
0.485,0.39,13
0.375,0.17,9
0.215,0.04,7
0.49,0.41,18
0.41,0.24,19
0.275,0.08,8
0.44,0.255,15
0.205,0.03,5
0.19,0.0245,6
0.41,0.295,15
0.36,0.155,11
0.385,0.205,12
0.265,0.06,8
0.375,0.1685,10
0.205,0.03,6
0.175,0.018,6
0.3,0.0745,7
0.275,0.0605,7
0.29,0.082,7
0.375,0.169,8
0.44,0.239,8
0.45,0.2765,10
0.465,0.2705,9
0.46,0.33,12
0.49,0.381,11
0.52,0.4,10
0.24,0.0425,5
0.265,0.065,7
0.265,0.07,6
0.36,0.127,6
0.395,0.1495,8
0.385,0.135,8
0.4,0.1825,7
0.41,0.155,9
0.405,0.1885,8
0.425,0.205,8
0.47,0.155,11
0.475,0.274,9
0.535,0.5175,9
0.6,0.6205,12
0.15,0.011,3
0.18,0.0215,4
0.21,0.034,5
0.3,0.093,7
0.335,0.1035,7
0.34,0.12,6
0.405,0.182,8
0.4,0.17,8
0.405,0.201,9
0.435,0.206,8
0.445,0.22,8
0.445,0.228,9
0.47,0.287,8
0.5,0.3425,10
0.53,0.3735,10
0.5,0.294,11
0.53,0.3865,12
0.58,0.595,10
0.25,0.052,7
0.29,0.0745,9
0.305,0.082,6
0.37,0.165,9
0.375,0.157,7
0.395,0.1905,9
0.415,0.167,9
0.41,0.2075,9
0.45,0.245,8
0.46,0.22,10
0.49,0.335,10
0.47,0.31,9
0.475,0.27,10
0.475,0.3,10
0.5,0.354,10
0.485,0.3365,12
0.51,0.31,10
0.565,0.512,10
0.365,0.1165,7
0.425,0.2185,8
0.43,0.1945,8
0.46,0.3055,9
0.465,0.2515,9
0.455,0.288,9
0.485,0.25,10
0.47,0.276,9
0.51,0.43,11
0.505,0.335,11
0.51,0.345,10
0.57,0.446,10
0.27,0.065,6
0.29,0.073,7
0.3,0.075,8
0.325,0.0965,7
0.345,0.12,8
0.36,0.19,8
0.36,0.112,7
0.375,0.169,9
0.35,0.1275,10
0.42,0.249,11
0.43,0.2295,9
0.44,0.2,8
0.435,0.36,8
0.485,0.355,7
0.515,0.335,12
0.48,0.309,12
0.5,0.354,9
0.485,0.3035,10
0.515,0.3685,10
0.5,0.386,12
0.51,0.315,9
0.51,0.3925,14
0.505,0.3665,11
0.52,0.4275,13
0.565,0.54,10
0.56,0.566,11
0.57,0.485,10
0.565,0.482,12
0.385,0.304,8
0.42,0.228,8
0.495,0.3285,11
0.53,0.389,10
0.135,0.009,5
0.335,0.105,7
0.33,0.1185,8
0.37,0.166,7
0.375,0.135,8
0.38,0.1505,8
0.38,0.15,9
0.385,0.14,8
0.39,0.19,8
0.435,0.214,8
0.445,0.279,9
0.415,0.185,7
0.46,0.25,10
0.415,0.238,13
0.445,0.27,10
0.45,0.225,10
0.45,0.239,11
0.44,0.2485,9
0.49,0.352,10
0.455,0.3,9
0.47,0.294,11
0.495,0.3885,10
0.49,0.285,11
0.48,0.34,10
0.49,0.34,9
0.51,0.3985,10
0.525,0.394,10
0.15,0.015,5
0.21,0.03,6
0.235,0.0495,7
0.27,0.062,6
0.32,0.105,8
0.45,0.2425,10
0.355,0.1335,8
0.345,0.116,7
0.37,0.139,8
0.485,0.356,11
0.49,0.2725,9
0.57,0.488,10
0.425,0.245,10
0.33,0.125,7
0.535,0.885,27
0.295,0.09,7
0.44,0.265,10
0.55,0.57,19
0.47,0.29,9
0.13,0.01,6
0.34,0.13,9
0.495,0.455,15
0.515,0.44,13
0.34,0.135,8
0.525,0.665,16
0.43,0.275,13
0.485,0.38,13
0.5,0.36,11
0.575,0.62,13
0.41,0.25,14
0.52,0.37,13
0.415,0.185,8
0.375,0.185,10
0.425,0.23,10
0.435,0.22,12
0.36,0.149,9
0.455,0.25,17
0.335,0.135,12
0.345,0.132,11
0.465,0.35,14
0.455,0.3,15
0.39,0.18,11
0.415,0.235,16
0.455,0.28,12
0.285,0.08,8
0.39,0.1835,15
0.325,0.114,7
0.315,0.095,6
0.32,0.0945,8
0.42,0.2235,9
0.29,0.07,6
0.285,0.07,6
0.35,0.1165,6
0.37,0.135,8
0.485,0.345,10
0.475,0.3275,9
0.495,0.37,11
0.365,0.123,7
0.39,0.1605,8
0.4,0.18,9
0.43,0.213,9
0.47,0.3345,9
0.48,0.293,10
0.49,0.3095,9
0.48,0.327,10
0.51,0.335,9
0.275,0.058,7
0.285,0.068,8
0.31,0.0995,8
0.3,0.0765,6
0.34,0.105,7
0.375,0.172,11
0.525,0.422,11
0.375,0.16,8
0.515,0.371,11
0.565,0.4945,12
0.57,0.5315,10
0.235,0.0405,4
0.26,0.056,7
0.34,0.115,8
0.425,0.2,9
0.455,0.246,9
0.45,0.23,8
0.48,0.3,10
0.48,0.2915,11
0.525,0.387,9
0.515,0.341,13
0.575,0.495,12
0.37,0.343,9
0.405,0.337,13
0.425,0.1975,9
0.485,0.2835,9
0.355,0.135,9
0.375,0.162,8
0.41,0.196,11
0.395,0.186,11
0.42,0.237,9
0.445,0.265,11
0.47,0.2315,10
0.45,0.255,12
0.5,0.3355,9
0.48,0.355,9
0.41,0.175,7
0.255,0.05,6
0.385,0.206,11
0.405,0.38,18
0.485,0.51,17
0.505,0.41,17
0.48,0.335,10
0.325,0.125,12
0.48,0.365,12
0.53,0.43,14
0.54,0.47,15
0.495,0.365,15
0.385,0.185,9
0.5,0.285,12
0.31,0.115,11
0.445,0.355,16
0.35,0.184,16
0.28,0.0725,12
0.435,0.264,17
0.375,0.17,10
0.34,0.13,10
0.35,0.125,13
0.4,0.26,13
0.41,0.31,18
0.285,0.07,9
0.345,0.215,13
0.28,0.075,8
0.31,0.0915,6
0.47,0.2785,9
0.475,0.316,11
0.18,0.0215,4
0.5,0.354,9
0.52,0.4265,11
0.565,0.529,11
0.355,0.123,7
0.355,0.139,7
0.42,0.1845,8
0.42,0.183,8
0.45,0.22,9
0.47,0.325,10
0.545,0.468,11
0.265,0.0585,7
0.35,0.14,8
0.39,0.1535,8
0.475,0.36,11
0.475,0.319,10
0.49,0.39,11
0.52,0.445,12
0.375,0.148,7
0.505,0.335,10
0.205,0.029,6
0.22,0.0365,5
0.275,0.0825,6
0.42,0.208,9
0.41,0.212,9
0.4,0.221,9
0.5,0.309,10
0.485,0.3315,11
0.54,0.3315,11
0.25,0.128,7
0.365,0.273,7
0.375,0.255,10
0.47,0.287,9
0.205,0.034,5
0.36,0.13,8
0.46,0.2985,9
0.5,0.343,11
0.54,0.45,11
0.58,0.5295,13
0.305,0.0975,9
0.49,0.344,12
0.26,0.07,8
0.52,0.4575,10
0.555,0.431,12
0.365,0.17,14
0.35,0.175,7
0.425,0.19,8
0.41,0.245,9
0.275,0.08,6
0.37,0.159,9
0.255,0.055,9
0.515,0.49,16
0.46,0.355,12
0.43,0.275,11
0.28,0.08,10
0.4,0.21,13
0.44,0.355,15
0.45,0.4,14
0.39,0.225,13
0.5,0.3345,9
0.205,0.0305,4
0.435,0.2515,6
0.525,0.34,10
0.52,0.5055,11
0.175,0.02,5
0.395,0.17,10
0.465,0.247,9
0.485,0.3,8
0.415,0.19,10
0.445,0.21,11
0.45,0.275,12
0.56,0.437,10
0.36,0.1305,8
0.45,0.2725,11
0.485,0.37,11
0.45,0.209,9
0.425,0.2575,11
0.505,0.325,11
0.5,0.405,13
0.31,0.079,7
0.365,0.156,10
0.43,0.229,8
