@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.57,0.43,0.348,15
M,0.585,0.405,0.435,15
F,0.68,0.56,0.6055,15
M,0.525,0.41,0.3865,15
M,0.635,0.48,0.5825,15
F,0.61,0.49,0.5655,15
F,0.605,0.495,0.469,15
M,0.53,0.435,0.316,15
M,0.655,0.53,0.486,15
M,0.605,0.475,0.394,15
M,0.59,0.5,0.4565,15
M,0.6,0.495,0.485,15
M,0.565,0.465,0.3895,15
M,0.56,0.45,0.432,15
I,0.655,0.515,0.5265,15
F,0.675,0.55,0.562,15
F,0.635,0.505,0.605,15
F,0.625,0.515,0.5235,15
I,0.555,0.455,0.309,15
M,0.535,0.42,0.275,15
M,0.66,0.53,0.5905,15
M,0.555,0.44,0.416,15
M,0.545,0.44,0.2875,15
I,0.52,0.415,0.2105,15
M,0.55,0.435,0.328,15
F,0.61,0.48,0.391,15
F,0.505,0.41,0.291,15
F,0.53,0.415,0.2935,15
M,0.59,0.475,0.4415,15
M,0.455,0.365,0.2245,15
F,0.48,0.37,0.2475,15
I,0.48,0.38,0.2105,15
M,0.6,0.47,0.4865,15
F,0.52,0.4,0.215,15
I,0.48,0.39,0.2315,15
F,0.6,0.475,0.4425,15
M,0.57,0.465,0.3785,15
M,0.695,0.515,0.578,15
F,0.605,0.475,0.4695,15
F,0.665,0.53,0.456,15
M,0.445,0.345,0.2055,15
F,0.575,0.46,0.4485,15
F,0.47,0.36,0.1725,15
M,0.515,0.405,0.215,15
M,0.63,0.505,0.56,15
F,0.7,0.535,0.6805,15
F,0.595,0.48,0.358,15
F,0.52,0.405,0.3535,15
M,0.66,0.535,0.733,15
I,0.45,0.35,0.2085,15
F,0.505,0.395,0.2695,15
M,0.55,0.415,0.3295,15
F,0.64,0.54,0.51,15
F,0.6,0.47,0.392,15
M,0.65,0.52,0.693,15
M,0.49,0.39,0.242,15
M,0.52,0.4,0.298,15
M,0.695,0.56,0.588,15
M,0.605,0.49,0.503,15
M,0.65,0.545,0.487,15
F,0.525,0.425,0.3345,15
M,0.645,0.495,0.5265,15
F,0.485,0.38,0.2155,15
F,0.56,0.435,0.422,15
F,0.62,0.47,0.3605,15
M,0.61,0.475,0.428,15
F,0.625,0.5,0.3445,15
M,0.555,0.435,0.377,15
F,0.61,0.495,0.464,15
F,0.69,0.54,0.6935,15
M,0.495,0.4,0.2015,15
I,0.62,0.485,0.4805,15
I,0.465,0.36,0.214,15
F,0.5,0.39,0.2505,15
M,0.42,0.325,0.1,15
M,0.565,0.425,0.341,15
M,0.585,0.455,0.3815,15
F,0.565,0.45,0.406,15
F,0.645,0.5,0.587,15
F,0.71,0.575,0.6465,15
F,0.52,0.4,0.261,15
M,0.64,0.565,0.644,15
M,0.565,0.44,0.344,15
F,0.54,0.44,0.391,15
M,0.56,0.45,0.3835,15
M,0.505,0.385,0.236,15
I,0.52,0.405,0.2865,15
F,0.48,0.4,0.2125,15
M,0.635,0.51,0.6535,15
I,0.66,0.525,0.6025,15
M,0.465,0.35,0.2015,15
M,0.59,0.46,0.327,15
F,0.465,0.39,0.213,15
I,0.47,0.355,0.156,7
M,0.585,0.465,0.4595,7
I,0.435,0.345,0.13,7
I,0.325,0.25,0.0595,7
I,0.375,0.3,0.059,7
I,0.32,0.23,0.0615,7
M,0.535,0.405,0.336,7
I,0.35,0.26,0.086,7
I,0.45,0.345,0.2355,7
I,0.44,0.325,0.148,7
I,0.45,0.35,0.2205,7
I,0.36,0.27,0.0905,7
I,0.35,0.235,0.0725,7
I,0.375,0.29,0.118,7
F,0.475,0.38,0.3165,7
I,0.48,0.35,0.2365,7
I,0.515,0.385,0.237,7
F,0.43,0.34,0.1555,7
F,0.38,0.32,0.323,7
F,0.435,0.35,0.194,7
I,0.38,0.29,0.088,7
M,0.435,0.335,0.2075,7
I,0.52,0.395,0.424,7
I,0.455,0.355,0.225,7
I,0.355,0.28,0.095,7
I,0.39,0.3,0.1105,7
I,0.4,0.29,0.104,7
I,0.475,0.365,0.2025,7
M,0.54,0.41,0.2375,7
I,0.43,0.32,0.192,7
M,0.28,0.21,0.041,7
I,0.45,0.335,0.1575,7
F,0.575,0.46,0.466,7
I,0.41,0.335,0.157,7
I,0.35,0.26,0.072,7
I,0.395,0.31,0.131,7
I,0.34,0.25,0.104,7
I,0.275,0.215,0.0485,7
I,0.37,0.275,0.094,7
I,0.505,0.385,0.239,7
I,0.435,0.335,0.109,7
I,0.36,0.26,0.0645,7
I,0.36,0.285,0.0915,7
I,0.375,0.275,0.109,7
