@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6,9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.44,0.9395,0.4275,12
M,0.47,0.9975,0.3935,10
F,0.56,1.639,0.6055,15
I,0.175,0.07,0.0315,5
I,0.19,0.086,0.042,4
M,0.355,0.48,0.234,8
F,0.475,1.247,0.48,20
F,0.425,0.788,0.282,11
F,0.425,0.9885,0.396,16
M,0.44,0.755,0.307,12
M,0.375,0.523,0.214,8
F,0.41,0.727,0.291,12
F,0.415,0.5915,0.233,11
F,0.43,0.8825,0.3465,9
M,0.54,1.959,0.7665,18
I,0.26,0.211,0.086,7
M,0.255,0.2005,0.094,9
M,0.485,1.514,0.546,16
M,0.465,1.056,0.4215,13
F,0.485,1.222,0.53,13
F,0.51,1.5675,0.621,12
I,0.275,0.22,0.092,8
M,0.4,0.825,0.254,13
M,0.25,0.181,0.0755,7
F,0.355,0.485,0.181,11
M,0.495,1.2415,0.485,15
F,0.38,0.639,0.3,11
M,0.39,0.6355,0.2185,9
F,0.435,0.8105,0.3155,10
M,0.45,1.283,0.473,16
I,0.305,0.2715,0.092,8
M,0.515,1.016,0.4215,19
F,0.58,1.787,0.585,19
M,0.38,0.482,0.207,10
F,0.375,0.5615,0.252,10
F,0.415,0.6935,0.3115,10
F,0.44,0.8425,0.3685,12
F,0.54,1.5015,0.518,14
F,0.49,0.9245,0.405,11
M,0.285,0.2665,0.115,11
M,0.53,1.388,0.567,13
M,0.54,1.347,0.4955,17
M,0.42,0.8075,0.3485,11
M,0.2,0.0915,0.033,5
F,0.29,0.257,0.099,10
I,0.405,0.795,0.3075,14
F,0.34,0.364,0.148,8
I,0.345,0.443,0.1975,14
F,0.475,1.133,0.5275,11
I,0.35,0.525,0.2085,15
I,0.415,0.944,0.3845,21
F,0.36,0.447,0.1695,9
F,0.515,1.14,0.4305,16
M,0.35,0.4835,0.1815,11
F,0.375,0.5945,0.185,11
M,0.4,0.7305,0.279,11
I,0.19,0.0865,0.0345,5
M,0.295,0.316,0.1205,12
I,0.125,0.0265,0.0095,4
M,0.455,1.0575,0.3925,13
M,0.42,0.879,0.374,13
F,0.42,1.001,0.34,17
F,0.425,0.949,0.3485,17
M,0.35,0.5755,0.2015,15
M,0.37,0.51,0.1915,9
M,0.38,0.6615,0.2875,10
F,0.41,0.807,0.2855,12
I,0.24,0.1715,0.071,7
F,0.475,1.21,0.653,10
F,0.485,1.2945,0.668,9
F,0.51,1.486,0.7595,8
M,0.53,1.3905,0.5905,15
F,0.525,1.8095,0.784,12
F,0.54,1.6675,0.833,11
I,0.235,0.131,0.05,4
I,0.23,0.144,0.053,8
I,0.25,0.1825,0.0705,7
I,0.25,0.1785,0.0665,5
I,0.28,0.2865,0.1505,7
I,0.305,0.3535,0.157,7
I,0.31,0.3335,0.1635,6
I,0.36,0.478,0.191,7
F,0.35,0.482,0.23,6
M,0.39,0.6595,0.3145,6
F,0.43,0.834,0.367,8
M,0.45,1.195,0.5625,10
M,0.475,1.114,0.4955,9
F,0.46,1.1155,0.5575,7
F,0.48,1.2525,0.585,8
M,0.495,1.6275,0.594,10
F,0.565,1.8375,0.7645,12
F,0.6,2.555,1.1335,11
I,0.195,0.106,0.054,6
I,0.28,0.221,0.1165,6
I,0.31,0.279,0.1255,6
I,0.325,0.3685,0.162,7
M,0.39,0.5215,0.2485,6
I,0.38,0.5395,0.2295,8
F,0.415,0.8145,0.427,8
F,0.46,0.9945,0.466,7
M,0.45,1.0025,0.547,8
