@relation crx

@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A9 {t,f}
@attribute Class {positive,negative}

@data
c,t,positive
k,t,positive
x,t,positive
i,t,positive
q,t,positive
m,t,positive
i,t,positive
c,t,positive
w,t,positive
w,t,positive
q,t,positive
q,t,positive
cc,t,positive
c,t,positive
x,t,positive
q,t,positive
e,t,positive
aa,t,positive
w,t,positive
q,f,positive
c,t,positive
cc,t,positive
x,t,positive
k,t,positive
c,t,positive
e,t,positive
c,f,positive
e,f,positive
c,f,positive
q,t,positive
w,t,positive
ff,t,positive
cc,t,positive
q,t,positive
q,t,positive
m,t,positive
d,t,positive
x,t,positive
w,t,positive
q,t,positive
c,t,positive
c,t,positive
i,f,positive
c,t,positive
ff,f,positive
d,t,positive
q,t,positive
q,t,positive
aa,t,positive
q,t,positive
w,t,positive
k,t,positive
ff,t,positive
k,t,positive
aa,t,positive
m,t,positive
x,t,positive
k,t,positive
c,t,positive
q,t,positive
aa,t,positive
i,t,positive
q,t,positive
e,t,positive
c,t,positive
aa,t,positive
w,t,positive
c,t,positive
c,t,positive
x,t,positive
k,t,positive
w,t,positive
w,f,positive
x,t,positive
w,t,positive
x,t,positive
e,t,positive
c,t,positive
c,t,positive
x,t,positive
j,t,positive
cc,t,positive
x,t,positive
q,t,positive
m,t,positive
x,t,positive
aa,t,positive
i,t,positive
d,t,positive
x,t,positive
q,t,positive
aa,t,positive
ff,t,positive
q,t,positive
w,t,positive
m,t,positive
x,t,positive
c,t,positive
i,t,positive
q,t,positive
w,t,positive
q,t,positive
q,t,positive
q,t,positive
x,t,positive
x,t,positive
cc,t,positive
cc,t,positive
m,t,positive
aa,t,positive
cc,t,positive
c,t,positive
c,t,positive
j,t,positive
c,t,positive
q,t,positive
w,t,positive
m,t,positive
w,t,positive
c,t,positive
aa,t,positive
x,t,positive
m,t,positive
m,f,positive
q,t,positive
c,t,positive
x,f,positive
i,t,positive
c,t,positive
cc,t,positive
c,t,positive
i,t,positive
c,t,positive
e,t,positive
w,t,positive
x,t,positive
c,t,positive
cc,t,positive
c,f,positive
cc,t,positive
c,t,positive
q,t,positive
q,t,positive
c,t,positive
q,t,positive
m,t,positive
c,t,positive
k,t,positive
cc,f,positive
c,t,positive
q,t,positive
j,t,positive
cc,t,positive
e,t,positive
d,t,positive
x,t,positive
ff,t,positive
aa,t,positive
c,t,positive
w,t,positive
c,t,positive
aa,t,positive
cc,t,positive
i,t,positive
w,t,positive
w,t,positive
x,t,positive
x,f,positive
aa,t,positive
cc,t,positive
e,t,positive
c,t,positive
aa,t,positive
x,t,positive
c,t,positive
q,t,positive
w,f,positive
c,t,positive
m,t,positive
x,t,positive
w,t,positive
cc,t,positive
q,t,positive
e,t,positive
e,t,positive
q,t,positive
x,t,positive
aa,t,positive
w,t,positive
k,t,positive
i,t,positive
k,t,positive
q,t,positive
c,t,positive
c,t,positive
i,t,positive
q,t,positive
aa,t,positive
w,t,positive
k,t,positive
q,t,positive
d,t,positive
w,t,positive
c,t,positive
x,t,positive
aa,t,positive
e,t,positive
w,t,positive
q,t,positive
cc,t,positive
q,t,positive
cc,f,positive
cc,t,positive
aa,t,positive
c,f,positive
q,t,positive
c,t,positive
e,t,positive
q,t,positive
x,t,positive
cc,t,positive
q,t,positive
m,t,positive
d,f,positive
e,t,positive
i,t,positive
q,t,positive
c,t,positive
k,f,positive
m,t,positive
c,t,positive
aa,t,positive
r,t,positive
c,t,positive
w,t,positive
m,t,positive
c,t,positive
w,t,positive
c,t,positive
c,t,positive
cc,t,positive
cc,t,positive
q,t,positive
q,t,positive
cc,t,positive
k,t,positive
i,t,positive
c,t,positive
c,t,positive
x,t,positive
w,t,positive
c,t,positive
d,t,positive
r,t,positive
cc,t,positive
q,t,positive
q,t,positive
cc,t,positive
aa,t,positive
q,t,positive
c,t,positive
k,t,positive
w,t,positive
q,t,positive
c,t,positive
x,t,positive
k,f,negative
aa,f,negative
k,f,negative
w,t,negative
c,f,negative
c,t,negative
c,f,negative
c,f,negative
i,f,negative
m,f,negative
q,f,negative
e,f,negative
d,f,negative
d,f,negative
ff,f,negative
cc,f,negative
j,f,negative
i,f,negative
d,f,negative
w,f,negative
c,f,negative
d,t,negative
i,f,negative
aa,f,negative
j,f,negative
ff,f,negative
i,f,negative
d,f,negative
c,f,negative
aa,f,negative
k,f,negative
c,t,negative
c,f,negative
e,f,negative
c,f,negative
k,f,negative
c,f,negative
d,f,negative
aa,f,negative
ff,f,negative
c,t,negative
k,t,negative
aa,t,negative
c,f,negative
aa,t,negative
d,f,negative
i,f,negative
k,f,negative
c,f,negative
i,f,negative
i,t,negative
m,f,negative
ff,f,negative
ff,f,negative
c,f,negative
aa,f,negative
c,t,negative
k,f,negative
w,t,negative
w,t,negative
aa,f,negative
aa,t,negative
c,f,negative
aa,f,negative
q,t,negative
ff,f,negative
c,f,negative
w,f,negative
x,f,negative
aa,f,negative
aa,f,negative
c,f,negative
w,f,negative
aa,t,negative
aa,f,negative
w,f,negative
aa,f,negative
r,f,negative
aa,f,negative
c,f,negative
c,t,negative
c,f,negative
e,f,negative
i,f,negative
d,f,negative
i,f,negative
q,f,negative
i,f,negative
i,f,negative
aa,f,negative
w,f,negative
i,t,negative
cc,f,negative
i,f,negative
q,f,negative
i,f,negative
c,f,negative
m,f,negative
aa,f,negative
m,f,negative
ff,t,negative
c,f,negative
q,f,negative
k,f,negative
c,t,negative
q,t,negative
k,f,negative
w,f,negative
ff,f,negative
m,f,negative
i,f,negative
w,f,negative
k,f,negative
d,f,negative
ff,f,negative
c,t,negative
q,f,negative
m,t,negative
k,f,negative
i,f,negative
c,f,negative
aa,t,negative
c,f,negative
ff,f,negative
w,f,negative
i,t,negative
ff,f,negative
c,f,negative
c,f,negative
k,t,negative
m,t,negative
q,f,negative
aa,f,negative
q,t,negative
aa,f,negative
k,f,negative
w,f,negative
q,f,negative
i,f,negative
m,f,negative
aa,f,negative
c,f,negative
x,f,negative
q,f,negative
ff,f,negative
c,t,negative
ff,f,negative
ff,f,negative
ff,t,negative
ff,t,negative
k,f,negative
k,f,negative
i,f,negative
ff,f,negative
c,f,negative
w,f,negative
m,f,negative
c,f,negative
i,f,negative
j,f,negative
m,t,negative
i,f,negative
j,f,negative
ff,f,negative
c,f,negative
x,t,negative
c,f,negative
m,f,negative
d,f,negative
c,f,negative
d,f,negative
aa,f,negative
c,f,negative
w,f,negative
q,f,negative
c,f,negative
i,f,negative
cc,f,negative
i,t,negative
e,t,negative
cc,f,negative
aa,f,negative
w,t,negative
i,f,negative
c,f,negative
q,t,negative
e,f,negative
j,f,negative
e,t,negative
cc,t,negative
c,t,negative
q,t,negative
aa,t,negative
m,f,negative
d,f,negative
ff,f,negative
c,f,negative
e,f,negative
i,f,negative
q,f,negative
cc,f,negative
i,f,negative
q,t,negative
ff,f,negative
c,f,negative
q,f,negative
cc,f,negative
ff,t,negative
w,f,negative
c,t,negative
aa,f,negative
ff,f,negative
e,f,negative
w,f,negative
i,t,negative
c,f,negative
c,f,negative
w,f,negative
k,f,negative
d,f,negative
m,f,negative
w,f,negative
q,f,negative
m,t,negative
d,f,negative
m,f,negative
i,f,negative
c,f,negative
ff,f,negative
c,f,negative
q,f,negative
c,t,negative
i,f,negative
e,f,negative
ff,f,negative
i,f,negative
ff,f,negative
m,f,negative
