@relation crx

@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute Class {positive,negative}

@data
v,t,t,positive
v,t,t,positive
v,t,f,positive
h,t,t,positive
h,t,t,positive
h,t,f,positive
v,t,t,positive
v,t,t,positive
v,t,f,positive
v,t,t,positive
v,f,f,positive
v,t,t,positive
h,t,t,positive
v,t,f,positive
v,t,f,positive
v,f,f,positive
h,t,t,positive
v,t,f,positive
bb,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
z,t,t,positive
h,t,t,positive
h,f,f,positive
v,t,t,positive
v,f,f,positive
h,t,t,positive
bb,t,t,positive
v,t,t,positive
v,t,t,positive
h,t,f,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
ff,f,f,positive
h,t,t,positive
v,t,t,positive
h,t,t,positive
v,t,f,positive
v,t,f,positive
v,f,f,positive
v,t,f,positive
h,f,f,positive
h,t,f,positive
v,t,f,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,f,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
h,t,t,positive
v,t,f,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
bb,t,f,positive
j,t,t,positive
v,t,t,positive
v,t,f,positive
h,t,f,positive
z,t,t,positive
v,t,f,positive
z,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,f,positive
h,t,t,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
bb,t,t,positive
h,t,f,positive
v,t,f,positive
v,t,t,positive
h,t,f,positive
v,t,f,positive
v,t,f,positive
h,t,t,positive
h,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,f,positive
v,t,t,positive
v,t,t,positive
v,t,f,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
h,t,f,positive
v,t,t,positive
h,t,t,positive
v,t,f,positive
h,t,f,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
bb,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,f,positive
v,t,f,positive
bb,f,f,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
h,t,t,positive
v,t,t,positive
v,f,t,positive
v,t,t,positive
v,t,t,positive
ff,t,t,positive
bb,f,f,positive
h,t,f,positive
bb,t,t,positive
v,t,t,positive
v,t,t,positive
h,t,f,positive
h,t,t,positive
v,t,f,positive
bb,t,t,positive
h,t,t,positive
ff,t,t,positive
h,t,f,positive
v,f,f,positive
v,t,f,positive
v,t,t,positive
v,t,f,positive
v,t,t,positive
bb,t,f,positive
h,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,f,positive
h,t,f,positive
v,t,t,positive
v,t,t,positive
h,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,f,positive
h,t,t,positive
bb,t,f,positive
v,t,t,positive
dd,t,t,positive
v,t,t,positive
v,t,t,positive
ff,t,f,positive
v,t,t,positive
v,t,f,positive
v,t,f,positive
v,t,t,positive
v,t,t,positive
v,t,f,positive
n,f,f,positive
h,t,t,positive
v,t,t,positive
h,t,f,positive
h,t,f,positive
h,t,t,positive
v,t,t,positive
bb,t,t,positive
v,f,f,positive
v,t,t,positive
v,t,t,positive
v,t,f,positive
h,t,t,positive
n,t,t,positive
v,t,t,positive
bb,t,t,positive
h,t,t,positive
z,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
ff,t,t,positive
bb,t,t,positive
h,t,t,positive
bb,t,f,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
v,f,f,positive
h,t,f,positive
h,t,t,positive
v,t,f,positive
h,t,f,positive
v,t,f,positive
h,t,f,positive
v,t,t,positive
v,t,t,positive
v,f,f,positive
bb,t,t,positive
bb,t,t,positive
v,t,t,positive
v,t,t,positive
bb,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
bb,t,t,positive
bb,t,f,positive
h,t,t,positive
v,t,f,positive
v,t,t,positive
z,t,f,positive
v,t,f,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
v,t,t,positive
ff,t,t,positive
h,t,f,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
v,f,f,positive
v,t,t,positive
bb,t,t,positive
dd,t,f,positive
h,t,t,positive
v,t,f,positive
j,f,f,positive
ff,t,t,positive
v,t,t,positive
h,t,f,positive
v,t,f,positive
v,t,t,positive
h,t,t,positive
v,t,t,positive
v,t,t,positive
ff,t,t,positive
v,t,t,positive
h,t,t,positive
bb,t,t,positive
h,t,f,positive
bb,t,t,positive
h,t,t,positive
v,t,t,positive
h,t,f,positive
h,t,t,positive
h,t,t,positive
v,t,f,positive
v,t,t,positive
v,f,f,negative
bb,f,f,negative
ff,f,f,negative
dd,f,t,negative
h,f,f,negative
v,f,f,negative
v,f,t,negative
v,f,f,negative
v,f,t,negative
h,f,f,negative
h,f,f,negative
ff,f,f,negative
v,f,t,negative
v,t,f,negative
v,f,f,negative
h,t,t,negative
v,t,t,negative
v,f,f,negative
v,f,f,negative
v,t,f,negative
v,f,f,negative
v,f,f,negative
v,f,f,negative
bb,f,f,negative
v,f,f,negative
v,f,f,negative
h,t,t,negative
v,f,f,negative
v,f,f,negative
