@relation ecoli

@attribute Mcg numeric
@attribute Lip numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
37,48,42,39,cp
24,48,31,19,cp
34,48,52,35,cp
44,48,43,27,cp
17,48,53,3,cp
41,48,58,2,cp
21,48,51,28,cp
61,48,48,35,cp
38,48,63,25,cp
4,48,52,49,cp
22,48,48,16,cp
3,48,36,21,cp
33,48,52,32,cp
64,48,45,35,cp
51,48,35,36,cp
4,48,55,22,cp
67,48,36,38,cp
32,48,35,28,cp
25,48,46,44,cp
44,48,44,52,cp
51,48,53,14,cp
44,48,55,52,cp
27,48,71,28,cp
2,48,46,51,cp
37,48,42,36,cp
29,48,41,23,cp
43,48,33,45,cp
22,48,42,29,cp
29,48,42,29,cp
34,48,51,49,cp
29,48,5,42,cp
23,48,39,28,cp
65,48,59,3,cp
7,48,54,35,cp
3,48,56,11,cp
3,48,43,18,cp
44,48,5,46,cp
65,48,34,37,cp
39,48,46,24,cp
38,48,43,29,cp
35,48,56,4,cp
36,48,43,45,cp
29,48,48,44,cp
25,48,39,32,cp
41,48,51,44,cp
44,48,42,25,cp
52,48,37,36,cp
47,48,56,2,cp
25,48,41,33,cp
44,48,55,55,cp
59,48,52,45,cp
33,48,53,18,cp
39,48,38,34,cp
23,48,37,53,cp
34,48,44,37,cp
43,48,53,35,cp
4,48,38,22,cp
44,48,3,33,cp
36,48,48,47,cp
54,48,28,33,cp
47,48,22,16,cp
5,48,27,23,cp
51,48,46,32,cp
24,48,63,34,cp
26,48,44,32,cp
49,48,56,24,cp
25,48,43,26,cp
47,48,51,33,cp
56,48,34,37,cp
23,48,43,26,cp
42,48,48,26,cp
42,48,58,15,cp
28,48,5,33,cp
34,48,41,35,cp
37,48,42,42,cp
38,48,54,16,cp
0,48,42,48,cp
3,48,59,41,cp
52,48,41,28,cp
36,48,41,38,cp
34,48,38,24,cp
51,48,58,31,cp
31,48,73,5,cp
25,48,37,42,cp
16,48,54,27,cp
38,48,48,22,cp
29,48,48,38,cp
42,48,54,34,cp
5,48,49,46,cp
4,48,45,33,cp
56,48,49,37,cp
52,48,42,47,cp
29,48,44,23,cp
34,48,38,35,cp
21,48,5,32,cp
28,48,45,22,cp
49,48,49,3,cp
35,48,46,3,cp
22,48,35,39,cp
44,48,47,26,cp
35,48,3,34,cp
41,48,39,21,cp
41,48,5,24,cp
4,48,37,27,cp
18,48,46,24,cp
42,48,56,18,cp
32,48,6,6,cp
42,48,57,27,cp
4,48,42,35,cp
44,48,39,38,cp
34,48,58,31,cp
38,48,43,2,cp
34,48,41,34,cp
61,48,49,35,cp
24,48,49,23,cp
31,48,29,28,cp
53,48,44,26,cp
4,48,41,29,cp
24,48,37,28,cp
24,48,38,3,cp
4,48,45,39,cp
23,48,55,25,cp
53,48,16,29,cp
17,48,45,42,cp
29,48,45,3,cp
26,48,34,25,cp
24,48,54,52,cp
4,48,42,35,cp
26,48,36,26,cp
5,48,31,92,im
74,48,66,65,im
4,48,65,82,im
83,48,61,71,im
68,48,71,75,im
41,48,53,75,im
66,48,59,66,im
59,48,55,8,im
54,48,56,81,im
61,48,54,67,im
34,48,52,76,im
44,48,43,47,im
33,48,46,65,im
72,48,51,66,im
23,48,59,88,im
31,48,5,79,im
61,48,0,8,im
63,48,65,79,im
54,48,4,87,im
51,48,57,62,im
11,48,58,72,im
49,48,53,79,im
45,48,61,74,im
84,48,48,71,im
47,48,52,76,im
64,48,48,78,im
34,48,58,85,im
7,48,56,86,im
74,48,55,88,im
1,48,41,67,im
35,48,61,71,im
33,48,45,88,im
33,48,33,78,im
63,48,51,82,im
16,48,33,39,im
48,48,51,9,im
6,48,54,67,im
