@relation ecoli

@attribute Mcg numeric
@attribute Lip numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
56,48,37,cp
35,48,34,cp
34,48,49,cp
44,48,26,cp
37,48,42,cp
42,48,15,cp
42,48,26,cp
17,48,42,cp
35,48,4,cp
2,48,51,cp
47,48,33,cp
65,48,3,cp
38,48,16,cp
36,48,22,cp
34,48,31,cp
49,48,3,cp
4,48,39,cp
64,48,35,cp
67,48,38,cp
39,48,24,cp
51,48,36,cp
0,48,48,cp
17,48,37,cp
51,48,32,cp
54,48,33,cp
4,48,29,cp
22,48,16,cp
42,48,27,cp
29,48,29,cp
41,48,31,cp
52,48,36,cp
41,48,44,cp
25,48,33,cp
29,48,23,cp
42,48,18,cp
24,48,52,cp
33,48,18,cp
26,48,25,cp
43,48,35,cp
21,48,28,cp
25,48,42,cp
26,48,32,cp
34,48,34,cp
38,48,25,cp
34,48,37,cp
44,48,46,cp
27,48,28,cp
36,48,32,cp
41,48,2,cp
4,48,33,cp
44,48,33,cp
52,48,28,cp
23,48,53,cp
53,48,26,cp
61,48,35,cp
34,48,35,cp
44,48,38,cp
35,48,3,cp
61,48,35,cp
51,48,14,cp
29,48,44,cp
22,48,39,cp
29,48,3,cp
47,48,16,cp
47,48,2,cp
44,48,52,cp
24,48,28,cp
32,48,6,cp
44,48,55,cp
17,48,3,cp
24,48,34,cp
22,48,29,cp
59,48,45,cp
48,48,25,cp
4,48,35,cp
44,48,25,cp
23,48,28,cp
42,48,34,cp
44,48,52,cp
4,48,49,cp
33,48,32,cp
51,48,31,cp
57,48,28,cp
3,48,21,cp
38,48,22,cp
34,48,35,cp
29,48,23,cp
27,48,38,cp
24,48,19,cp
21,48,32,cp
29,48,38,cp
39,48,34,cp
23,48,26,cp
4,48,22,cp
43,48,31,cp
23,48,25,cp
24,48,23,cp
26,48,26,cp
4,48,27,cp
25,48,33,cp
37,48,39,cp
53,48,29,cp
5,48,46,cp
43,48,28,cp
4,48,35,cp
38,48,29,cp
7,48,35,cp
38,48,2,cp
32,48,28,cp
4,48,22,cp
3,48,18,cp
25,48,17,cp
25,48,26,cp
43,48,45,cp
23,48,33,cp
65,48,37,cp
3,48,22,cp
3,48,11,cp
5,48,23,cp
36,48,45,cp
25,48,32,cp
16,48,27,cp
18,48,24,cp
36,48,47,cp
51,48,34,cp
24,48,3,cp
29,48,42,cp
28,48,33,cp
37,48,36,cp
5,48,64,im
58,48,87,im
34,48,76,im
48,48,77,im
33,48,78,im
16,48,39,im
12,48,7,im
52,48,76,im
84,48,71,im
61,48,87,im
63,48,85,im
63,48,79,im
73,48,91,im
0,48,67,im
6,48,92,im
89,48,72,im
47,48,71,im
41,48,75,im
39,48,72,im
5,48,92,im
36,48,69,im
48,48,78,im
23,48,88,im
2,48,78,im
63,48,67,im
4,48,82,im
68,48,75,im
6,48,67,im
31,48,84,im
49,48,79,im
5,48,61,im
71,48,1,im
34,48,85,im
54,48,87,im
46,48,86,im
69,48,76,im
45,48,74,im
74,48,88,im
27,48,77,im
37,48,76,im
63,48,82,im
66,48,66,im
51,48,62,im
36,48,79,im
1,48,67,im
47,48,76,im
11,48,72,im
3,48,61,im
31,48,94,im
59,48,8,im
35,48,71,im
29,48,65,im
43,48,75,im
34,48,9,im
61,48,8,im
7,48,78,im
6,48,81,im
48,48,9,im
12,48,58,im
7,48,86,im
83,48,71,im
44,48,47,im
6,1,77,im
58,48,7,im
33,48,65,im
71,48,7,im
64,48,78,im
55,48,78,im
33,48,88,im
85,48,52,imS
63,48,76,imS
7,1,82,imL
64,48,73,imU
63,48,77,imU
79,48,66,imU
81,48,67,imU
59,48,75,imU
84,48,92,imU
79,48,81,imU
86,48,81,imU
78,48,77,imU
47,48,74,imU
79,48,82,imU
62,48,79,imU
86,48,89,imU
77,48,78,imU
83,48,76,imU
63,48,72,imU
49,1,71,imU
76,48,71,imU
69,48,74,imU
7,48,86,imU
66,48,7,imU
67,48,64,imU
76,48,59,imU
81,48,78,imU
64,48,61,imU
72,48,77,imU
75,48,7,imU
87,48,76,imU
84,48,78,imU
73,48,75,imU
58,48,73,imU
57,48,49,imU
68,48,4,om
78,48,4,om
63,48,41,om
74,48,54,om
77,48,53,om
64,48,33,om
6,1,59,om
63,48,45,om
74,48,53,om
73,48,58,om
69,48,39,om
75,48,57,om
65,48,54,om
56,48,36,om
67,48,5,om
67,48,54,om
61,48,33,om
71,48,43,om
66,1,56,omL
71,1,59,omL
67,1,58,omL
77,1,54,omL
66,48,41,pp
63,48,44,pp
74,48,68,pp
63,48,7,pp
67,48,42,pp
74,48,49,pp
66,48,5,pp
63,48,4,pp
64,48,39,pp
57,48,47,pp
64,48,42,pp
68,48,44,pp
67,48,45,pp
71,48,54,pp
56,48,37,pp
69,48,48,pp
67,48,37,pp
68,48,4,pp
74,48,57,pp
69,48,44,pp
76,48,39,pp
71,48,54,pp
61,48,39,pp
43,48,49,pp
32,48,28,pp
71,48,35,pp
69,48,39,pp
72,48,55,pp
29,48,4,pp
7,48,84,pp
68,48,65,pp
7,48,52,pp
62,48,49,pp
65,48,47,pp
67,48,49,pp
66,48,38,pp
75,48,52,pp
62,48,36,pp
64,48,45,pp
74,48,54,pp
69,48,5,pp
73,48,51,pp
63,48,31,pp
69,48,57,pp
63,48,39,pp
59,48,42,pp
7,48,51,pp
