@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Job {A173,A172,A174,A171}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,A61,A173,A201,1
A12,A61,A173,A201,1
A11,A65,A173,A201,1
A12,A61,A172,A201,1
A12,A65,A173,A201,1
A12,A61,A171,A201,1
A12,A63,A171,A201,1
A14,A61,A172,A201,1
A14,A61,A173,A201,1
A11,A62,A173,A201,1
A12,A61,A173,A201,1
A14,A61,A173,A201,1
A14,A61,A173,A201,1
A14,A61,A173,A201,1
A14,A61,A173,A201,1
A11,A61,A173,A201,1
A14,A65,A173,A201,1
A12,A61,A173,A201,1
A13,A62,A173,A201,1
A13,A65,A172,A201,1
A13,A61,A173,A201,1
A11,A61,A173,A201,1
A14,A62,A173,A201,1
A14,A62,A172,A201,1
A14,A61,A173,A201,1
A14,A65,A173,A201,1
A11,A61,A173,A201,1
A14,A61,A173,A201,1
A12,A61,A174,A201,1
A14,A65,A174,A201,1
A14,A65,A173,A201,1
A14,A62,A173,A201,1
A11,A61,A172,A201,1
A13,A61,A173,A201,1
A14,A64,A173,A201,1
A11,A64,A174,A201,1
A12,A65,A174,A201,1
A12,A62,A172,A201,1
A13,A61,A172,A201,1
A14,A62,A173,A201,1
A12,A64,A173,A201,1
A14,A63,A173,A201,1
A14,A64,A173,A201,1
A14,A65,A173,A201,1
A12,A62,A172,A201,1
A12,A61,A173,A201,1
A13,A61,A172,A201,1
A14,A65,A173,A201,1
A14,A61,A173,A201,1
A12,A61,A173,A201,1
A14,A62,A173,A201,1
A14,A61,A174,A201,1
A12,A62,A173,A201,1
A12,A65,A173,A201,1
A11,A61,A173,A201,1
A11,A65,A172,A201,1
A14,A65,A172,A201,1
A14,A61,A172,A201,1
A14,A63,A173,A201,1
A14,A64,A173,A201,1
A14,A61,A173,A201,1
A13,A61,A173,A201,1
A11,A63,A171,A201,1
A11,A61,A172,A201,1
A14,A63,A173,A201,1
A14,A63,A173,A201,1
A12,A62,A173,A201,1
A14,A64,A173,A202,1
A14,A65,A173,A201,1
A11,A61,A174,A201,1
A14,A61,A173,A201,1
A11,A61,A172,A201,1
A14,A61,A173,A201,1
A12,A62,A173,A201,1
A14,A63,A173,A201,1
A11,A61,A172,A201,1
A14,A63,A173,A201,1
A11,A61,A172,A201,1
A14,A64,A173,A201,1
A14,A64,A173,A201,1
A12,A62,A174,A201,1
A14,A65,A173,A201,1
A12,A65,A173,A201,1
A12,A65,A173,A201,1
A12,A61,A174,A201,1
A12,A61,A173,A201,1
A12,A61,A173,A201,1
A11,A61,A173,A201,1
A14,A61,A172,A201,1
A14,A61,A172,A201,1
A11,A61,A172,A201,1
A12,A62,A173,A201,1
A13,A61,A172,A201,1
A14,A65,A174,A201,1
A14,A65,A173,A201,1
A14,A61,A173,A201,1
A14,A65,A173,A201,1
A14,A65,A174,A201,1
A11,A61,A173,A201,1
A12,A61,A174,A201,1
A12,A63,A173,A201,1
A12,A61,A172,A201,1
A14,A61,A173,A201,1
A14,A61,A172,A201,1
A14,A61,A173,A201,1
A11,A63,A173,A201,1
A14,A63,A173,A201,1
A12,A61,A173,A201,1
A14,A61,A173,A201,1
A12,A65,A173,A201,1
A11,A61,A173,A201,1
A13,A62,A174,A201,1
A14,A61,A174,A201,1
A11,A61,A174,A201,1
A11,A63,A173,A201,1
A14,A61,A172,A201,1
A14,A61,A173,A201,1
A13,A65,A172,A201,1
A12,A61,A173,A201,1
A11,A61,A173,A201,1
A14,A61,A173,A201,1
A14,A65,A173,A201,1
A12,A61,A173,A201,1
A14,A65,A173,A201,1
A14,A61,A174,A201,1
A14,A63,A172,A201,1
A12,A61,A172,A202,1
A14,A61,A174,A201,1
A11,A61,A173,A201,1
A12,A61,A172,A201,1
A14,A65,A172,A201,1
A11,A61,A171,A201,1
A12,A62,A173,A201,1
A14,A61,A173,A201,1
A14,A61,A173,A201,1
A14,A65,A172,A201,1
A14,A62,A173,A201,1
A14,A61,A173,A201,1
A12,A61,A174,A201,1
A12,A61,A174,A201,1
A14,A61,A174,A201,1
A11,A61,A174,A201,1
A13,A61,A174,A201,1
A11,A61,A174,A201,1
A14,A61,A173,A201,1
