@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5,11,13-14,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,12579,2,44,A143,1,2
A12,1804,4,44,A143,1,1
A12,5866,2,30,A143,1,1
A14,2333,2,30,A141,1,1
A11,6143,4,58,A142,1,2
A14,2299,4,39,A143,1,1
A12,2333,2,29,A141,1,1
A12,5965,2,30,A143,1,1
A14,1262,2,25,A143,1,1
A14,783,2,26,A142,2,1
A12,4771,4,51,A143,1,1
A12,3832,1,22,A143,1,1
A12,1318,4,54,A143,1,1
A14,2012,2,61,A143,1,1
A12,2728,2,35,A141,1,1
A11,2462,2,22,A143,1,2
A14,682,3,51,A143,1,1
A14,1924,4,38,A143,1,1
A14,1898,2,34,A143,2,1
A12,7308,4,70,A141,1,1
A11,1131,2,33,A143,1,2
A14,4591,3,54,A143,1,2
A12,3031,4,21,A143,1,2
A11,1200,4,23,A141,1,1
A14,2613,2,27,A143,1,1
A12,10961,2,27,A141,1,2
A12,7418,1,27,A143,1,1
A14,2684,2,35,A143,1,1
A14,6304,4,36,A143,1,1
A11,11998,1,34,A143,1,2
A14,2404,2,26,A143,1,1
A12,3878,2,37,A143,1,1
A14,1543,2,33,A143,1,1
A11,3643,4,27,A143,1,1
A11,3398,4,39,A143,1,1
A11,6615,4,75,A143,1,1
A14,1864,2,30,A143,1,2
A11,4110,4,23,A141,2,2
A14,1236,4,23,A143,1,1
A13,3399,3,37,A143,1,1
A14,362,4,52,A143,1,1
A12,7374,4,40,A142,1,1
A11,2348,2,46,A143,1,1
A12,2899,4,43,A143,2,1
A11,8471,2,23,A143,1,1
A14,1591,3,34,A143,1,1
A12,2779,3,21,A143,1,1
A14,11054,2,30,A143,1,1
A11,3386,4,35,A143,1,2
A14,1238,4,36,A143,2,1
A14,3757,4,62,A143,1,1
A14,1585,3,40,A143,1,1
A12,1301,2,32,A143,1,1
A12,585,4,20,A143,1,1
A12,2631,4,28,A143,1,2
A14,2022,4,37,A143,1,1
A14,996,4,23,A143,1,1
A12,1553,2,23,A143,1,1
A11,806,4,22,A143,1,1
A11,1442,4,23,A143,1,2
A12,2671,4,50,A143,1,2
A12,3441,4,21,A143,1,2
A12,1437,3,29,A143,1,2
A14,15653,4,21,A143,1,1
A12,1308,4,38,A143,1,1
A14,1851,2,33,A143,1,1
A14,2241,2,50,A143,1,1
A14,2080,2,24,A143,1,1
A14,1538,2,56,A143,1,1
A14,2279,4,37,A143,1,1
A13,1347,2,27,A143,1,1
A12,1048,4,23,A142,1,1
A11,1274,1,37,A143,1,2
A14,3029,2,33,A143,1,1
A14,1555,4,55,A143,2,2
A14,12680,4,30,A143,1,2
A14,1655,4,63,A143,1,1
A11,8065,2,25,A143,1,2
A14,3535,4,37,A143,1,1
A11,5998,3,27,A141,1,2
A14,1221,2,27,A143,1,1
A11,4272,4,24,A143,1,1
A14,930,4,65,A143,1,1
A11,9629,4,24,A143,1,2
A13,2327,3,25,A143,1,2
A14,2993,2,28,A142,1,1
A14,6761,4,68,A143,1,2
A14,1474,3,33,A143,1,1
A11,2439,4,35,A143,1,2
A12,1322,4,40,A143,1,1
A11,1940,4,36,A141,1,1
A12,4057,3,43,A143,1,2
A12,3195,2,33,A143,1,1
A12,2991,4,25,A143,1,1
A11,14896,4,68,A141,1,2
A11,1049,4,21,A143,1,1
A11,1747,1,24,A143,1,1
A12,4113,4,28,A143,1,2
A12,2520,2,23,A143,1,2
A11,8229,2,26,A143,2,2
