@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,12,A43,1,1
A11,24,A43,1,2
A14,10,A42,1,1
A13,12,A43,1,1
A11,30,A41,1,1
A14,12,A43,1,1
A12,48,A49,1,2
A14,27,A45,2,1
A12,42,A49,1,1
A14,24,A43,1,2
A11,18,A40,2,1
A12,18,A49,1,1
A14,24,A40,1,1
A13,6,A40,1,1
A11,36,A42,1,1
A11,21,A40,1,1
A14,24,A42,1,1
A12,18,A40,2,2
A12,9,A41,2,2
A12,9,A46,1,2
A11,18,A49,1,1
A13,36,A43,1,1
A12,18,A43,1,1
A14,24,A43,1,1
A14,24,A43,1,1
A14,9,A43,2,1
A11,24,A41,2,1
A13,42,A41,1,1
A14,12,A46,1,1
A12,60,A40,1,2
A14,48,A41,1,2
A14,15,A43,1,1
A14,12,A43,1,1
A11,48,A49,1,2
A14,18,A40,1,1
A12,12,A42,1,1
A12,39,A46,1,1
A12,12,A40,1,2
A14,18,A43,1,1
A14,24,A43,1,1
A14,36,A41,2,1
A14,28,A43,1,1
A11,42,A45,1,1
A12,20,A410,1,1
A14,12,A42,1,1
A11,11,A40,2,1
A11,6,A44,1,1
A11,15,A40,1,1
A14,33,A49,1,1
A12,24,A43,1,2
A11,18,A42,1,2
A14,15,A42,1,1
A11,24,A40,1,2
A12,26,A41,1,1
A13,21,A46,1,2
A11,12,A43,1,2
A12,9,A46,1,1
A14,24,A46,1,1
A14,9,A42,1,1
A12,24,A40,1,1
A14,18,A40,1,2
A14,18,A43,1,1
A13,24,A40,2,2
A12,18,A42,1,1
A14,24,A410,1,1
A13,30,A43,1,1
A14,24,A49,1,1
A14,60,A40,1,1
A14,15,A43,1,1
A14,60,A40,2,1
A11,12,A40,2,1
A14,18,A43,1,1
A14,30,A41,1,1
A13,9,A43,1,2
A11,18,A43,1,2
A11,13,A49,1,1
A14,30,A43,1,1
A14,36,A41,1,1
A12,12,A48,1,1
A14,48,A41,2,1
A14,9,A42,1,1
A14,24,A40,1,1
A11,48,A40,2,2
A12,36,A40,1,1
A14,24,A43,1,1
A11,20,A40,1,2
A11,15,A40,1,2
A14,27,A42,2,1
A14,36,A43,1,1
A11,12,A46,1,2
A12,48,A49,1,2
A14,28,A41,2,1
A12,36,A41,1,1
A11,24,A42,1,2
A14,30,A43,1,1
A12,9,A43,1,2
A13,9,A43,1,2
A11,36,A49,1,2
A14,24,A43,1,2
A14,24,A40,2,2
