@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52213,3.82099,9.5726,1
1.519761,3.57853,8.66876,1
1.517506,3.56955,8.59344,1
1.517551,3.74017,8.03392,1
1.51762,3.53812,8.389,1
1.526663,3.69976,9.82008,1
1.517415,3.61894,8.0662,1
1.527255,3.15198,11.63852,2
1.526139,0,13.43544,2
1.515934,3.592,7.82948,2
1.518417,3.61894,9.13144,2
1.516868,3.53812,8.09848,2
1.515911,3.57853,7.9586,2
1.515911,3.34056,8.21684,2
1.520672,2.08785,9.5726,2
1.51664,3.44832,8.37824,3
1.517688,3.65935,8.6042,3
1.521196,0.32777,11.27268,5
1.519374,2.41113,9.76628,6
1.511309,3.20137,5.43,7
1.516162,0,8.7118,7
1.516025,0,8.75484,7
