@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,6,8,10'

@attribute RI numeric
@attribute K numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.5191,0.0621,0,1
1.522107,0.16767,0,1
1.515957,0.63963,0,1
1.5191,0.50922,0.11025,1
1.522996,0.11799,0,1
1.517688,0.57132,0,1
1.517688,0.5589,0,1
1.516184,0.60237,0,2
1.52475,0.8073,0,2
1.520809,0.49059,0,2
1.516321,0.60858,0,2
1.518599,0.50922,0,2
1.520194,0.39123,0,2
1.515957,0.72036,0,2
1.517779,0.0621,0,3
1.520421,0.32913,0,5
1.519055,0,0,6
1.516503,0,1.5687,7
1.51623,0.03726,0.40005,7
1.517323,0,1.5498,7
