@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute FLength numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
45.6321,0.3822,g
91.6423,16.622,g
28.6609,20.7574,g
75.2057,1.5926,g
13.2617,68.604,g
61.6463,4.2131,g
33.4858,12.9506,g
20.4754,13.8089,g
59.7337,5.094,g
70.0322,2.936,g
50.8293,3.6565,g
117.749,2.582,g
58.1232,20.194,g
25.2228,66.649,g
48.4695,6.955,g
22.5539,9.215,g
31.6173,22.951,g
85.9355,4.7597,g
20.0777,36.457,g
80.0169,4.142,g
101.424,6.1992,g
29.8023,0.352,g
20.683,56.923,g
31.5283,50.0234,g
90.239,3.241,g
43.351,20.664,g
37.3887,1.818,g
50.0122,2.8523,g
114.806,41.91,g
12.871,40.035,g
36.1618,33.371,g
29.1123,36.953,g
40.749,8.364,g
33.8898,6.891,g
21.4944,14.8311,g
29.9358,39.0829,g
23.8669,20.646,g
19.6908,25.149,g
47.4667,11.762,g
70.6596,11.138,g
23.3751,33.8435,g
34.2513,4.939,g
79.6309,2.3084,g
26.1033,5.4609,g
23.6577,26.831,g
27.515,8.977,g
31.5473,10.6245,g
29.0976,36.077,g
33.0776,29.307,g
67.2302,13.9446,g
41.745,1.2137,g
23.1041,21.8327,g
27.1239,16.169,g
13.109,32.0404,g
30.15,6.93,g
66.7069,5.3847,g
48.8204,4.5898,g
45.5298,5.7152,g
22.9956,47.9304,g
20.3131,37.287,g
34.313,4.4274,g
20.5012,5.932,g
96.5408,9.0346,g
21.843,6.251,g
12.591,29.7285,g
18.636,11.5884,g
23.4645,33.041,g
77.4178,1.357,g
29.2873,12.5354,g
68.2261,54.509,g
27.0994,1.5977,g
31.2984,8.988,g
50.2888,39.0638,g
12.6471,31.776,g
30.5895,56.2862,g
37.0979,1.472,g
27.9214,8.915,g
28.6134,1.338,g
36.37,5.5742,g
56.6968,11.9427,g
37.5856,11.117,g
22.939,47.847,g
15.5675,62.452,g
21.3568,41.559,g
27.5577,10.896,g
25.5932,19.3573,g
20.1941,70.3421,g
81.2009,5.5932,g
39.0894,10.506,g
23.4914,60.5491,g
37.149,13.729,g
89.1989,4.2637,g
47.2156,3.4,g
13.0702,80.3533,g
38.8754,3.361,g
77.6846,3.186,g
100.196,0.7341,g
31.4336,79.959,g
69.4657,5.6357,g
41.1297,6.0359,g
86.4858,11.409,g
23.091,9.3139,g
19.0891,22.732,g
92.595,0.0787,g
40.6277,20.656,g
54.9287,8.831,g
22.2511,16.8825,g
38.844,4.582,g
26.403,35.821,g
23.1709,34.0936,g
42.4881,3.9627,g
13.0105,69.383,g
24.1185,30.845,g
49.2727,10.1168,g
67.4091,6.118,g
33.3944,2.3935,g
51.6406,15.3487,g
20.0489,25.883,g
13.3396,10.7959,g
30.8845,10.2947,g
35.942,77.1166,g
32.524,17.709,g
57.3271,5.926,g
61.3727,2.271,g
64.3124,1.42,g
42.0941,1.8847,g
55.8124,6.397,g
33.2147,53.4211,g
45.8064,6.8749,g
25.2301,51.816,g
34.2121,7.337,g
24.3811,33.4353,g
96.3594,0.102,g
50.8322,0.817,g
69.446,0.2501,g
13.2611,61.03,g
52.2264,0.795,g
82.2565,18.458,g
21.9622,70.525,g
22.2792,30.7241,g
29.7627,0.951,g
17.2028,89.7035,g
43.3018,30.1483,g
33.0328,45.3284,g
122.153,6.1874,g
27.8007,23.006,g
28.5023,43.7515,g
13.1071,13.038,g
25.0768,65.226,g
73.3506,1.0087,g
26.0678,12.9637,g
55.3383,9.834,g
26.9136,10.463,g
30.5549,5.5986,g
20.2899,0.159,g
13.2555,71.43,g
48.163,71.3754,g
18.1938,59.1272,g
64.542,1.967,g
19.8537,41.838,g
37.3585,86.5709,g
24.6723,52.307,g
20.6085,27.234,g
101.82,3.648,g
94.7218,1.676,g
37.2778,8.195,g
69.8894,0.225,g
37.1859,5.3784,g
76.6097,1.3794,g
42.6468,10.6136,g
52.0784,5.802,g
18.7822,61.8767,g
30.7902,27.942,g
57.5381,15.563,g
29.1545,24.7086,g
54.733,6.381,g
28.3396,35.715,g
81.0143,0.3176,g
22.0016,29.348,g
81.174,2.569,g
83.738,1.4349,g
24.9352,15.753,g
20.2006,9.9206,g
