@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,7,9,11'

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
31.6036,23.8238,6.3609,g
33.1818,-22.0762,41.929,g
50.4829,39.0162,22.471,g
87.5837,75.0174,2.428,g
25.4762,15.7982,24.847,g
32.0586,-17.7455,12.1807,g
29.3424,23.7665,39.189,g
73.2547,34.5939,23.149,g
27.4888,6.1522,23.5868,g
27.1044,-14.8614,29.844,g
35.577,14.3568,2.0711,g
25.0056,18.3557,4.2353,g
24.3343,14.006,10.288,g
78.6493,66.0231,3.227,g
77.5343,94.0484,1.892,g
20.5321,14.7728,44.9,g
43.1994,40.3342,7.6914,g
31.5256,21.022,10.2785,g
46.5588,46.0987,12.727,g
86.5346,74.5456,4.8152,g
20.9663,5.9588,47.8491,g
22.2442,-19.0011,6.6462,g
24.598,-16.6278,8.0075,g
37.6758,28.2246,20.1948,g
108.261,90.2158,1.873,g
49.8142,-30.2335,14.103,g
62.7644,64.2319,4.1234,g
101.178,109.953,3.1693,g
20.7417,-10.302,16.395,g
18.0693,-12.7659,84.2593,g
34.1392,16.5571,13.7301,g
106.364,83.0956,0.624,g
55.8434,-27.5871,5.4306,g
68.7354,45.2258,9.3666,g
31.5737,-5.5612,29.603,g
47.0893,39.1249,2.621,g
19.7221,13.3605,31.983,g
71.9672,61.4417,2.8019,g
26.889,19.4041,18.419,g
39.4796,28.3,1.129,g
31.257,-23.4546,1.9639,g
45.4678,-13.4235,1.087,g
32.4134,-23.0998,17.831,g
27.8936,17.6953,82.8799,g
86.7133,68.7195,0.6696,g
41.9654,-9.4224,7.1441,g
80.5967,57.0513,5.9931,g
88.4638,44.1096,0.533,g
92.6332,71.7015,0.123,g
94.1836,40.3463,2.957,g
19.8584,15.8569,20.1575,g
61.5098,60.0375,9.437,g
33.2252,-15.7714,15.71,g
35.3335,-17.0134,5.8315,g
38.2407,-20.474,3.9659,g
23.1262,-12.303,16.232,g
19.6147,-7.0857,29.2598,g
68.2982,41.3572,6.3982,g
55.7546,45.9467,3.628,g
28.1635,-13.7842,17.1252,g
47.409,-33.8379,2.939,g
92.3308,77.8264,0.6513,g
21.942,-14.4329,21.49,g
58.0216,-44.2358,3.131,g
16.3134,6.1605,9.3001,g
81.3975,-59.5665,22.7735,g
83.8355,-30.3659,4.6236,g
33.3819,-25.0007,44.799,g
27.6167,23.2664,89.7323,g
26.3542,12.8453,21.6256,g
