@relation page-blocks

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
10,2.99,1
8,1.67,1
7,1.41,1
5,1.71,1
7,1.23,1
8,2.41,1
7,1.29,1
11,3,1
14,5,1
10,1.77,1
6,1.76,1
6,1.36,1
7,2.51,1
11,2.41,1
11,1.79,1
8,1.27,1
12,2.1,1
4,1.41,1
9,1.83,1
13,2.19,1
9,1.45,1
8,2.09,1
8,2.44,1
6,1.37,1
11,9.2,1
25,7.58,1
9,2.32,1
10,2.68,1
13,3.89,1
8,2.15,1
7,3,1
10,3.56,1
9,1.4,1
5,1.48,1
8,1.37,1
9,1.68,1
7,1.28,1
10,30,1
9,1.69,1
7,1.42,1
9,10.5,1
10,1.79,1
7,1.57,1
8,2.7,1
9,1.65,1
9,2.22,1
10,1.94,1
9,2.38,1
7,1.33,1
9,2.84,1
7,1.4,1
10,2.3,1
9,2.58,1
8,2.1,1
17,14.88,1
11,1.94,1
12,5.4,1
8,1.75,1
11,3.6,1
7,1.69,1
12,2.91,1
8,3.14,1
6,4.43,1
11,2.21,1
7,1.6,1
4,1.83,1
10,2.25,1
12,7.57,1
14,2.31,1
7,1.89,1
9,5.67,1
9,1.97,1
8,1.26,1
10,2.33,1
6,3.38,1
6,2.1,1
9,1.57,1
7,1.29,1
10,2.11,1
1,9,1
13,4.97,1
7,1.53,1
10,1.82,1
8,2.04,1
1,7,1
9,1.9,1
8,2,1
11,2.77,1
8,2.44,1
23,1.87,1
10,1.82,1
6,2.7,1
8,2.43,1
8,2.29,1
36,7.87,1
9,18,1
7,12,1
9,1.69,1
6,1.57,1
4,1.46,1
12,1.95,1
6,1.83,1
6,1.33,1
11,2.22,1
5,3.25,1
8,1.93,1
9,2.58,1
7,1.19,1
7,1.71,1
9,1.32,1
10,2.05,1
7,1.4,1
9,1.61,1
7,1.9,1
7,1.81,1
9,1.86,1
10,1.68,1
12,2.35,1
11,2.01,1
8,1.97,1
10,2.67,1
25,7.28,1
8,2.68,1
8,2.28,1
9,2.95,1
10,1.67,1
1,1.04,1
8,1.84,1
24,2.88,1
9,2.75,1
11,3.05,1
12,2.46,1
7,1.4,1
9,1.88,1
11,1.97,1
6,1.5,1
10,2.7,1
10,1.38,1
12,2.31,1
8,1.88,1
11,1.8,1
7,1.69,1
10,1.36,1
12,6.4,1
12,1.98,1
12,1.92,1
9,3.31,1
14,2.5,1
11,4.29,1
9,2.86,1
10,2.01,1
7,1.81,1
10,1.98,1
6,1.91,1
23,20.76,1
9,2,1
7,1.35,1
8,2.12,1
10,2.33,1
13,1.64,1
5,1.5,1
9,1.41,1
8,1.79,1
8,1.93,1
6,2.11,1
7,1.86,1
6,2.36,1
11,1.67,1
9,1.26,1
9,1.42,1
7,1.43,1
5,2.43,1
9,1.64,1
8,1.65,1
14,2.95,1
10,2.43,1
8,1.55,1
3,9,1
11,3.2,1
7,1.46,1
9,2.74,1
9,2.17,1
9,1.46,1
9,2.34,1
8,2.2,1
12,1.64,1
10,1.62,1
12,1.77,1
9,1.69,1
9,1.69,1
9,1.41,1
9,3.88,1
8,2.73,1
8,1.65,1
4,1.27,1
9,2.83,1
1,1.07,1
8,1.79,1
9,1.79,1
7,2.26,1
9,2.2,1
9,2.11,1
11,2.97,1
10,1.72,1
8,2.21,1
11,3.4,1
6,2.12,1
9,1.74,1
10,9,1
9,8.25,1
8,1.75,1
11,1.99,1
6,2.36,1
9,1.48,1
8,3.43,1
6,1.53,1
9,3.15,1
6,1.4,1
14,4.44,1
8,3,1
7,2.78,1
9,2,1
7,1.3,1
9,1.85,1
7,1.77,1
7,2,1
7,1.5,1
10,1.21,1
2,1.05,1
8,1.52,1
10,2.24,1
8,1.54,1
8,1.48,1
12,1.99,1
7,1.15,1
8,2.32,1
11,3.83,1
8,1.88,1
10,4,1
9,2.35,1
6,1.22,1
10,1.44,1
7,2.25,1
8,3,1
8,2.03,1
5,1.91,1
9,1.78,1
10,1.81,1
7,1.25,1
10,1.77,1
10,5.57,1
11,1.93,1
13,1.59,1
7,1.3,1
5,2.44,1
9,1.98,1
8,2.08,1
8,1.41,1
9,2.24,1
8,1.36,1
9,1.81,1
10,1.85,1
14,4.44,1
13,4.45,1
9,2.15,1
11,1.88,1
7,3.25,1
8,1.5,1
10,8.43,1
9,1.38,1
7,1.38,1
9,2.85,1
10,3,1
19,1.93,1
10,1.85,1
8,2,1
11,1.98,1
8,1.39,1
10,1.4,1
9,3.58,1
8,2.14,1
9,2,1
8,1.32,1
8,1.8,1
16,5.25,1
11,2.68,1
10,2.22,1
9,2.42,1
10,2.14,1
10,1.94,1
7,8,1
9,1.34,1
6,3.1,1
8,1.38,1
4,1.66,1
12,2.29,1
8,3.4,1
8,1.74,1
4,3,1
9,1.56,1
7,2.14,1
9,1.3,1
7,1.36,1
6,2.14,1
16,5.75,1
8,2.22,1
9,2.34,1
8,1.86,1
17,5,1
8,1.98,1
6,1.58,1
9,1.83,1
5,1.18,1
9,1.17,1
7,1.66,1
9,1.57,1
10,5.93,1
13,1.56,1
9,2.19,1
8,1.94,1
8,1.31,1
10,1.48,1
9,2.44,1
7,1.47,1
9,2.37,1
5,8,1
7,1.26,1
7,1.26,1
8,1.53,1
6,2.75,1
6,1.63,1
11,10.67,1
8,1.83,1
9,1.44,1
7,1.39,1
5,1.46,1
23,1.8,1
5,2.14,1
6,1.73,1
8,1.39,1
7,2.22,1
24,17.51,1
8,2.88,1
7,1.48,1
11,2.96,1
7,8,1
8,2.89,1
10,2.48,1
6,1.57,1
7,7.63,1
13,2.62,1
7,1.32,1
7,9,1
10,1.79,1
7,2.09,1
23,16.33,1
23,2.36,1
7,2.2,1
10,7.36,1
7,2.29,1
7,1.49,1
11,4.53,1
8,3.88,1
8,1.5,1
9,1.92,1
12,2.98,1
11,2.19,1
6,2.3,1
8,1.45,1
9,1.24,1
7,2.83,1
8,2.31,1
11,2.01,1
10,2.42,1
5,2.57,1
10,2.16,1
9,2.39,1
9,1.39,1
7,1.43,1
7,4.25,1
7,2.22,1
8,2.07,1
5,1.71,1
10,1.67,1
10,2.24,1
10,6.07,1
7,1.36,1
7,1.79,1
6,4.08,1
11,7.75,1
8,2.15,1
5,1.17,1
16,1.39,1
28,5.05,1
18,2.39,1
2,3.5,1
8,1.38,1
