@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
6,1.167,0.357,32,1
8,6.625,0.344,375,1
6,16,0.302,458,1
7,3.286,0.28,126,1
10,3.3,0.345,257,1
8,3.5,0.397,223,1
8,19.25,0.424,1072,1
7,2.857,0.4,140,1
9,57.778,0.081,1441,1
6,30.167,0.298,743,1
7,7,0.318,252,1
6,4,0.257,111,1
7,12.143,0.192,517,1
10,1.3,0.315,119,1
7,6,0.143,210,1
7,8,0.227,236,1
6,2.167,0.346,45,1
11,15.273,0.234,1337,1
6,6.167,0.392,168,1
11,37.545,0.356,3662,1
9,3.667,0.354,232,1
5,7.8,0.436,128,1
10,12.7,0.388,1014,1
5,3.2,0.563,74,1
20,0.8,0.5,183,1
59,1.424,0.659,3517,1
12,7,0.43,709,1
9,13.667,0.331,719,1
7,9.429,0.294,427,1
8,2.875,0.288,184,1
5,1.2,0.3,30,1
9,11.556,0.282,846,1
10,32.5,0.215,2248,1
11,10.182,0.217,578,1
8,2.5,0.413,157,1
10,3.5,0.311,252,1
11,2.364,0.262,230,1
7,1.714,0.476,64,1
9,51.667,0.157,2694,1
12,9.667,0.246,984,1
7,5.286,0.305,259,1
10,8,0.279,640,1
8,2.625,0.548,168,1
5,3.2,0.313,65,1
7,1.286,0.397,53,1
7,2,0.5,98,1
17,6.235,0.927,1802,1
6,2.333,0.536,84,1
9,27.222,0.16,1338,1
17,1.412,0.426,300,1
9,2.111,0.655,149,1
12,33.667,0.334,3267,1
8,8.625,0.234,377,1
9,7,0.284,515,1
9,16.778,0.139,746,1
9,1.444,0.368,117,1
25,7.44,0.478,4433,1
9,39.222,0.187,2013,1
5,2.4,0.267,44,1
7,13.714,0.271,462,1
7,1.143,0.339,49,1
7,2.571,0.206,82,1
7,5.286,0.521,247,1
7,1.571,0.364,71,1
6,16.667,0.385,497,1
17,5.765,0.929,1666,1
11,23.818,0.259,2271,1
15,1.933,0.524,422,1
8,1.25,0.238,74,1
8,4.75,0.349,230,1
8,1.875,0.458,109,1
12,0.833,0.442,95,1
7,2,0.337,96,1
9,24.222,0.148,1141,1
10,9.9,0.264,766,1
8,2.375,0.355,132,1
13,28.846,0.154,2531,1
8,4.75,0.25,222,1
7,2.286,0.259,79,1
9,11,0.312,736,1
7,74.143,0.073,1431,1
10,8.5,0.333,592,1
5,2.2,0.309,46,1
22,3.182,0.525,1290,1
6,1.667,0.4,58,1
11,4.182,0.283,425,1
5,1.2,0.433,29,1
11,14,0.36,1238,1
5,1,0.72,18,1
10,13.1,0.439,1107,1
16,25.313,0.382,3863,1
9,56.444,0.128,2425,1
8,5.125,0.351,316,1
6,16,0.318,331,1
7,3.571,0.303,124,1
9,54.222,0.074,1508,1
7,1.857,0.33,84,1
7,4.286,0.329,210,1
8,10.25,0.418,494,1
8,63.875,0.084,1380,1
7,5.857,0.185,183,1
8,5,0.363,258,1
7,0.286,0.5,13,1
7,4.429,0.295,186,1
16,26.5,0.371,3820,1
5,4.8,0.375,114,1
8,2.5,0.5,160,1
8,8.375,0.381,400,1
7,2,0.327,92,1
1,88,0.193,88,1
9,1,0.728,72,1
7,3.857,0.344,189,1
9,8.889,0.293,625,1
9,4.111,0.3,231,1
9,2.111,0.275,110,1
11,22.091,0.117,914,1
8,6.625,0.37,382,1
10,1.3,0.385,107,1
7,6.571,0.304,240,1
7,17.857,0.27,751,1
9,20.556,0.386,1142,1
7,0.857,0.548,40,1
4,0.75,0.667,11,1
7,28.143,0.072,450,1
9,4.556,0.301,327,1
9,4,0.352,261,1
9,17,0.304,1168,1
9,8.889,0.304,603,1
19,1.474,0.588,485,1
9,3.778,0.288,196,1
8,3.5,0.46,177,1
8,2.375,0.382,110,1
9,20.667,0.372,1303,1
9,5.111,0.365,351,1
8,3.25,0.346,189,1
7,6.429,0.254,223,1
11,22.273,0.353,2063,1
11,24.727,0.26,2038,1
8,9.25,0.456,525,1
7,12.286,0.294,422,1
8,12.625,0.222,674,1
8,5.75,0.391,350,1
13,17.077,0.377,1997,1
9,2.111,0.292,117,1
11,1.909,0.316,134,1
8,22.5,0.199,1043,1
28,11.893,0.351,6057,1
7,0.571,0.321,28,1
7,4.714,0.143,195,1
8,1.75,0.455,112,1
7,1.571,0.143,43,1
9,8.111,0.376,556,1
10,15.4,0.342,1022,1
10,53.4,0.132,2771,1
15,4.067,0.247,471,1
9,56.778,0.164,2339,1
20,0.9,0.489,210,1
9,4,0.586,307,1
9,2.222,0.55,141,1
9,10.111,0.321,744,1
6,1,0.306,20,1
14,19.214,0.337,2353,1
23,0.87,0.507,309,1
7,1.429,0.286,58,1
7,2.286,0.25,112,1
5,23.6,0.154,293,1
6,31.167,0.188,663,1
9,6.444,0.351,349,1
9,3.667,0.424,288,1
5,5.4,0.407,110,1
9,2.556,0.386,185,1
9,1.333,0.389,92,1
