@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,10-11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,14,6,1
6,18,5,1
5,10,1,1
6,1,4,1
4,10,1,1
9,223,83,1
4,204,6,2
9,57,23,1
9,136,58,1
9,240,119,1
10,15,1,1
12,49,30,1
12,155,67,1
2,29,1,2
9,87,42,1
10,536,200,1
1,13,4,2
2,143,8,2
7,50,12,1
8,191,111,1
10,14,6,1
8,191,115,1
9,186,93,1
9,116,68,1
8,197,106,1
8,69,32,1
12,309,184,1
5,7,1,1
3,21,10,1
11,46,5,1
2,159,6,2
9,127,62,1
8,237,112,1
8,157,89,1
2,123,1,2
9,105,47,1
9,233,105,1
8,122,56,1
42,83,38,4
11,234,135,1
9,77,46,1
45,308,64,5
3,13,1,1
6,51,34,1
5,24,14,1
4,25,15,1
7,63,33,1
10,333,164,1
9,245,113,1
11,317,132,1
11,324,173,1
9,254,115,1
25,791,392,1
9,437,154,1
12,43,10,1
10,74,27,1
10,143,71,1
34,406,157,1
7,46,17,1
8,74,41,1
11,46,12,1
11,53,13,1
9,244,111,1
10,296,130,1
9,302,130,1
23,795,385,1
1,27,1,2
7,15,11,1
11,51,6,1
9,44,27,1
9,264,137,1
8,160,50,1
8,131,54,1
7,118,42,1
9,366,144,1
6,24,14,1
13,258,85,1
9,98,30,1
1,13,2,2
12,288,129,1
8,68,27,1
15,1136,481,1
14,133,43,1
11,71,30,1
11,54,6,1
9,94,26,1
9,77,35,1
9,148,71,1
9,48,26,1
8,36,21,1
10,151,56,1
10,234,142,1
10,281,109,1
9,245,112,1
13,1564,745,1
12,515,245,1
7,54,20,1
22,823,82,1
8,172,81,1
8,327,178,1
9,261,81,1
14,1382,576,1
12,1068,444,1
49,324,44,5
8,58,18,1
9,241,106,1
23,572,242,1
8,289,162,1
6,87,52,1
8,154,59,1
13,298,124,1
12,418,170,1
39,245,35,5
7,65,33,1
9,249,102,1
26,3424,1142,1
13,591,159,1
10,451,115,1
13,1080,403,1
12,324,88,1
12,433,123,1
12,1833,752,1
9,186,48,1
7,354,171,1
9,145,61,1
10,116,60,1
9,98,54,1
5,160,96,1
22,808,70,1
7,411,247,1
5,58,31,1
10,152,65,1
43,212,32,5
7,251,114,1
8,107,48,1
22,780,71,1
8,485,279,1
6,123,75,1
33,91,16,5
9,378,170,1
24,480,151,1
9,174,93,1
4,11,2,5
8,90,51,1
9,659,342,1
10,675,358,1
4,7,3,5
23,786,420,1
8,17,11,1
8,28,21,1
8,373,279,1
11,504,352,1
5,8,5,5
7,31,20,1
6,19,12,1
8,99,77,1
7,27,15,1
7,82,53,1
10,237,170,1
8,54,40,1
10,192,130,1
7,87,63,1
9,359,285,1
10,287,239,1
2,7,2,1
5,11,3,1
6,25,17,1
6,71,50,1
4,51,40,1
7,31,12,1
7,101,71,1
5,17,12,1
7,236,168,1
5,9,2,1
7,34,25,1
7,26,12,1
7,8,1,1
9,423,317,1
7,24,17,1
7,20,9,1
8,76,49,1
8,129,85,1
9,106,84,1
7,49,31,1
7,19,13,1
6,16,13,1
8,30,19,1
9,43,32,1
7,66,50,1
10,93,72,1
7,69,52,1
7,31,21,1
7,36,32,1
6,13,9,1
7,115,77,1
7,27,18,1
8,54,44,1
5,42,22,1
7,20,13,1
7,32,17,1
7,27,18,1
7,28,18,1
7,13,9,1
9,47,34,1
7,35,26,1
9,46,36,1
7,46,31,1
9,22,16,1
7,23,13,1
10,61,47,1
7,14,11,1
5,29,21,1
5,35,24,1
8,14,9,1
8,15,9,1
7,28,19,1
7,37,27,1
7,24,18,1
9,105,75,1
8,100,64,1
5,62,43,1
10,22,10,1
7,32,16,1
7,80,59,1
6,26,18,1
7,88,58,1
7,30,26,1
9,62,36,1
8,85,62,1
9,77,51,1
7,28,16,1
9,199,129,1
7,23,19,1
10,484,369,1
7,28,21,1
7,32,23,1
7,108,77,1
9,25,19,1
7,111,86,1
7,36,23,1
6,53,42,1
9,82,60,1
6,11,4,1
5,52,41,1
7,37,21,1
6,31,24,1
6,70,57,1
5,71,61,1
8,887,521,1
8,60,32,1
8,125,70,1
8,131,67,1
8,33,13,1
10,80,40,1
36,247,69,5
8,70,36,1
9,51,21,1
10,129,63,1
9,67,29,1
8,31,15,1
8,66,40,1
6,77,33,1
6,11,5,5
10,70,37,1
4,7,4,5
9,85,40,1
9,9,1,4
6,57,1,2
10,83,34,1
6,93,48,1
8,49,19,1
8,13,6,1
8,505,276,1
12,812,404,1
8,47,19,1
9,118,49,1
8,45,21,1
6,103,46,1
8,60,28,1
8,69,27,1
8,57,31,1
6,30,14,1
8,33,14,1
10,64,32,1
9,116,65,1
8,84,37,1
8,128,64,1
9,76,35,1
9,178,91,1
8,26,11,1
8,26,15,1
11,90,45,1
12,715,397,1
10,54,26,1
7,72,36,1
7,24,13,1
9,223,117,1
10,42,18,1
8,103,48,1
11,145,75,1
7,40,19,1
7,46,20,1
8,42,22,1
10,47,21,1
8,44,12,1
5,88,36,1
10,48,26,1
10,245,123,1
8,145,79,1
8,30,11,1
10,178,95,1
5,82,35,1
6,48,28,1
9,95,53,1
8,52,21,1
9,33,21,1
10,155,74,1
8,57,27,1
6,13,7,1
7,46,22,1
8,17,11,1
8,67,40,1
6,52,22,1
8,24,9,1
10,153,72,1
8,60,36,1
10,133,71,1
9,102,44,1
9,80,41,1
8,37,15,1
7,121,70,1
10,215,121,1
5,45,17,1
8,38,18,1
8,99,61,1
10,79,42,1
7,25,9,1
9,108,64,1
10,73,34,1
7,23,9,1
10,689,390,1
10,267,147,1
7,29,12,1
7,11,5,1
10,144,67,1
8,49,29,1
15,294,82,1
9,188,126,1
7,93,75,1
2,603,15,2
9,347,275,1
7,213,121,1
28,427,57,3
4,8,1,1
7,242,185,1
9,644,482,1
9,884,661,1
3,549,9,2
8,326,136,1
9,737,308,1
6,64,37,1
8,246,187,1
6,153,124,1
7,187,138,1
6,87,64,1
10,731,315,1
6,161,108,1
9,566,432,1
9,743,547,1
3,556,25,2
13,783,238,1
5,58,36,1
8,398,297,1
7,147,116,1
8,329,278,1
26,3464,456,1
7,184,115,1
7,279,218,1
9,583,476,1
9,235,193,1
1,20,19,1
1,8,7,1
1,13,1,2
24,2178,267,1
8,30,14,1
8,28,9,1
8,137,93,1
14,592,49,1
9,356,127,1
9,371,132,1
10,758,564,1
1,13,12,1
14,472,114,1
25,3448,459,1
9,440,345,1
9,313,227,1
6,14,7,1
8,129,79,1
8,388,113,1
8,258,107,1
9,622,255,1
9,502,211,1
7,25,11,1
9,178,146,1
9,393,307,1
1,14,13,1
8,230,182,1
6,70,56,1
9,587,461,1
6,56,43,1
2,11,3,1
6,45,1,2
12,366,23,2
1,51,3,2
10,111,53,1
10,170,28,1
1,7,1,2
10,130,20,1
54,54,1,4
11,649,113,1
14,72,11,1
11,60,14,1
34,34,1,4
22,22,1,4
1,11,3,2
1,74,3,2
8,178,82,1
9,84,11,1
10,46,1,1
10,1508,559,1
23,2684,156,1
14,1902,420,1
9,99,10,1
14,1424,310,1
1,50,2,2
10,62,6,1
14,1317,302,1
1,14,1,2
9,94,12,1
8,8,1,4
10,564,184,1
128,17721,1356,3
10,114,15,1
23,8027,477,1
10,99,16,1
13,1906,398,1
7,482,174,1
25,7358,444,1
10,97,15,1
13,1375,286,1
16,2053,358,1
25,4304,270,1
16,2258,427,1
24,2670,125,1
163,13725,1634,3
9,511,201,1
15,2167,410,1
12,153,20,1
11,148,18,1
16,2145,418,1
15,2127,400,1
7,188,55,1
1,9,1,1
1,8,5,2
12,1617,573,1
15,1661,326,1
10,232,79,1
16,2150,371,1
11,146,17,1
9,1122,178,1
9,964,373,1
10,477,176,1
7,162,117,1
7,237,140,1
7,336,227,1
8,318,203,1
9,320,183,1
17,146,14,1
17,71,4,1
9,419,203,1
9,135,53,1
9,101,40,1
6,119,73,1
10,606,397,1
13,742,343,1
5,116,58,1
6,178,73,1
5,155,87,1
6,184,91,1
11,93,30,1
9,64,23,1
11,255,4,2
10,9,1,4
9,126,81,1
6,14,10,1
6,11,6,1
1,9,8,1
8,188,130,1
7,134,51,1
8,211,146,1
9,136,71,1
6,38,25,1
7,130,93,1
7,65,33,1
8,286,219,1
9,163,103,1
6,19,8,1
4,131,93,1
7,60,38,1
8,59,42,1
9,95,69,1
7,40,24,1
7,222,116,1
7,20,9,1
16,546,201,1
14,75,15,1
11,179,91,1
14,907,554,1
1,49,5,2
3,559,37,2
13,1034,632,1
3,532,33,2
13,460,275,1
8,57,32,1
1,204,1,2
10,4409,207,2
3,746,11,2
9,531,354,1
10,537,348,1
8,169,126,1
7,46,38,1
1,11,8,2
1,122,120,2
6,21,17,1
7,42,33,1
19,313,24,1
8,177,19,1
17,5328,176,2
10,195,86,1
10,128,55,1
