@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
35,1.4,1
40,1.6,1
25,1,1
88,0.727,1
202,50.5,2
36,9,2
828,10.222,1
369,4.556,1
630,6.3,1
10,10,2
8,8,2
88,0.727,1
88,0.727,1
462,3.818,1
384,6,1
1300,13,1
441,5.444,1
180,2.222,1
19,19,2
4746,24.214,1
372,0.043,4
1566,19.333,1
189,3.857,1
873,10.778,1
189,2.333,1
51,51,2
189,3.857,1
49,49,1
324,4,1
189,2.333,1
800,8,1
33,33,2
396,4.889,1
8,8,2
351,4.333,1
11,11,2
460,28.75,2
112,2.286,1
510,5.1,1
216,2.667,1
980,9.8,1
423,5.222,1
780,7.8,1
1752,12.167,5
1089,13.444,1
369,4.556,1
671,5.545,1
324,4,1
189,2.333,1
1176,8.167,1
530,5.3,1
738,9.111,1
738,9.111,1
1081,2.043,1
650,6.5,1
430,4.3,1
112,2.286,1
231,1.909,1
88,0.727,1
324,4,1
112,1.75,1
306,3.778,1
935,7.727,1
120,1.2,1
13,13,2
64,1,1
1089,13.444,1
384,6,1
429,2.538,1
99,0.818,1
819,10.111,1
1111,9.182,1
352,5.5,1
39,39,2
68,4.25,1
168,18.667,1
549,61,2
7500,12,2
490,4.9,1
711,8.778,1
729,9,1
24,0.167,4
96,1.5,1
980,9.8,1
408,102,2
585,7.222,1
774,9.556,1
852,23.667,2
14,14,2
324,4,1
567,7,1
136,2.125,1
664,10.375,1
288,3.556,1
1000,10,1
774,9.556,1
2760,19.167,1
174,4.833,1
333,4.111,1
5720,33.846,1
1416,9.833,1
2664,1.946,5
15580,10.789,1
1495,8.846,1
1070,10.7,1
496,7.75,1
1520,23.75,1
770,7.7,1
3276,16.714,1
4920,34.167,1
912,101.33,2
560,8.75,1
300,8.333,1
350,3.5,1
600,4.167,1
5964,41.417,1
972,12,1
1104,30.667,1
1134,31.5,1
560,8.75,1
804,5.583,1
1665,66.6,2
360,4.444,1
2784,19.333,1
1190,11.9,1
1210,12.1,1
3105,4.259,1
830,8.3,1
1810,18.1,1
4130,41.3,1
510,5.1,1
828,5.75,1
234,6.5,1
1536,2.667,1
153,1.889,5
2720,27.2,1
210,0.933,5
2710,27.1,1
72,2,5
2176,34,1
2710,27.1,1
2710,27.1,1
624,9.75,1
98,2,1
2710,27.1,1
896,18.286,1
75,3,1
150,6,1
44,2.75,1
375,15,1
144,1.778,1
78,2.167,1
160,6.4,1
102,2.833,1
65,2.6,1
22,22,2
27,3,1
963,11.889,1
171,2.111,1
80,3.2,1
495,6.111,1
132,3.667,1
98,2,1
91,1.857,1
147,3,1
161,3.286,1
105,2.143,1
216,3.375,1
32,0.5,1
266,5.429,1
198,5.5,1
91,1.857,1
182,3.714,1
25,1,1
432,5.333,1
288,3.556,1
42,1.167,1
168,2.625,1
133,2.714,1
49,1,1
126,3.5,1
96,2.667,1
119,2.429,1
90,3.6,1
210,4.286,1
77,1.571,1
112,2.286,1
180,2.222,1
28,0.571,1
301,6.143,1
49,1,1
252,3.111,1
114,3.167,1
77,1.571,1
387,4.778,1
78,2.167,1
490,4.9,1
66,1.833,1
98,2,1
2510,25.1,1
168,3.429,1
77,1.571,1
70,2.8,1
392,8,1
66,1.833,1
45,0.556,1
198,2.444,1
77,1.571,1
49,1,1
40,1.6,1
45,1.8,1
182,3.714,1
84,2.333,1
198,5.5,1
408,11.333,1
63,1.286,1
175,3.571,1
64,1,1
91,1.857,1
369,4.556,1
1818,22.444,1
102,2.833,1
77,1.571,1
161,3.286,1
15,0.6,1
91,1.857,1
133,2.714,1
65,65,2
72,1.125,1
484,1,5
8,0.125,4
1392,1.655,5
243,3,1
96,1.5,1
112,2.286,1
84,0.19,5
893,2.474,5
165,1.364,1
72,1.125,1
72,1.125,1
1044,12.889,1
96,1.5,1
360,3.6,1
48,1.333,1
17,17,2
56,0.875,1
232,3.625,1
324,4,1
24,0.667,1
80,1.25,1
392,6.125,1
84,1.714,1
243,3,1
400,6.25,1
48,0.75,1
266,5.429,1
20,0.8,1
96,1.5,1
2992,24.727,1
112,1.75,1
264,2.182,1
128,2,1
300,3,1
128,2,1
500,5,1
216,6,1
176,2.75,1
410,4.1,1
70,0.7,1
96,1.5,1
1386,11.455,1
369,4.556,1
245,5,1
32,0.5,1
260,2.6,1
72,1.125,1
296,4.625,1
208,3.25,1
520,5.2,1
234,6.5,1
1606,13.273,1
336,5.25,1
105,2.143,1
1026,12.667,1
610,6.1,1
763,15.571,1
2010,0.448,5
60,2.4,1
550,5.5,1
1440,14.4,1
594,4.909,1
344,5.375,1
620,6.2,1
850,0.735,5
264,4.125,1
48,1.333,1
297,3.667,1
225,2.778,1
280,4.375,1
360,3.6,1
790,7.9,1
152,2.375,1
312,4.875,1
230,2.3,1
190,1.9,1
192,3,1
96,1.5,1
96,1.5,1
248,3.875,1
260,2.6,1
184,2.875,1
312,4.875,1
96,1.5,1
40,1.6,1
24,0.667,1
72,1.125,1
