@relation penbased

@attribute At4 numeric
@attribute At5 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At11 numeric
@attribute At15 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
55,0,38,0,100,35,100,0
25,57,95,21,69,0,48,0
45,20,65,0,100,16,85,0
90,0,1,17,77,78,82,0
48,23,72,0,84,5,69,0
55,5,70,0,78,13,30,0
64,0,53,0,100,20,60,0
48,17,68,4,89,13,50,0
33,34,84,17,72,14,45,0
54,0,62,0,91,4,49,0
63,0,54,0,86,20,56,0
41,28,78,7,80,0,65,0
56,31,74,0,87,0,87,0
79,0,23,0,100,21,85,0
64,0,28,0,100,46,90,0
56,0,40,0,100,28,73,0
69,0,29,0,100,11,100,0
55,17,72,0,91,0,67,0
25,51,85,27,72,0,71,0
54,19,74,7,64,7,32,0
75,0,36,0,100,37,94,0
78,19,100,41,0,14,13,0
45,16,79,13,75,12,28,0
46,4,54,0,100,12,82,0
74,0,30,0,100,49,100,0
60,0,18,0,90,69,100,0
70,0,15,0,92,62,100,0
39,44,86,18,73,0,60,0
55,15,53,0,100,36,79,0
95,0,6,0,100,37,100,0
51,18,68,0,91,11,68,0
66,0,42,0,100,16,84,0
64,4,63,0,73,0,25,0
57,14,59,0,98,19,91,0
61,8,59,0,97,18,53,0
66,6,45,0,100,21,90,0
64,0,29,0,100,33,79,0
45,21,69,8,90,0,75,0
77,0,30,0,100,40,81,0
39,27,73,11,82,0,74,0
33,34,89,9,79,0,64,0
62,0,27,0,100,59,100,0
24,47,89,14,76,0,78,0
40,18,64,8,100,16,79,0
61,11,60,0,92,23,76,0
72,5,45,0,100,24,91,0
56,15,65,0,92,7,63,0
42,35,82,11,73,0,49,0
76,0,27,0,100,49,70,0
86,0,22,11,100,57,100,0
61,0,60,0,96,15,48,0
75,0,26,0,100,47,100,0
39,15,68,1,100,7,90,0
95,0,23,0,100,19,75,0
8,58,91,32,65,11,17,0
56,12,62,0,94,0,72,0
60,1,45,0,100,13,82,0
21,62,100,22,61,0,57,0
54,7,51,0,100,18,88,0
100,1,0,30,85,86,89,0
68,0,24,0,100,49,100,0
37,41,81,7,78,0,77,0
79,9,61,0,76,0,28,0
44,24,75,12,82,0,60,0
70,0,39,0,100,11,75,0
58,20,58,0,100,28,90,0
23,46,88,31,64,0,25,0
62,8,52,0,100,20,88,0
67,0,26,0,100,29,88,0
72,0,10,0,100,25,100,0
32,54,96,24,68,0,52,0
