@relation penbased

@attribute At5 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,100,100,0
0,100,98,0
9,100,58,0
14,100,76,0
5,100,75,0
1,100,58,0
0,100,85,0
7,100,82,0
2,100,83,0
7,100,88,0
25,82,55,0
30,74,53,0
0,100,92,0
18,93,89,0
33,100,85,0
2,100,72,0
0,100,83,0
30,65,28,0
0,98,90,0
0,100,97,0
0,100,100,0
40,87,53,0
0,98,73,0
22,78,48,0
0,100,99,0
39,55,76,0
18,82,56,0
32,81,62,0
7,80,36,0
0,100,100,0
36,77,67,0
13,96,80,0
46,69,61,0
3,90,84,0
31,76,58,0
8,100,100,0
40,70,50,0
15,92,63,0
8,89,83,0
2,100,97,0
0,100,96,0
0,100,100,0
0,99,100,0
0,100,100,0
0,100,83,0
18,93,67,0
10,100,81,0
0,88,97,0
8,100,80,0
14,73,33,0
3,100,96,0
13,100,92,0
58,80,75,0
48,69,43,0
16,99,100,0
11,100,70,0
12,100,78,0
0,91,96,0
0,100,86,0
21,100,68,0
33,74,48,0
13,100,82,0
14,100,98,0
0,100,83,0
8,100,88,0
0,100,69,0
0,100,74,0
42,42,62,0
16,75,28,0
2,100,81,0
0,86,96,0
0,100,100,0
16,100,94,0
0,100,92,0
54,66,48,0
33,87,95,0
0,100,100,0
0,91,100,0
0,100,100,0
39,75,59,0
0,88,90,0
34,79,66,0
22,89,68,0
1,100,100,0
30,66,79,0
10,96,91,0
4,100,76,0
37,78,70,0
18,72,49,0
42,67,35,0
38,81,44,0
18,91,83,0
1,98,72,0
0,100,100,0
6,100,78,0
17,85,69,0
35,96,80,0
29,0,21,0
0,100,85,0
14,100,74,0
22,85,56,0
31,87,87,0
0,100,94,0
1,100,81,0
0,100,88,0
48,83,75,0
12,100,91,0
39,70,64,0
67,8,36,0
52,74,65,0
27,85,53,0
66,64,33,0
60,75,63,0
0,100,100,0
0,100,74,0
31,84,66,0
0,100,100,0
0,100,94,0
0,94,94,0
0,100,100,0
5,98,60,0
18,100,79,0
21,97,82,0
44,69,51,0
22,83,66,0
0,100,100,0
0,100,95,0
0,100,100,0
0,100,85,0
5,78,30,0
25,96,80,0
29,65,40,0
49,83,91,0
5,100,91,0
33,82,66,0
0,100,100,0
1,100,100,0
0,100,88,0
42,63,62,0
0,100,77,0
25,74,51,0
31,85,79,0
26,97,87,0
49,62,42,0
38,67,34,0
10,87,75,0
0,100,79,0
0,100,60,0
0,100,72,0
34,57,24,0
40,71,57,0
8,88,100,0
12,100,100,0
57,47,31,0
0,100,88,0
19,97,81,0
0,100,100,0
25,63,25,0
46,78,55,0
0,100,100,0
0,100,96,0
29,94,84,0
0,100,100,0
34,78,76,0
55,74,54,0
0,100,97,0
22,78,41,0
16,99,70,0
15,36,0,0
49,86,77,0
36,15,2,0
46,72,66,0
0,100,100,0
0,100,85,0
0,100,100,0
18,95,95,0
31,72,51,0
0,100,75,0
46,73,66,0
0,100,98,0
0,100,100,0
38,72,62,0
0,100,100,0
52,72,62,0
3,100,81,0
31,71,39,0
1,91,51,0
0,100,86,0
2,100,100,0
39,79,67,0
6,100,66,0
19,99,73,0
0,89,89,0
0,100,97,0
0,100,97,0
37,80,61,0
0,100,88,0
35,21,0,0
15,99,90,0
46,64,42,0
0,100,82,0
15,96,67,0
6,100,88,0
0,86,91,0
42,76,62,0
11,92,76,0
35,73,49,0
0,100,91,0
1,100,7,0
37,74,60,0
17,99,90,0
0,100,71,0
0,100,81,0
22,91,76,0
0,100,82,0
15,91,81,0
9,100,68,0
0,100,69,0
7,100,69,0
1,100,75,0
0,97,88,0
0,100,100,0
0,100,100,0
18,71,5,0
10,95,84,0
14,94,91,0
13,60,29,0
12,90,71,0
2,100,100,0
0,100,62,0
11,95,77,0
4,84,46,0
29,82,65,0
0,100,81,0
15,93,74,0
33,93,85,0
15,100,90,0
19,81,93,0
45,67,47,0
16,98,67,0
0,100,75,0
0,92,100,0
1,100,77,0
28,69,35,0
9,91,73,0
0,100,92,0
0,100,95,0
0,100,93,0
0,100,100,0
43,75,61,0
0,100,98,0
40,79,67,0
0,100,83,0
16,93,89,0
12,95,63,0
0,100,92,0
47,76,78,0
0,100,96,0
22,100,75,0
1,100,75,0
49,73,60,0
30,100,99,0
6,100,68,0
23,69,90,0
0,100,88,0
19,92,78,0
21,99,93,0
0,100,100,0
87,41,46,0
26,96,87,0
49,64,59,0
0,100,92,0
8,73,25,0
1,100,100,0
5,100,78,0
0,99,89,0
19,100,81,0
81,40,0,0
0,100,94,0
0,100,99,0
0,100,100,0
40,90,84,0
13,100,80,0
6,100,90,0
0,100,76,0
32,86,57,0
15,98,75,0
0,100,100,0
25,83,52,0
0,100,88,0
23,78,64,0
11,97,69,0
20,100,100,0
16,100,98,0
39,74,66,0
34,90,83,0
0,100,100,0
0,95,62,0
0,100,60,0
40,80,67,0
34,44,61,0
46,29,55,0
39,18,19,0
20,100,96,0
9,100,94,0
0,100,100,0
13,79,26,0
0,100,90,0
0,100,90,0
9,94,83,0
0,100,94,0
16,98,73,0
22,90,90,0
71,45,41,0
5,99,100,0
19,0,13,0
26,74,58,0
0,100,88,0
2,71,20,0
0,95,97,0
26,97,71,0
3,100,59,0
0,100,67,0
0,92,100,0
57,69,48,0
0,100,94,0
1,100,84,0
18,87,75,0
0,100,70,0
0,88,65,0
0,100,100,0
16,92,73,0
22,78,51,0
0,100,82,0
13,90,77,0
0,100,75,0
50,78,87,0
0,100,100,0
0,100,91,0
9,100,97,0
7,92,69,0
2,100,100,0
46,44,22,0
21,82,66,0
0,100,68,0
7,100,96,0
0,100,83,0
20,100,90,0
37,73,43,0
17,88,78,0
11,56,11,0
10,100,87,0
63,52,12,0
0,100,96,0
0,100,100,0
0,100,97,0
0,100,92,0
17,91,67,0
0,100,100,0
9,100,73,0
0,100,95,0
0,100,92,0
0,100,87,0
33,94,79,0
12,90,41,0
20,91,78,0
34,81,68,0
17,81,88,0
0,100,100,0
0,100,100,0
10,95,83,0
0,100,97,0
0,100,73,0
0,97,95,0
18,96,72,0
13,100,83,0
38,75,60,0
0,100,87,0
0,100,96,0
0,39,7,0
0,96,100,0
8,97,53,0
0,100,69,0
16,85,65,0
0,95,93,0
9,100,91,0
0,100,88,0
0,100,99,0
0,100,76,0
0,100,0,0
15,83,88,0
0,100,67,0
0,100,99,0
18,100,100,0
0,100,69,0
8,75,79,0
34,66,25,0
25,86,62,0
26,87,69,0
0,100,89,0
0,100,100,0
0,100,72,0
10,100,96,0
1,100,97,0
0,100,91,0
13,96,82,0
13,93,63,0
19,100,79,0
7,89,88,0
0,100,83,0
0,90,100,0
0,100,44,0
6,100,83,0
0,100,93,0
62,71,67,0
19,96,82,0
0,100,100,0
11,85,73,0
39,83,71,0
7,95,83,0
0,100,93,0
0,100,99,0
0,100,83,0
0,100,100,0
0,73,20,0
8,100,100,0
6,77,32,0
0,100,97,0
0,100,100,0
0,100,67,0
0,100,77,0
38,73,62,0
9,100,95,0
20,94,78,0
0,100,98,0
2,88,100,0
14,100,100,0
27,82,74,0
0,100,95,0
0,100,100,0
0,100,100,0
48,42,15,0
7,100,55,0
26,74,29,0
0,100,60,0
0,100,98,0
19,67,67,0
0,100,100,0
0,100,100,0
0,100,91,0
0,100,70,0
7,100,95,0
0,100,98,0
17,96,93,0
0,100,100,0
0,100,85,0
19,86,86,0
20,51,15,0
4,100,95,0
0,100,84,0
0,100,97,0
0,100,100,0
0,100,86,0
0,100,74,0
22,93,82,0
34,79,64,0
35,72,52,0
19,100,83,0
0,100,100,0
0,100,60,0
0,100,89,0
6,92,69,0
41,61,28,0
0,100,74,0
14,90,66,0
0,97,100,0
0,100,75,0
5,85,42,0
16,84,57,0
25,85,84,0
10,97,87,0
46,34,62,0
1,100,96,0
0,100,85,0
15,100,79,0
4,95,72,0
0,100,95,0
0,100,86,0
17,100,63,0
21,90,75,0
23,100,71,0
8,100,67,0
16,100,89,0
20,99,75,0
0,100,100,0
27,88,82,0
0,100,80,0
28,86,80,0
12,97,53,0
0,100,89,0
10,94,74,0
0,100,92,0
3,100,74,0
0,100,100,0
22,83,57,0
1,100,82,0
27,85,71,0
32,79,56,0
0,100,49,0
4,100,91,0
0,89,90,0
0,100,92,0
0,100,76,0
18,91,68,0
38,82,74,0
35,80,88,0
0,100,91,0
42,80,73,0
4,96,57,0
40,82,75,0
9,97,81,0
16,90,78,0
71,66,63,0
21,97,63,0
13,81,67,0
2,100,96,0
0,100,97,0
47,76,62,0
0,100,88,0
41,67,20,0
0,94,97,0
16,75,44,0
33,54,67,0
11,99,77,0
20,98,81,0
0,100,92,0
24,82,60,0
29,64,28,0
0,100,100,0
27,41,57,0
49,62,20,0
14,100,62,0
0,100,75,0
0,100,75,0
4,73,25,0
18,100,100,0
34,79,71,0
0,100,76,0
0,100,100,0
12,100,99,0
0,100,100,0
20,100,85,0
0,100,99,0
21,67,28,0
0,100,74,0
36,86,63,0
0,100,100,0
7,100,100,0
11,96,69,0
2,100,99,0
0,100,100,0
0,94,98,0
20,89,77,0
26,84,63,0
0,95,90,0
0,100,99,0
57,54,39,0
49,75,67,0
24,85,71,0
