@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,11,16-17'

@attribute At5 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
11,89,57,0
78,85,0,1
80,25,32,7
68,15,98,5
89,82,13,3
72,100,0,3
13,0,83,8
100,92,80,8
92,100,2,3
0,82,0,4
68,0,0,2
43,0,100,5
100,29,0,1
28,93,0,4
95,100,0,9
42,82,1,5
0,100,88,0
66,0,100,5
89,15,1,2
20,99,25,6
74,25,37,7
0,90,0,4
0,100,73,0
32,5,99,8
100,92,81,8
16,80,24,6
0,100,0,4
31,100,13,6
0,100,0,4
42,100,3,9
92,100,7,3
100,58,0,1
7,100,22,6
26,88,52,0
27,84,69,0
2,100,7,6
51,20,100,5
100,33,37,7
61,25,92,8
71,100,78,8
82,86,0,3
84,90,26,7
0,89,0,4
22,66,83,8
58,100,81,8
0,100,66,0
100,1,36,7
0,81,0,4
32,81,8,6
61,21,0,2
100,79,84,8
95,100,0,3
21,63,0,9
11,97,5,6
100,71,32,8
82,100,1,3
76,74,38,7
80,40,0,1
30,74,61,0
18,83,25,6
100,0,0,2
20,66,43,6
62,57,0,1
46,29,0,2
6,0,90,8
68,2,0,2
26,100,0,4
88,0,100,5
100,80,2,8
92,0,3,2
0,73,0,4
0,100,0,4
22,25,94,8
94,43,19,7
78,92,0,1
90,57,0,3
17,100,0,9
60,0,0,2
45,1,100,5
94,0,2,2
84,100,0,3
100,89,6,3
22,90,80,0
100,13,0,2
59,0,0,2
0,100,0,4
64,23,43,7
100,14,73,8
63,40,47,8
57,70,0,1
21,52,17,6
78,17,48,7
40,20,98,5
0,100,0,4
75,3,99,5
57,0,100,5
24,69,42,6
43,65,41,0
19,100,0,4
56,15,0,2
0,99,0,4
0,100,0,4
95,100,0,9
18,75,0,9
62,0,100,5
19,63,0,4
19,62,12,6
19,24,100,8
0,100,0,4
72,0,0,2
61,0,0,2
60,67,100,8
25,53,33,6
100,78,74,8
0,21,82,8
67,100,0,9
100,45,50,7
97,71,27,7
83,0,0,2
100,19,40,7
22,68,11,6
97,0,48,7
63,59,0,7
32,66,60,0
88,100,1,3
0,100,93,0
100,13,32,7
15,0,76,8
0,97,0,4
12,100,92,0
0,100,85,0
43,100,8,9
92,19,41,7
100,37,43,7
59,14,48,7
61,74,0,1
7,70,0,4
100,78,0,3
97,90,49,7
57,0,12,1
5,100,0,4
73,100,1,9
0,88,0,4
12,100,79,0
35,89,84,0
62,42,100,8
53,94,14,9
0,25,93,8
0,100,0,4
34,28,19,2
0,100,95,0
48,5,98,5
55,56,100,8
7,100,3,6
49,10,1,2
17,100,13,6
18,95,16,6
78,42,20,0
55,46,0,7
61,13,100,5
100,91,10,3
92,87,98,8
100,62,0,1
70,0,0,2
71,0,0,1
68,74,21,3
0,97,95,0
77,45,0,1
100,5,100,8
15,97,21,6
0,94,0,9
100,90,98,8
72,37,28,7
94,0,1,2
39,26,78,8
9,76,28,0
2,100,0,4
16,0,77,8
63,10,39,7
61,20,100,5
100,0,45,8
0,100,0,4
77,64,0,9
24,100,56,6
44,61,100,8
100,100,0,3
49,0,5,1
100,52,1,1
50,47,0,7
62,1,7,2
0,100,3,9
100,97,8,3
45,0,96,8
100,96,0,9
6,100,17,6
100,73,35,7
79,9,3,1
66,60,79,8
22,87,1,5
0,59,0,4
56,90,7,9
100,91,0,9
0,100,0,6
0,100,0,4
6,0,80,8
0,76,0,4
100,96,16,3
30,48,22,6
74,36,54,7
64,10,10,2
100,60,1,3
65,28,0,2
62,0,4,2
22,57,21,6
8,82,0,4
94,0,3,1
88,100,8,3
66,0,0,2
72,22,0,1
94,0,100,5
23,0,95,8
54,18,0,2
0,100,0,4
14,100,27,6
79,70,0,1
16,93,75,0
10,100,23,6
87,0,1,2
17,76,17,6
93,0,4,2
25,90,76,0
0,97,0,4
6,100,38,6
30,96,73,0
19,93,89,0
0,79,0,4
56,0,100,5
100,94,4,3
94,100,0,9
0,98,0,9
75,62,38,7
63,0,0,2
78,100,35,7
5,100,84,0
0,12,91,8
100,73,0,3
65,0,9,1
76,0,28,7
100,25,0,1
81,65,27,7
94,0,0,2
36,5,100,5
0,100,88,0
19,83,66,0
0,100,0,4
0,94,0,4
4,100,100,0
48,94,9,1
100,22,29,7
90,100,17,3
59,0,100,5
11,91,7,5
100,0,48,8
0,95,0,4
55,23,3,2
61,0,1,2
35,50,22,6
83,81,4,3
92,38,41,7
100,33,28,7
100,0,4,2
100,93,0,9
56,61,100,8
0,84,0,4
53,20,6,2
100,19,27,7
13,91,91,0
45,100,3,9
0,97,0,4
0,100,67,0
100,54,38,7
85,92,17,3
57,0,100,5
67,100,0,1
