@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R7-9,17'

@attribute At7 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
19,45,86,4
81,80,60,1
21,0,21,8
0,11,70,6
53,50,78,3
69,43,50,7
83,80,59,1
31,0,0,5
52,41,13,2
63,64,36,7
100,100,94,1
74,87,100,9
72,86,77,1
62,0,100,0
18,48,0,6
96,98,100,9
13,0,60,0
55,61,88,3
91,40,88,7
32,0,77,0
71,100,100,9
78,15,100,0
100,21,63,8
58,57,58,1
21,0,9,5
44,0,0,8
35,0,78,0
71,51,33,2
24,0,22,8
79,71,63,3
71,51,95,3
70,42,33,8
51,0,0,5
82,62,48,7
0,37,69,4
22,20,0,2
61,63,40,2
61,52,46,2
21,0,70,0
65,27,66,8
41,34,0,2
39,31,0,2
62,0,100,0
7,41,0,6
32,87,68,9
97,72,52,3
36,38,95,4
95,59,100,4
0,15,33,6
0,27,40,0
0,80,6,9
58,38,28,7
54,64,47,1
87,40,70,7
88,95,60,1
74,57,33,2
36,50,94,3
96,57,100,4
94,0,0,8
64,55,93,3
48,81,45,8
27,69,53,5
89,64,79,3
8,39,6,6
27,100,0,9
69,47,95,3
77,0,45,8
61,48,33,2
77,13,100,0
72,48,53,7
8,70,56,5
25,0,4,5
0,55,69,9
66,100,24,8
79,71,66,3
66,39,24,2
0,30,9,6
50,100,34,8
26,18,63,6
5,53,42,5
100,85,81,1
47,0,99,0
78,69,76,3
2,80,19,1
65,40,100,4
28,86,58,5
78,76,76,3
66,0,9,5
66,0,100,0
40,0,86,0
30,37,0,2
96,27,37,8
80,28,100,4
30,53,0,2
11,0,0,8
0,74,53,9
66,68,97,9
40,78,24,5
3,36,0,6
45,52,63,1
59,0,100,0
18,30,77,4
43,67,71,3
72,40,55,7
63,47,100,4
55,42,100,4
66,100,100,9
28,0,69,0
100,43,88,0
55,30,26,7
63,100,62,1
0,38,69,4
100,93,69,1
49,36,15,7
53,0,98,0
38,57,60,3
51,39,15,2
68,72,60,2
26,49,6,6
77,56,100,3
100,100,87,1
98,26,48,8
85,74,44,3
68,78,100,9
21,29,0,2
4,23,48,6
0,34,11,6
33,30,100,4
100,99,87,1
100,98,80,1
29,35,36,6
100,100,71,1
0,31,35,6
69,53,39,2
13,44,0,6
34,52,12,2
12,100,21,9
77,1,100,0
68,39,32,2
66,45,100,4
0,32,20,6
55,33,100,4
73,48,53,1
0,76,39,9
19,0,0,5
100,100,70,1
40,55,46,1
79,49,43,2
58,23,42,7
55,44,100,4
17,76,22,5
3,0,0,5
96,80,75,3
0,0,7,8
40,77,72,5
35,100,86,9
70,51,100,4
24,43,8,1
70,67,70,1
