@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,9,14,17'

@attribute At5 numeric
@attribute At9 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,75,87,0
100,48,55,8
6,100,47,4
4,52,38,6
100,46,2,5
44,100,92,0
73,46,9,1
71,98,0,3
52,100,97,0
7,100,95,0
5,93,24,4
0,100,34,4
30,100,100,0
0,61,47,6
100,22,94,8
95,95,15,1
78,100,9,9
100,74,0,1
17,100,0,9
100,55,31,7
59,0,16,2
48,97,24,1
37,11,26,6
4,100,100,0
0,60,28,6
84,42,7,2
36,42,23,6
22,53,0,5
25,16,29,6
20,70,0,5
26,78,1,5
63,90,25,1
0,78,28,9
54,38,7,1
66,52,100,8
12,100,94,0
47,84,24,1
47,100,80,0
51,24,1,2
90,90,0,3
80,100,0,3
21,23,29,6
0,61,88,0
26,16,6,5
14,100,100,0
88,75,0,3
70,8,10,2
100,28,13,5
100,44,40,8
75,49,33,7
100,63,37,7
90,72,2,3
68,49,0,2
61,0,92,5
95,55,2,2
52,36,12,1
0,39,73,8
10,100,39,8
0,70,76,0
93,60,27,7
5,43,31,6
88,7,100,8
96,69,0,1
77,29,0,2
70,32,63,8
0,89,60,8
82,37,89,5
0,72,94,0
35,32,64,8
62,86,23,1
93,84,0,1
0,100,34,4
77,98,13,7
62,100,64,0
70,68,25,7
46,100,29,1
99,58,0,9
66,0,21,2
99,50,7,5
66,94,24,1
63,99,82,0
100,55,0,3
71,0,1,2
81,52,0,5
46,1,100,8
0,87,0,9
89,61,42,7
0,83,100,0
90,42,30,7
63,100,27,1
95,40,0,2
61,3,96,5
49,25,51,8
23,70,19,6
2,95,100,0
0,94,35,4
88,65,42,7
100,33,11,8
20,100,50,4
0,77,100,0
57,38,0,2
72,49,36,7
0,74,28,4
56,0,100,5
36,23,65,8
51,2,100,5
0,79,70,0
24,100,100,0
62,0,3,2
26,12,91,5
27,86,0,9
1,100,100,0
49,100,38,1
13,33,45,6
65,0,97,5
73,3,98,5
42,96,0,9
86,95,25,1
19,30,16,6
80,100,15,1
92,100,0,3
26,100,0,5
60,100,29,1
5,34,22,6
37,51,0,1
100,37,20,9
0,96,32,9
0,78,20,9
39,0,21,6
100,61,18,7
0,85,32,9
0,83,82,0
0,96,22,4
48,100,0,9
43,100,32,1
100,28,100,8
71,83,17,9
41,53,24,9
77,70,6,2
0,55,29,6
32,36,2,1
20,100,100,0
14,28,32,6
64,0,89,5
66,0,32,9
94,58,2,2
0,96,35,4
0,85,36,4
52,5,2,2
24,14,27,6
11,98,83,0
42,95,53,0
27,78,0,5
0,100,29,4
72,0,0,2
22,100,100,0
96,100,0,3
70,86,26,1
91,63,15,7
78,100,0,3
33,100,100,0
66,100,0,3
27,24,5,1
44,39,2,1
81,81,21,1
0,100,37,4
47,94,0,9
93,41,0,3
71,82,25,1
65,81,0,9
100,51,100,8
0,100,24,9
0,100,32,4
58,16,49,7
97,62,4,9
29,15,22,6
76,97,77,9
53,14,9,2
47,19,82,8
54,0,100,5
100,1,0,5
60,96,0,3
22,38,6,5
81,18,6,2
45,27,24,6
72,0,4,2
89,51,39,7
100,83,0,3
64,0,97,5
100,45,40,8
90,66,0,3
0,92,37,8
51,90,0,9
19,100,100,0
98,87,9,1
38,19,32,6
100,0,31,9
24,11,23,6
52,91,8,1
8,100,22,9
19,100,100,0
77,83,20,7
100,58,21,1
65,87,25,1
28,51,20,6
23,20,33,6
62,0,8,2
92,84,29,7
95,4,94,5
54,5,9,2
100,81,0,3
100,16,33,9
66,69,3,3
100,71,0,3
35,49,72,8
0,70,89,0
13,100,1,9
80,98,25,1
0,73,25,9
65,30,94,8
82,68,30,7
58,0,5,2
73,40,38,7
84,59,39,7
94,44,0,8
80,33,38,7
100,71,21,1
23,23,25,4
78,78,37,7
29,33,0,5
66,8,98,5
100,77,18,1
0,100,100,0
95,0,98,8
65,11,91,5
56,0,99,5
96,84,52,8
18,100,100,0
35,14,97,5
100,85,0,3
0,82,27,4
0,90,31,9
11,100,66,0
92,50,6,2
91,88,0,3
100,55,38,7
59,92,27,1
20,100,100,0
48,0,97,5
36,0,99,5
42,97,0,5
34,95,0,9
0,52,27,8
19,99,100,0
100,42,25,7
60,1,95,5
41,100,0,9
0,98,19,9
68,78,25,1
55,86,1,9
69,56,29,7
43,89,0,9
76,80,14,8
60,8,100,5
53,17,100,5
38,4,100,8
35,75,20,9
40,0,87,5
0,65,64,8
32,100,100,0
96,84,30,7
72,31,24,2
90,46,15,1
60,100,28,1
96,99,6,3
57,0,94,5
0,94,38,4
100,24,100,8
39,0,23,6
74,97,23,1
28,0,99,5
18,93,2,9
0,45,24,4
37,0,58,7
67,29,7,2
2,82,11,9
90,70,0,3
43,100,0,9
24,100,72,0
11,100,35,4
8,100,39,4
8,100,28,4
0,100,33,4
46,58,0,8
33,100,100,0
29,61,40,6
5,59,30,6
85,88,0,9
88,55,6,2
10,27,25,4
0,100,36,4
59,6,27,6
58,58,22,1
39,1,97,5
61,91,30,1
0,90,22,9
22,100,47,8
86,56,34,7
100,36,23,2
92,80,23,7
75,79,5,9
0,100,35,4
5,44,18,6
91,47,0,3
19,9,20,6
100,20,29,9
55,6,0,2
38,68,0,5
97,60,0,3
41,53,7,2
51,26,97,8
34,52,39,8
7,100,100,0
99,0,28,9
73,73,26,1
30,19,100,8
1,100,29,4
0,100,38,4
48,7,92,8
0,72,98,0
73,32,16,2
79,19,10,2
100,54,29,7
100,23,36,9
34,100,99,0
17,61,37,4
79,67,2,1
0,78,32,9
0,85,0,9
100,61,0,3
7,83,33,4
0,48,59,8
17,96,100,0
52,100,63,0
84,57,0,1
74,48,0,1
50,100,32,1
0,89,32,4
0,100,44,4
58,100,0,3
86,18,23,2
88,79,0,3
28,34,23,6
59,1,92,5
40,100,68,0
79,100,0,3
100,42,30,7
0,84,92,0
59,39,4,1
72,32,28,7
60,0,7,2
94,53,3,2
52,73,27,7
80,100,0,3
24,11,25,6
49,19,18,6
13,38,28,6
72,95,1,9
20,37,100,8
19,48,35,6
62,2,93,8
60,20,49,7
19,51,27,4
64,26,100,5
93,80,13,9
1,80,90,0
100,34,31,7
54,0,2,2
83,39,17,5
100,63,23,1
0,83,34,8
11,100,33,9
11,42,32,6
100,67,0,3
10,42,25,4
66,77,25,1
72,45,43,7
11,57,0,5
46,100,2,9
96,80,0,3
79,53,38,7
54,40,41,7
75,37,16,5
50,0,3,2
15,100,87,0
35,100,100,0
8,0,84,8
29,15,37,6
4,45,27,6
68,0,100,8
100,70,0,3
100,42,1,2
51,84,0,9
6,64,26,9
85,83,0,3
48,79,24,1
74,51,0,1
0,100,39,4
38,88,18,9
55,100,35,1
0,79,53,8
15,66,45,6
100,52,9,2
76,54,0,8
67,45,27,7
0,59,68,0
33,25,6,2
94,82,22,1
44,0,18,6
0,55,67,0
29,36,100,8
100,64,20,1
85,51,13,3
0,65,42,6
100,82,0,9
100,47,32,7
23,50,66,8
17,78,46,6
88,84,0,3
74,90,24,1
81,40,37,7
65,83,13,9
0,77,30,9
87,63,37,7
46,100,100,0
100,46,32,7
57,64,26,7
70,68,0,3
100,49,40,7
83,75,34,7
64,24,2,2
0,70,73,0
34,23,100,8
91,50,27,7
65,93,0,9
53,49,10,5
67,41,40,7
24,100,0,9
36,0,10,6
100,47,35,7
43,13,14,2
38,11,84,8
65,100,88,0
88,78,23,1
38,25,87,8
18,100,27,4
100,37,0,2
52,100,28,1
43,58,0,5
64,78,13,7
67,67,0,1
64,80,25,1
100,92,0,1
0,79,97,0
60,100,27,1
22,100,100,0
0,58,61,0
9,91,100,0
0,94,25,4
19,100,100,0
75,12,93,5
11,100,81,0
93,100,7,3
48,11,3,2
94,57,2,8
0,100,47,4
0,64,87,0
97,100,0,3
24,45,53,8
4,95,100,0
70,37,32,7
92,98,21,1
37,100,100,0
57,0,3,2
77,44,100,8
28,100,78,0
55,16,52,7
61,66,4,3
92,88,22,1
100,26,0,8
40,0,22,6
66,5,0,2
0,43,22,6
0,100,32,4
75,25,90,5
61,71,26,1
71,33,46,7
100,43,100,8
35,0,28,6
92,91,0,3
71,8,99,5
83,44,12,2
79,67,25,7
81,74,25,1
95,30,93,5
100,27,42,8
5,100,100,0
0,83,44,8
21,88,0,9
57,20,99,5
100,0,21,8
74,34,55,7
30,0,2,2
100,31,57,7
17,17,29,6
60,100,26,1
100,11,45,8
8,100,100,0
0,78,86,0
44,37,40,7
50,14,100,5
63,0,98,5
100,41,27,7
32,36,48,8
10,66,35,6
28,78,4,5
0,50,42,6
67,0,100,8
0,100,27,4
0,87,0,9
55,70,0,3
0,85,100,0
33,100,98,0
92,52,48,8
81,61,7,5
0,100,32,4
87,77,35,7
22,10,31,6
89,73,3,1
0,57,43,6
0,100,34,4
38,55,100,8
56,24,4,2
31,100,0,9
19,56,38,4
1,53,37,6
100,32,21,1
51,0,98,5
18,37,32,6
79,88,0,9
33,100,100,0
45,39,94,5
100,27,51,7
31,29,0,1
65,14,100,8
0,79,100,0
66,88,0,3
79,79,25,1
3,42,32,6
66,100,29,1
100,38,0,2
74,78,25,1
100,45,15,3
7,66,40,6
89,37,48,7
60,97,0,9
32,67,64,8
8,97,37,4
0,100,40,4
0,100,24,4
85,100,0,3
65,0,16,2
100,66,38,8
74,82,0,3
22,100,95,0
25,62,37,6
100,93,3,3
15,89,0,5
0,58,25,6
52,0,3,2
51,30,46,8
86,10,10,2
87,49,29,9
0,100,41,4
46,85,0,9
19,26,34,6
65,0,14,2
31,100,39,4
71,63,2,5
25,100,100,0
53,47,0,2
100,32,31,2
22,100,67,0
74,44,4,1
100,1,0,5
35,100,28,9
74,42,0,5
89,98,1,3
33,47,35,6
26,50,63,8
0,84,98,0
77,100,0,3
47,0,0,2
22,46,33,6
68,62,41,7
100,36,15,3
46,100,0,9
78,25,4,2
61,81,0,9
17,18,32,6
72,37,37,7
82,24,0,2
71,19,12,2
77,100,0,3
54,5,0,2
76,0,98,5
0,100,32,4
75,0,100,8
71,91,24,1
0,84,34,4
100,59,28,7
73,29,17,2
68,93,0,3
85,98,14,1
0,68,29,4
7,100,100,0
62,72,0,3
77,61,0,3
4,100,94,0
100,32,3,5
86,43,11,2
62,50,0,1
0,74,100,0
22,60,28,6
39,24,100,8
100,21,43,8
83,71,0,3
13,53,0,5
100,39,100,8
20,36,2,5
100,43,15,3
89,76,22,1
100,24,25,9
71,100,0,3
57,0,95,8
18,12,18,6
64,60,32,8
56,96,14,9
0,68,43,8
84,92,22,1
19,44,31,6
40,43,73,8
85,0,85,8
0,68,26,4
89,72,0,3
100,44,29,7
0,79,18,4
84,67,21,7
89,100,0,3
85,74,0,9
47,100,100,0
1,38,45,0
12,78,38,6
0,100,23,4
69,52,26,7
51,47,100,8
100,69,0,3
26,0,100,8
0,90,45,8
0,85,35,4
26,100,100,0
30,13,30,4
13,32,32,6
68,0,13,2
92,63,14,3
72,21,41,7
16,98,100,0
75,91,10,9
46,0,0,2
100,63,31,7
7,41,28,6
62,49,32,7
23,32,34,6
71,4,15,2
49,0,28,6
95,46,7,9
64,82,0,9
73,30,5,2
24,100,31,4
62,80,25,1
81,100,0,3
48,50,97,5
82,67,33,7
61,0,0,2
29,83,0,5
0,60,23,6
100,36,26,7
27,40,6,1
54,0,0,2
57,53,50,7
51,0,95,5
100,19,38,8
0,100,23,4
100,87,15,1
59,10,16,2
64,82,30,4
14,53,34,6
0,74,100,0
100,63,8,3
54,100,28,1
58,56,27,7
100,39,4,2
0,100,46,4
100,18,30,9
86,48,0,2
73,37,100,8
19,57,68,8
49,20,27,6
100,40,0,2
70,10,20,2
28,94,18,9
74,57,0,3
1,60,34,6
90,12,91,5
54,100,92,0
97,100,0,3
21,17,25,6
81,56,32,7
10,77,28,9
100,79,0,3
15,42,28,6
21,12,34,6
71,58,17,7
3,100,100,0
100,94,9,3
91,41,32,7
50,100,0,9
19,100,100,0
11,88,41,4
67,29,93,5
62,51,21,7
45,0,91,5
100,70,20,1
62,84,26,1
100,41,50,8
0,96,38,4
69,69,26,1
0,51,20,6
100,40,1,2
92,71,0,5
97,100,0,3
100,87,1,3
100,53,13,3
71,71,0,3
6,65,0,5
16,100,26,9
100,73,2,3
7,67,36,4
4,52,53,8
9,47,31,6
100,61,15,9
0,100,27,4
4,80,0,9
70,85,25,1
100,69,0,3
56,10,96,5
45,79,24,7
71,100,0,9
53,47,100,8
78,80,0,3
42,25,100,8
0,55,78,0
0,59,65,0
16,12,65,8
57,21,38,7
74,55,31,7
31,31,1,1
20,83,55,8
0,100,23,4
53,0,2,2
100,84,20,1
81,100,0,9
49,68,13,5
65,4,14,2
36,59,17,5
0,100,40,8
65,76,25,1
40,26,51,8
100,67,11,3
0,70,99,0
21,70,0,5
57,0,0,2
97,45,39,9
42,0,20,0
46,44,100,8
65,0,100,8
67,48,34,7
31,0,2,1
65,8,6,2
77,72,27,7
100,49,2,2
0,100,30,4
21,0,72,8
19,0,15,6
73,0,1,2
0,21,15,4
53,53,21,5
67,38,15,1
14,92,0,9
10,100,99,0
41,88,28,7
0,82,93,0
0,53,59,0
60,49,57,7
90,100,0,3
81,93,0,9
58,88,0,3
100,75,20,1
19,13,29,6
66,94,26,1
17,100,100,0
15,13,26,6
71,100,6,9
4,100,100,0
100,40,29,7
69,0,100,5
52,0,5,2
0,100,29,9
2,20,14,4
16,54,32,6
0,62,58,8
64,50,43,7
13,25,24,6
65,35,12,1
32,92,0,5
0,77,81,0
65,0,4,2
0,45,68,8
52,0,94,5
36,12,88,5
66,51,41,7
69,90,24,1
36,79,0,5
49,20,17,6
100,0,100,8
14,100,28,7
51,100,90,0
27,48,40,6
23,55,26,4
90,100,1,3
24,9,34,0
69,100,7,9
33,67,36,4
92,77,0,3
0,100,21,4
100,92,7,3
3,50,31,6
34,100,8,9
59,22,1,2
96,17,37,9
19,39,34,6
40,100,100,0
64,92,24,1
72,92,12,3
100,81,0,3
34,83,0,5
49,0,7,2
29,57,26,4
69,46,37,7
81,96,21,7
27,81,0,9
63,18,37,7
0,73,96,0
33,94,0,9
66,62,1,1
0,66,64,8
27,100,100,0
10,87,39,4
75,0,85,5
0,46,59,0
37,0,2,2
72,31,53,7
100,52,35,7
74,5,8,2
43,47,0,5
2,46,39,6
56,12,0,2
100,62,40,7
96,39,4,3
58,35,47,7
97,71,35,7
0,81,92,0
6,100,31,4
65,0,98,5
48,54,64,8
11,100,100,0
96,95,9,3
55,14,47,7
55,46,0,2
0,84,3,9
0,74,86,0
100,65,30,7
47,100,8,9
100,55,13,2
62,59,3,2
22,91,28,9
52,100,33,1
60,46,1,1
62,45,40,7
74,97,0,9
76,89,24,1
100,50,39,7
0,89,33,4
50,23,2,6
33,100,100,0
0,100,34,4
89,100,0,3
66,0,90,5
0,84,100,0
75,64,0,1
4,96,100,0
100,59,9,3
0,100,28,4
12,30,48,6
96,44,44,7
100,84,20,1
100,80,20,7
100,64,9,3
0,82,99,0
81,80,0,3
100,46,48,7
71,57,28,7
71,87,25,1
18,94,1,9
66,0,89,5
14,97,100,0
97,87,0,3
0,87,19,4
0,100,40,4
100,87,0,3
100,93,0,3
52,25,0,2
0,100,35,4
50,3,98,5
87,94,0,3
88,35,14,1
17,76,46,8
64,5,100,5
22,62,66,8
50,0,15,1
0,100,29,4
62,31,0,2
35,0,16,6
0,0,15,1
0,92,100,0
92,45,22,2
35,100,2,9
44,37,2,1
53,5,96,5
38,66,18,5
100,51,42,7
31,62,23,4
0,79,97,0
93,59,17,2
67,100,31,1
40,45,1,1
15,86,3,9
22,3,22,6
53,32,1,1
100,83,3,3
70,18,7,2
51,0,90,5
21,13,33,6
34,30,42,8
83,44,1,2
50,32,0,2
99,100,0,3
57,100,88,0
33,58,28,4
48,93,0,9
100,69,0,3
41,20,54,8
79,82,5,9
19,36,53,6
81,86,20,1
55,44,6,1
8,100,100,0
17,32,43,6
0,70,5,9
24,97,100,0
60,24,2,2
73,90,26,1
70,95,10,3
42,18,100,8
0,92,30,4
26,83,4,5
0,78,30,4
0,91,34,9
26,100,100,0
82,62,5,3
63,48,0,1
56,10,0,2
41,0,3,2
64,100,0,3
57,86,25,1
63,21,35,7
40,98,0,9
64,0,100,5
27,0,95,5
0,35,17,4
68,30,95,8
0,41,16,4
39,81,34,8
91,69,0,3
0,24,18,4
59,38,4,2
100,48,14,2
0,100,47,4
0,100,32,4
100,72,9,3
2,87,100,0
42,0,0,2
74,100,2,3
73,15,90,5
0,42,18,4
100,28,6,2
88,0,90,5
0,100,30,4
30,51,32,4
0,100,33,4
45,47,0,5
0,72,32,9
45,75,24,7
88,71,25,7
41,95,27,7
69,71,12,3
5,100,2,9
29,0,32,6
47,48,12,5
12,12,16,4
31,14,32,6
0,42,24,4
40,74,17,5
100,61,7,3
100,49,9,3
100,7,92,8
7,22,31,6
100,58,36,7
65,0,100,5
36,0,15,6
25,20,20,6
0,100,33,4
66,10,9,2
60,40,6,5
27,0,17,6
100,46,29,7
0,45,18,4
0,100,32,4
85,100,0,3
16,23,31,6
100,58,42,7
31,83,13,9
12,27,29,6
4,29,36,6
0,85,27,4
18,63,34,4
68,43,0,2
0,79,31,4
54,29,18,6
72,58,0,5
0,100,29,4
0,77,26,4
5,100,32,4
33,48,24,4
16,82,39,4
73,61,2,3
60,0,4,2
55,45,21,4
72,7,11,2
0,39,19,4
82,23,10,2
100,79,0,3
58,21,2,2
67,0,1,2
0,77,23,4
0,100,31,4
28,51,34,6
6,47,30,6
76,57,20,7
59,55,6,2
78,71,5,3
54,11,0,2
0,100,25,4
44,77,34,4
0,87,20,4
100,82,44,7
0,77,34,4
0,85,24,4
100,53,0,7
100,52,0,2
