@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5-6,10,17'

@attribute At5 numeric
@attribute At6 numeric
@attribute At10 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
11,5,43,0
78,87,75,1
80,85,0,7
68,41,16,5
89,75,28,3
72,79,41,3
13,65,0,8
100,12,41,8
92,85,42,3
0,33,36,4
68,71,12,2
43,36,27,5
100,100,68,1
28,53,76,4
95,94,78,9
42,79,51,5
0,30,5,0
66,32,29,5
89,87,37,2
20,52,0,6
74,75,0,7
0,42,45,4
0,30,32,0
32,56,0,8
100,8,38,8
16,67,0,6
0,66,40,4
31,57,0,6
0,58,38,4
42,68,69,9
92,78,37,3
100,100,59,1
7,52,0,6
26,0,48,0
27,11,39,0
2,49,0,6
51,30,23,5
100,96,15,7
61,58,0,8
71,36,33,8
82,85,47,3
84,82,10,7
0,36,62,4
22,10,36,8
58,0,42,8
0,41,0,0
100,93,29,7
0,60,33,4
32,55,0,6
61,67,12,2
100,20,35,8
95,83,52,3
21,75,85,9
11,69,4,6
100,100,52,8
82,74,42,3
76,92,35,7
80,76,45,1
30,0,49,0
18,61,0,6
100,85,28,2
20,61,0,6
62,76,79,1
46,72,17,2
6,75,0,8
68,87,22,2
26,62,31,4
88,39,14,5
100,91,59,8
92,95,15,2
0,41,44,4
0,46,35,4
22,54,0,8
94,100,14,7
78,100,63,1
90,100,63,3
17,82,52,9
60,73,14,2
45,34,28,5
94,83,18,2
84,99,52,3
100,91,44,3
22,6,37,0
100,94,41,2
59,70,13,2
0,40,30,4
64,74,0,7
100,2,37,8
63,100,43,8
57,79,78,1
21,60,5,6
78,97,0,7
40,59,0,5
0,53,32,4
75,73,0,5
57,31,35,5
24,58,0,6
43,0,65,0
19,55,24,4
56,98,26,2
0,62,43,4
0,53,49,4
95,78,79,9
18,92,74,9
62,22,40,5
19,55,68,4
19,75,10,6
19,62,0,8
0,54,34,4
72,87,16,2
61,76,1,2
60,28,32,8
25,65,0,6
100,7,36,8
0,73,0,8
67,100,62,9
100,100,26,7
97,93,14,7
83,80,24,2
100,97,16,7
22,57,0,6
97,65,0,7
63,94,76,7
32,0,57,0
88,100,39,3
0,24,16,0
100,96,31,7
15,70,0,8
0,43,38,4
12,5,25,0
0,30,24,0
43,68,55,9
92,74,2,7
100,78,0,7
59,67,0,7
61,83,83,1
7,42,64,4
100,76,36,3
97,69,0,7
57,88,0,1
5,58,39,4
73,100,85,9
0,62,34,4
12,10,36,0
35,0,56,0
62,47,4,8
53,73,58,9
0,72,0,8
0,47,43,4
34,88,23,2
0,25,27,0
48,42,18,5
55,38,21,8
7,68,0,6
49,100,39,2
17,48,0,6
18,55,0,6
78,14,100,0
55,93,67,7
61,0,45,5
100,89,48,3
92,23,38,8
100,100,60,1
70,87,28,2
71,100,13,1
68,68,41,3
0,34,18,0
77,95,75,1
100,40,1,8
15,70,1,6
0,61,100,9
100,15,35,8
72,84,0,7
94,71,22,2
39,57,0,8
9,19,47,0
2,45,35,4
16,85,8,8
63,71,0,7
61,58,0,5
100,55,56,8
0,59,47,4
77,100,65,9
24,51,0,6
44,19,38,8
100,98,43,3
49,61,0,1
100,100,41,1
50,96,78,7
62,85,27,2
0,88,72,9
100,76,53,3
45,47,0,8
100,100,63,9
6,55,0,6
100,85,29,7
79,98,12,1
66,29,26,8
22,79,47,5
0,45,73,4
56,72,54,9
100,100,72,9
0,50,6,6
0,70,51,4
6,71,0,8
0,44,66,4
100,100,43,3
30,70,7,6
74,82,0,7
64,88,30,2
100,81,38,3
65,100,43,2
62,87,7,2
22,64,7,6
8,59,69,4
94,75,2,1
88,84,43,3
66,76,22,2
72,76,45,1
94,51,0,5
23,62,0,8
54,73,21,2
0,57,43,4
14,57,0,6
79,90,74,1
16,0,40,0
10,47,0,6
87,80,34,2
17,59,0,6
93,95,34,2
25,0,39,0
0,56,69,4
6,39,0,6
30,0,27,0
19,0,35,0
0,58,33,4
56,67,0,5
100,78,34,3
94,90,76,9
0,78,81,9
75,82,20,7
63,78,4,2
78,79,0,7
5,23,26,0
0,70,0,8
100,97,48,3
65,66,0,1
76,75,0,7
100,100,60,1
81,100,36,7
94,95,37,2
36,33,37,5
0,33,6,0
19,9,30,0
0,58,37,4
0,56,48,4
4,11,24,0
48,49,100,1
100,100,15,7
90,88,52,3
59,42,7,5
11,100,56,5
100,69,41,8
0,63,41,4
55,66,16,2
61,89,28,2
35,66,8,6
83,80,39,3
92,80,0,7
100,85,19,7
100,73,16,2
100,100,67,9
56,35,26,8
0,48,28,4
53,98,38,2
100,88,11,7
13,67,0,0
45,78,57,9
0,29,17,4
0,15,35,0
100,92,32,7
85,84,42,3
57,49,13,5
67,80,75,1
100,100,56,3
72,56,0,7
0,7,24,0
47,71,12,6
0,59,49,4
46,94,48,5
69,100,36,8
0,41,46,4
14,50,0,0
100,100,10,7
79,98,57,3
86,75,29,2
100,100,51,3
75,100,58,9
64,42,1,5
78,72,93,4
19,86,54,5
16,58,0,6
67,49,0,8
100,100,53,1
31,52,0,6
43,78,23,6
100,86,1,7
100,100,55,3
91,99,43,3
12,65,12,6
94,98,79,9
36,85,9,1
0,52,46,4
94,100,64,1
69,71,91,1
63,34,29,5
100,100,61,1
71,22,34,8
100,96,66,9
1,63,48,4
27,0,100,0
68,90,37,3
0,63,100,9
78,74,0,7
33,100,57,9
86,87,9,2
31,0,49,0
65,67,12,2
0,48,0,6
0,2,34,0
22,68,59,9
68,83,29,2
47,86,12,1
3,62,0,8
76,100,74,1
17,54,0,6
87,79,38,3
0,42,61,4
16,52,74,4
69,0,46,8
100,80,0,8
26,71,23,4
19,54,0,6
74,90,74,1
0,31,22,4
43,26,27,5
0,66,9,6
88,93,48,3
0,53,50,4
63,34,15,5
67,78,88,1
0,61,54,4
0,63,0,0
24,98,73,9
44,0,75,0
76,87,0,7
100,79,10,7
96,100,60,1
27,68,2,6
88,93,43,3
98,14,32,8
88,87,75,1
81,75,0,2
86,81,46,3
27,51,0,6
40,93,67,9
22,62,1,6
0,55,36,4
34,49,0,6
0,34,36,4
0,46,55,4
41,62,0,6
0,17,22,0
0,51,56,4
