@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R7,14-15,17'

@attribute At7 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
19,23,67,4
81,20,47,1
21,100,0,8
0,46,36,6
53,0,0,3
69,35,86,7
83,20,0,1
31,98,100,5
52,8,100,2
63,29,47,7
100,27,56,1
74,26,0,9
72,21,100,1
62,97,18,0
18,23,29,6
96,25,0,9
13,71,55,0
55,0,0,3
91,52,50,7
32,85,37,0
71,18,0,9
78,100,6,0
100,80,25,8
58,14,0,1
21,100,100,5
44,95,27,8
35,93,48,0
71,5,100,2
24,100,0,8
79,0,0,3
71,0,0,3
70,62,0,8
51,94,100,5
82,34,74,7
0,34,70,4
22,4,100,2
61,2,100,2
61,0,100,2
21,70,63,0
65,39,100,8
41,6,100,2
39,0,100,2
62,100,8,0
7,18,17,6
32,11,0,9
97,5,0,3
36,31,85,4
95,41,97,4
0,38,9,6
0,58,53,0
0,33,89,9
58,45,80,7
54,2,100,1
87,45,100,7
88,24,0,1
74,19,99,2
36,0,0,3
96,35,4,4
94,81,40,8
64,0,0,3
48,4,11,8
27,7,0,5
89,2,0,3
8,19,0,6
27,31,29,9
69,0,0,3
77,100,0,8
61,0,100,2
77,100,0,0
72,27,66,7
8,11,0,5
25,94,100,5
0,33,58,9
66,8,15,8
79,6,0,3
66,14,100,2
0,34,7,6
50,0,9,8
26,38,0,6
5,4,0,5
100,21,22,1
47,100,17,0
78,0,0,3
2,8,100,1
65,46,33,4
28,0,0,5
78,13,0,3
66,97,100,5
66,100,18,0
40,91,30,0
30,5,100,2
96,62,100,8
80,45,69,4
30,5,100,2
11,100,20,8
0,28,21,9
66,33,69,9
40,5,0,5
3,26,12,6
45,8,100,1
59,100,19,0
18,27,79,4
43,7,2,3
72,30,84,7
63,38,68,4
55,30,28,4
66,0,0,9
28,84,46,0
100,88,0,0
55,50,100,7
63,1,100,1
0,28,100,4
100,24,8,1
49,38,100,7
53,100,7,0
38,1,9,3
51,14,100,2
68,0,100,2
26,2,25,6
77,0,0,3
100,30,38,1
98,90,18,8
85,16,9,3
68,0,0,9
21,3,100,2
4,36,6,6
0,17,17,6
33,35,53,4
100,18,16,1
100,22,29,1
29,38,0,6
100,28,3,1
0,43,10,6
69,5,100,2
13,27,13,6
34,4,100,2
12,29,49,9
77,100,0,0
68,17,100,2
66,26,0,4
0,28,30,6
55,45,78,4
73,0,100,1
0,24,5,9
19,99,100,5
100,25,0,1
40,2,100,1
79,10,100,2
58,47,100,7
55,32,34,4
17,3,0,5
3,90,100,5
96,14,48,3
0,100,10,8
40,7,0,5
35,0,0,9
70,24,75,4
24,2,100,1
70,16,100,1
47,14,100,2
46,100,100,5
100,26,63,1
43,100,100,5
32,41,64,9
22,42,0,8
20,97,100,5
43,11,100,2
85,20,0,1
77,0,0,9
68,0,0,3
0,87,100,5
73,31,85,4
77,95,5,0
56,12,100,2
81,0,0,1
39,1,100,2
70,99,100,5
62,41,97,7
3,28,8,8
88,33,76,1
65,0,0,3
100,81,10,8
60,32,79,9
0,33,10,6
43,28,39,4
53,1,0,3
32,44,100,7
46,0,100,1
100,25,35,1
63,70,100,8
45,36,21,8
53,0,6,3
0,9,7,5
90,0,0,9
47,88,28,8
54,47,60,8
0,28,38,6
91,6,78,1
62,0,0,3
69,63,0,0
46,9,100,2
78,24,100,1
26,39,0,6
62,6,100,2
62,2,0,3
28,1,100,2
75,5,100,2
53,33,92,7
100,0,98,2
26,0,0,3
100,25,0,1
75,30,79,4
13,0,100,2
53,0,0,3
50,8,0,3
28,23,100,4
66,0,0,3
3,78,46,0
69,98,0,0
86,21,55,1
16,100,31,0
54,6,100,1
67,34,88,7
54,27,100,7
23,80,15,0
22,27,78,4
81,36,100,7
67,2,0,9
76,35,91,7
73,0,100,1
0,32,14,6
13,93,54,8
0,30,28,4
94,71,100,8
50,100,100,5
78,38,95,7
34,37,8,8
42,0,100,1
74,43,98,7
100,0,0,9
28,27,88,4
12,27,0,6
62,0,0,3
0,24,98,4
54,48,79,8
74,3,31,3
100,30,50,1
74,0,0,9
66,27,100,7
28,55,78,8
37,19,100,2
100,19,0,9
57,1,17,3
46,4,8,1
72,0,0,3
36,1,100,1
72,22,100,7
17,99,100,5
79,100,0,0
76,6,100,2
39,39,100,7
0,40,39,6
54,35,45,4
45,25,8,9
0,61,79,0
48,9,100,2
5,29,10,6
27,13,0,5
33,0,2,3
100,26,17,1
7,92,100,5
92,29,46,1
82,33,59,4
30,0,100,2
65,39,55,7
64,60,100,8
21,17,0,6
73,45,100,7
55,5,0,5
65,7,0,3
47,22,88,9
16,74,65,0
84,93,100,5
10,44,1,6
79,5,100,2
61,50,100,7
69,0,3,3
0,23,100,4
62,0,100,2
65,51,0,8
8,20,17,6
0,20,39,6
65,100,100,5
4,100,100,5
67,0,0,3
30,0,0,3
21,85,43,0
100,18,45,7
0,32,0,6
69,0,0,3
53,42,100,7
43,0,0,5
13,33,70,9
100,25,25,1
52,42,100,7
18,39,57,4
80,0,0,3
0,32,1,6
98,0,100,1
0,30,80,4
73,31,87,7
69,39,64,7
33,28,56,4
63,45,69,4
61,4,100,2
74,40,79,1
78,100,10,8
46,0,0,3
0,26,54,4
41,5,100,2
13,30,0,6
88,21,0,1
92,13,0,9
61,16,100,2
44,30,86,9
100,21,65,3
6,34,0,8
100,25,0,1
0,29,98,4
33,94,24,0
76,34,100,7
40,6,0,3
100,20,8,7
68,34,100,7
27,42,53,9
67,0,0,3
53,30,100,7
63,0,100,2
40,11,100,2
81,33,45,4
41,28,97,9
0,25,18,6
32,90,53,0
49,93,30,0
100,13,16,7
67,11,100,2
3,33,71,4
61,36,100,7
70,0,0,3
77,22,34,4
100,25,36,1
53,47,100,7
12,22,0,6
42,2,0,5
1,21,0,6
75,100,0,0
68,0,0,3
26,96,100,5
15,27,76,4
99,26,97,1
100,25,26,1
79,17,0,9
89,0,0,9
78,7,0,1
85,2,0,3
25,48,0,6
94,3,54,1
57,1,100,1
58,95,11,0
68,4,0,9
13,88,16,0
100,0,0,3
39,0,100,2
0,0,25,5
55,100,100,5
100,24,88,1
68,17,100,2
23,100,0,8
0,36,19,8
75,0,0,3
96,53,100,8
94,23,68,1
5,25,66,4
59,94,100,5
42,9,100,1
63,16,0,5
21,95,30,8
11,16,0,9
0,28,80,4
51,100,23,0
75,9,25,3
56,0,0,3
91,86,64,9
45,43,18,9
60,26,31,4
4,42,0,6
15,74,61,0
38,8,9,3
100,18,20,7
84,0,0,3
100,25,20,1
100,24,57,1
15,47,0,8
100,25,46,1
73,39,100,7
9,66,51,0
68,2,8,3
26,32,30,9
0,14,32,9
17,100,100,5
90,95,0,0
67,20,100,2
52,100,100,5
93,7,0,3
35,9,100,2
85,6,0,1
100,30,60,1
67,34,55,4
70,0,0,3
67,30,0,4
45,1,100,2
100,24,82,1
51,99,0,0
56,0,100,1
27,5,100,2
63,0,100,2
8,0,0,8
10,31,0,6
98,24,80,1
68,57,100,8
78,98,0,0
50,35,43,4
38,15,100,2
78,11,78,2
0,38,11,6
37,30,96,4
66,0,6,9
3,0,0,9
85,48,5,8
57,31,88,4
79,0,0,3
11,30,40,0
17,33,56,9
56,94,40,0
36,9,100,2
83,20,0,1
47,34,86,4
95,0,0,9
64,41,100,7
100,28,36,4
41,1,100,2
57,40,100,7
41,100,100,5
100,25,51,1
60,86,5,0
22,100,24,0
57,86,100,5
100,17,77,1
72,91,100,5
59,4,100,2
61,7,100,2
46,0,12,3
6,28,93,4
51,0,0,9
79,5,100,1
44,50,100,8
5,33,6,6
30,32,83,9
59,91,18,0
19,31,0,6
74,0,0,3
25,0,0,9
88,35,100,7
62,39,94,7
56,99,100,5
0,28,32,9
67,23,89,7
0,27,24,9
37,0,0,5
100,23,93,1
0,20,9,9
61,2,0,3
69,0,31,8
57,57,100,7
18,100,100,5
90,33,62,1
89,31,98,7
69,32,0,8
87,9,0,1
2,20,70,4
36,6,0,5
86,5,0,3
27,100,0,8
42,94,100,5
95,29,39,1
91,100,20,8
53,4,22,3
44,33,64,4
59,48,100,7
74,10,100,2
