@relation penbased

@attribute At3 numeric
@attribute At5 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At15 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,4,46,27,18,86,0
5,0,49,33,8,57,0
8,19,71,36,0,73,0
0,17,58,35,23,73,0
2,19,65,29,16,93,0
0,8,60,31,7,78,0
20,54,96,66,0,52,0
7,49,87,78,16,20,0
0,19,61,30,29,83,0
6,0,30,6,26,88,0
0,13,66,44,9,78,0
0,9,46,24,39,97,0
16,0,12,0,92,100,0
16,0,15,10,44,83,0
0,36,84,60,10,44,0
0,7,59,29,8,69,0
0,26,80,51,27,29,0
0,9,66,36,39,60,0
12,0,24,4,60,100,0
3,31,76,61,14,38,0
0,11,56,17,34,45,0
18,0,20,2,66,90,0
0,31,84,50,3,52,0
23,0,15,19,47,100,0
4,0,42,25,13,83,0
53,12,0,0,92,90,0
20,0,34,18,16,86,0
9,0,44,22,15,88,0
47,5,0,0,85,97,0
92,49,11,27,100,57,0
13,13,59,34,0,67,0
16,0,27,12,51,100,0
0,11,65,41,9,69,0
3,40,81,66,0,54,0
6,0,46,22,21,88,0
5,0,38,20,17,74,0
0,6,49,23,47,73,0
6,22,69,37,0,80,0
32,66,100,59,0,78,0
5,32,75,60,0,62,0
16,52,91,65,0,65,0
0,25,73,35,0,84,0
3,39,78,54,17,75,0
0,28,74,37,12,73,0
0,20,68,31,26,75,0
0,31,77,60,3,51,0
0,1,46,21,15,92,0
0,22,77,57,28,56,0
0,1,44,24,21,70,0
21,0,10,0,79,90,0
18,0,11,0,64,96,0
0,4,55,36,21,46,0
43,8,0,0,79,100,0
15,10,56,31,0,70,0
0,6,58,30,11,74,0
2,12,60,35,0,60,0
12,19,67,36,0,39,0
34,0,9,0,51,94,0
1,12,69,48,0,54,0
20,0,17,1,36,100,0
2,0,43,26,12,86,0
0,8,69,58,13,25,0
6,51,95,72,0,52,0
0,1,57,30,7,72,0
0,11,52,14,11,85,0
15,58,99,65,0,60,0
9,0,45,24,19,83,0
57,12,0,4,94,67,0
6,16,65,40,0,57,0
4,0,32,24,30,85,0
10,0,32,20,39,98,0
0,7,51,30,18,88,0
17,0,35,23,44,91,0
0,4,49,24,5,95,0
9,0,29,17,21,89,0
9,42,78,41,8,70,0
4,2,63,49,0,20,0
11,0,42,27,20,75,0
0,1,38,20,36,100,0
17,58,90,65,0,75,0
0,16,74,57,2,33,0
0,5,70,49,13,30,0
7,0,45,30,11,88,0
15,0,21,0,37,100,0
0,24,69,44,13,86,0
11,34,87,67,0,24,0
10,0,44,23,8,100,0
0,13,60,28,18,92,0
5,39,81,63,0,65,0
12,35,83,57,0,52,0
22,60,92,78,0,51,0
19,0,15,0,61,96,0
10,0,34,15,18,100,0
12,19,62,30,0,66,0
18,0,36,23,19,74,0
0,30,67,27,39,73,0
0,40,83,62,11,53,0
0,11,61,44,14,70,0
2,39,90,71,10,43,0
0,15,54,19,45,100,0
14,50,93,57,0,67,0
0,13,61,30,13,86,0
16,0,24,14,12,82,0
78,30,0,1,84,79,0
12,52,92,63,0,62,0
0,25,71,43,5,69,0
0,22,71,48,1,33,0
0,4,48,24,26,100,0
0,30,81,38,16,68,0
0,0,51,34,12,77,0
24,0,22,20,31,76,0
0,30,80,54,7,50,0
16,0,21,7,33,100,0
6,0,46,34,19,78,0
2,13,70,43,0,63,0
22,0,31,28,7,71,0
16,0,37,29,31,92,0
18,0,33,22,32,100,0
7,0,34,12,62,100,0
1,0,40,28,7,88,0
8,49,93,65,0,57,0
5,8,64,35,0,83,0
8,42,89,59,0,62,0
33,0,2,5,36,73,0
6,0,49,29,21,76,0
12,0,28,22,44,89,0
0,39,84,53,12,59,0
1,0,37,15,44,100,0
0,6,47,17,27,100,0
0,28,80,67,3,35,0
18,49,86,50,17,77,0
0,7,64,35,7,69,0
31,1,0,0,68,99,0
14,0,24,12,36,100,0
2,0,45,25,19,67,0
11,0,50,29,15,72,0
0,18,64,44,16,79,0
30,50,88,45,0,87,0
95,46,11,26,88,62,0
6,40,78,62,0,84,0
4,0,41,19,32,100,0
0,14,70,41,10,59,0
3,43,78,57,17,78,0
9,0,36,14,32,100,0
2,0,33,14,33,100,0
12,40,81,55,0,75,0
0,39,82,54,26,65,0
80,23,0,0,23,73,0
0,8,65,45,5,64,0
0,11,66,35,9,69,0
14,38,79,66,0,44,0
10,0,50,35,9,67,0
14,28,78,56,0,64,0
13,0,27,10,14,99,0
30,0,2,0,79,98,0
0,18,67,30,13,75,0
7,0,45,21,9,88,0
9,0,41,26,17,92,0
0,7,39,7,69,95,0
0,16,67,34,6,77,0
1,41,100,63,4,28,0
0,13,63,30,13,80,0
18,40,89,54,0,57,0
0,16,67,46,14,67,0
0,33,77,60,0,73,0
27,55,90,77,0,40,0
9,28,74,38,0,80,0
0,29,74,41,16,84,0
0,19,67,35,3,89,0
24,0,19,6,44,100,0
22,0,37,21,30,73,0
13,31,75,40,0,79,0
32,0,2,0,88,86,0
24,0,13,3,55,89,0
20,37,87,56,0,60,0
0,38,77,55,9,74,0
14,0,32,14,25,99,0
22,0,22,8,37,99,0
29,0,1,0,78,82,0
1,9,58,31,0,81,0
0,48,100,71,22,31,0
51,3,0,0,54,84,0
24,0,8,0,14,69,0
15,0,24,8,49,89,0
9,51,96,63,0,55,0
20,26,65,27,0,79,0
1,9,63,38,0,70,0
12,18,73,45,0,67,0
17,49,89,63,0,67,0
17,0,38,21,32,89,0
23,39,85,49,0,67,0
8,3,41,27,0,74,0
3,11,71,57,0,11,0
6,0,48,31,18,62,0
15,0,23,6,47,91,0
16,0,5,1,5,67,0
5,0,40,18,3,67,0
29,0,2,0,51,77,0
0,6,71,52,6,32,0
0,46,100,100,34,22,0
2,25,75,59,0,71,0
5,19,68,35,0,78,0
0,8,65,47,7,67,0
24,60,90,71,0,63,0
0,14,70,53,19,62,0
0,30,83,60,7,28,0
20,0,26,14,36,100,0
0,20,66,30,13,77,0
0,9,61,34,5,73,0
0,27,71,49,24,65,0
13,0,37,10,6,97,0
0,14,61,30,14,98,0
70,24,0,0,91,75,0
0,26,67,41,21,65,0
58,16,0,0,53,89,0
0,19,76,40,7,73,0
0,10,63,32,7,80,0
2,29,100,95,6,21,0
28,40,79,44,0,87,0
0,44,92,64,0,52,0
0,28,72,45,16,75,0
61,0,8,32,8,8,0
0,5,69,50,11,39,0
0,17,66,35,2,78,0
10,0,33,8,27,97,0
0,22,71,49,17,41,0
26,0,15,12,62,100,0
0,31,82,46,3,58,0
0,25,76,52,0,51,0
15,0,34,21,26,83,0
18,29,78,38,0,65,0
21,0,5,0,79,100,0
0,34,84,61,14,45,0
11,0,28,4,32,92,0
0,22,72,43,7,48,0
15,1,46,27,0,84,0
22,0,65,73,41,37,0
0,38,90,64,16,34,0
0,19,65,30,24,81,0
58,10,0,0,45,81,0
2,24,74,43,0,65,0
21,46,91,66,0,42,0
14,0,12,0,79,95,0
0,25,78,53,13,55,0
45,9,13,22,0,68,0
21,0,11,6,45,88,0
7,42,90,62,0,55,0
5,0,35,18,33,96,0
9,0,29,6,24,96,0
16,69,100,84,0,22,0
30,65,95,72,0,61,0
1,0,51,30,6,84,0
3,0,50,31,22,44,0
10,0,49,48,7,44,0
21,0,12,6,44,90,0
18,0,11,0,85,96,0
0,29,69,26,17,94,0
17,55,88,61,0,84,0
48,24,56,43,0,21,0
2,0,41,9,23,89,0
0,39,100,79,23,21,0
25,0,26,19,22,73,0
52,6,0,0,89,79,0
21,13,53,24,0,88,0
30,1,0,0,86,89,0
43,77,100,86,0,52,0
0,25,71,39,10,76,0
0,14,63,31,16,84,0
42,0,52,70,21,7,0
5,0,44,23,19,89,0
8,0,40,29,15,75,0
15,47,93,50,0,68,0
14,0,28,0,48,100,0
27,0,12,15,38,93,0
11,0,33,17,43,91,0
16,0,20,13,37,85,0
0,17,64,29,4,87,0
18,0,21,0,57,100,0
5,0,40,19,15,94,0
1,0,62,48,8,20,0
0,6,53,28,6,90,0
79,34,4,13,85,61,0
8,0,42,26,16,84,0
25,0,22,17,33,91,0
73,25,0,11,98,68,0
9,0,24,19,21,78,0
0,12,63,36,1,79,0
9,13,60,33,0,82,0
0,22,58,25,44,89,0
21,29,72,40,0,65,0
0,13,51,22,34,98,0
9,16,67,50,0,70,0
3,33,75,48,12,48,0
22,0,2,0,63,80,0
0,13,79,61,10,29,0
0,44,87,64,20,48,0
25,0,6,0,85,100,0
4,0,39,16,17,100,0
0,1,29,16,20,82,0
11,0,62,44,10,49,0
0,41,77,80,11,20,0
0,40,83,65,15,50,0
18,0,15,8,50,82,0
1,0,44,22,17,84,0
0,29,81,66,26,28,0
20,0,28,23,26,80,0
21,60,89,75,0,63,0
23,0,18,0,32,100,0
0,7,61,44,7,36,0
13,0,30,19,36,98,0
0,10,61,31,4,83,0
19,57,95,68,0,48,0
14,63,100,80,18,16,0
23,0,2,3,61,100,0
1,0,38,16,51,100,0
0,17,62,25,21,86,0
1,23,72,34,0,83,0
16,0,28,15,40,95,0
27,1,24,23,0,58,0
0,35,84,67,11,24,0
6,0,30,4,24,98,0
0,37,81,68,0,45,0
0,11,60,30,11,92,0
46,14,0,0,83,85,0
10,46,88,76,0,25,0
2,15,62,30,0,92,0
24,36,82,48,0,63,0
0,15,53,18,36,79,0
0,33,77,44,12,67,0
2,21,67,45,21,68,0
16,0,18,0,44,98,0
19,66,100,78,0,29,0
0,10,62,30,0,75,0
28,0,18,23,23,75,0
0,7,56,26,15,84,0
0,0,32,0,36,84,0
0,25,68,35,13,75,0
28,6,23,13,0,88,0
8,0,51,28,8,86,0
10,7,56,31,0,61,0
17,0,18,4,35,83,0
6,0,34,12,41,100,0
19,0,20,5,50,88,0
0,2,40,20,37,100,0
0,13,62,30,3,77,0
0,6,57,33,30,66,0
20,0,22,0,57,100,0
45,71,100,71,0,63,0
0,22,66,35,13,51,0
0,1,55,28,18,75,0
0,31,79,71,7,32,0
26,0,16,0,48,100,0
3,37,79,54,0,80,0
12,49,92,60,8,60,0
35,78,100,100,0,20,0
14,0,18,6,49,100,0
0,42,92,58,0,62,0
8,12,67,56,0,41,0
0,7,51,14,29,55,0
19,6,55,34,0,69,0
7,0,23,6,46,95,0
11,45,80,52,16,83,0
0,31,78,51,8,66,0
31,0,15,0,44,94,0
17,0,29,27,33,79,0
9,40,86,56,0,67,0
8,0,50,30,23,64,0
0,5,50,25,13,48,0
3,0,55,34,4,65,0
0,18,58,25,32,96,0
19,49,92,70,0,42,0
8,0,28,10,61,86,0
7,0,26,6,36,100,0
10,19,66,37,0,81,0
