@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.307,1.272,-0.946,0
0.229,1.748,0.259,0
0.655,1.054,-0.724,1
0.316,1.36,-0.624,0
0.533,2.581,-0.227,0
0.482,0.917,-0.835,1
0.967,2.225,-0.145,0
0.42,2.394,0.675,0
0.218,0.659,2.194,1
0.871,0.961,1.132,1
0.328,1.09,1.063,1
0.508,2.937,0.263,0
0.269,1.13,-0.786,0
1.195,-0.837,0.144,0
0.089,0.616,1.569,0
1.235,1.996,0.21,0
0.387,0.474,2.735,1
0.267,0.727,1.807,0
0.181,0.479,-0.925,1
0.251,1.067,0.472,0
0.155,0.453,2.089,0
0.192,0.638,0.73,1
2.01,1.07,-0.085,0
0.432,0.615,-0.682,1
0.227,1.064,1.11,0
0.164,0.556,2.022,0
1.176,2.074,0.254,0
2.918,0.994,-0.148,0
0.268,1.599,0.28,0
1.086,1.163,-0.118,0
0.656,3.296,0.722,1
0.536,2.885,0.451,0
0.131,0.316,-0.883,0
3.483,0.479,0.108,0
1.929,0.828,0.163,0
0.576,0.551,1.163,1
0.721,1.473,0.746,1
0.405,3.056,-0.304,0
0.836,2.717,-0.364,1
3.684,0.362,-0.07,0
2.146,0.439,0.129,0
0.204,0.567,-0.649,0
0.414,0.577,1.104,1
0.695,1.923,-0.128,0
0.247,0.645,1.719,0
0.338,1.087,-0.824,0
0.106,0.387,0.639,1
0.356,1.13,-0.678,1
2.733,0.493,0.082,0
0.374,1.254,0.576,0
1.518,1.411,0.135,0
3.237,0.521,-0.263,0
2.328,0.582,0.077,0
1.31,2.463,-0.148,0
0.316,1.385,-0.401,0
0.181,1.783,-0.661,0
1.203,2.741,0.313,0
2.099,0.889,0.09,0
0.159,0.356,1.763,0
0.315,1.213,1.048,1
0.576,2.703,0.599,0
0.58,0.542,0.834,1
0.406,2.574,-0.413,1
0.307,2.782,-0.206,0
0.52,0.985,1.072,1
0.977,2.536,1.041,0
0.635,1.011,1.184,1
0.14,0.312,0.351,1
0.178,0.698,0.776,1
0.108,0.412,1.09,1
0.261,0.593,1.203,0
0.771,2.585,0.426,0
0.399,0.66,-0.691,1
0.4,1.025,-0.789,0
0.23,1.749,0.34,0
3.542,-0.331,0.077,0
-0.095,-0.39,1.812,1
0.098,0.693,0.912,1
1.126,2.136,-0.165,0
3.393,0.377,-0.077,0
0.289,1.235,-0.661,0
0.531,3.435,-0.239,0
0.45,0.721,1.228,1
0.647,3.212,-0.223,0
0.339,1.148,-0.623,0
0.436,2.561,0.802,0
0.298,1.666,1.471,1
0.912,0.791,1.416,1
1.472,0.728,0.112,0
1.766,1.457,0.27,0
2.544,0.78,0.243,0
0.205,0.549,1.773,0
0.273,1.758,0.332,0
-0.174,1.629,0.648,0
2.619,0.853,0.091,0
2.954,0.951,0.326,0
1.067,2.209,-0.142,0
0.953,0.741,0.956,0
0.595,1.653,0.205,0
0.459,1.882,-0.157,0
0.823,2.79,0.299,0
0.33,1.209,-0.73,0
0.2,0.591,0.632,1
0.219,0.695,1.107,1
1.577,1.626,0.399,0
0.158,0.281,1.072,0
0.657,0.49,2.008,0
2.348,0.283,0.163,0
0.191,0.519,2.156,0
-0.235,-0.709,-1.135,1
0.308,2.052,0.273,0
0.158,0.475,0.778,0
0.592,2.457,-0.173,0
0.706,2.348,-0.378,0
0.234,1.176,0.714,1
0.325,0.806,1.262,0
0.243,1.017,-0.814,0
1.858,2.149,0.27,0
0.142,0.573,1.693,0
3.17,0.529,0.172,0
0.46,1.211,-0.501,1
0.273,1.623,0.226,0
1.906,-0.347,-0.09,0
0.768,1.512,0.469,1
1.851,0.249,0.097,0
0.499,0.351,1.423,1
0.534,2.408,0.345,0
0.841,2.174,0.206,0
0.09,0.311,1.454,0
0.257,1.277,-0.605,0
2.426,0.954,0.116,0
2.88,0.332,0.084,0
0.233,0.685,2.078,1
0.062,0.23,0.579,0
0.849,1.656,0.186,0
2.761,0.661,0.084,0
0.384,1.835,0.334,0
0.15,0.408,2.115,0
-0.126,1.2,-0.545,0
2.555,-0.242,0.188,0
0.199,1.328,-0.314,0
0.111,0.44,2.262,0
0.43,3.32,-0.24,0
0.213,0.605,0.623,1
0.391,1.762,-0.448,0
0.395,0.914,-0.813,0
0.1,0.408,0.75,1
0.763,1.677,-0.14,0
0.996,1.283,-0.108,0
0.609,1.765,0.905,0
0.256,0.594,2.069,0
-0.165,0.458,1.811,1
2.99,0.309,-0.171,0
