@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R8,18-21'

@attribute A8 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-1954,-2612,-473,68,0
-64,701,184,803,1
-174,1061,-792,-96,0
149,2676,484,866,1
1678,-638,-1745,884,1
1673,1226,-412,66,0
-1271,519,434,-906,1
-19,1163,153,52,1
-1126,-2042,2629,85,0
607,1519,231,651,1
3642,-761,-2901,2671,0
1731,-36,502,338,1
8,1265,774,-1516,0
2227,2852,3198,734,0
28,-274,-9,1634,1
-118,1208,-1032,2,0
2312,-3562,1521,-2672,0
1935,808,674,-33,1
-668,637,133,9,1
415,2854,-16,238,0
817,-1017,283,1198,1
553,1922,1113,15,1
929,-16,1481,954,1
-117,1831,182,655,1
609,363,1202,72,1
-359,992,-1317,132,0
236,1248,1224,-81,0
-5175,-1685,-392,384,0
1097,974,124,648,1
1174,-349,47,1746,1
1247,-477,519,1498,1
1841,254,-995,-927,1
675,-3297,-453,-1553,0
1592,768,-1717,-1333,0
-428,-91,3456,-504,0
-58,389,-1634,-123,0
1234,264,1996,-619,0
1748,11,1301,196,0
-1557,2498,522,-1117,1
1715,1799,1073,4,1
47,1726,1212,501,1
294,-1085,-171,-2835,0
1504,2278,1471,666,0
-91,3253,-1308,-3126,0
1641,1329,-3194,118,0
-453,1258,-1185,-356,0
149,34,633,-1,1
782,-353,-993,2304,1
2124,-386,161,-3491,0
-1402,-144,-1613,-2297,0
698,-1278,1131,712,1
2278,-68,-216,3437,0
1182,158,-95,2153,1
586,1213,622,-3476,0
349,62,-1348,225,1
1867,78,-1082,983,1
2913,-3552,337,1244,0
1804,469,318,15,1
-634,-349,-255,2829,0
1226,-264,2658,1708,0
-2445,-151,-258,2162,0
503,1145,1441,-128,1
-11,917,204,601,1
1001,-1033,-2828,1302,0
-1207,-134,2666,489,0
2312,-821,-515,-13,0
1756,-1254,607,642,1
-607,-881,366,1376,1
1798,426,161,-79,1
2008,697,-59,-413,0
665,-652,-604,2007,0
21,1689,-2584,-586,0
-1581,-2464,13,165,0
2476,672,15,689,1
-1171,243,-2046,822,0
462,926,-386,456,1
-2619,1414,-216,2603,0
-2147,192,-53,-1745,0
-2885,-156,1596,1846,0
433,-124,1714,636,1
1328,113,-2783,-3456,0
961,-1912,201,-556,0
528,-338,-725,1314,1
-121,1967,1542,1948,0
4066,-1456,-301,418,0
63,3145,2795,562,0
944,-18,-396,586,1
2091,-1096,-494,-1782,0
-979,-514,-1548,-46,1
665,3237,-3698,649,0
1124,-2529,1755,-3069,0
-218,1592,117,2072,0
281,-5141,-2215,132,0
-26,-1358,-635,1221,1
1394,653,567,1711,1
1008,641,48,476,1
-73,-209,2429,-4051,0
265,-1962,2082,-264,0
1352,1026,1246,21,1
644,335,8,271,1
528,1122,-64,314,1
-835,1307,277,-2188,0
703,758,479,364,1
-9,784,-844,-886,1
228,-744,2354,666,1
2653,2062,758,-106,1
3049,1523,-191,587,1
193,226,-123,1136,1
2157,-3152,1111,254,0
-902,3748,-1285,-2544,0
899,174,1777,214,1
-3953,675,632,466,0
-3776,3563,-3132,869,0
1395,884,397,213,1
1414,2946,173,232,0
504,369,451,1028,1
-1302,268,-1398,-1219,0
3024,1498,29,2108,0
119,-2115,-922,-397,0
291,1322,-948,-2312,0
463,626,1426,626,1
