@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R1,12,14,16,19,21'

@attribute A1 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-636,1538,-993,114,-517,0
-942,175,2669,5,1036,1
-623,1191,956,1967,859,1
-2564,-1382,2082,-1261,-559,0
1753,-226,-1,913,-146,1
516,-1686,1505,233,1258,0
9,771,494,-2694,1201,0
-1888,17,2577,-1081,-834,1
457,128,1264,986,1656,1
711,-74,3263,-2682,3691,0
1185,-1312,-3186,-203,-993,0
635,1062,-1335,644,-496,1
1274,2261,-1728,839,231,1
-3211,56,-1338,3502,-205,0
-965,939,138,685,1685,1
-2365,-3271,-247,2217,-65,0
764,-1218,1088,2874,-218,0
-47,33,1452,323,-1,1
282,-2527,1665,-292,-871,0
-1622,-12,-485,1385,114,0
-687,1101,1111,-509,276,1
153,-1011,1243,132,2044,1
286,-848,463,-1285,1015,0
-152,1463,143,-63,5,1
1518,2155,325,-25,-2002,1
-568,-358,-1968,2209,-603,0
979,736,762,-856,-15,1
2088,-3113,2928,-924,-1878,0
922,-2837,-816,-281,4156,0
67,979,-394,1425,-107,1
-2272,1179,-1297,-849,-275,1
217,252,1363,-7121,-361,0
-261,358,1383,1783,-411,1
-915,-3132,-3006,2419,1013,0
1804,-1583,-1322,1923,-4012,0
146,1664,297,1502,583,1
5412,705,-313,-244,-1102,0
375,536,144,468,1287,1
2177,381,103,-866,-1143,1
1435,807,3042,-258,-931,0
1014,1732,2876,2469,499,0
-3315,1973,-1422,-1824,1539,0
3465,-6009,-1628,-419,1057,0
164,2614,6,94,695,1
129,-257,-1383,-409,252,0
-407,686,-133,2648,-762,0
137,352,-396,781,-403,1
118,3046,2966,318,-2556,0
-408,-1573,26,-108,1066,0
114,-2366,612,2378,-1358,1
1054,391,908,-158,62,1
-939,-2384,558,-3475,-582,0
-564,896,312,1159,2093,1
-2553,1655,-245,469,-25,0
-1072,1057,552,-234,145,1
-1605,2366,-1126,129,-261,0
1885,2494,1048,-584,-38,0
852,-538,573,-1766,-29,1
191,-2332,6493,-1438,-5906,0
445,11,-1406,-58,782,1
-65,-64,-1829,256,834,1
-394,1702,18,1287,175,1
1234,1863,-1174,992,507,1
415,1172,1832,1499,422,1
472,-1022,1754,557,-1087,1
27,-1408,1135,-1119,2614,0
2065,2185,652,-4514,117,0
1731,2356,1403,1229,-38,1
-61,219,-535,1606,1446,1
341,-886,21,-14,48,1
-2204,149,2664,-299,-28,0
-2637,-797,-104,-1774,2,0
-66,1714,1989,115,72,1
306,-1699,-517,-153,1871,0
-2816,1391,3584,1968,-2274,0
231,1113,14,1674,3101,1
1738,1064,2406,5,1471,1
94,1442,-493,-1746,-2703,0
-3027,504,603,71,352,0
998,-107,-1678,-1804,-684,0
-5793,583,-1471,-2054,-1708,0
978,-63,578,2316,526,1
201,-44,1433,-314,1156,1
-22,4,1816,691,129,1
1729,-405,3344,258,-864,0
442,678,2344,1117,905,1
-1554,366,-842,-1042,677,1
-449,3334,699,-1739,2318,1
-36,3741,2739,-357,772,0
2361,-808,2526,1034,-514,1
-2875,2719,42,1022,305,0
1006,-9,2347,81,-552,1
302,161,148,734,139,1
-947,1293,581,786,1505,1
1264,-1121,-244,837,1425,1
1634,-951,492,-842,535,1
134,1204,629,-467,1196,1
-1994,-118,598,1445,1288,1
-1845,-367,4017,1419,-1703,0
-543,482,2226,161,4533,0
16,-96,538,1872,-111,1
603,958,1612,98,-1625,1
235,48,266,-501,1143,1
926,-188,-3916,4298,-2175,0
1856,231,-71,279,1342,1
297,-516,1559,-766,-261,1
-28,-529,592,962,-108,1
463,813,1833,1266,1033,1
-889,1699,-1318,1898,-4647,0
-1046,-1022,481,2401,1428,1
-185,-114,1645,-24,-1646,0
507,1408,381,756,-1266,1
188,1224,1985,-139,193,0
-472,1115,73,-32,316,1
139,-295,177,-388,1603,1
271,-137,-584,-1162,-101,0
291,-6,-2197,3629,-384,0
263,1693,731,499,-1095,1
1831,2467,-1015,3403,-1259,0
-1822,-78,1152,445,625,1
-1853,1384,1552,341,-541,1
2105,1965,-54,-525,-1,1
-36,-2428,521,1949,1754,1
997,-107,-919,-239,-923,1
-3699,1419,3762,-2412,-2298,0
1303,27,-2166,904,1141,0
-1358,-2492,-255,974,-2784,0
108,-337,258,598,-513,1
1821,4578,1213,2865,-524,0
-2156,2092,-559,-479,1416,0
66,-2425,-494,-729,-1255,0
919,2877,1218,-1357,227,1
1525,1564,1674,638,693,1
36,-1877,-42,924,1909,1
939,-1541,89,-1205,-3072,0
-323,-555,1051,245,925,0
971,373,449,795,-436,1
-1357,14,349,1295,1632,1
1725,-1813,127,-936,-804,1
1949,-759,-1929,-3722,-968,0
-1194,-623,1486,-404,789,1
1046,-649,-1223,1853,872,1
1153,1004,138,1048,-719,1
2059,1593,-2317,-3926,283,0
142,-2283,336,3589,-123,0
-147,98,3126,706,-1327,0
904,-2536,1769,-2473,1146,0
-1451,-1309,-611,-519,-125,0
731,68,-516,1266,-306,1
-1439,1045,-394,521,1411,0
55,616,-692,1197,386,1
-284,475,-41,1453,26,1
-1212,92,-263,1592,-2541,0
-2325,336,-67,-85,-1541,0
-3749,-2015,991,1038,135,0
794,-461,-3283,956,4363,0
-321,108,257,837,-32,1
