@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R7,11-12,15,20-21'

@attribute A7 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-1227,-111,1063,-744,-477,1
861,481,952,1219,-112,1
-1563,606,34,24,718,1
3324,-418,1135,-634,-547,1
-1,-74,-3299,281,1095,0
-1738,3709,848,948,-1026,0
1043,623,-127,-322,19,1
1427,-1789,-828,117,735,0
829,-29,413,1383,1178,1
2224,1035,-97,28,-374,0
2924,216,2246,4215,-1862,0
-1519,1453,853,191,-27,1
1331,131,154,-1073,585,1
67,603,1032,281,2559,1
1362,64,799,1822,989,1
189,4217,1649,715,-643,0
-247,1776,13,-855,-1108,1
-132,-1308,-926,1212,2338,0
1324,-1038,715,302,114,1
-26,436,1405,5,1203,1
-2005,1706,101,-52,-1357,0
-704,-412,-915,-12,255,1
7,1733,-181,273,612,1
-841,584,741,-1833,876,1
155,-1769,-1435,-1666,263,0
-201,2095,1437,259,1296,0
-1944,-2027,-1802,949,-288,0
3157,-155,246,88,-996,0
2076,1675,-15,286,2449,1
-1831,1426,-82,-3498,111,0
531,734,676,717,1267,1
-827,-3042,-352,-335,-1,0
1257,1634,697,1293,-224,1
961,-78,-1036,985,192,1
2574,4105,-1728,-219,1687,0
-9,-25,918,-9,2078,1
784,434,-1853,1156,-302,1
2602,1842,231,204,-961,1
2076,1837,187,26,813,1
593,-719,-16,1081,-711,1
-1972,-138,-3752,62,-2,0
122,1493,-988,-831,-2058,0
589,1151,642,2,1837,1
13,-663,769,643,2131,1
-4306,-28,-3495,472,3064,0
3238,-2825,2401,1349,-2713,0
-2146,1593,-94,-886,-35,0
608,776,3898,1054,-1812,0
-1216,-505,887,713,-2,1
-707,1652,982,372,-13,1
-992,965,-82,-107,54,1
-4457,1155,2055,485,-1319,0
-4933,2566,1134,1032,-641,0
3923,2458,1083,-962,-137,0
2143,-684,-148,-3108,3078,0
745,-846,-3926,3046,-2086,0
-537,1314,293,1258,1118,1
56,1553,1444,1352,532,1
605,73,-3103,-1416,1375,0
-3702,2008,243,531,1883,0
633,816,-92,2263,45,0
-2064,162,-1129,-422,2326,1
68,1234,902,-539,-352,0
-293,-1215,-959,-733,-978,0
12,1278,1006,-219,1133,1
907,1071,-607,56,691,1
3013,-2169,-16,316,405,1
-225,-172,-1023,-2017,4085,0
-1009,845,-709,-222,-505,1
-4058,4555,-766,-2,-438,0
922,348,1102,105,547,1
-46,-2667,-333,1407,68,0
403,585,1203,1807,-13,1
5643,3358,1257,-1053,909,0
-2496,6,-1291,-5012,1767,0
-358,-503,1879,1544,1224,0
1309,82,-759,-997,-3128,0
1344,713,-321,554,1271,1
1171,1994,1376,1521,-507,0
405,-1059,-1054,1076,-1114,1
1282,334,991,-54,-1362,1
-259,375,1543,-2098,1095,0
2087,-41,-467,628,-245,1
777,-1023,163,459,425,1
-28,-1018,-209,-365,768,1
2967,145,463,2395,644,1
1043,1543,36,-337,-1061,1
2221,-365,953,-74,-824,1
1192,684,-1205,1,-195,1
13,2,864,39,-605,1
371,478,-3354,-2732,995,0
-306,1356,-2292,2096,145,1
19,341,1998,113,115,1
-228,3573,-44,-437,-3822,0
909,-45,1122,61,-158,1
5459,3656,2282,-463,-618,0
93,1075,-2926,-292,-1275,0
1324,-824,-89,1524,1613,0
-1836,-873,673,-728,2125,0
-58,1139,3158,1172,1132,1
41,222,1118,2345,452,1
-121,-596,-18,1414,1791,0
2826,-1348,1078,1799,-263,0
244,-394,746,-1584,227,0
-7,-1881,-1358,-88,75,0
-4486,57,-341,-909,-183,0
-2364,3333,-9,-1766,722,0
-409,1208,-222,1086,-149,1
-2114,-5033,-1706,1276,661,0
-2727,-97,2453,-306,1377,0
354,168,-63,-1623,282,0
446,235,-665,-222,643,1
-294,-109,-2976,1874,-1067,0
935,1313,761,1734,-1995,0
411,595,52,1787,656,1
1632,2662,1154,852,3194,0
-1501,13,-3022,-105,1497,0
253,1662,2608,-578,53,1
-744,-1977,195,-626,-2177,0
-32,-518,406,404,9,0
3645,1317,3742,1074,798,0
1743,1613,-1424,1196,1905,0
-1869,94,-2034,-1728,1984,0
1929,3429,3949,-4394,639,0
-97,-118,-976,152,-229,1
196,421,-858,212,-35,1
3234,-1789,-461,1035,-3914,0
176,1132,2252,503,1148,1
738,-14,-737,1378,308,1
-382,-1922,1652,1659,-2043,0
1483,38,304,-1083,2572,1
399,599,3158,1388,704,1
-728,855,2046,-1271,993,1
1206,267,-39,899,-331,1
-1128,519,59,-1294,291,1
4474,408,248,-66,-486,0
1966,2874,-2236,2039,2711,0
-555,1308,2371,517,1244,1
961,2059,762,-2146,1357,0
1018,5,-218,1606,728,0
-1013,-41,-5289,-716,-1437,0
616,-83,1786,2348,2539,0
332,-188,-6,-1101,-1619,1
23,1678,1653,119,-227,0
2083,247,-562,917,21,1
-572,3226,2529,-1111,-2286,0
1554,1548,1275,1744,-493,1
-4636,774,-6,241,-1092,0
-378,44,1571,391,2449,1
738,1282,624,801,2051,1
849,468,1518,201,1127,1
175,-149,1286,1623,-247,1
137,51,3944,1725,-1832,0
-1683,751,1615,-854,369,1
47,183,-15,808,948,1
-674,-1177,-205,481,1046,1
107,2482,-544,115,-627,1
1525,412,-147,33,507,1
239,637,1075,229,759,1
-1347,-2002,-197,-63,-122,0
423,2328,546,-1268,584,1
3412,-965,-222,476,1892,0
302,496,-17,1842,884,1
-1696,868,-1176,-154,-1312,0
-3367,4452,-1568,1031,-1182,0
-869,894,-417,-9,1939,1
54,2197,544,-103,-1375,0
-3211,354,-2396,1222,-567,0
278,1116,1936,3441,-732,1
35,-361,364,1466,871,1
1457,1984,-104,128,-3194,0
-28,-56,1648,1186,7,1
826,588,635,725,42,1
791,421,47,-48,1775,1
-822,-1781,-1352,1528,-1464,0
-3359,2849,87,406,577,0
1303,87,1075,-285,256,1
-721,-839,284,-341,1185,1
81,304,-348,1828,2649,1
-188,495,343,1481,513,1
-293,-522,656,-57,1439,1
1109,95,-1414,1583,131,0
52,2931,-2748,954,163,0
-2562,113,665,164,424,1
1169,488,-684,-464,-524,1
-1718,1225,-74,-114,1618,1
-1499,223,334,631,14,1
-138,487,306,1809,117,1
103,-1095,-1395,64,1595,1
-238,-48,-188,739,-89,1
235,116,299,1795,-85,1
542,607,398,-882,466,1
-6715,2239,785,1095,-1133,0
382,-37,1303,-1121,184,1
-1172,-5604,-215,-2076,-1657,0
1246,1692,-1456,-1197,-122,0
593,854,-135,105,-1751,1
4261,6638,462,-2172,881,0
1241,96,1221,855,-1518,1
-3536,-1305,-865,1906,-1249,0
1423,-1739,-352,342,2634,0
-3152,1974,348,561,-1636,0
967,504,776,294,1604,1
-666,358,961,2014,902,1
63,1203,2093,199,-637,1
1306,1739,-1997,-741,1511,0
2084,26,473,501,-596,1
