@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R5-6,8,12,16,21'

@attribute A5 numeric
@attribute A6 numeric
@attribute A8 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute Class {0,1}

@data
2003,1117,136,112,1431,1
-1016,671,471,2375,-123,0
-2109,333,2762,2466,243,0
-2081,63,-1767,-4,1378,0
88,-259,-6164,-348,104,0
-249,-48,-101,1662,1318,1
3824,457,-537,-2523,-203,0
959,161,-66,652,656,1
-1195,888,-1535,-3302,-884,0
-24,722,-218,1747,239,0
-216,81,544,-45,-889,1
-268,-285,98,-542,869,1
-966,1767,-634,1221,1089,1
539,-2894,1056,-623,-1605,0
346,2059,1696,1219,372,0
-2045,-2029,-3457,-2332,-581,0
-1069,916,1056,235,652,1
1881,1601,546,893,566,1
223,146,-13,-1488,-235,1
1113,2572,-678,-1386,-1153,1
-162,-1806,-511,-266,-277,0
892,52,2051,673,-1234,1
3026,2746,-1267,-556,-2667,0
15,713,897,462,1052,1
839,51,2074,626,-975,1
155,3172,-458,-113,2164,0
-1915,-928,808,-1523,-1353,0
-302,-1486,1039,-5,-2292,0
-3177,682,-2795,1466,-1818,0
813,441,-585,-704,-37,0
-1131,2674,-139,-758,1709,0
165,-1956,-932,2489,1527,0
1449,-1788,1217,1466,39,1
-269,1407,-214,366,1974,1
537,1351,-2469,1657,1796,0
1831,-16,342,1733,959,1
-136,755,326,3609,-1202,0
2958,1655,-2698,-2168,1003,0
843,-659,-5,-444,-47,1
-22,-312,-132,2372,622,1
622,705,1169,925,204,1
1594,-276,-1617,-182,1333,1
-111,256,663,2025,642,1
1887,-1547,-84,-1335,66,0
1148,2438,247,44,-341,1
1158,-1108,-1495,1355,-766,1
-352,2826,-197,-882,439,0
1188,2615,-2903,-1222,2568,0
-511,-789,133,39,-695,1
-1066,12,-1014,-247,963,1
-1971,1179,-528,-1599,892,1
2292,3488,-793,-2737,3826,0
221,157,745,1785,184,1
1848,-3407,4222,1415,-511,0
-2332,2774,-3913,-102,2616,0
1555,-1004,1,8,52,1
-2545,3595,-246,1377,-904,0
1652,-1256,824,1314,262,1
704,2942,-2758,-1606,158,0
311,-1596,19,-416,1424,1
662,998,298,1629,2999,1
-646,-2661,-4506,6561,1075,0
-491,-482,1581,1834,-1317,0
1723,11,1713,66,253,1
-494,-682,871,4116,-1112,0
1101,-1417,-1353,911,81,0
2897,-2584,-4022,-1744,3165,0
2084,2942,2945,681,1116,0
1066,676,1129,1503,-688,1
81,-447,-525,2032,1241,1
602,-611,-274,-1868,763,0
2558,-967,948,71,-36,1
29,-954,257,-76,-1426,0
2486,-1161,1983,383,526,1
3296,319,-498,-2362,1895,0
824,-4141,154,-113,172,0
1737,-1096,-1816,5537,1119,0
-246,2535,2433,372,-2129,0
-736,549,-2523,2125,-78,0
-315,1204,-413,304,989,1
-1,44,-1277,262,1208,1
-2003,798,-354,-1762,-691,1
51,211,-33,6791,-2984,0
-4448,5624,798,-419,-1199,0
-706,648,31,-1828,-826,1
1054,3118,-2471,6352,946,0
1,1541,-1429,-357,439,1
-2092,-569,-2582,-764,-922,0
-3092,679,-2642,1132,2311,0
2038,354,824,-2605,233,0
-943,131,-357,547,-813,1
14,1789,1402,98,2916,0
3513,-591,-135,1044,-326,1
605,1933,668,2589,-519,1
141,-1046,1382,126,-44,1
6,-1208,204,221,-783,1
1616,1911,2812,-1243,-856,0
-831,1586,-1463,-634,-348,0
-52,541,408,-86,98,1
409,1024,-206,1591,1922,1
-1275,432,-2016,386,-1092,0
144,-85,-866,422,-1507,1
-2153,816,1812,-122,-849,1
-87,-4238,2489,-172,-2461,0
108,-31,-1647,302,-1636,0
1542,174,681,-89,-1047,1
-1287,-1191,64,-1518,-1007,0
-3761,386,-1772,693,-1638,0
812,71,-566,-1088,1198,1
166,1022,-211,-621,-253,0
-145,-2337,-259,-336,-2805,0
992,-4662,1157,3654,-593,0
396,-378,2507,-257,7,1
614,-4295,-2628,-1728,-279,0
1514,-188,-3646,201,1128,0
538,2309,568,804,2082,1
-108,17,1074,2426,-1165,1
5037,1672,108,-37,1078,0
-1508,1572,-21,1302,913,0
13,1268,-2208,1861,-2041,1
-4629,1978,-1502,-3448,2063,0
136,-78,841,-13,1152,1
2487,-2672,-2938,2936,-2269,0
-99,601,2676,-2872,1485,0
2018,3164,222,-1085,6,1
-732,3827,112,-211,-3233,0
-2105,-1538,-19,-3107,-667,0
-136,776,1008,1482,-875,0
-42,-782,-721,356,-2979,0
696,-285,3584,86,454,1
2344,2974,-1567,-588,1675,0
1452,2291,724,165,1174,1
-552,-1012,9,459,-288,1
1125,-42,-56,-1274,-834,1
452,-102,928,-67,747,0
2587,619,104,-1545,707,1
-564,958,888,1349,1268,1
2421,-2112,-613,-1676,1672,1
1085,-206,2081,805,-1593,1
833,455,986,83,-1383,1
1361,-629,-106,826,-177,1
2258,73,533,2236,1081,1
-1514,-684,1478,-1236,616,0
-1277,-1803,286,2912,1875,0
688,525,1252,-302,756,0
1197,411,853,322,-227,1
-1563,406,652,-159,813,0
103,-939,395,1923,2041,1
-31,1835,-846,-612,2616,0
1475,33,-317,314,1974,1
1763,-738,3138,2981,4767,0
-482,128,1727,-2212,1834,0
-95,-2415,3065,592,542,0
-653,2545,-1863,-1722,2154,0
-59,-1955,-2051,-1898,2182,0
66,1775,1268,461,1232,1
2705,728,3781,66,2941,0
-957,106,-746,-464,-2323,0
453,-2415,311,2778,-3058,0
1835,466,-23,4096,168,0
1786,698,951,934,395,1
3859,-418,201,-1505,1291,0
81,-4785,157,-2538,3026,0
1041,2085,132,2461,-86,1
615,-1238,1118,12,352,1
1614,134,-139,1762,2166,0
-1276,482,-985,1981,2168,0
851,643,-163,2851,158,1
323,-657,196,1448,786,1
-627,-2506,1777,2493,2379,0
956,97,821,-751,1013,1
1235,3191,115,-1333,-1442,0
783,-337,-2133,-678,-3288,0
3186,-775,31,-529,87,1
-1902,-64,16,1444,-1008,1
2787,-1069,1118,-532,3218,0
6074,-92,1034,1535,-4084,0
665,-302,-95,-68,769,0
-3986,841,103,2312,-134,0
84,-1832,-13,-1273,1512,1
-2272,-96,473,945,-1322,0
1053,706,-2364,2479,1182,0
116,-822,1466,-21,456,1
-935,-121,74,1467,-469,1
788,719,1619,-1701,865,0
-169,1563,928,1342,-702,1
1037,938,1138,19,96,1
-767,1842,3522,-508,5918,0
29,1336,1233,76,94,1
-954,176,-428,771,-632,1
-598,176,1869,-37,133,1
1382,1264,-1853,648,1872,1
-268,-3702,-2106,2618,3406,0
-134,4175,308,-305,863,1
187,-411,916,-702,-688,1
-17,-1596,74,-771,496,1
-314,-586,1195,26,3162,0
-2158,-304,2699,2878,-1258,0
1381,29,782,155,-8,1
4405,-3035,3376,-2308,-2288,0
-1825,1079,779,-2543,1566,0
-341,798,386,1874,-1277,1
-1434,-1032,1092,-164,1647,1
148,-114,38,424,-211,1
1972,-391,-379,-1346,4038,0
695,2019,212,873,-302,1
-467,-1296,2458,1641,2934,0
-142,557,-102,456,722,1
1995,-3014,3872,-637,1057,0
2159,-2052,925,-26,-2508,0
3493,52,166,1611,-3889,0
-1783,288,211,1545,391,0
329,448,442,-1844,2614,0
-836,574,13,-1639,-113,1
565,-457,-1719,3323,1723,0
-4,-231,3758,2658,114,0
-336,-454,1212,139,842,1
-74,12,927,763,54,1
-752,1053,-67,1905,196,1
186,2185,499,2259,772,1
-376,96,121,-2494,1343,0
-348,5011,-138,1742,-13,0
964,1548,-1973,657,-639,0
-3035,-1756,3085,-356,1146,0
1416,-784,623,1882,-688,1
-36,-994,1791,525,-278,0
-3753,-1861,1474,2296,3008,0
1075,31,884,1294,1629,1
-25,512,-169,1138,833,1
957,1136,329,2595,3818,0
778,-1753,3,-147,-621,0
412,258,31,692,1918,1
2462,2586,-655,376,-902,0
922,1189,-901,84,681,1
597,17,-477,474,-635,1
1294,-392,2139,3315,-219,1
1189,7,-1576,933,587,1
1153,-768,429,-1966,-1664,0
1173,-149,-176,-157,-41,1
1376,134,384,285,3104,1
2402,145,-806,-796,499,0
-1253,2085,-16,165,1191,0
168,938,756,1136,-252,1
3827,-2254,-1582,-2031,92,0
-97,2205,269,-216,1662,0
-487,187,1298,1123,923,1
1186,-1591,-573,-2491,3497,0
-119,-905,-292,-125,2377,0
1067,214,347,-1159,499,1
-858,472,5148,-97,-899,0
1099,1191,2284,825,-352,1
2162,386,1542,-733,13,1
367,249,518,-1678,2215,0
-324,1828,-126,599,281,1
119,7,-519,-841,-1618,1
1489,2186,1264,-11,-179,1
1522,-1013,1712,2608,-35,0
-78,236,114,106,-933,1
2482,-2264,-1797,1537,-88,0
-1003,154,-1312,-2809,764,0
-538,1889,2087,468,2677,1
1382,2927,2153,478,-1817,1
341,-167,745,788,1668,1
-106,-344,3254,634,594,0
-13,647,1279,642,1686,1
846,997,182,-2404,375,0
-1319,-576,911,1567,-223,1
2187,15,-2305,932,-1783,0
939,1237,2205,1915,1704,1
-1893,766,-1843,-5051,1197,0
-255,648,-447,82,335,1
1166,-477,644,-809,1403,1
-1029,-142,524,-1415,-674,1
-321,-142,1687,777,1448,1
-927,-45,792,1711,72,1
184,1498,77,296,-724,1
982,-142,1357,625,-1415,0
-24,415,358,2635,-61,0
-2088,-1363,-988,-299,2281,0
-1495,717,1011,1134,627,0
-822,345,-186,2014,-577,0
983,-197,1018,1612,934,1
-385,-418,841,58,566,1
-129,-1046,238,2225,818,1
2237,-169,-1188,-408,528,1
1466,1821,835,1821,-977,1
-43,2,1453,993,1786,0
1647,142,203,-69,626,1
1068,-279,2497,-938,-1685,0
-1848,-2165,139,2737,387,0
-1201,213,-1065,48,974,1
-97,792,-36,-85,1518,1
-52,-616,1213,-1318,-17,1
-877,628,-838,64,274,1
469,408,545,1407,888,1
-17,2874,-1982,-327,-1179,0
861,225,-3016,-99,9,0
-587,-1902,-1278,1529,-322,0
6201,-3164,-699,-4,-362,0
92,808,-319,-1976,-1297,0
-3923,-2812,-2197,-254,724,0
1048,-355,-842,1376,1148,1
3166,-1269,473,284,3463,0
1898,766,-77,93,625,1
-365,25,1546,-1937,209,1
1809,76,1606,-1402,-1139,0
-1855,2947,75,126,1352,0
-466,163,1264,1966,1703,1
1313,98,1505,-97,-146,1
-1209,-347,-2064,-155,4215,0
-2135,1168,1044,1322,-1636,0
751,553,643,305,-902,1
-1456,1835,1845,-2431,706,0
752,2291,-1558,1139,-163,1
1729,1598,-475,283,339,1
1903,-231,-199,305,-1266,0
-2121,1182,-1366,61,-1555,0
634,1926,83,-47,2432,1
136,672,192,-137,-1357,1
2186,-77,-315,-1054,-862,1
-1102,434,-1902,-259,-587,0
1753,1028,-23,-698,1422,1
-1482,1534,-1655,-808,-836,0
-988,-417,78,437,-148,1
-159,267,-1376,-1344,-304,0
2979,512,-166,2666,-436,1
-357,2202,347,148,1026,1
-467,-232,2356,1252,-109,1
541,34,236,479,-365,1
-2843,-269,-376,799,2577,0
286,-32,102,2006,-747,1
96,-78,1573,-1502,1278,1
148,-1299,2511,33,118,1
-244,-107,2431,2629,-332,0
284,1258,-425,-627,-298,1
602,534,-562,275,177,1
-23,-2958,-386,-181,2279,0
503,1196,824,196,1142,1
1588,8,2255,-338,-961,0
-178,-797,2316,2581,-3883,0
-991,2245,755,-77,-1324,0
-817,-3156,-589,192,3288,0
-126,762,-28,836,337,1
-552,-29,794,-79,-159,1
672,-1456,455,2242,-373,1
2825,-312,-931,-101,1114,0
1161,-1062,3384,-1437,1401,0
2117,-93,35,-935,6,1
-1339,2516,-1118,-2848,-101,0
412,1511,286,478,1726,1
-271,2016,16,1204,-835,1
-825,165,-1313,251,2978,0
-642,2212,841,-2043,469,0
1187,506,1083,-1285,1734,0
607,1274,341,1541,2414,1
-2879,-793,274,1097,-29,0
516,-2565,-673,-769,1247,0
1045,-2528,-2163,-2773,-654,0
1095,-1146,925,858,2901,0
1996,692,1018,-4131,2312,0
-153,1065,546,-262,214,0
1601,3681,477,-632,464,0
271,-105,-2399,-174,2518,0
-213,302,1813,236,-974,0
-567,91,-9,835,-22,1
1194,-101,409,-54,-108,1
2608,112,1724,1142,562,1
-1364,5,936,638,-1413,1
1393,1166,1361,68,-196,1
236,-1049,1596,-316,-2622,0
1536,1175,-989,-1595,1344,0
13,245,-578,-2485,5015,0
1944,-277,178,5,-488,1
3014,868,-1319,-54,-206,1
-398,-2,628,1492,1157,1
-1067,-144,-203,-987,-1028,1
1157,512,-816,-69,-1194,1
-532,-2377,-91,-313,-3179,0
-65,1862,-211,4815,1688,0
1482,-858,-5708,11,-163,0
1023,-485,25,-1038,-1356,0
131,296,-848,-37,935,1
572,-6,-274,-1634,172,0
-541,2058,324,-46,-1232,1
1048,-1464,2403,841,1043,1
126,-182,1682,365,256,1
-1272,-386,1844,102,-3421,0
-1169,668,87,83,131,1
2341,817,2531,234,1241,1
-1586,7,1,-219,-1864,0
843,-342,1042,1433,-111,1
28,2828,243,-8,-567,1
-16,-112,855,1246,574,1
-441,-99,175,1223,2282,1
2339,-29,518,-869,-1024,1
-515,-2715,-3072,-686,-1182,0
2941,866,848,789,-61,1
-1054,1585,1627,343,2326,1
-1128,558,5255,2024,-1881,0
-2973,2494,1092,294,-411,0
-911,87,-1104,-1754,111,0
-4332,618,1201,-246,-415,0
137,1136,2,-149,745,1
-1563,5111,1988,1777,2606,0
1254,576,276,388,29,0
318,1454,-784,961,-125,1
-167,849,1379,2365,469,1
-548,1623,3805,-58,944,0
1068,72,1038,-2273,-1812,0
-2907,-538,-76,101,-16,0
1425,-366,2423,-1538,281,1
1266,-2592,2354,53,-2554,0
565,48,-244,-84,1829,1
1842,-2455,2236,-2949,2517,0
-582,-565,218,-697,654,0
-61,715,412,-1291,-6662,0
1993,924,114,3236,1349,0
1228,299,-48,66,-178,1
641,-1556,-143,102,-374,1
186,-3915,-584,21,2924,0
1685,-128,187,137,1111,1
-248,1328,-523,427,825,1
-1578,611,-101,-296,972,1
-622,-1928,1604,488,239,0
1592,1394,-304,-954,121,1
542,1264,-51,1534,544,1
-881,1346,-283,203,958,1
2874,-1347,-1076,-1226,-3572,0
576,-3051,375,-36,-2063,0
1606,-228,-1769,-2076,-1596,0
25,43,-1053,251,-253,1
1009,1646,27,896,935,1
1187,69,1591,693,-121,1
1341,-215,375,-8,-653,1
478,362,1369,-38,2424,1
806,41,2,374,2108,1
-307,-1603,-132,-1632,-1674,0
666,1465,1889,1686,134,1
-1035,4625,-134,2337,2899,0
2852,7,2363,1065,1431,1
-905,711,583,-115,2408,1
218,-16,3419,-975,-2088,0
-4224,-26,-92,-518,2009,0
-7,-74,-776,364,1414,1
11,-468,2625,1668,1332,1
-1315,-2375,578,-6127,-2502,0
-2148,4232,-3639,7,1469,0
1168,-1888,37,-324,1001,1
2001,-103,-1408,526,-1518,0
-551,-664,1009,54,105,1
-4534,-2003,-1002,516,1474,0
93,-595,1643,458,56,1
-1431,-1489,1862,215,-3541,0
222,-643,634,-453,252,1
419,97,618,-46,-682,0
-62,71,-94,1503,2434,1
798,2828,-57,-442,584,1
3072,1668,-169,3278,-1002,0
2126,-651,-26,-424,1865,1
-211,-1158,-796,1258,582,1
768,-1565,835,768,985,1
-1402,3477,-1642,313,4,0
-621,141,516,-441,877,0
1819,2222,-457,-1513,78,1
2323,233,-116,2601,163,0
242,-71,1143,-486,-35,0
1815,535,-526,859,2462,1
105,-196,68,1155,423,1
146,195,107,204,2432,1
446,-981,2498,1898,419,1
552,1164,1457,475,-1588,1
-134,-136,2236,1798,1092,1
344,-473,-41,-416,668,1
-1135,499,2169,5641,-4511,0
-989,-37,-2564,-2064,-146,0
-2166,-1482,2041,-399,1003,0
2584,165,1564,664,1351,0
-109,-158,1138,-872,1626,1
-449,-919,-162,-1728,-2236,0
-4457,665,1111,-209,-354,0
-426,477,-2168,-872,2656,0
1745,-589,-1238,-4486,-2536,0
-3209,-341,1717,1604,-15,0
1459,39,476,67,-172,1
1273,543,1085,2708,315,1
-955,19,-1039,2561,-805,1
-106,-1432,-81,-1906,1,0
1292,-2636,1086,1674,475,0
-988,134,494,-1156,-953,0
-202,2501,3825,2464,-2676,0
807,1374,-1739,46,-1993,0
4,-388,-574,1434,2012,1
-199,-1395,1292,1537,-973,0
1796,718,-2012,-441,178,1
177,104,1187,1198,534,1
-151,1454,1801,308,2113,0
-1422,-3672,-147,1099,-624,0
-2943,-1058,-2033,373,969,0
2529,565,294,-17,1552,1
286,422,93,666,85,1
-1149,1182,49,-227,365,1
-19,1633,1219,2246,-245,1
-1382,-478,-2792,-1468,-3158,0
-289,-293,-289,1276,-3444,0
1163,222,-384,646,163,1
-1751,1124,-2663,-683,512,0
-584,658,1041,-391,-444,1
679,492,1045,-16,1058,1
112,805,1354,-106,2217,0
498,1984,-1042,578,-1047,0
38,572,-636,-537,552,1
-978,-301,-1386,-1912,472,0
-6,3074,-235,2548,732,0
186,704,155,-2585,-1041,0
-57,-346,-375,-107,-597,1
959,-946,323,-1532,371,0
864,1183,21,1616,-485,0
-1274,-567,569,1074,-332,1
-251,2039,-1346,1721,-2316,0
-4463,359,-1947,1085,2084,0
-2143,552,45,-617,-336,0
33,1587,2361,16,-955,1
-1908,-2064,1026,202,14,0
-313,526,-1229,1813,-806,1
1334,-592,709,-621,-227,1
2618,-4797,1239,-27,-1622,0
111,-115,-385,-27,46,1
-253,1475,685,392,582,1
684,2691,1307,661,1126,0
2396,-1446,1231,-939,-2751,0
552,1988,298,377,2258,1
23,1251,-751,949,315,1
1714,1032,-2118,2871,3984,0
1667,-182,1477,317,27,1
-955,-467,168,1362,-786,1
-667,-264,-34,-237,882,0
3336,1822,3689,1272,1501,0
-704,-596,-991,-1397,1167,1
1548,556,-255,418,-603,1
2085,-2391,-871,-2146,244,0
2175,-473,239,2305,1767,0
-498,-1436,687,4242,-63,0
-1619,183,-2009,-1006,-72,0
238,-2488,1942,-487,-5421,0
3142,521,-16,26,5133,0
-282,-433,22,606,-235,1
-517,518,1022,121,-248,0
1234,-42,1296,844,2144,1
234,-507,-641,1128,156,1
-391,-2217,2894,-4051,1188,0
237,-707,743,795,-1157,1
24,-7,-1319,-1783,103,1
535,2643,-1004,-487,277,0
-196,838,87,199,208,0
49,1676,1,-91,1575,1
2336,-156,-118,1412,-892,1
234,-499,-1935,2102,921,0
2508,569,367,1712,1434,0
638,628,-1344,705,659,0
6,1663,1057,1767,-1229,1
-98,1576,647,93,2054,0
1138,281,1495,104,33,1
-338,-2359,8,2653,2505,0
-167,245,463,149,1424,1
-68,2232,656,-213,-695,1
2137,-278,31,1061,211,1
605,-2843,1968,2663,981,0
527,-2357,687,-5,-1224,0
734,1556,392,506,122,1
778,1441,3219,156,-211,0
351,885,-34,1338,-535,1
2512,-1431,3868,97,-1632,0
-1006,6743,175,-2235,-2309,0
3383,-361,2815,-4051,-3366,0
-151,2,-446,3362,-305,0
392,1674,-1177,463,1498,1
-4229,-3888,-749,-2847,-1231,0
-265,1237,147,916,1067,1
-778,-1314,-191,1148,2039,0
-2528,-1725,2166,2025,-2666,0
-565,2096,-383,2513,585,1
-1103,2897,116,-2236,16,0
367,29,-52,983,219,1
619,-1176,46,-217,-364,1
158,1784,2049,953,556,1
-1709,579,-1836,129,-36,1
1078,-1601,-2721,3094,-2523,0
-1021,-87,-71,884,-13,0
37,2459,1513,-131,-703,1
1584,-402,2164,2172,-831,0
345,1782,858,167,76,1
447,1265,407,2902,1401,0
-691,1467,687,1736,1895,1
518,-24,-304,1108,-144,0
129,1013,91,108,-233,1
-174,-313,228,1227,-1991,0
-928,886,1266,887,-201,1
2144,1411,2938,-1908,-779,0
-3245,2807,-1517,306,1431,0
951,-1292,1276,745,-4285,0
-814,-385,-1239,-4196,-26,0
-878,-3035,-2568,-523,2056,0
1756,779,473,108,798,1
669,-4975,-697,112,1397,0
-55,-1112,613,749,-906,1
3,252,552,-1163,-403,1
-1878,-2087,1548,-1542,252,0
1406,-161,399,-896,-101,1
2831,3536,1874,-1548,2805,0
747,1949,824,-75,1821,1
-41,158,37,1278,1348,1
942,144,538,-1524,-9,0
1267,81,29,1892,137,1
201,2953,669,-18,-331,1
-839,397,-752,1935,-829,1
-292,2396,1429,-18,114,1
1932,-332,-726,-812,189,1
-8,3005,-137,378,113,0
1012,69,268,162,-14,1
-262,171,221,-1946,482,1
719,-93,-147,-753,598,1
312,1064,-802,1187,473,0
-261,-96,1245,-196,-89,1
-546,819,61,1341,686,1
569,1235,446,321,1003,1
-566,1603,1488,296,256,1
-543,795,-1013,-1462,694,0
-243,1707,1495,3908,102,0
-947,6099,-78,-4142,145,0
-2168,-4408,1037,-5566,-2255,0
1587,892,-818,-1691,-544,0
1676,72,-414,938,368,1
194,116,-465,1392,641,1
1422,97,1375,-12,1151,1
-223,-119,196,131,518,1
3162,341,-1392,136,1913,0
1527,218,-1864,2823,-3234,0
-757,1308,903,-964,-108,1
19,-614,942,2089,-22,1
-109,-1728,-172,1626,-0,0
-684,-1289,292,-2659,1778,0
-828,-4,66,-395,1065,1
1775,1048,1244,1455,-1192,1
-372,167,1431,71,2485,1
397,1015,1673,-3418,1888,0
1805,733,-16,1354,-1244,1
2047,869,1342,782,-715,1
-236,-73,1076,371,3407,0
-2057,68,1501,-364,1865,0
-1593,-1413,1144,168,-2707,0
537,948,2256,595,217,1
418,-26,867,1068,689,1
799,41,-3513,2162,-1548,0
1712,-619,209,551,522,1
1297,1078,-138,48,597,1
701,758,68,432,978,1
1325,-83,1043,1424,1906,1
635,729,1823,778,272,1
-1848,52,1398,-1381,-243,1
-165,-1647,-1638,781,1752,1
825,-1349,-1209,-2892,2063,0
-2127,-1588,-111,31,2159,1
-2555,1623,3306,-161,804,0
956,-804,2177,-697,-963,1
-942,1887,1916,-1995,666,1
6032,-1269,647,2041,1439,0
-628,-297,-718,1048,1655,1
42,909,-418,1203,61,1
234,405,504,109,337,1
-6011,3291,1784,-2273,2243,0
2151,1593,-497,616,245,1
1202,-1767,409,643,1643,0
1474,-125,336,12,-303,1
-2019,58,-696,2244,432,0
335,729,291,835,1618,1
1428,-41,-793,1748,-711,1
1843,-925,-948,447,-2,1
1442,-195,-1604,1716,-2824,0
2644,-812,1216,-116,388,0
926,954,-1942,539,-342,0
-195,2171,18,582,-756,1
2583,22,193,2214,571,1
2033,-562,322,818,2023,0
-859,2034,-198,-712,-148,0
-682,2275,-947,-354,-296,0
-174,2029,323,5504,-1966,0
1413,-176,-47,-348,-917,1
1106,1079,-136,1126,999,1
243,1842,825,-363,495,0
-912,119,224,424,1276,1
1224,-316,1561,1072,26,1
745,564,1124,3141,-197,0
1506,244,714,1737,-1898,1
1584,-6946,-902,-683,887,0
1244,571,591,-372,2243,1
689,547,1758,-367,1574,1
1836,1438,491,-179,-494,0
1732,693,-1153,157,268,0
-3,-772,1721,-122,1103,1
2347,975,1947,-432,1193,0
-2786,-812,-466,626,4,0
-3583,784,1285,185,-841,0
42,-1621,1275,1076,-653,1
-204,-3572,-172,1144,327,0
-286,2258,-394,-2633,-2467,0
847,-1519,-323,1984,-231,1
1244,11,3331,-4704,2023,0
1829,-162,2355,1119,355,1
-1173,19,338,84,8,0
1134,-118,-83,-4291,-498,0
-64,348,-2562,-1595,-1217,0
-1383,1661,-135,-36,-605,1
-694,-1996,2469,13,3215,0
837,48,1404,-45,-711,1
48,587,1236,217,2306,1
326,168,1355,154,-312,1
-294,992,898,-41,474,1
-3132,-1792,3586,592,-2241,0
-3161,-53,1798,-2372,1579,0
3593,-621,721,-1288,3658,0
-322,-479,337,461,109,1
-45,693,511,-29,1398,1
-287,169,821,-443,1029,1
1537,838,-234,222,662,1
3198,237,-268,2703,1852,0
814,-418,-45,1153,1794,1
318,-393,163,832,296,1
1336,-2442,-1388,501,952,0
14,95,-1316,-1639,-85,0
1044,-828,-818,964,2713,0
-1695,416,202,2244,916,1
1837,-1084,-1874,-1107,-567,0
1516,1591,728,-923,385,1
112,-28,-2362,-554,-17,0
-748,1859,275,-596,807,1
1543,2993,398,326,84,1
246,1806,1416,208,984,1
1006,75,586,2099,1822,1
1205,2679,-673,-99,2409,0
169,3578,-464,416,-584,0
