@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R3,13-14,21'

@attribute A3 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute Class {0,1}

@data
77,398,-434,1
-459,-331,717,0
-151,-289,-937,0
994,-487,-376,1
2098,795,-17,1
504,2786,3866,1
837,-114,-26,0
2864,1242,-37,0
1623,2354,-2837,0
1602,-92,-901,1
-995,-332,2293,1
883,-227,2506,1
3823,-286,-1593,0
75,1559,67,1
207,1097,-26,1
-1635,5,599,1
3166,-438,388,0
448,18,-43,1
1668,169,2835,1
-1497,1669,1856,1
59,-404,1674,1
2069,608,673,1
1173,-1432,-2073,0
-4109,-3959,-1147,0
-182,51,1214,1
-1277,2195,-5771,0
-2989,-2184,552,0
-243,3179,-1816,0
119,297,39,1
-549,-69,-818,1
613,516,1568,1
-95,-168,376,1
1545,-433,99,1
1286,664,2195,1
1107,6,644,1
999,-22,-273,0
-706,909,-2712,1
-4684,-364,1404,0
-441,932,-77,1
341,124,-99,1
-106,-773,1395,0
269,147,1598,1
-1078,-1089,-73,1
-868,2593,3747,0
1839,-255,18,1
-6186,-99,1656,0
-186,522,-218,1
384,1532,1868,1
774,-1165,-365,0
-675,-1269,-1132,0
-2942,-86,-3094,0
637,-259,1593,1
34,-2072,1013,0
-493,-3872,-1634,0
-1555,4675,756,0
1024,1037,-224,0
-397,856,187,1
1925,-781,708,1
-2628,1107,-123,0
308,-43,124,1
-171,-554,1316,1
1994,-1093,-1636,0
1057,8,568,1
191,1934,2402,1
-149,298,-39,1
-1029,138,-558,1
436,663,-205,1
1322,1004,-404,1
1298,1609,-3071,0
1865,902,466,1
1728,-1292,-1281,1
-2831,3295,-458,0
-41,176,-66,0
1201,-2139,1294,1
-2907,-1453,2334,0
-1094,17,593,1
-2338,1497,735,0
3587,1427,-1446,0
2562,-719,2797,0
-2557,-2831,592,0
-1739,2332,2638,0
157,-505,1453,1
1002,-33,104,1
541,-411,1582,1
-241,756,1009,1
1427,-1521,496,0
-1027,1866,3198,0
1014,-1922,1448,0
-2092,-52,2113,1
-869,2435,82,1
2065,-3582,486,0
-1722,-2639,444,0
-665,2859,-281,0
-226,-243,-4,1
2416,-307,38,0
2384,-105,-116,0
-699,306,3759,0
616,23,-752,1
-953,-353,2168,0
-7,-1794,1812,1
1227,58,-764,1
-106,2812,-978,0
-2994,3748,-633,0
59,104,162,1
-1103,1349,-7,1
1083,73,1022,1
-1467,431,6,1
137,1279,-133,1
-1571,-395,363,0
-767,-918,362,0
-1338,-967,944,0
576,1454,-655,1
-3676,1746,1576,0
-336,-84,358,1
1518,-898,-677,0
535,-1401,2435,1
142,555,184,1
-35,-68,1944,1
-2794,-156,-1593,0
38,1493,1269,1
-974,-1088,-926,0
768,-1862,-72,1
1468,449,-488,1
546,116,211,1
-1067,4009,-502,0
229,-502,2575,1
-1342,-85,1628,1
2226,-402,-1858,0
-113,3,-391,0
-3,408,2189,0
-3916,-1572,2432,0
-1064,2467,-211,1
-1218,1798,4003,0
-143,-81,-204,0
4,729,-802,1
583,-2194,-1462,0
2101,-34,66,0
1889,2513,1979,1
7,-802,1106,1
-465,-741,2094,1
-54,-15,1257,1
-621,119,1419,1
-2805,-92,-2551,0
1138,3408,1691,1
478,1699,1101,1
-1015,2984,709,0
-441,-889,952,1
-386,-288,898,0
442,101,-207,1
161,2125,2059,1
46,3151,2086,0
183,316,1134,1
-4338,2196,-1761,0
206,1946,1825,1
1607,-105,437,0
-353,2042,-3,1
-87,-95,-1158,0
973,-4462,-464,0
775,5209,-655,0
1038,1361,893,1
252,-131,298,1
-4221,-1284,-279,0
915,2453,-16,1
764,23,439,0
-592,3004,3,0
98,244,-299,1
-157,-196,422,0
1589,1979,-59,1
923,335,586,1
-52,3654,-386,0
1118,811,-304,0
2294,648,884,1
-2649,-586,-207,0
-1878,2257,-714,0
2119,-457,1357,0
834,3624,-273,0
-657,941,799,1
751,-1034,762,1
2237,-513,2567,0
1222,465,48,1
528,1453,917,1
-1144,-248,1163,1
-25,-1517,553,1
4023,-108,-2374,0
-129,1291,1624,1
-861,-2807,-505,0
933,1178,56,0
-2,-459,-749,1
-407,-178,1022,1
21,1026,849,1
-3031,-47,-1426,0
2056,556,-315,1
-902,-2275,-3545,0
-921,134,108,1
915,857,172,1
1845,2037,947,1
1321,2254,862,1
1167,2217,-1605,1
1995,1182,2572,0
907,1823,1052,1
-6,416,-746,0
1716,168,192,0
1518,476,-986,0
1172,2127,-1,1
-298,227,139,1
1526,244,-708,1
152,129,43,1
32,-981,-188,1
-2828,292,367,0
-1318,56,-946,0
279,-147,646,1
1079,113,-292,1
-203,1136,-2696,0
-974,99,-908,1
103,143,381,1
2941,-2879,1931,0
-321,515,1146,0
1401,-71,1632,1
3555,1962,318,0
78,-1194,929,1
-1158,1194,166,0
2411,-3769,4568,0
1533,538,972,1
772,-89,1554,1
933,1957,174,1
