@relation ring

@attribute A1 numeric
@attribute A5 numeric
@attribute A13 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
-2218,3482,728,-181,0
-3551,-36,-1944,857,0
661,-818,352,2679,0
-1205,1102,-2319,666,0
2027,-163,-361,5,0
27,-3,-1214,1932,0
-1267,-105,-23,1981,0
535,264,537,-1203,0
1435,-1012,-1639,-1445,0
948,1642,127,626,0
305,478,2477,-3403,0
1296,-1994,1554,1757,0
4666,651,-3146,-1423,0
-487,-194,226,262,0
-377,537,-2012,-1074,0
1039,36,1883,-3072,0
-325,-4687,-92,-535,0
2146,-1093,-3983,-236,0
668,154,242,-3115,0
-1348,3937,2253,-1612,0
2904,-1215,-332,-656,0
-127,984,102,115,0
-1004,1292,436,734,0
3318,-2244,459,267,0
1917,-4532,2856,905,0
-1866,2004,-1748,-1928,0
818,-268,1566,-442,0
-614,407,303,1615,0
2588,-1366,-189,-892,0
191,1571,2332,-2622,0
4,-7,-3694,-997,0
-2645,-1578,1745,129,0
2274,-1624,-123,-415,0
-2547,576,2048,-892,0
-1451,555,-178,686,0
611,1083,-886,1045,0
199,-1063,-2195,-2045,0
-1614,-1515,-971,-231,0
-341,148,-1204,-4403,0
2873,501,553,-3405,0
1,3841,-1068,1341,0
-2042,-1428,-2798,-344,0
483,-2244,-99,455,0
-2537,1031,2664,1375,0
-32,-817,152,528,0
-666,619,-856,-1122,0
276,234,-1093,678,0
-3342,1182,-2016,2841,0
-1134,939,-1471,1412,0
855,386,-1339,216,0
-1658,688,-49,1372,0
-413,1493,-672,-1903,0
-531,-1751,-3372,-613,0
1012,2013,2301,1509,0
2829,1216,-1088,4002,0
139,-2458,4318,2814,0
597,-513,-1073,-2737,0
757,-1035,2798,2081,0
-1256,1452,-2072,69,0
-2204,-606,-357,-3675,0
1051,-1492,-1028,1721,0
107,3564,-39,2972,0
-322,-1896,-315,1367,0
7,-203,-3594,-1003,0
-4235,-299,3284,-2214,0
924,2001,-1557,138,0
36,-1097,46,-1792,0
-397,433,178,-879,0
2378,-1179,2877,1191,0
-3142,-1087,2004,-238,0
1484,-3626,3112,2854,0
-19,-1122,-3012,-2121,0
2828,6184,-1445,2762,0
246,-122,1271,-46,0
1756,-548,1704,-1157,0
-491,4343,159,-2009,0
2214,1896,12,-1853,0
-895,602,-203,1178,0
-2082,-2798,-997,2512,0
4762,273,718,-403,0
-3536,185,261,-4906,0
1696,-41,2912,-15,0
-3213,-145,-824,-2388,0
35,89,2333,2951,0
204,-2655,34,469,0
-1781,-2165,-1076,-385,0
371,-2756,1925,-3292,0
-517,3593,-164,1345,0
-793,208,-2307,-1817,0
68,333,1869,18,0
-1085,812,-3872,3311,0
2374,-2322,-164,-493,0
-1931,-93,1417,1498,0
-2783,1323,-1866,-1223,0
1574,165,381,-46,0
-222,392,651,32,0
-3697,-134,1331,3,0
435,-1517,-1454,-872,0
-876,538,137,-3467,0
3427,314,238,-2268,0
-5182,-1886,1203,-377,0
1472,-1473,-2209,-1012,0
1828,-64,-2259,-2846,0
-1061,-1496,-818,108,0
-1126,-621,1423,1018,0
-595,993,348,234,0
2178,-1891,472,4139,0
-1782,166,226,618,0
-32,-1402,-174,96,0
776,-981,309,-4841,0
-903,731,428,-79,0
-3699,-777,2119,-206,0
-2385,-358,3643,775,0
-828,-1667,1692,-399,0
1186,1748,-534,1437,0
-1293,-622,-701,-467,0
1123,735,3016,-195,0
-1617,42,1506,1218,0
-2679,-2912,-602,913,0
-883,396,2283,192,0
347,-1813,3004,61,0
1898,186,2007,-1894,0
-1011,-622,-354,-4177,0
-87,21,-2894,-1306,0
-92,-764,-402,-1762,0
226,1442,-5813,615,0
2725,536,-2869,-2423,0
1772,189,-1464,-42,0
-38,23,1122,236,0
4043,-237,-99,-265,0
-2746,-323,1002,-2184,0
-1347,2106,168,-1934,0
-117,3509,-2413,182,0
1299,-1067,2032,-1545,0
-325,-1044,2747,2449,0
168,276,5185,2218,0
-1292,-1643,-1066,1962,0
127,-1101,3364,263,0
-414,-1711,176,-4475,0
-2004,-1514,-1177,3458,0
-1344,-2858,378,-1753,0
121,-2226,267,-876,0
-467,1453,-2534,1264,0
-256,147,2616,-2996,0
-1641,2341,26,-797,0
-3211,-563,59,-1033,0
312,2536,29,2316,0
1481,-3418,-94,-718,0
-1534,-3073,-527,-778,0
-1584,17,-1761,1854,0
1457,-235,-2435,-804,0
284,393,-1291,-4638,0
-2962,-2286,1939,714,0
1522,-539,3069,-285,0
2558,-2184,155,3327,0
-2721,1167,-1015,-2579,0
1937,-679,2276,-2265,0
-1004,-8,-1556,-406,0
-36,1739,-2024,194,0
1245,882,6147,-77,0
-1772,2911,-2286,-98,0
874,-1141,2696,1654,0
2027,1331,-122,2355,0
-1377,-672,766,-2534,0
1481,-5019,-656,898,0
-4112,-3369,228,3121,0
-597,-743,678,-662,0
2922,665,549,137,0
-2142,-608,2235,3076,0
-914,-215,-1582,1872,0
-2252,-2928,-2993,-2635,0
546,871,-3647,3019,0
-669,624,227,-1918,0
2185,1966,-203,-1712,0
2682,-682,1991,-4,0
811,1614,-2219,-784,0
1903,921,502,201,0
1729,-977,-2765,-6,0
-3766,3202,512,-443,0
-1605,-4923,15,2321,0
-144,1944,-2401,525,0
-3658,104,309,149,0
3626,1504,1705,-4959,0
3148,-1663,1154,-3331,0
221,-884,-1819,-859,0
-1447,-831,1566,2616,0
1775,-558,-1492,207,0
-394,1232,-22,-1179,0
4865,-24,-2098,-4597,0
4582,3414,1178,758,0
-38,3145,2396,1165,0
1983,201,1647,-178,0
-3162,4235,-2,-8778,0
2016,1372,148,528,0
5204,-1544,1316,-103,0
-553,-3229,-945,-4945,0
-154,-2019,-3148,5779,0
2014,2044,-1039,-4272,0
878,-91,1841,2968,0
398,-387,-2649,228,0
-991,5375,5146,-408,0
1038,2318,-425,-157,0
2088,602,-2154,678,0
-1,-95,-311,1632,0
3579,592,573,-147,0
1649,49,197,-2179,0
1244,-1998,-2324,729,0
995,957,269,1192,0
567,-2125,-2791,-2391,0
-2165,-1015,666,1642,0
-3491,-628,-3089,-504,0
-2506,-1561,-4061,1457,0
743,47,241,-158,0
4151,-333,546,621,0
1876,1655,-391,156,0
-947,-971,-2088,3644,0
75,-202,71,-2914,0
1034,-2876,1221,2821,0
-2301,697,-1796,-1988,0
-83,13,85,-425,0
-3262,1068,2323,3418,0
2325,2407,2156,-1258,0
1549,-3066,1629,-1019,0
-783,462,768,3345,0
619,1486,-2417,1282,0
822,534,-2516,-625,0
368,-1234,-2048,2509,0
2366,1263,224,-1153,0
162,-5661,-403,443,0
2118,-341,914,1053,0
648,551,-2379,1965,0
-1889,-717,-4638,927,0
-1336,-2373,-199,-868,0
1188,-209,2308,-2167,0
1163,-4463,-148,1465,0
-3286,3698,1194,-1342,0
-857,-1783,1304,69,0
441,926,22,3445,0
1839,891,2227,1775,0
-488,2205,-94,2104,0
2487,2587,1209,-1667,0
2438,953,521,-1409,0
844,1,704,-637,0
-772,18,71,296,0
-6168,2369,1733,1048,0
178,242,-935,-2432,0
1199,2911,1422,105,0
978,-482,1083,1198,0
-3268,-4726,-3146,826,0
205,3382,209,1374,0
-2078,2115,1944,1355,0
-504,-2017,-101,371,0
65,3406,-3769,-2815,0
1552,39,-2852,-2556,0
3307,-1354,-1937,759,0
-332,251,1447,1778,0
-79,-156,-374,175,0
1082,-2376,435,-617,0
2946,79,-4226,-2238,0
604,635,2137,-1241,0
1522,-2696,36,722,0
-1906,-543,-2151,382,0
179,1463,875,446,0
1071,-878,1177,36,0
1946,1887,954,678,0
-68,-188,793,1125,0
-3183,153,-2105,-197,0
1047,-1067,-1068,769,0
1816,-841,2255,2138,0
-1389,-374,-3708,-388,0
59,1402,2073,-2434,0
-1428,-3445,1426,3925,0
-1644,1542,-3451,-1677,0
3442,1336,316,2437,0
-3399,3154,3086,1501,0
-2561,25,1154,91,0
1225,-2328,-2514,696,0
-303,-855,-307,-569,0
-2951,-1929,612,-742,0
4093,-2545,-751,353,0
1466,-2,1715,1762,0
-791,-1362,-5,598,0
3826,-1737,3054,547,0
659,109,566,-1448,0
-1955,4082,-633,627,0
1129,-2011,313,698,0
3008,-2321,1294,-1816,0
-855,-1805,-409,1514,0
1095,1921,806,-1949,0
-1502,1762,-3891,2475,0
2078,-2403,219,-656,0
553,69,58,-1444,0
-308,21,-1031,-2712,0
1439,-858,-535,-1924,0
-58,2612,1039,-5312,0
-2813,-753,2477,-3126,0
365,3254,-898,894,0
-1477,1018,-1526,4016,0
1183,145,-32,1979,0
137,81,-1505,4218,0
-185,621,-786,144,0
927,-419,-12,67,0
-478,-2482,-933,1072,0
787,154,6,418,0
781,-241,-94,-1275,0
458,-1406,242,-1431,0
-979,-921,-1538,-134,0
271,-1961,1009,3661,0
-2829,2454,4393,-1794,0
-3021,1397,-2194,2501,0
-963,2363,1803,-1457,0
-845,186,-15,-427,0
121,-5592,-1005,-1579,0
-97,-1114,395,-2063,0
-3995,-128,772,135,0
-114,-914,908,-252,0
-655,2283,-1048,353,0
39,-106,2289,-711,0
2273,2058,315,537,0
2457,1266,2724,-3661,0
-1111,-2252,2897,-453,0
1341,-3621,-599,-987,0
-1443,-865,-117,-944,0
386,181,4218,2084,0
345,231,1167,316,0
-704,74,228,-151,0
-109,209,3188,2023,0
928,314,125,1378,0
-847,-887,-1723,1945,0
476,-93,-2336,-662,0
-134,-3859,4464,-2809,0
132,-1286,-847,973,0
-1647,3228,1296,-2674,0
-1311,-1177,-1199,2736,0
-669,2292,112,5664,0
1315,-4269,2202,1006,0
-2039,-415,-4262,-172,0
2646,1809,938,1119,0
-215,-829,-1023,-917,0
-4324,1243,-2034,-563,0
-1874,1419,27,511,0
-511,896,1126,1713,0
-1484,-98,2623,-1076,0
1314,276,-2616,442,0
-717,-3986,1648,1786,0
904,4153,-615,-1989,0
1516,-451,-178,2492,0
-1753,117,615,-45,0
248,-989,831,-132,0
-698,-1452,-206,-218,0
652,282,1488,3411,0
-3003,-555,-593,-1552,0
2671,4319,-72,3649,0
-2875,-2137,32,-128,0
319,786,1011,1638,0
-902,999,1416,-97,0
-568,-151,3755,179,0
-1966,1753,-597,289,0
-567,715,-2703,-469,0
-981,242,-1088,-1196,0
-261,4507,-1204,-456,0
-578,-2247,3374,1167,0
-167,-1118,637,-1664,0
697,-2565,-331,-1083,0
-366,-2764,-1598,-984,0
607,-1185,-1337,-1678,0
1558,-1082,685,-2212,0
2732,779,3298,2605,0
-1693,-873,-1528,-3164,0
-1887,-3,-1033,362,0
-2461,1002,-4462,-1909,0
283,-191,1815,-1185,0
611,29,-1731,538,0
-3583,2204,688,-833,0
1995,-2623,-816,146,0
2153,-2088,282,661,0
-73,-1235,118,-1295,0
1995,2276,-234,-2577,0
-4928,-2081,-2602,7,0
-46,156,1984,41,0
-852,738,-0,-582,0
1683,278,-2113,3372,0
-1146,-5,-187,-36,0
683,-719,2637,452,0
-823,-2859,-557,-4,0
-299,-3398,2984,1152,0
396,-2035,234,46,0
74,-2109,3257,53,0
-465,3642,984,-4043,0
-2119,-207,-1622,1453,0
-1814,1768,577,2165,0
57,784,-738,2591,0
3785,176,-1475,218,0
-1379,1676,1896,2208,0
-1552,412,-1009,2796,0
48,-1655,-3002,-1038,0
-1709,-1344,5408,-77,0
2948,-2932,-1672,536,0
-1043,-676,332,-1612,0
2698,1525,141,4714,0
1536,1527,-2847,137,0
1811,-1989,826,-2523,0
664,2164,-94,562,0
-965,777,-2801,1127,0
3753,-191,559,398,0
-17,912,1008,627,0
-101,-1788,24,-2348,0
2642,2757,-2934,2192,0
-1356,149,-2589,2276,0
568,318,-4268,-3875,0
3412,1469,-954,3253,0
-1154,-1437,1869,-3359,0
-407,1118,3259,4043,0
-892,2992,-2639,-218,0
-766,-2183,-2361,-3166,0
-1194,-1139,-2327,901,0
-1181,-587,-614,136,0
-1423,-2958,-783,53,0
232,-845,-137,-99,0
-374,-1253,-202,-1705,0
-2047,3884,495,-768,0
-1672,2914,-382,3842,0
-323,3519,-2811,-387,0
-2712,-1419,129,664,0
-356,2462,1582,205,0
3219,64,3321,2852,0
2458,-194,-1041,-1288,0
-1387,1039,3179,1323,0
-5483,1188,1572,136,0
2255,-2973,-1501,1444,0
-2065,1278,2554,1239,0
1857,-498,241,-989,0
2492,205,-2092,-441,0
-282,-183,-1628,-397,0
1978,-1456,-2348,3731,0
-3517,-1026,-117,777,0
323,1041,-2035,817,0
-1919,776,2682,-638,0
1388,1584,-3992,579,0
1197,-151,-1355,-3919,0
474,-1108,-307,2433,0
-377,-1279,1429,2572,0
-1648,119,-286,637,0
64,551,385,863,0
-2239,2584,615,-666,0
-1643,344,277,3356,0
1228,-1719,-274,2096,0
-1089,-3387,-3432,1393,0
2811,2874,2445,-1244,0
441,-2525,49,1629,0
-3409,1186,164,-269,0
-2783,5976,-1694,3983,0
416,-1425,-1546,3674,0
-797,712,237,2938,0
-2461,2212,-1473,-1928,0
4057,242,1409,4992,0
-259,-1165,-2,-1332,0
76,3887,184,802,0
