@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R1,5,13,18,21'

@attribute A1 numeric
@attribute A5 numeric
@attribute A13 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
132,749,-483,1391,0
722,-281,33,-1497,0
974,1189,413,295,1
-323,-14,-1025,2638,0
707,814,-404,-114,1
514,-2843,-1171,-1323,0
-187,-1484,135,1726,1
-2186,1911,-3168,1552,0
-564,925,-318,1114,1
1806,408,342,-854,1
3137,-2528,1676,-2134,0
1356,1652,377,254,1
-207,-1,45,3215,0
164,-2155,-1716,-137,0
73,1402,114,34,0
47,-101,1674,1383,0
463,628,146,456,1
1324,-1231,1106,912,0
-1582,-911,-454,2694,0
562,63,1952,1238,1
-608,443,857,1441,1
373,725,355,-19,1
21,1428,977,1146,1
-1249,1543,3742,907,0
-205,3058,216,159,1
-866,-1099,38,248,1
997,-1306,-1235,-1622,0
-1212,995,1067,-182,1
-721,1182,-276,-322,0
691,456,-616,2594,1
668,-2187,-1539,-1556,0
-128,578,1878,552,1
363,1289,1825,-908,1
-117,2954,-629,2256,0
-1603,1325,46,-362,0
-1023,-341,-498,-267,1
1156,-2543,792,-365,0
-474,-941,172,-382,1
-2096,-169,1257,-1562,0
-112,16,-2419,1611,0
5,-119,852,1066,1
168,117,-1514,739,1
3488,-1194,2548,-851,0
-3374,615,941,-1182,0
-2969,-1181,-3713,434,0
1437,1294,984,192,1
-705,-1098,-1667,321,0
93,-103,892,1164,1
1827,-1746,-3188,3883,0
684,1711,2561,139,1
1197,3081,1372,1165,1
236,-668,-1558,-311,0
554,-671,-1044,62,1
1463,2672,2236,1487,1
-4502,1458,-1016,-1018,0
-874,576,1562,176,1
2013,-17,1881,398,1
-605,-1043,662,-546,0
1235,736,9,1676,1
1469,-228,669,-589,1
704,463,-123,-608,1
-507,-159,299,1013,1
736,-1941,-1407,-1413,1
115,-581,-46,-39,1
727,-1729,4455,-278,0
-902,1014,-476,-2284,0
1156,1031,-446,-238,1
1738,314,3447,-1438,0
607,61,139,299,1
-227,27,409,7,1
-457,-961,-649,-2107,0
176,-1002,1475,-1262,0
-342,-325,156,1463,1
2245,488,532,402,1
587,1537,2739,-1162,0
-2207,1051,-586,-3661,0
95,-3029,97,-446,0
-232,3345,-4651,2923,0
-1204,-566,-1949,-1276,0
2432,527,-235,297,1
111,-174,51,1989,0
1444,426,3,1543,1
2805,1168,102,1123,1
1592,-1212,1362,-607,1
-4108,3078,714,-184,0
-2989,1842,-2302,112,0
-1928,-81,-1104,-214,0
2882,-61,2141,372,0
708,2764,1316,-137,1
-23,179,1163,1982,1
-117,801,-3428,-402,0
1395,1329,1914,1095,1
-1484,329,2213,285,0
782,1081,29,62,1
-708,578,1951,-788,1
1014,-138,584,1201,1
-598,448,-1212,-2732,0
874,3174,-1356,2343,0
-2908,-2167,-2273,-135,0
-3921,-2362,-714,131,0
-2562,-1376,-3519,426,0
-2225,2548,43,2819,0
-296,54,-631,-255,1
529,-111,33,3247,0
5365,-3362,1732,-4508,0
1538,1346,754,1385,1
-1053,16,-407,-2009,0
678,494,-936,3456,0
-582,1022,273,42,1
-198,-2204,645,817,1
-236,335,733,831,1
734,39,646,1063,1
292,-985,-1264,3,1
743,233,758,-2023,0
-2223,3878,-1609,2663,0
1212,1093,3432,-159,0
1631,237,282,-35,0
-285,178,4196,-104,0
-3,1196,2043,1446,1
85,1108,-24,84,0
-253,1274,926,-309,1
521,1517,118,-3153,0
1524,464,476,2984,1
-82,31,2635,1533,1
13,686,746,-1426,1
1298,-1,346,-228,1
-482,785,808,3488,1
1665,1012,584,-29,1
777,-822,466,501,1
-318,-2242,3901,-1494,0
1178,554,759,993,1
-153,621,1506,547,1
722,172,-1424,292,1
-33,419,102,303,1
3207,-1235,111,43,0
-557,-496,-3474,1705,0
1089,107,-2022,-1116,0
2804,1371,-4506,834,0
-168,-892,984,-687,1
1567,2733,24,-698,1
262,512,3696,-1476,0
813,234,951,-118,1
3547,422,2368,462,0
-648,919,764,228,1
-71,-1358,1006,-461,1
3688,-86,575,-501,0
827,-1,-657,2004,1
244,2652,-1099,1026,1
-192,1128,-662,8,1
-685,-786,-302,-3805,0
746,179,347,1316,1
813,2056,2262,2831,1
-176,-4631,2404,-1504,0
-2559,617,-1435,-498,0
248,-983,2701,-2428,0
-16,1009,-1351,1854,1
-28,-1665,1564,-159,1
-598,2995,1109,1489,1
3171,36,2,-5401,0
19,-2486,-719,-142,0
663,-65,2172,-2424,0
1066,-3741,1244,-1746,0
-48,-2351,-573,-643,0
1994,3363,796,2216,0
2142,-1836,-547,-1918,0
-867,-282,-839,-73,1
-322,683,-436,-649,0
1426,1765,-2392,83,0
1398,-726,-33,-212,1
-2873,1801,3259,-691,0
-4,173,-108,2147,1
2536,-1746,-439,59,0
976,-2066,-799,251,1
477,-455,1239,-175,1
925,1335,983,-847,1
741,1289,3003,1833,0
492,1648,442,1041,1
226,-269,-2421,-1067,0
-656,3772,4402,-2685,0
747,-109,1583,1734,1
149,81,28,-2694,0
28,1648,2918,284,0
462,-838,1364,-2062,0
-533,-1465,-369,-3464,0
451,-44,569,735,1
1216,-152,-651,-744,1
518,-43,-2206,-776,0
75,-1639,-65,-3824,0
-494,-1062,459,-1005,0
2731,2154,-506,-1489,0
-364,56,-389,961,1
923,-18,647,-762,1
-1,-72,882,-23,1
1831,241,2452,894,1
122,1116,1984,-1971,1
-442,1575,-116,572,1
476,-236,2189,1242,0
-392,-2788,-713,-592,1
-194,289,1429,1306,1
-87,3302,1645,3664,1
-302,553,56,-434,1
178,477,1383,-39,1
-935,871,1624,697,1
1283,67,-2797,951,1
474,512,276,533,1
-2572,-1731,376,36,1
-223,2503,1233,685,1
1573,2893,438,1367,0
47,-277,599,322,1
-4222,-246,292,1441,0
145,3169,2019,1329,0
-168,423,981,-146,0
-326,-879,-581,2606,0
13,-137,283,374,1
-1031,778,31,1182,1
-3964,-1067,2501,-23,0
-2548,1742,-976,-1132,0
204,-2858,3144,-238,0
-15,-2167,979,2378,0
-729,2742,-735,862,0
4535,-1747,56,-295,0
1443,606,-756,977,1
2459,-602,-1048,-512,0
-203,51,-3918,-693,0
221,414,-185,-3633,0
382,1095,95,1209,1
1076,1306,-1261,-7,1
3129,649,-419,2082,1
1876,77,81,1271,1
1177,2593,1073,-514,1
1195,-94,1513,-579,0
1193,236,688,721,1
175,-1046,1819,55,1
758,348,197,309,0
-73,-1439,1017,1742,1
-688,-746,-5099,2044,0
1791,556,299,-1825,0
838,-73,-326,2125,1
-408,1586,126,-739,1
-713,1033,-1072,1027,1
157,-523,-6,3896,1
-619,142,-322,188,1
1933,2558,765,297,1
1525,2626,554,474,1
-3753,-2585,1578,2584,0
1446,-2664,-171,-173,0
1374,1588,996,993,1
485,-138,-235,1186,1
1968,-3646,-1241,1059,0
2021,-2055,334,16,0
928,-2359,-238,1829,0
-784,4384,68,481,0
2146,346,3031,1608,0
1546,1952,767,-472,1
-824,3193,-1636,78,0
886,-127,373,247,1
124,848,234,2793,1
896,173,-1162,1918,1
699,-936,-1043,1037,1
-1411,147,4286,1432,0
-165,-568,-425,-445,1
821,-818,-1276,673,1
-399,-537,452,2662,1
2134,1971,-109,1435,0
1559,1092,-388,898,0
-3617,1116,-514,424,0
-2801,-4242,-1387,4034,0
1656,2083,905,15,1
1697,-961,1122,935,1
68,-441,-1163,574,1
646,334,-61,-231,1
-1887,347,746,1595,1
-98,1421,281,-2483,0
-216,-402,976,-19,1
-1,1948,1358,126,1
-15,88,1148,896,0
-815,-6,-4308,2541,0
29,291,86,-636,1
268,-114,-4444,-64,0
-1756,1528,-1136,-2044,0
314,-296,1085,1273,1
-173,2878,18,2473,0
352,-145,2259,617,0
-721,-2864,4599,1399,0
-1162,1372,-425,1444,0
1203,1341,4838,-2175,0
2056,784,-37,-1305,1
2501,-972,494,-1375,0
1998,-685,1508,1439,0
2567,86,285,403,1
598,196,615,2476,1
-598,-257,-616,401,1
1531,398,636,-56,1
2514,944,-1678,-2272,0
-588,2832,-42,-449,1
1834,-2811,-2628,-1864,0
3043,-2148,-4796,4085,0
1379,943,847,857,1
1274,946,-83,1821,1
2346,3146,2677,-634,0
1908,-3235,-2044,1159,0
2532,-2254,116,-71,0
2245,-241,62,1609,1
156,1022,-766,608,1
1647,-268,271,-15,1
-3211,2116,2479,-602,0
25,-1023,-5411,3965,0
94,-51,3736,-1476,0
104,987,291,-473,0
-733,1424,501,1132,0
-1396,443,-522,2318,0
1253,14,-2038,323,0
437,918,-238,1568,1
-524,-31,227,816,1
-137,-419,1219,-516,1
933,-721,664,1364,1
-1871,745,-1553,-729,0
489,757,1448,36,0
2131,508,-4048,1,0
3739,-365,3288,-192,0
-5,1195,951,-942,1
3212,-165,-1,121,1
-4234,591,1816,-1185,0
-2182,-91,904,-595,0
2937,166,-642,299,1
1261,-321,1106,-1476,1
371,-548,1049,1775,1
1038,1389,838,55,1
1466,555,431,972,1
149,1126,226,1832,1
-1147,-4418,-3442,3035,0
3163,651,-1186,-2456,0
-2454,-3,-29,-2762,0
2869,2546,-2713,436,0
-878,-385,2113,2139,0
-2016,-2298,306,2492,0
829,-111,1081,596,1
261,-574,-3959,324,0
2029,-222,-216,972,1
705,1633,994,296,1
2,382,2174,-714,1
209,114,-329,14,1
-66,285,1455,-61,1
361,-197,-3042,-103,0
-277,1287,-1529,-2249,0
-326,501,289,-192,1
4297,1783,3283,426,0
1695,-127,-153,-201,1
2332,-748,1062,1144,1
-1668,1897,1266,-1653,0
23,-984,164,-514,1
231,532,437,892,1
62,-277,-1119,-2875,0
-75,1342,175,-14,1
-1968,1345,-4082,17,0
-2355,-741,282,-1085,0
-1954,-2664,-669,586,0
-301,4197,-4885,-1044,0
281,486,-33,5567,0
189,-1889,-1469,2907,0
336,2218,1504,-1072,1
-1176,1131,1344,1862,1
-119,-1861,-3065,996,0
917,363,-439,728,0
-75,-126,-4887,-1579,0
2427,758,-3473,385,0
-2458,-2651,-156,-38,0
849,-744,-49,314,1
-3646,1411,-1511,2383,0
-1152,858,1811,3678,0
721,278,-49,-212,1
-2709,694,591,-712,0
-3108,-177,1141,-6305,0
1124,1215,2788,-222,1
1787,-454,-685,27,0
-851,2308,798,755,1
1348,-447,2819,794,1
-2179,1603,843,882,0
-58,-92,-507,-898,1
494,409,-3554,-313,0
-101,-316,615,87,1
-312,683,-2852,4606,0
2545,-1,356,-1486,0
196,-645,799,11,1
267,1631,-599,335,0
112,-493,844,951,0
-457,1103,-1336,-3182,0
331,-3903,-3892,-2902,0
116,429,1227,1608,1
-203,1455,908,1437,0
2606,1207,-91,656,1
2311,2368,152,9,1
-3914,2246,-537,-4191,0
375,6333,-3667,1014,0
-37,1616,1464,235,1
-262,2765,-639,-74,0
1862,524,-1253,2792,0
22,662,186,1258,1
-72,1904,13,623,1
2384,353,4598,-2517,0
1375,1244,483,3121,0
702,-1335,-735,168,1
809,-937,2195,687,1
1881,-266,1111,144,1
-2969,-1109,-688,3659,0
2755,1414,234,-713,0
-2372,266,-2534,847,0
42,-968,-273,651,0
-2871,2008,79,-132,0
1914,-606,-547,-966,0
1013,1654,-236,1712,1
1048,-3793,747,576,0
-1328,-222,-69,-6,0
-1245,-642,-2019,-637,0
1368,322,-562,639,1
-1036,215,-81,162,1
1685,659,508,198,1
388,728,52,66,1
-632,-125,-1227,-95,1
-805,1125,792,648,1
846,-194,539,805,1
529,-64,857,544,1
1442,-123,519,89,1
497,1145,1098,141,1
-16,1287,-1121,991,1
-314,548,39,-1517,1
411,221,142,12,0
-286,1818,-1317,185,1
191,1069,2007,-619,1
1844,-1918,42,-1016,1
94,431,688,1908,1
385,-2402,-2342,-118,0
1868,-632,-1617,1578,0
1636,996,-1907,-579,1
419,1176,1607,517,1
-1832,1695,-498,204,0
-4135,-2051,2898,6,0
1223,-2243,313,1039,1
2863,-2109,8,4293,0
-1292,-3905,-1927,-1216,0
-295,-2011,-497,1865,0
584,1399,155,1182,1
1516,-1657,4425,-82,0
1105,-178,2136,-485,1
4034,-1358,3435,621,0
869,-516,-549,-752,1
-2299,-108,1057,-2182,0
-893,647,661,868,1
3347,-3,-2258,2258,0
826,-11,1919,-301,0
363,-2079,-142,-116,0
503,-769,1127,149,1
2699,-102,-409,791,1
203,1192,608,1314,1
-1129,509,-3995,-3309,0
