@relation ring

@attribute A2 numeric
@attribute A9 numeric
@attribute A11 numeric
@attribute A15 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
4402,1283,533,1236,-2489,0
1331,1754,2942,-12,3674,0
113,1183,3122,-1063,-1796,0
1229,2711,-475,-3428,-2846,0
2665,-157,-264,-1095,-2081,0
1966,4106,1126,-1742,-1033,0
-3229,1048,245,-779,-8,0
-633,98,252,619,-845,0
-1926,-2027,1026,-591,-3656,0
59,-639,1247,414,1368,0
-1535,1978,-2865,858,-718,0
628,-3382,-682,7,-2685,0
1297,-304,-6,266,-13,0
77,-744,-953,766,-985,0
-953,1593,-484,-296,685,0
413,-3107,4381,-1408,49,0
-1419,917,-1284,375,-2134,0
-835,1159,99,159,206,0
2788,-2032,1492,-3554,2205,0
1497,2438,1268,-1861,-2128,0
-315,3893,-219,-3917,335,0
-129,-709,1044,-727,216,0
-178,-2452,398,439,632,0
-1379,2942,71,-1676,-1231,0
-61,-2771,115,1052,617,0
929,1215,-3511,-607,323,0
4686,184,1384,1072,-2079,0
-2193,-733,-2232,-1145,-73,0
-3234,1259,216,4215,2063,0
2738,2338,-172,2365,2278,0
68,-4893,906,-487,877,0
-253,1394,1712,5213,-265,0
-1526,1172,-789,2226,3034,0
-1259,-1289,-342,-109,1238,0
1216,1764,3066,-125,-555,0
4367,1816,929,1026,-1096,0
1656,-67,-1771,-2011,-486,0
105,-208,-956,327,-734,0
-206,1727,-2147,-1746,-742,0
-215,-1075,2373,2831,-156,0
-748,2749,1252,1222,2096,0
-367,265,-1345,891,-1539,0
2779,97,1498,2044,228,0
622,-2468,565,-69,-1634,0
1527,-2279,-1784,2433,-431,0
-542,-2263,-1066,1066,103,0
2605,-3467,974,667,-1776,0
-192,-2426,1479,2611,404,0
1492,2848,1115,-248,1389,0
3064,224,103,84,1965,0
818,-948,-216,-851,-984,0
-685,1019,-286,-1258,-1032,0
161,-515,829,-45,209,0
-1361,171,691,-1632,4413,0
1917,-442,-3097,-1357,-405,0
-1218,-424,-2826,-565,-84,0
-2721,7,-2672,-314,-2503,0
2536,-1446,-483,-1945,5041,0
104,69,-1729,-1448,-813,0
-1094,1031,849,1216,511,0
1709,1252,-2911,512,1715,0
4378,-2331,-2694,4242,2819,0
4589,131,-2642,1689,2215,0
2958,385,1276,967,703,0
1181,1372,-1387,1751,3253,0
