@relation ring

@attribute A7 numeric
@attribute A9 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-288,445,373,0
1092,2516,-1306,0
-237,2354,-2524,0
111,-826,-893,0
1922,-2065,-2175,0
1308,-59,-2125,0
1879,-4194,-3943,0
-445,407,2459,0
2527,-716,-228,0
1849,-1459,-732,0
119,-599,1052,0
945,-155,-622,0
-2808,-625,-136,0
1154,-2439,-228,0
4713,-2509,1215,0
135,487,8,0
507,-2102,-2905,0
-2575,1384,136,0
17,-977,3751,0
3099,1671,2424,0
638,429,1443,0
2579,1084,3291,0
-158,289,483,0
2928,-1569,2198,0
1885,1332,179,0
-1267,-701,1737,0
2037,148,1317,0
-2889,-5894,-1476,0
1809,1221,522,0
-795,3281,-524,0
458,-37,3942,0
-1667,1947,276,0
29,706,1091,0
214,298,4435,0
-1156,-1736,-291,0
1455,631,1047,0
-999,-501,-129,0
624,122,3386,0
3047,494,43,0
3996,-642,-1605,0
-11,-2,-348,0
122,-416,27,0
2756,54,952,0
995,-2214,737,0
-796,128,-97,0
1163,2109,4228,0
2125,-206,-859,0
-1232,155,-395,0
-169,85,-2064,0
-366,-1043,-2524,0
-1141,-151,-2475,0
-4596,55,1781,0
-1171,-8,1696,0
1142,207,-1259,0
288,-918,-744,0
-1304,-881,802,0
2102,1432,1512,0
-738,-1078,-1174,0
34,-2537,-416,0
-731,-404,1402,0
-1347,1862,2621,0
2141,-562,1943,0
2434,4384,-1264,0
1055,-4174,2042,0
1071,1933,1236,0
2326,246,281,0
-122,-1557,-2244,0
-317,-698,1128,0
2142,228,14,0
74,-773,12,0
546,-664,-1438,0
-602,328,-1534,0
652,-1118,2288,0
1909,-1954,5323,0
66,702,551,0
2622,-1206,994,0
-1773,2903,-1945,0
1371,2815,-4102,0
-71,-1542,-148,0
2341,-159,-1835,0
-57,-7,1772,0
155,-3078,3063,0
-1317,-592,-2124,0
1642,-2052,-251,0
-2216,872,1892,0
1167,77,-2831,0
-129,496,839,0
1954,-618,-1932,0
-523,1577,3,0
1978,2269,1951,0
-1903,-711,1752,0
-438,2402,2119,0
34,-5375,1362,0
4096,-1351,1816,0
-2164,-1045,-1886,0
1628,1457,-948,0
37,3714,-3779,0
1976,4846,-256,0
-317,-2221,806,0
2471,3176,4316,0
1103,-5064,195,0
-252,1757,1037,0
-1392,216,307,0
2082,2758,-1041,0
-2096,2717,67,0
325,1052,-1423,0
122,-544,2237,0
819,-1218,37,0
1074,-537,-2157,0
2826,986,-1395,0
-25,-1608,2549,0
1066,2071,984,0
-1448,2477,-1014,0
-32,-3914,-2019,0
745,3,-663,0
177,828,36,0
113,1802,-1536,0
-1172,-764,-1712,0
1032,22,-3039,0
-5,-718,3035,0
349,-631,-1125,0
1116,-2044,1592,0
132,-486,1178,0
-1657,2377,2279,0
1221,4271,-1417,0
579,-1458,-144,0
657,-1601,112,0
