@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,8,14,17-18,24,27,29,33,35,37'

@attribute Sp11 numeric
@attribute Sp13 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp18 numeric
@attribute Sp25 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp36 numeric
@attribute Sp39 numeric
@attribute Sp42 numeric
@attribute Sp46 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
84,102,83,80,79,103,84,99,81,113,84,84,104,3
68,86,72,68,76,83,68,83,70,81,71,67,85,4
68,94,79,76,79,83,76,91,81,85,67,75,96,4
88,115,87,88,91,107,88,112,88,113,88,88,109,3
84,111,87,84,87,112,88,103,88,118,93,93,113,3
88,115,91,88,87,107,92,107,88,109,88,88,109,3
88,111,87,88,87,103,88,99,85,109,84,88,100,3
88,104,85,88,88,103,84,103,92,112,90,90,112,3
97,113,88,92,92,107,93,107,92,112,90,90,112,3
92,118,88,88,88,107,88,107,87,108,90,86,112,3
84,108,85,88,85,103,88,103,83,104,86,82,104,3
88,108,85,88,85,103,84,99,83,104,86,82,100,3
67,85,71,67,79,49,49,40,125,119,46,42,119,2
79,104,83,84,87,40,63,67,78,119,52,71,97,2
88,109,87,88,87,100,90,104,85,105,87,92,114,3
88,109,83,84,87,109,90,109,89,110,87,87,110,3
84,104,83,84,83,100,86,100,81,105,87,87,97,3
84,104,83,79,75,100,86,100,85,105,83,83,105,3
79,100,75,75,71,100,86,100,81,105,83,87,105,3
66,88,70,59,81,45,46,37,131,124,44,42,124,2
86,104,81,86,81,103,87,99,86,110,89,89,110,3
82,108,81,82,78,99,83,99,79,114,89,85,110,3
86,112,85,86,85,103,83,103,83,105,82,82,105,3
86,112,85,82,81,103,87,103,72,105,82,82,105,3
87,114,86,87,90,120,93,115,104,125,88,88,136,3
92,135,109,96,105,125,93,130,97,136,88,88,125,3
79,93,72,79,68,92,78,88,73,98,80,80,94,4
87,105,86,87,83,102,85,102,83,106,88,88,115,3
83,110,83,87,86,97,82,97,90,115,84,84,111,3
92,110,90,87,86,106,89,102,87,120,88,84,111,3
83,101,79,79,79,102,85,102,83,106,88,88,111,3
63,72,64,59,64,75,60,63,62,78,64,68,78,7
97,119,97,89,97,120,88,120,102,139,88,92,128,3
44,124,136,42,133,31,44,34,135,133,43,43,128,2
85,110,83,85,83,111,88,102,87,108,88,88,108,3
93,114,90,93,90,111,88,106,83,113,88,88,108,3
89,114,87,89,87,106,88,111,91,113,88,88,113,3
89,110,83,89,87,111,92,111,91,118,88,88,113,3
85,114,87,89,83,106,88,102,83,113,88,88,113,3
44,125,135,47,139,31,46,34,135,123,44,44,123,2
44,120,120,64,83,34,50,51,81,128,48,59,104,2
88,111,87,92,87,107,88,107,85,113,93,93,109,3
88,106,83,88,87,107,88,103,88,109,84,84,118,3
84,102,83,80,79,99,80,95,70,93,71,75,85,7
88,139,103,88,103,126,88,121,96,133,90,90,122,3
84,100,78,80,74,99,84,91,79,100,82,82,100,4
80,100,74,80,74,91,84,95,75,96,82,74,96,4
71,96,74,76,70,72,59,58,116,108,49,43,127,2
43,128,135,43,132,37,48,34,129,117,49,46,122,2
88,113,88,92,88,107,88,107,87,108,86,86,112,3
88,118,92,88,88,111,88,107,92,112,86,86,108,3
88,118,88,88,85,103,88,107,87,108,90,82,100,3
88,113,92,88,87,109,90,113,92,114,92,92,119,3
88,109,87,88,87,104,86,104,85,110,87,87,114,3
88,113,87,93,92,104,86,104,89,105,83,87,105,3
88,123,96,93,96,113,95,113,92,114,92,92,101,3
82,96,78,78,81,95,79,91,90,97,53,47,119,4
46,138,151,46,151,30,42,30,142,135,44,44,129,2
49,117,129,46,129,34,46,37,124,114,47,47,114,2
82,112,89,86,92,103,87,108,86,110,89,89,110,3
86,112,92,86,89,108,92,108,86,114,89,89,114,3
92,130,105,96,94,125,93,120,94,120,92,88,115,3
96,119,94,92,90,120,93,115,90,115,88,88,111,3
92,114,90,87,83,111,93,106,80,111,92,88,111,3
42,135,150,42,142,29,44,34,143,136,44,44,136,2
46,119,127,46,124,34,47,37,115,120,44,44,115,2
87,114,86,87,90,111,93,106,90,106,88,88,111,3
92,114,86,87,86,111,89,106,94,115,92,92,120,3
67,75,60,71,60,75,70,84,69,86,72,72,86,7
93,119,94,89,90,111,88,102,91,113,84,88,113,3
44,119,126,50,115,31,50,40,116,128,46,53,108,2
44,129,143,44,143,31,44,31,135,133,46,46,122,2
44,124,143,44,136,31,44,31,131,133,46,46,122,2
42,119,129,44,129,31,44,31,124,122,46,46,122,2
93,119,94,93,90,115,88,111,87,108,92,92,118,3
89,110,90,85,87,106,88,106,91,108,92,92,113,3
89,114,94,97,97,115,92,120,87,122,88,80,91,3
67,78,58,67,62,62,60,62,61,67,53,60,75,7
67,70,55,60,58,69,64,66,57,79,68,64,71,7
84,111,91,88,91,107,92,112,88,113,93,93,118,3
44,125,135,44,135,31,46,34,132,128,48,48,123,2
80,102,79,84,87,83,84,99,88,109,79,88,109,3
88,111,83,88,91,103,88,103,88,104,88,93,113,3
88,115,87,88,87,107,88,107,88,118,88,93,118,3
64,67,54,64,61,68,64,68,63,77,67,63,70,7
76,90,68,72,61,75,71,79,59,70,67,63,74,7
46,139,143,50,135,32,44,32,133,133,46,46,127,2
46,122,121,53,103,37,48,40,100,127,46,49,112,2
46,118,121,43,121,37,48,40,116,112,49,46,117,2
84,113,88,88,88,107,88,111,87,100,86,90,108,3
92,118,92,92,88,111,93,111,92,117,90,90,122,3
71,79,63,68,59,72,63,68,58,73,63,66,76,7
44,139,141,44,146,34,43,32,144,114,42,42,130,2
44,128,137,44,129,37,43,29,133,105,46,42,130,2
67,74,58,63,58,56,66,67,59,65,59,63,79,7
71,96,75,75,79,75,70,79,66,75,67,63,75,7
43,138,144,46,144,34,46,32,142,124,44,44,124,2
46,122,129,49,118,34,49,34,116,114,44,44,119,2
46,122,125,46,118,32,42,34,116,124,44,47,114,2
49,117,125,52,107,37,52,45,83,97,70,78,97,2
90,117,92,95,96,112,96,117,94,114,97,93,114,3
90,117,96,90,96,108,92,112,90,114,89,85,110,3
90,122,96,90,96,112,92,108,90,114,85,85,105,3
90,117,96,90,96,108,92,108,83,110,85,82,101,3
78,92,81,74,78,73,71,77,68,74,63,60,67,7
59,66,44,56,48,51,59,54,49,74,57,57,70,5
92,114,94,92,98,115,97,115,90,120,88,84,102,3
42,124,135,42,135,34,44,34,136,125,44,47,125,2
44,124,136,44,133,40,44,31,128,113,50,43,133,2
44,110,119,44,111,37,50,40,102,100,64,68,91,2
47,110,111,50,115,55,64,69,65,87,68,64,75,2
50,105,115,53,111,69,68,77,61,75,64,64,75,7
92,120,94,92,94,99,84,95,78,96,84,79,100,4
80,94,76,72,76,91,84,91,85,96,84,75,93,4
44,125,139,44,139,31,43,29,125,123,44,44,118,2
47,120,124,47,124,36,50,36,121,118,48,44,118,2
97,120,94,97,94,112,88,107,81,96,79,84,104,3
88,115,91,88,87,99,84,95,81,96,84,84,104,7
88,106,83,84,83,95,84,103,78,104,84,71,85,7
53,60,42,57,50,61,60,61,63,85,59,59,81,5
80,96,81,71,74,91,79,91,79,96,78,78,100,4
71,91,74,76,74,91,84,95,79,96,78,82,104,4
68,100,85,50,132,87,63,58,137,104,82,78,92,2
56,100,92,64,81,75,67,72,58,80,63,63,69,7
68,91,70,71,63,72,67,72,58,69,63,63,73,7
64,75,56,64,56,75,67,75,62,73,66,66,84,7
92,118,92,88,88,99,79,95,79,92,82,78,92,7
84,100,79,79,79,91,82,91,81,97,79,83,105,4
71,74,58,67,58,67,66,71,63,72,67,67,82,7
84,96,75,71,67,87,78,83,66,97,79,75,82,7
75,85,67,75,71,75,70,83,74,90,75,75,97,7
55,77,67,55,75,49,56,53,70,72,56,59,82,5
82,96,78,82,78,99,83,95,75,110,85,85,101,4
49,117,129,46,129,45,49,37,116,89,50,44,105,2
63,88,74,66,70,70,63,70,53,67,60,63,74,7
63,69,55,63,55,66,67,66,53,70,63,63,74,7
66,88,66,74,74,81,75,84,72,82,70,74,89,7
82,100,78,82,78,95,75,84,72,85,74,74,85,7
70,88,70,78,74,84,75,88,75,93,74,74,85,7
59,80,63,66,66,57,59,60,68,85,57,60,82,5
92,105,83,83,79,115,89,111,83,115,97,97,111,3
83,101,79,83,79,106,85,97,80,111,88,88,102,3
63,68,53,67,57,71,63,67,58,71,68,68,74,7
