@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,8,10,12-13,18-21,31,37'

@attribute Sp12 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp44 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,76,102,79,84,99,104,81,76,104,3
102,87,98,79,80,112,118,88,80,104,3
98,76,89,76,76,91,100,74,76,93,4
98,83,106,83,88,103,108,81,88,113,3
98,83,102,83,88,103,108,88,84,113,3
112,81,99,78,88,107,113,87,84,127,3
99,81,99,85,84,103,104,79,79,108,3
99,88,107,88,79,107,109,87,79,104,3
91,74,95,74,79,95,100,79,75,96,4
91,78,91,74,75,87,93,71,79,84,4
83,67,83,67,71,75,81,67,71,88,4
91,81,103,85,67,83,96,83,79,122,4
112,88,103,85,88,107,109,83,84,108,3
99,85,103,88,88,103,109,87,84,112,3
103,85,103,85,88,103,113,83,84,104,3
137,104,121,100,90,113,117,92,90,114,3
87,71,87,67,74,87,88,66,78,90,4
75,62,75,71,66,60,96,81,56,119,2
103,87,111,92,90,104,112,85,90,114,3
103,92,107,92,90,109,112,85,90,114,3
107,87,107,87,90,109,112,89,90,114,3
107,92,107,87,86,104,108,85,90,105,3
99,79,95,79,90,104,108,89,86,110,3
95,83,103,83,86,100,100,85,82,110,3
99,79,95,79,82,96,104,78,82,105,3
64,71,54,67,66,63,76,66,59,75,5
123,85,100,81,96,108,114,86,83,129,3
83,63,79,66,67,77,86,72,63,110,2
79,70,60,81,59,45,119,116,46,124,2
104,89,109,89,92,103,110,90,87,114,3
96,85,109,92,87,103,105,86,92,110,3
104,85,100,78,83,103,110,83,83,114,3
75,66,75,66,71,77,82,64,71,82,7
103,109,127,105,93,125,135,104,93,136,3
127,86,103,83,93,120,129,97,78,125,3
88,64,77,72,67,63,97,90,53,125,2
99,86,108,86,82,106,114,90,93,111,3
108,86,103,90,89,102,110,87,93,115,3
115,104,130,101,88,125,136,109,88,128,3
102,83,102,83,76,98,102,79,80,100,3
88,73,88,73,80,89,90,68,80,96,4
97,83,111,87,84,102,115,91,88,113,3
106,83,102,83,88,102,102,83,80,104,3
31,120,73,83,43,34,118,132,50,128,2
106,87,106,91,88,107,104,88,88,113,3
106,87,106,87,84,103,113,88,88,109,3
106,87,102,91,88,107,113,88,88,118,3
106,87,106,87,88,107,113,88,88,109,3
106,87,102,83,88,103,118,85,88,109,3
85,68,85,72,71,83,91,74,76,89,7
91,74,68,88,59,45,113,116,44,127,2
31,132,31,135,48,34,118,129,44,122,2
103,88,107,88,88,103,109,87,88,108,3
107,87,107,87,66,96,104,81,90,101,3
103,83,103,83,90,109,108,89,86,110,3
107,92,107,87,86,104,108,89,86,110,3
107,92,111,92,90,109,117,85,90,124,3
123,96,109,89,92,117,119,94,92,124,3
109,81,100,81,92,103,105,83,83,114,3
32,129,34,129,46,34,119,131,46,114,2
109,89,109,89,87,112,119,90,92,114,3
112,94,112,94,93,115,119,90,89,111,3
112,90,103,83,93,111,119,94,93,111,3
37,124,37,127,47,34,114,126,47,120,2
112,90,112,90,93,111,119,94,93,115,3
91,72,84,68,63,71,78,58,67,67,5
84,68,73,60,67,75,82,62,67,67,7
77,64,77,64,70,84,89,73,74,90,7
125,94,115,94,97,115,115,94,88,113,3
49,126,31,133,53,29,125,135,47,122,2
43,143,29,150,50,46,111,116,44,108,2
106,90,106,90,84,106,111,87,88,113,3
92,73,84,65,60,66,67,57,64,56,5
88,65,79,62,60,69,71,57,64,67,5
84,62,71,58,64,66,67,54,64,67,5
75,58,67,55,60,69,74,61,64,75,7
75,58,71,65,64,69,71,61,68,83,7
75,55,63,58,64,69,74,57,64,79,7
111,91,102,83,88,103,108,85,84,104,3
29,135,31,135,46,31,128,135,46,134,2
111,87,111,87,92,112,118,88,88,118,3
107,88,112,88,93,111,113,92,93,117,3
57,49,57,49,55,51,67,46,59,62,5
75,63,75,59,67,72,74,58,63,73,7
34,121,58,96,49,34,117,122,49,114,2
107,87,107,87,90,113,112,92,90,105,3
95,75,79,67,74,87,92,74,74,86,7
54,42,54,46,56,53,66,44,59,68,5
54,46,51,46,59,56,62,44,59,72,5
109,85,113,92,96,112,114,94,92,124,3
96,81,96,81,79,91,97,79,83,101,4
91,74,56,103,79,95,93,75,71,97,4
34,144,32,144,56,32,130,146,42,119,2
32,144,32,144,42,34,130,142,46,124,2
32,144,32,136,46,32,130,142,46,119,2
34,111,34,111,49,37,114,116,52,114,2
113,92,113,92,92,103,105,83,83,101,3
104,81,91,78,79,73,79,64,71,74,7
112,94,117,98,97,115,124,94,97,120,3
95,79,42,120,78,88,93,76,63,94,2
