@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,6,8-10,17,23,26-28,31,34,37'

@attribute Sp12 numeric
@attribute Sp16 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp28 numeric
@attribute Sp35 numeric
@attribute Sp38 numeric
@attribute Sp39 numeric
@attribute Sp41 numeric
@attribute Sp44 numeric
@attribute Sp47 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,102,83,80,102,84,104,121,128,100,113,99,3
94,98,72,76,94,76,100,91,96,71,93,87,4
62,73,76,80,94,71,100,83,96,79,104,99,5
49,49,68,53,52,56,67,48,70,62,70,48,5
83,83,67,71,83,71,85,71,88,70,96,49,4
112,112,88,92,112,93,113,109,112,85,117,109,3
126,121,100,84,107,90,127,108,114,86,114,122,3
87,87,67,75,87,74,92,91,93,72,93,88,4
87,79,62,71,79,70,88,88,90,68,97,88,4
111,107,92,93,111,90,112,108,114,90,114,108,3
107,111,92,93,116,90,112,112,114,90,110,108,3
107,107,87,88,107,86,108,108,110,86,110,103,3
99,95,79,88,95,86,100,103,110,86,105,103,3
79,83,79,84,99,82,104,95,101,79,105,99,3
72,64,67,59,61,66,76,81,82,68,86,73,5
100,100,81,82,100,83,110,120,129,97,110,102,3
100,100,78,78,100,79,105,106,110,87,110,102,3
100,100,81,82,104,79,114,102,110,83,110,102,3
91,87,70,74,87,79,93,92,93,69,97,88,4
60,49,100,49,40,46,119,34,124,136,124,34,2
109,104,92,90,109,92,110,106,110,87,110,106,3
100,96,81,82,100,87,101,102,110,83,114,106,3
83,75,66,70,79,71,82,97,105,80,89,79,7
79,75,66,66,71,71,86,79,82,65,89,84,7
53,49,70,49,40,59,75,75,74,62,74,56,5
103,99,83,83,103,78,105,102,102,79,102,98,3
103,108,86,92,108,93,110,106,111,87,111,102,3
108,108,86,92,103,85,114,102,115,87,115,111,3
99,95,79,79,95,85,101,102,106,83,106,106,3
99,99,83,87,95,85,114,111,115,87,115,111,3
77,73,60,63,66,74,82,85,86,68,86,81,7
102,102,83,85,97,88,115,87,104,81,108,103,3
102,102,83,85,102,88,111,107,113,88,118,103,3
89,89,72,80,94,84,91,95,100,79,100,83,4
106,106,87,92,106,84,113,103,109,87,109,103,3
99,95,78,80,99,84,100,100,104,81,100,100,3
79,68,88,56,54,44,123,32,127,133,127,32,2
107,107,85,88,107,93,113,109,112,89,112,113,3
