@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1,8-9,11,14,18,20-21,24-26,29,37'

@attribute Sp11 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp22 numeric
@attribute Sp25 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
84,79,84,102,103,99,78,84,81,84,107,84,3
68,76,68,94,83,83,67,71,70,71,75,71,4
68,79,80,106,83,91,74,76,81,67,75,67,4
88,91,88,115,107,112,88,88,88,88,107,88,3
84,87,84,106,112,103,85,97,88,88,111,93,3
88,87,88,115,107,107,88,88,88,88,107,88,3
88,87,84,106,103,99,85,84,85,84,99,84,3
88,88,88,118,103,103,87,88,92,90,104,90,3
97,92,92,118,107,107,87,88,92,90,109,90,3
92,88,88,118,107,107,87,88,87,90,104,90,3
84,85,88,113,103,103,83,88,83,82,100,86,3
88,85,88,104,103,99,83,84,83,82,100,86,3
67,79,75,96,49,40,114,46,125,46,32,46,2
79,87,84,109,40,67,85,82,78,46,34,52,2
88,87,84,113,100,104,89,90,85,87,103,87,3
88,87,79,100,109,109,92,86,89,87,108,87,3
84,83,84,104,100,100,81,82,81,83,99,87,3
84,75,75,93,100,100,85,86,85,83,103,83,3
79,71,75,85,100,100,85,82,81,83,103,83,3
66,81,56,104,45,37,127,46,131,44,34,44,2
86,81,86,108,103,99,83,87,86,89,111,89,3
82,78,82,100,99,99,79,83,79,89,106,89,3
86,85,82,100,103,103,83,87,83,78,102,82,3
86,81,78,84,103,103,83,79,72,82,106,82,3
87,90,92,135,120,115,101,93,104,88,120,88,3
92,105,92,114,125,130,101,89,97,88,125,88,3
79,68,79,93,92,88,73,82,73,80,89,80,4
87,83,83,110,102,102,83,85,83,84,102,88,3
83,86,87,105,97,97,83,93,90,88,102,84,3
92,86,87,119,106,102,90,89,87,92,115,88,3
83,79,79,105,102,102,83,85,83,88,106,88,3
63,64,56,75,75,63,58,57,62,72,77,64,7
97,97,93,124,120,120,98,88,102,88,126,88,3
44,133,44,119,31,34,135,44,135,43,31,43,2
85,83,82,105,111,102,87,84,87,88,103,88,3
93,90,89,114,111,106,83,84,83,92,107,88,3
89,87,89,110,106,111,83,92,91,92,107,88,3
89,87,89,110,111,111,91,88,91,88,107,88,3
85,83,85,105,106,102,83,88,83,88,107,88,3
44,139,41,131,31,34,132,43,135,48,37,44,2
