@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10-12,16,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
61,197,1.515353,49.592594,44.22222,61.555557,-19.777779,6
243,120,4.359749,47.851852,44.77778,56.333332,-16.222221,4
146,97,4.597905,47.962963,46,54.333332,-13.222222,4
43,152,1.707408,1.518519,1,2.888889,-2.555556,5
88,89,0.385185,22.333334,21.666666,28.444445,-16.333334,1
140,124,0.444445,2.518518,0.222222,6.111111,-3.888889,3
245,238,2.538591,8.925926,6.333334,6.555555,14.888889,7
129,157,3.540741,23.148148,18.222221,32,-11.777778,4
69,75,1.407408,22.74074,22,29.333334,-17.555555,1
181,15,0.211111,140.2963,133.88889,149.55556,-8.555555,2
201,125,1.34026,43.37037,41.666668,49,-11.777778,4
45,108,12.795401,49.814816,41.77778,61.11111,-9.777778,3
206,61,0.403687,7.074074,4.666667,12.222222,-8.222222,5
151,163,2.285186,40,34.555557,48,-7.666666,6
161,154,0,0,0,0,0,5
23,172,0.894427,42.333332,38,51.22222,-13.666667,6
63,13,1.011116,141.81482,137.11111,148.88889,-7.111111,2
140,125,0.222222,3.925926,1.555556,7.777778,-4.444445,3
86,193,1.652159,61.407406,53.666668,76.55556,-22.222221,6
23,25,0.750305,70.44444,60.666668,89,-26.333334,4
222,131,0,0,0,0,0,5
86,187,0.720082,13.740741,11.666667,10.333334,16.444445,7
13,191,5.40741,25.296297,23.555555,29.88889,-8.555555,6
22,87,1.259042,64.03704,55.77778,80.333336,-24.11111,4
96,94,0.285185,20.222221,16,28.777779,-13,5
216,151,0.278887,0.111111,0,0.333333,-0.333333,5
33,142,1.377061,3.851852,1.666667,7.222222,-3.555556,3
2,44,2.388888,18.74074,17.333334,25.222221,-15.222222,1
155,20,0.327729,111.703705,98.44444,129.55556,-13.777778,2
37,167,0.562963,14.074074,11.666667,16.777779,-0.888889,7
20,134,0.088889,2.962963,1.111111,6.444445,-4.888889,5
108,113,0.207407,5.518518,6.888889,6.666666,-7.555555,1
141,68,1.007408,27.185184,24.222221,36.88889,-20.222221,1
37,126,0.062963,5.777778,7.444445,6.777778,-8,1
108,212,1.422221,8.037037,6,6.777778,9.888889,7
80,95,1.007408,21.407408,21.333334,26.666666,-15.555555,1
208,240,0.862963,14.148149,10.888889,13,13.222222,7
179,101,0.385187,134.92592,126.44444,147.22223,-11.444445,2
28,114,0.433333,1.851852,0.111111,4.666667,-3.222222,3
70,177,1.069789,49.444443,45,61,-21.333334,6
154,120,0.02963,5.962963,7.777778,6.777778,-7.888889,1
132,223,0.720082,16.518518,13.222222,13.444445,19.11111,7
32,113,0.077778,6.148148,7.222222,7.777778,-8.111111,1
81,67,0.459472,122.888885,112.333336,138.44444,-15,2
226,83,0.518519,90.62963,74.55556,116.888885,-30.555555,2
252,181,0.632456,16.296297,13.555555,13.888889,15.444445,7
92,56,0.029629,126,115.888885,140.66667,-13.666667,2
58,58,0.403686,123,112.55556,137.44444,-12,2
114,242,2.453268,24.074074,19.222221,22.444445,19.444445,7
62,140,1.007407,23,17.88889,32.22222,-12.333333,4
250,131,0,0,0,0,0,5
206,61,0.403687,7.074074,4.666667,12.222222,-8.222222,5
233,124,1.500617,40.925926,35.77778,51.444443,-16.11111,4
223,141,1.807408,9.851851,6,16.555555,-8.555555,5
31,106,0.72963,19.11111,19.555555,23.666666,-15,1
124,29,0.711108,128.44444,119.22222,142.88889,-15.666667,2
191,107,1.526312,29.222221,26.88889,35.88889,-13,4
190,186,2.245159,50.074074,45.666668,60.22222,-17.222221,6
199,144,0.516398,0.444444,0.111111,1.111111,-1,5
18,123,0.862963,1.074074,0.111111,2.666667,-1.888889,3
20,117,0,0,0,0,0,3
17,18,1.29386,125.62963,114,142,-14.222222,2
79,47,0.355557,126.37037,116,141.66667,-14.777778,2
240,26,1.0074,136.88889,131,146.55556,-11.333333,2
207,215,2.040334,23.814816,18.11111,22.666666,20.555555,7
29,125,0.062963,5.851852,7.222222,6.888889,-7.222222,1
24,58,0.162963,20.925926,20,27.333334,-16.444445,1
