@relation segment

@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
138,0.888889,0.562963,0.833333,0.3,4.777778,7.333334,1
50,1.055556,0.462963,1,0.488889,-4.111111,30,1
114,0.277778,0.062963,0.444444,0.074074,2,7.333334,1
67,1.388889,1.396297,2.111111,1.229631,-6.111111,35.88889,1
111,1.666667,1.466666,1.333333,1.022222,3.444444,22.222221,1
143,0.388889,0.062963,0.5,0.033333,5.666666,7.555555,1
122,0.444445,0.02963,0.5,0.166667,5.111111,8.111112,1
124,0.611111,0.151852,0.666667,0.311111,4.444445,7.888889,1
104,2.277778,2.107407,4,2.000002,-4.111111,28.666666,1
83,2.777777,4.918518,3.611111,2.374072,1.111111,23.333334,1
57,1.833333,3.411111,2.111111,1.718517,-4.888889,34.444447,1
142,0.388889,0.062963,1.722222,0.151852,5.888889,6.777778,1
64,1.444444,1.362962,1.666666,1.422222,-4,25.11111,1
51,1.666667,1.999999,1.611111,2.107407,-2.444444,25.666666,1
124,0.222222,0.02963,0.833333,0.388889,4,8,1
89,0.777777,0.385185,3.666667,4.044442,-2,28.444445,1
128,0.5,0.077778,0.666667,0.311111,4,7.111111,1
88,2,3.2,2.944445,1.040741,-5.444445,27.333334,1
123,0.388889,0.151852,0.388889,0.062963,5.666666,8,1
111,0.666667,0.311111,1.055556,0.507407,3.555556,7.333334,1
115,1.833333,2.388889,2.222223,4.96296,-2.666667,21.88889,1
140,1.055556,0.462963,1,0.577778,4.666666,8.222222,1
60,0.5,0.3,1.277778,0.729629,-1.777778,25.777779,1
111,0.388889,0.151852,0.444445,0.118519,4,7.333334,1
100,2.222223,1.362964,2.666667,3.644445,0.777778,25.555555,1
124,0.5,0.122222,0.611111,0.062963,5.333334,6.888889,1
45,2.277778,3.174073,3.277778,1.44074,-4.111111,28.777779,1
57,1.833333,3.411111,2.111111,1.718517,-4.888889,34.444447,1
62,0.777779,0.518519,1.222223,1.051853,-1.333333,27.222221,1
111,1.611111,0.907407,1.611111,0.818518,-0.444444,24.88889,1
91,2,2.177777,2.555556,2.162962,0.111111,24.555555,1
93,2.499999,0.211111,2.111111,9.140738,-4.444445,26.777779,1
116,0.388889,0.107407,0.333333,0.133333,3.444444,7.333334,1
101,0.888889,0.385185,1.722222,1.885187,0.777778,25,1
96,1,1.022222,2.777778,3.362961,0.666667,27.333334,1
103,1.277777,0.32963,1.111111,1.54074,2.666667,22.555555,1
73,1.388889,0.72963,2.611111,3.129627,0.444444,24.11111,1
74,3.888889,9.940739,2.166667,2.477778,-3.111111,30.555555,1
58,0.888889,0.162963,1.388889,2.285186,-2.777778,27.333334,1
89,1.277778,1.485185,1.666667,3.688889,-2.333333,30.444445,1
114,1.388889,2.018517,3.888888,3.762962,5.333334,20.555555,1
135,0.555555,0.296296,0.888889,0.074074,4.777778,7.444445,1
137,0.5,0.166667,1.111111,0.474074,5.777778,7.777778,1
86,0.888889,0.651853,1.722222,1.307409,-0.111111,23.555555,1
85,1.444444,1.051853,1.777778,0.962963,2.777778,21.88889,1
126,1.055556,0.374074,1,0.844445,3.555556,8.333334,1
114,1.166667,0.788889,2.111111,1.274074,4.777778,17.444445,1
107,1.166667,0.344445,1.777778,1.540741,6.222222,19.777779,1
86,1.444445,1.274074,1.222222,1.318518,-6.777778,35,1
69,2.055556,2.907408,1.88889,2.562964,-6.666666,34.444447,1
