@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,6-9,14,17,20'

@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
153,0.277778,0.062963,0.111111,0.02963,-1.111111,1.111111,5
145,0.722222,0.611616,0.222222,0.272166,-0.666667,1.222222,5
142,0.722222,0.827759,2,2.108185,-2.777778,3.666667,5
173,1.166667,1.069787,1.444445,1.642041,-8.333333,24.777779,7
122,0.277778,0.062963,0.333333,0.177778,4.333334,7.222222,1
145,0.944445,0.490654,1.777778,0.934919,-3.222222,5.777778,5
249,2.444444,3.629631,2.777778,4.207408,-8.888889,15.888889,7
199,3.222223,2.97894,5.611111,4.615995,-19.666666,69.77778,6
103,2.444445,3.096298,1.777778,1.496294,-15.777778,73.44444,4
41,1.722227,0.774073,1.111115,0.874068,-19.444445,147.22223,2
123,0.611111,0.374074,0.5,0.211111,-3.555556,3.333333,3
188,2.999999,2.573368,2.333333,1.299573,-18.333334,69.111115,6
250,2.277778,1.420746,1.444444,1.025599,-8,13.777778,7
134,3,2.044446,1.111112,0.385185,-19.11111,37.444443,5
111,0.555556,0.403687,1.944444,1.041722,-25.11111,30.11111,3
211,1.888888,1.327765,2.166666,1.149879,-10.555555,23.11111,7
200,2.277777,2.133507,3.777779,1.784709,-20.777779,76.44444,6
135,4.222222,1.128748,1.11111,1.025598,-12.444445,41,4
102,1.055556,0.062963,1.777779,1.229628,-16.444445,64.333336,4
184,0.5,0.077778,0.777778,0.785185,-6.222222,15.888889,7
61,0.166667,0.278887,0.722222,0.443054,-7.666666,12.333333,5
94,0.666667,0.311111,0.222222,0.02963,-2.888889,3.222222,5
174,1.888889,1.007406,2.888889,4.02963,-11.888889,24.333334,7
85,0.499999,0.299998,0.888887,0.607409,-36.77778,122.55556,2
116,1.5,1.633333,1.555556,0.874074,-1.444444,27.555555,1
189,1.722223,1.751853,2.666667,3.822227,-12,42.77778,6
86,0.277778,0.018519,0.277778,0.062963,-13.666667,21.11111,5
60,0.833333,0.388886,1.055556,0.329627,-29,138.33334,2
162,2.666665,7.155551,13.388888,9.662939,-17.222221,51.333332,6
