@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,5-6,8,13,19-20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vedge-mean numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,0,1.388888,1.166666,21.222221,2.651605,7
120,0,0.333333,0.444444,0.888889,-2.315721,3
62,0,0.555556,0.888887,102.77778,-2.178149,2
146,0,1.888889,2.111111,17.666668,-2.164971,4
92,0,0.888889,0.444444,8.111112,-2.137851,5
136,0,6.722223,2.666667,12.222222,-2.307511,3
13,0,0.833331,0.555557,128.44444,-2.386251,2
138,0,0.5,0.5,2.666667,-0.722894,1
75,0,0.666668,0.888888,77.77778,-2.232,2
68,0,1,0.888889,97.333336,-2.169999,2
100,0,0.722222,0.666667,0.777778,-2.337096,3
75,0,2.833334,2.222222,19.777779,-1.8356,1
173,0,2.166667,2.388888,48.88889,-2.048199,6
155,0.111111,4.944444,9.944445,8.555555,-2.140531,5
184,0.111111,1.666666,2.777777,43.555557,-1.96448,6
13,0,1.277776,1,113.666664,-2.351897,2
233,0,1.444444,1.166666,17,2.49158,7
196,0,1.444445,6.777777,40.666668,-2.105677,6
140,0,0.722222,0.444444,0.444444,-1.838877,5
181,0,1.666667,2.666667,23.88889,2.189135,7
187,0,2,3.555555,25.11111,2.254303,7
236,0,1.833333,3.055555,14.333333,2.083229,7
186,0,2.944445,2.055555,41.88889,-1.968511,6
75,0.111111,15.388889,26.611113,52.11111,-2.356754,3
111,0,0.722222,0.888889,3.444444,-1.175773,1
81,0,22.388887,15.166667,37.11111,-2.274461,3
108,0,0.777777,22.444443,40.11111,-2.015554,4
147,0.111111,3.111111,4.666666,43.11111,-2.056377,4
66,0,2.555555,2.166667,16.777779,-1.733544,1
57,0,0.722223,0.722223,61,-2.128801,4
54,0,0.777776,0.666667,104.888885,-2.351182,2
131,0,0.166667,0.277778,0.111111,-1.871048,5
94,0,0.722223,0.444445,15.888889,-2.084893,5
190,0,3.777777,4.555555,51.555557,-2.102898,6
85,0,0.833333,0.888888,83.44444,-2.208414,2
161,0,0.555555,0.777778,5,-1.996307,4
223,0,2.5,1.666667,10.444445,2.046588,7
105,0,5.944445,1.5,19.444445,-2.125548,5
52,0,0.388889,1.333333,121.55556,-2.348494,2
118,0,1.722222,3.444444,17.666668,-1.707392,1
201,0,2.833333,3.111111,26.88889,2.467938,7
203,0,3.055555,2.944444,25.444445,2.320382,7
134,0,0.388889,0.388889,2.888889,-0.912631,1
71,0,1.666667,1.499999,121.44444,-2.339758,2
148,0,0.777778,6.666666,19,2.91248,7
89,0,1.999999,1.222221,51.333332,-2.108757,4
158,0,2.166667,1.388889,6.111111,-1.943449,4
