@relation segment

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
88,1.885185,26.333334,0.888889,1
147,0.107407,11,-4,1
147,0.074074,6.666666,-0.777778,1
122,0.062963,6.666666,4.333334,1
129,0.562963,7.555555,5.333334,1
70,0.72963,30.11111,-2,1
86,0.833333,30.222221,-1.444444,1
63,1.574073,27.777779,-3.777778,1
113,1.52963,25.444445,-0.777778,1
123,0.088889,6.888889,3.888889,1
62,0.518519,27.222221,-1.333333,1
122,0.118518,6.888889,4.444445,1
143,0.207407,6.777778,4,1
122,0.02963,7.222222,5.111111,1
115,1.822221,28,-2.111111,1
119,0.518519,27.333334,-0.777778,1
124,0.074074,7.111111,3.666667,1
72,0.507407,35.444447,-7.333334,1
110,5.351851,21.444445,2.888889,1
111,0.151852,7,3,1
143,0.062963,6.444445,5.666666,1
101,0.385185,25,0.777778,1
107,0.655556,20.666668,3.444444,1
80,4.162963,34.444447,-6,1
126,0.062963,6.777778,5,1
64,1.362962,25.11111,-4,1
85,1.051853,21.88889,2.777778,1
138,0.074074,6.333334,4.666666,1
94,0.8,27.333334,-1.666667,1
90,0.596296,22.11111,2,1
111,1.466666,22.222221,3.444444,1
104,0.962963,24.88889,0.111111,1
114,2.018517,20.11111,5.333334,1
88,0.477778,28.444445,-2.444444,1
112,0.385185,8.111112,2.333333,1
68,3.040739,23,-0.111111,1
114,0.062963,7.444445,3.333333,1
78,2.34074,31.222221,-1.777778,1
104,2.107407,28.666666,-4.111111,1
68,1.007408,36.88889,-8.888889,1
111,0.074074,6.888889,5.222222,1
113,0.077778,7.777778,3.222222,1
114,0.196296,7.444445,4,1
124,0.151852,7.333334,4.444445,1
63,1.1,29.666666,-6.111111,1
147,0.133333,7.444445,-1.444444,1
111,0.907407,24.88889,-0.444444,1
81,1.674073,28.777779,-1.111111,1
77,1.851852,32.333336,-3.222222,1
128,0.077778,6.666666,4,1
54,1.674073,32.555557,-5.444445,1
133,0.266667,7.777778,5,1
118,0.062963,6.666666,3.222222,1
138,0.562963,6.555555,4.777778,1
132,0.077778,6.111111,5.222222,1
123,0.240741,8,4.444445,1
131,0.088889,5.444445,6,1
92,4.518517,23.333334,2.555556,1
61,1.574074,28.777779,-4.222222,1
87,3.096294,21,2.666667,1
135,0.296296,6.444445,4.777778,1
141,0.433333,6.222222,4.777778,1
89,1.762962,23.88889,-0.555556,1
131,0.42963,6.666666,4.777778,1
77,3.940742,31.555555,-3.111111,1
67,0.88889,25.88889,-1.333333,1
70,0.311111,34,-4.777778,1
88,3.2,27.333334,-5.444445,1
124,0.074074,7.111111,3.666667,1
135,0.207407,4.777778,4.555555,1
129,0.251852,7.444445,4.777778,1
101,1.288888,26.777779,-0.222222,1
64,1.144445,31.88889,-4.222222,1
118,0.118518,7.666666,3.888889,1
143,0.044444,5.444445,4.777778,1
120,0.844445,30.444445,-4.666666,1
134,0.251852,7.111111,4.111111,1
122,0.107407,6.666666,4.111111,1
142,0.062963,5.222222,5.888889,1
55,3.674073,31.11111,-5.333334,1
71,0.785185,28.555555,-1.666667,1
138,0.122222,5.444445,5.444445,1
108,0.640741,28.222221,-2.777778,1
147,0.42963,9.222222,-1.111111,1
149,0.251852,8.666667,-4,1
103,3.411113,28,-1.888889,1
142,0.107407,5.777778,4.555555,1
89,0.385185,28.444445,-2,1
67,0.88889,25.88889,-1.333333,1
85,0.518519,27.11111,-1,1
113,0.207407,6.666666,4.111111,1
60,0.3,25.777779,-1.777778,1
124,0.166667,7.333334,4.222222,1
111,0.374074,7.666666,2.888889,1
142,0.122222,4.888889,6.333334,1
106,0.72963,23.666666,1.333333,1
73,1.085185,26.777779,-2.555556,1
92,0.488889,23.777779,0.222222,1
55,3.674073,31.11111,-5.333334,1
124,0.107407,7.222222,4.333334,1
107,0.344445,19.444445,6.222222,1
62,2.118518,37.666668,-10.777778,1
126,0.207407,5.777778,4.555555,1
58,0.162963,27.333334,-2.777778,1
122,0.133333,7.333334,3.666667,1
62,0.833334,27.222221,-1.888889,1
145,0.151852,5,3.777778,1
132,0.122222,6.222222,5.111111,1
139,0.107407,7.222222,4.333334,1
124,0.166667,7.333334,4.222222,1
123,0.118518,5.333334,4.333334,1
68,1.485186,28.444445,-3.444444,1
69,2.907408,34.444447,-6.666666,1
102,0.607408,29.777779,-2.888889,1
144,0.062963,5.777778,3.555556,1
116,0.151852,6.777778,3.444444,1
111,0.240741,6.333334,4.444445,1
130,0.507407,6.888889,4.444445,1
128,0.340741,6.444445,5.888889,1
129,0.433333,7.333334,4.666666,1
118,0.385185,8.111112,3.333333,1
108,0.433333,19.88889,5.666666,1
136,0.418519,7.222222,4.555555,1
107,1.940741,22.88889,3,1
136,0.196296,6.444445,4.444445,1
101,1.288888,26.777779,-0.222222,1
111,0.162963,5.555555,0.888889,1
111,0.311111,7,3.555556,1
106,2.518518,25.11111,0,1
74,9.940739,30.555555,-3.111111,1
101,2.311111,19.88889,4.222222,1
124,0.122222,5.666666,5.333334,1
121,0.800001,30.11111,-4.333334,1
111,0.151852,7,4,1
40,2.711112,23.333334,-4.555555,1
53,1.718519,38.333336,-12.888889,1
149,0.122222,11.888889,-5.888889,1
101,0.329629,23.555555,1.888889,1
116,0.196296,8.444445,2.777778,1
126,0.118519,5.666666,6.777778,1
91,2.177777,24.555555,0.111111,1
44,2.388888,25.222221,-4.222222,1
135,0.118519,5.444445,5.666666,1
71,1.807406,29.666666,-2.666667,1
59,0.951851,30.88889,-3.555556,1
145,0.162963,6.555555,3.111111,1
57,3.411111,34.444447,-4.888889,1
98,0.42963,25.88889,0.333333,1
110,5.351851,21.444445,2.888889,1
60,2.329629,35.22222,-6.222222,1
91,2.029629,28.777779,-1.444444,1
96,1.007407,27.777779,-2.888889,1
117,0.207407,24.11111,2.333333,1
131,0.162963,6.111111,4.666666,1
95,1.007408,26.666666,-0.222222,1
86,1.274074,35,-6.777778,1
113,0.240741,6.333334,4.888889,1
111,0.374074,7.666666,2.888889,1
140,0.462963,7.333334,4.666666,1
98,0.666667,20.777779,2.555556,1
56,0.951851,30.222221,-4.888889,1
111,0.240741,6.333334,4.444445,1
134,0.107407,5.222222,5.111111,1
135,0.151852,6.444445,5.222222,1
106,0.596296,29.88889,-3.111111,1
66,2.162962,29.88889,-4.222222,1
123,2.474074,8.444445,2.777778,1
55,2.82963,26.666666,-1.444444,1
34,3.688889,27.88889,-6.333334,1
90,2.074072,29.11111,-1.888889,1
124,0.162963,6,4.666666,1
118,0.151852,7,4.777778,1
102,0.118518,25,0.222222,1
134,0.062963,6.222222,4.444445,1
120,0.02963,6.777778,5.444445,1
64,5.496297,31.222221,-5.555555,1
60,1.396297,31,-4,1
125,0.062963,6.888889,4.111111,1
139,0.177778,6.444445,3.666667,1
109,0.488889,20,5.888889,1
67,1.007407,27.88889,0.888889,1
104,3.629631,23.222221,1.555556,1
115,1.440742,24.11111,1.888889,1
129,0.433333,7.333334,4.666666,1
