@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R10-11,14,20'

@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
49.592594,44.22222,-16.11111,6
47.851852,44.77778,-9.222222,4
47.962963,46,-5.888889,4
1.518519,1,-1.555556,5
22.333334,21.666666,-2,1
2.518518,0.222222,-6.888889,3
8.925926,6.333334,-7.777778,7
23.148148,18.222221,-14.777778,4
22.74074,22,-2.222222,1
140.2963,133.88889,-19.222221,2
43.37037,41.666668,-5.111111,4
49.814816,41.77778,-24.11111,3
7.074074,4.666667,-7.222222,5
40,34.555557,-16.333334,6
0,0,0,5
42.333332,38,-13,6
141.81482,137.11111,-14.111111,2
3.925926,1.555556,-7.111111,3
61.407406,53.666668,-23.222221,6
70.44444,60.666668,-29.333334,4
0,0,0,5
13.740741,11.666667,-6.222222,7
25.296297,23.555555,-5.222222,6
64.03704,55.77778,-24.777779,4
20.222221,16,-12.666667,5
0.111111,0,-0.333333,5
3.851852,1.666667,-6.555555,3
18.74074,17.333334,-4.222222,1
111.703705,98.44444,-39.77778,2
14.074074,11.666667,-7.222222,7
2.962963,1.111111,-5.555555,5
5.518518,6.888889,4.111111,1
27.185184,24.222221,-8.888889,1
5.777778,7.444445,5,1
8.037037,6,-6.111111,7
21.407408,21.333334,-0.222222,1
14.148149,10.888889,-9.777778,7
134.92592,126.44444,-25.444445,2
1.851852,0.111111,-5.222222,3
49.444443,45,-13.333333,6
5.962963,7.777778,5.444445,1
16.518518,13.222222,-9.888889,7
6.148148,7.222222,3.222222,1
122.888885,112.333336,-31.666666,2
90.62963,74.55556,-48.22222,2
16.296297,13.555555,-8.222222,7
126,115.888885,-30.333334,2
123,112.55556,-31.333334,2
24.074074,19.222221,-14.555555,7
23,17.88889,-15.333333,4
0,0,0,5
7.074074,4.666667,-7.222222,5
40.925926,35.77778,-15.444445,4
9.851851,6,-11.555555,5
19.11111,19.555555,1.333333,1
128.44444,119.22222,-27.666666,2
29.222221,26.88889,-7,4
50.074074,45.666668,-13.222222,6
0.444444,0.111111,-1,5
1.074074,0.111111,-2.888889,3
0,0,0,3
125.62963,114,-34.88889,2
126.37037,116,-31.11111,2
136.88889,131,-17.666666,2
23.814816,18.11111,-17.11111,7
5.851852,7.222222,4.111111,1
20.925926,20,-2.777778,1
135.74074,129,-20.222221,2
1.777778,0.444444,-4,3
58.11111,51.77778,-19,6
1.518519,0.111111,-4.222222,3
2.148148,0.111111,-6.111111,3
35.48148,31.333334,-12.444445,6
23.666666,23.11111,-1.666667,1
19.925926,20.555555,1.888889,1
12.148149,9.777778,-7.111111,7
3.111111,2.888889,-0.666667,5
55.444443,49.11111,-19,6
124.85185,113.333336,-34.555557,2
1.555556,0.111111,-4.333334,3
0,0,0,5
11.814815,9.777778,-6.111111,7
16.37037,13.777778,-7.777778,7
17.962963,15.222222,-8.222222,7
90.333336,74.888885,-46.333332,2
17.333334,12.888889,-13.333333,7
15.481482,11.222222,-12.777778,5
7.518518,4.777778,-8.222222,5
46.296295,45.666668,-1.888889,4
6.259259,2.444444,-11.444445,3
30.592592,27.444445,-9.444445,6
3,1.444444,-4.666666,3
0.740741,0,-2.222222,3
49.037037,44,-15.111111,6
38.592594,38.333336,-0.777778,4
5.666666,7.555555,5.666666,1
22.037037,21.333334,-2.111111,1
3.296296,0.666667,-7.888889,3
24.518518,19.555555,-14.888889,7
65.703705,59.444443,-18.777779,4
16.148148,17.666668,4.555555,1
19.925926,19.333334,-1.777778,1
9.222222,6.555555,-8,7
14.740741,11.666667,-9.222222,7
134.85185,127.55556,-21.88889,2
26.11111,25.222221,-2.666667,4
14.814815,10.444445,-13.111111,5
20.518518,16.11111,-13.222222,7
109.07407,96.333336,-38.22222,2
6.037037,7.444445,4.222222,1
56.814816,50.444443,-19.11111,6
9.407408,9.555555,0.444444,7
1.518519,1,-1.555556,5
31.703703,28.777779,-8.777778,6
8.814815,6.555555,-6.777778,7
5.407407,6.888889,4.444445,1
48.666668,41.555557,-21.333334,4
9,4.777778,-12.666667,3
92.703705,76.888885,-47.444443,2
92.18519,77.22222,-44.88889,2
21.74074,20.333334,-4.222222,1
17.703703,17.666668,-0.111111,1
112.22222,98.333336,-41.666668,2
13.851851,9.666667,-12.555555,7
4.185185,0.888889,-9.888889,3
12.666667,7.888889,-14.333333,3
1.518519,0,-4.555555,3
6.444445,7.777778,4,1
20.555555,16.11111,-13.333333,4
16.185184,11.444445,-14.222222,5
44.962963,40.666668,-12.888889,6
23.62963,21.777779,-5.555555,1
125.55556,115.333336,-30.666666,2
50.407406,45.444443,-14.888889,6
14.148149,11.111111,-9.111111,7
39.703705,35.77778,-11.777778,4
45.037037,39,-18.11111,4
1.185185,0.666667,-1.555556,5
12.962963,11.555555,-4.222222,7
122.37037,112.22222,-30.444445,2
19.925926,19.777779,-0.444444,1
113.48148,100.44444,-39.11111,2
5.444445,7,4.666666,1
19.037037,19.666668,1.888889,1
38.592594,35.88889,-8.111111,4
10.185185,4.888889,-15.888889,3
59.74074,52.88889,-20.555555,6
49.444443,45.666668,-11.333333,4
50.22222,45.444443,-14.333333,6
15.074074,12,-9.222222,7
9.777778,7.444445,-7,7
6.259259,7.555555,3.888889,1
21,16.777779,-12.666667,4
23.296297,19.777779,-10.555555,3
15.222222,11.888889,-10,5
121.51852,111.111115,-31.222221,2
0,0,0,5
45.77778,41,-14.333333,6
59.148148,52.22222,-20.777779,4
141.59259,134.88889,-20.11111,2
103.07407,90,-39.22222,2
4.037037,1,-9.111111,3
106.51852,90.888885,-46.88889,2
7.62963,5,-7.888889,5
5.444445,6.777778,4,1
30.62963,27.333334,-9.888889,6
56.185184,49.444443,-20.222221,6
57.148148,51.555557,-16.777779,4
0.666667,0,-2,3
13.37037,12.222222,-3.444444,7
5,2.555556,-7.333334,3
48.444443,43.77778,-14,6
4.851852,2.888889,-5.888889,4
14.222222,11.111111,-9.333333,7
54.74074,49.22222,-16.555555,6
21.222221,20.777779,-1.333333,1
19.148148,14.666667,-13.444445,7
1.740741,1,-2.222222,5
89.14815,72.77778,-49.11111,2
55.74074,49.666668,-18.222221,6
4.925926,6.444445,4.555555,1
4.296296,1.444444,-8.555555,3
50.185184,45.666668,-13.555555,4
23.703703,19.444445,-12.777778,5
49.185184,44.666668,-13.555555,6
2.111111,1,-3.333333,5
63.22222,56.22222,-21,6
27.222221,20.555555,-20,4
14.740741,10.666667,-12.222222,5
35.22222,29.555555,-17,4
21.148148,17,-12.444445,7
108.92593,96.22222,-38.11111,2
39.703705,36.333336,-10.111111,4
60.296295,53.333332,-20.88889,6
3.37037,0.555556,-8.444445,3
16.962963,12.333333,-13.888889,7
0.555556,0.111111,-1.333333,3
14.518518,11.333333,-9.555555,5
42.77778,37,-17.333334,4
7.777778,3.555556,-12.666667,3
14.740741,12.666667,-6.222222,7
5.851852,7.777778,5.777778,1
48.88889,44.22222,-14,6
79.666664,70.77778,-26.666666,3
113.666664,101,-38,2
62.407406,54.22222,-24.555555,4
127.40741,117,-31.222221,2
56.296295,49.22222,-21.222221,4
1.148148,0,-3.444444,3
50.77778,46,-14.333333,6
10.185185,5.777778,-13.222222,3
125.111115,114,-33.333332,2
59.555557,52.555557,-21,6
48.925926,41.88889,-21.11111,4
0.037037,0,-0.111111,5
112.111115,97.22222,-44.666668,2
14.185185,10.555555,-10.888889,5
1.111111,0.111111,-3,3
59.148148,52.22222,-20.777779,6
18.925926,14.555555,-13.111111,5
31.703703,27.333334,-13.111111,4
18.666666,14.666667,-12,7
16.666666,11.888889,-14.333333,5
6.814815,8.333334,4.555555,1
22.222221,17.555555,-14,7
5.222222,3.222222,-6,5
62.074074,54.77778,-21.88889,6
0.259259,0,-0.777778,3
0.185185,0,-0.555556,5
57.851852,50.444443,-22.222221,6
59,51.333332,-23,4
