@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,11,15-17,20'

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
237,4.222222,-4.666666,9.333333,8.888889,7
210,45.444443,39.11111,-21.555555,64.333336,6
140,1.777778,9.222222,-5.444445,6.111111,5
236,9.555555,-5.222222,14.111111,17.222223,7
246,21.11111,-10.333333,24.666666,34.11111,7
40,1.222222,0.888889,-0.777778,1.555556,5
157,13.888889,-3.333333,16.666666,23.88889,7
140,23.444445,17.666666,-8.666667,32.333336,4
146,0,0,0,0,3
107,0.333333,9.333333,-3.666667,5.333334,3
85,18.88889,11.777778,-14.555555,21.88889,1
128,46.333332,41.555557,-20.777779,67.111115,4
121,37.444443,25.222221,-14.444445,49.444443,4
71,96.666664,50.333332,-23.333334,122.44444,2
192,47.333332,34.666668,-16.333334,65,6
119,21.333334,17.222221,-16.444445,27.333334,1
35,113.77778,48.444443,-14.222222,141.33334,2
220,11.555555,-4.555555,13.777778,19.222221,7
183,29.444445,20.555555,-12.111111,39.11111,6
109,19.222221,8.222222,-14.111111,20.444445,1
123,15.666667,21.11111,-10.222222,26.333334,4
57,24.666666,24.444445,-19.555555,34.444447,1
39,7.333334,14.444445,-7.888889,14.333333,5
92,8.777778,18,-6.333334,18.666668,3
95,0.777778,12.888889,-5.777778,7.444445,3
182,31.555555,23.11111,-14.222222,42.22222,6
183,48.88889,37.555557,-22.11111,66.55556,6
226,10.222222,-4.777778,14.555555,18.333334,7
137,0.666667,6.333334,-3.333333,3.777778,5
111,15.555555,20.666666,-9.333333,26.222221,5
85,18.88889,11.777778,-14.555555,21.88889,1
225,14.444445,-10.222222,15.444445,21.333334,7
144,6,2.888889,-6.444445,6.222222,1
189,14.555555,-9.555555,17.777779,23.222221,7
49,35.666668,18.222221,-11.111111,44.11111,4
188,45,35.77778,-20.222221,62.11111,6
162,35,29.333334,-10.333333,51.333332,6
235,7.555555,-4.666666,14.666667,15.777778,7
138,8.222222,21.11111,-9.222222,19.222221,5
219,10.888889,-4.111111,11.555555,17.222223,7
189,45.77778,36.666668,-20.666666,63.333332,6
65,82.77778,71.333336,-27.666666,121.111115,2
51,95.22222,54.77778,-14.222222,127,2
89,0.111111,12.444445,-5.888889,6.444445,3
81,51.88889,45,-22.333334,74.44444,4
94,16.88889,27,-13.333333,30.444445,5
208,12.777778,-3.555556,13.777778,20.777779,7
113,17.11111,49,-16.666666,44.22222,3
89,13,22.666666,-10.666667,24.555555,5
134,7.444445,3.111111,-7.222222,7.777778,1
209,43,36,-18.666666,60.77778,6
201,47.11111,40.555557,-20.777779,67.22222,6
81,39.444443,25.88889,-15.444445,51.555557,4
93,70.66667,77.44444,-30.555555,112.111115,2
146,36.88889,38.22222,-19.444445,55.88889,4
108,0.555556,4.444445,-0.555556,3.333333,3
53,104.333336,51.22222,-24.777779,130.22223,2
107,18.333334,10.444445,-13.888889,20.777779,1
133,8.333334,3.333333,-8.333333,8.444445,1
84,18.666668,24.222221,-10.444445,31.333334,5
179,44.88889,31.777779,-18.88889,59.77778,6
89,0.111111,12.444445,-5.888889,6.444445,3
138,0.444444,6,-3.666667,3.222222,5
113,24.333334,19.666666,-7.666666,34.88889,5
82,34.555557,28.666666,-15.666667,48.444443,4
116,29.11111,25.444445,-13.222222,41.666668,4
116,7.555555,5.444445,-8.222222,8.555555,1
21,115,48.22222,-12.777778,142.88889,2
65,52.666668,23.222221,-11.111111,64.44444,4
123,14.777778,37.77778,-17.222221,34.22222,4
180,44.11111,31.333334,-18,59,6
138,9.888889,24.777779,-4.888889,24.777779,3
93,54.77778,49.11111,-24.88889,79.22222,4
41,0.555556,1.555556,-1.111111,1.222222,5
87,1.222222,8.222222,-3.111111,5.666666,3
201,35.77778,26.11111,-12.555555,49,6
190,47.333332,39.88889,-21.11111,66.88889,6
120,44.77778,25.444445,-16.222221,56.333332,4
17,120.77778,40.77778,-12.222222,143.88889,2
102,47.11111,32,-18.333334,62.333332,4
159,25.222221,10.333333,-7.666666,29.555555,4
39,102.55556,55.88889,-23.444445,132,2
28,96.44444,57.22222,-11.777778,130.66667,2
19,97.666664,59.77778,-21.88889,130.22223,2
183,40.22222,26.444445,-17.555555,52,6
51,113.22222,50.11111,-16.555555,141.11111,2
105,1.666667,12.555555,-5.111111,8.333334,3
121,1.111111,7.777778,-0.888889,6,3
215,17.11111,-1.444444,19.222221,29.444445,7
131,0.777778,4.111111,-2.222222,2.777778,5
28,96.111115,59.11111,-12.888889,131.22223,2
189,29,19.88889,-11.111111,38.555557,6
65,50.444443,44.77778,-22.88889,72.66667,4
86,4.666667,12.555555,-6.444445,10.888889,5
46,93.888885,64.111115,-23.222221,128.88889,2
192,50.333332,45.11111,-24.88889,72.111115,6
90,0.888889,13.444445,-5.888889,7.888889,3
193,53.11111,45,-24,75.111115,6
11,136.88889,22.333334,-2.666667,150.88889,2
145,5.555555,0.222222,-5.111111,5.555555,1
105,22.555555,21.777779,-9.222222,34,5
218,5.444445,-3.333333,12.333333,12.555555,7
238,9.666667,-1.777778,12.555555,17.444445,7
107,0.222222,8.333333,-3.666667,4.555555,3
238,7.444445,-8.555555,11.777778,12.444445,7
162,19.666668,3,13.333333,29.555555,7
103,52.22222,41.333332,-21.333334,72.66667,4
185,44,34.88889,-19.777779,60.666668,6
177,12.555555,-2.444444,13.555555,20.777779,7
77,24.11111,21.444445,-18.222221,32.333336,1
109,24.777779,23.11111,-9.222222,37.11111,5
143,0,0,0,0,5
99,0.111111,10.555555,-4.777778,5.555555,3
251,21.444445,-8.666667,6.333334,22.777779,7
109,89.44444,59.22222,-20.11111,122.22222,2
189,28.444445,19.88889,-11.111111,38,6
150,0,0,0,0,5
189,9.444445,-5.666666,13.333333,16.444445,7
20,114,46.666668,-13.666667,140.55556,2
93,103.888885,47.11111,-21.88889,128,2
106,1,12.666667,-4.666666,7.888889,3
106,0.333333,8.111111,-2.555556,4.888889,3
135,7.111111,2.777778,-7.555555,7.444445,1
183,14.222222,-3.222222,15.111111,23.222221,7
193,13.333333,-5.888889,14.444445,21,7
36,128.55556,32.444443,-12.222222,146.11111,2
135,0,2.888889,-1.444444,1.444444,5
74,89.111115,64.111115,-25.88889,123.22222,2
119,36.22222,25.11111,-14.222222,48.22222,4
107,18.777779,8.222222,-14.444445,19.777779,1
188,44.666668,36.22222,-21.11111,61.77778,6
77,23.444445,21.222221,-18.11111,31.555555,1
98,24.88889,25,-13.333333,37.11111,4
110,0.111111,8.333333,-3.666667,4.444445,3
122,8,36.555557,-12.111111,28.333334,3
187,43.333332,35.22222,-20.11111,60.11111,6
60,24.666666,25.444445,-19.222221,35.22222,1
148,0,0.222222,-0.111111,0.111111,5
25,117.77778,43,-12.333333,142.33334,2
120,3.333333,17.444445,-6.555555,12.777778,3
152,19.666668,2.222222,13.888889,29.666666,7
154,2.555556,10.111111,-4.888889,7.666666,5
211,12.444445,-0.666667,9.666667,18.666668,7
106,20,15.333333,-15.333333,25.11111,1
114,23,21.777779,-9.222222,34.444447,5
80,102.888885,48.77778,-24.222221,127.333336,2
