@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,12,15,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
149,185,49.333332,59.555557,30.666666,6
69,85,21.444445,28.11111,20,1
18,83,14.37037,22.666666,24.88889,3
209,11,141.55556,150.11111,25.666666,2
9,94,113.18519,127.55556,43.11111,2
57,42,37.444443,47.77778,31,4
110,182,46.37037,56.333332,29.88889,6
118,167,14.592592,13.777778,-2.444444,7
63,19,45.185184,58.77778,40.77778,4
187,89,8.444445,13,13.666667,5
29,81,20.481482,26.11111,16.88889,1
205,194,41.296295,50.444443,27.444445,6
202,208,19.25926,17.666668,-4.777778,7
93,46,126.03704,141,44.88889,2
60,52,111.62963,129.22223,52.77778,2
86,194,16.777779,16.666668,-0.333333,7
216,169,16.592592,15.666667,-2.777778,7
85,200,58.592594,72.66667,42.22222,6
14,146,10.592592,15.666667,15.222222,4
63,122,0.333333,1,2,3
235,46,114.62963,132.88889,54.77778,2
40,17,70.51852,86.55556,48.11111,4
48,192,9.962963,7.444445,-7.555555,7
166,182,58.407406,72.55556,42.444443,6
249,207,12.148149,10.333334,-5.444445,7
42,244,12.814815,11.666667,-3.444444,7
125,149,0,0,0,5
2,63,18.074074,23.666666,16.777779,1
206,57,122.333336,139,50,2
151,163,40,48,24,6
42,201,59.333332,74,44,6
162,14,112.74074,130.66667,53.77778,2
208,90,5.148148,10,14.555555,5
97,186,15.592592,11.777778,-11.444445,7
76,19,114.25926,132.33334,54.22222,2
74,88,110.59259,127.55556,50.88889,2
89,195,61.74074,76.55556,44.444443,6
16,128,5.555555,6.666666,3.333333,1
133,182,29.777779,35.444447,17,6
174,96,55.148148,61,17.555555,4
55,128,5.037037,5.444445,1.222222,1
83,143,50.37037,64.77778,43.22222,4
176,100,55.37037,66.88889,34.555557,4
218,147,0,0,0,5
169,117,31.25926,39,23.222221,4
34,131,0.814815,1.888889,3.222222,5
107,191,62.037037,78.111115,48.22222,6
184,197,11.962963,9.555555,-7.222222,7
92,62,123.48148,139.33334,47.555557,2
86,193,61.407406,76.55556,45.444443,6
35,76,13.518518,19.444445,17.777779,3
84,86,105.77778,124.111115,55,2
80,116,21.703703,27.555555,17.555555,1
123,152,0,0,0,5
33,132,1.962963,4.222222,6.777778,3
110,92,7.444445,12.666667,15.666667,3
142,208,18.555555,14.888889,-11,7
39,138,54.62963,66.77778,36.444443,4
29,85,4.074074,6.777778,8.111111,3
163,152,0,0,0,5
38,41,22.481482,29.777779,21.88889,1
129,91,44.296295,52.666668,25.11111,3
45,111,16.11111,23.777779,23,5
140,188,61.666668,76.55556,44.666668,6
29,100,20.62963,25.555555,14.777778,1
182,186,48.444443,59.88889,34.333332,6
169,66,51.592594,61.22222,28.88889,4
108,130,6.62963,7.222222,1.777778,1
163,180,30.37037,36.333336,17.88889,6
189,39,124.18519,140.33334,48.444443,2
170,159,20.518518,22.333334,5.444445,4
212,239,10.37037,9.666667,-2.111111,7
27,134,8.703704,15.888889,21.555555,3
25,116,16.185184,20,11.444445,1
33,149,5.444445,8.666667,9.666667,1
48,79,5.407407,10.555555,15.444445,3
99,107,18.62963,23,13.111111,1
57,177,19.592592,18.444445,-3.444444,7
214,161,40.444443,49.666668,27.666666,6
37,104,18.62963,23.444445,14.444445,3
193,154,28.148148,39.555557,34.22222,4
145,101,22.444445,29.222221,20.333334,1
222,62,6.407407,11.444445,15.111111,5
79,44,58.666668,75.55556,50.666668,4
53,42,28.25926,36.22222,23.88889,4
31,68,47.185184,60.11111,38.77778,3
91,54,110,127.111115,51.333332,2
207,172,19,16.333334,-8,7
120,124,53.77778,64.44444,32,4
103,195,8.518518,6.888889,-4.888889,7
78,100,4.592593,9.444445,14.555555,3
144,187,56.148148,69.66667,40.555557,6
27,189,32.77778,40.666668,23.666666,6
100,124,7.074074,8.777778,5.111111,1
159,180,21.25926,18.11111,-9.444445,7
63,33,111.333336,132,62,2
228,123,0.703704,2,3.888889,3
146,238,17.777779,16.555555,-3.666667,7
123,68,107.37037,126.333336,56.88889,2
237,137,36.925926,42.333336,16.222221,4
188,110,4.222222,7.444445,9.666667,5
233,105,15.185185,19.777779,13.777778,5
206,26,137.03703,146.77777,29.222221,2
89,89,21.88889,27.777779,17.666666,1
58,125,18.555555,30.666666,36.333332,3
74,129,0.518518,1.555556,3.111111,3
223,185,12.962963,9.777778,-9.555555,7
214,194,45.074074,55.444443,31.11111,6
220,111,29.592592,38.22222,25.88889,4
238,86,12,20.444445,25.333334,5
18,70,21.037037,26.666666,16.88889,3
93,127,3.814815,6.777778,8.888889,3
230,162,17.333334,15.888889,-4.333334,7
9,180,22.555555,22,-1.666667,7
176,100,55.37037,66.88889,34.555557,4
161,135,1.259259,3,5.222222,5
222,145,0,0,0,5
197,236,16.074074,16.666668,1.777778,7
156,86,20.444445,28.555555,24.333334,5
137,66,28.407408,38.22222,29.444445,1
131,144,0,0,0,5
163,166,16.962963,16.333334,-1.888889,7
45,205,50.25926,61.77778,34.555557,6
186,90,10.037037,15,14.888889,5
210,153,0,0,0,5
18,43,64.703705,82.55556,53.555557,4
39,124,7.592593,12.888889,15.888889,3
77,199,57,71,42,6
76,116,16.851852,23.222221,19.11111,5
11,108,17.666666,21.11111,10.333333,1
250,172,16.074074,15,-3.222222,7
145,102,23.074074,29.777779,20.11111,1
158,154,0.62963,1.222222,1.777778,5
97,75,24.851852,31.666666,20.444445,1
250,37,95.92593,121.111115,75.55556,2
54,126,1.407407,3.666667,6.777778,3
74,129,0.518518,1.555556,3.111111,3
25,41,113.40741,131.22223,53.444443,2
47,96,61.925926,77,45.22222,4
249,200,45.296295,55.77778,31.444445,6
166,180,31.444445,37.77778,19,6
252,137,0.740741,1.777778,3.111111,5
27,112,0.148148,0.444444,0.888889,3
134,104,21.777779,28.333334,19.666666,1
136,45,53.074074,63.77778,32.11111,4
104,139,0.666667,1.777778,3.333333,3
187,180,62.074074,77.55556,46.444443,6
221,154,6.481482,10.777778,12.888889,5
17,85,1.777778,3.444444,5,3
131,86,24.296297,31.333334,21.11111,1
60,181,19.62963,17.88889,-5.222222,7
100,155,23.333334,20.666668,-8,7
78,99,4.148148,9,14.555555,3
165,99,93.40741,118,73.77778,2
196,124,6.222222,7.444445,3.666667,1
178,138,1.37037,3.111111,5.222222,5
234,164,13.666667,15,4,7
88,180,50.407406,62.333332,35.77778,6
247,50,121.18519,138.88889,53.11111,2
151,101,31.185184,39.444443,24.777779,4
242,81,38.25926,47.22222,26.88889,4
109,126,7.296296,8.222222,2.777778,1
117,44,106,126.77778,62.333332,2
78,69,24.333334,32.555557,24.666666,1
79,48,107.888885,129.11111,63.666668,2
73,103,18.333334,22.555555,12.666667,1
68,103,2.148148,5.666666,10.555555,3
170,139,4.185185,8.555555,13.111111,5
233,64,92.81481,118.666664,77.55556,2
85,56,26.444445,36,28.666666,1
24,65,20.814816,26.777779,17.88889,1
52,102,2.888889,6.333334,10.333333,3
76,89,16.814816,24.444445,22.88889,5
168,70,55.037037,64.88889,29.555555,4
67,136,15.518518,25.333334,29.444445,3
205,106,17.481482,24,19.555555,5
90,36,66.37037,84.77778,55.22222,4
191,162,40.962963,50.11111,27.444445,6
78,60,109.77778,128.22223,55.333332,2
115,130,7.296296,8.666667,4.111111,1
96,84,23.851852,30,18.444445,1
210,73,42.25926,47.333332,15.222222,4
2,190,31.666666,40.11111,25.333334,6
9,171,45.925926,57.22222,33.88889,6
189,107,27.777779,35.11111,22,5
207,217,6.296296,4.222222,-6.222222,7
127,143,4.185185,9.444445,15.777778,3
222,244,10.37037,9.777778,-1.777778,7
206,12,11.444445,17.666668,18.666666,5
228,182,16.777779,12.777778,-12,7
180,97,134.37038,145.44444,33.22222,2
183,153,28,38.77778,32.333332,4
