@relation spambase

@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0.149,1.096,0,5.16,289,1
0,0,0,0,0.25,0,0.76,0,0,0,0,0,0,0.25,0,0,0,0,0.457,0.29,0,2.614,149,1
0,0.58,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.271,1.67,162,1
0,0.32,0,0,0.32,0,3.25,0,0,0,0,0,0,0,0,0,0,0.32,0.104,0,0.157,1.537,143,1
0,1.63,0,0,0.54,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,2.592,70,1
0,0.8,0,0,0.8,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0.135,0.27,0,3.115,81,1
0,0.47,0,0,0.94,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0,1.102,54,1
0,0.21,0.87,0,0.43,0,1.09,0,0,0,0,0,0,0,0,0,0,0.21,0.032,0.96,0.128,8.08,501,1
0,0.55,0,0,0.55,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0.259,1.208,0.345,4.761,200,1
0,1.47,1.47,0,0,1.47,2.94,0,0,0,0,1.47,0,0,0,0,0,0,0.147,0.294,0.147,72,288,1
0,0,0.66,0,0.22,0,1.1,0.22,0,0,0,0,0,0,0,0,0,0,0.261,0.13,0.196,7.4,629,1
