@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,5,8-9,11,16,20,28,30,39-40,44,50-51,53-55,58'

@attribute Word_freq_make numeric
@attribute Word_freq_our numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_project numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,3.756,1
0,0.38,0,0,0.12,0,0,0,0,0,0,0,0.044,0,0,0,1.243,1
0,1.89,0,0,0,0.27,0,0,0,0,0,0,0.045,0,0.091,0,1.39,1
0,0.52,0.52,0,0.26,0.26,2.08,0,0,0,0,0,0.073,0,0.036,0.147,2.145,1
0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,1
0.73,0,1.1,0.36,0,1.1,2.2,0,0,0,0,0,0.111,0,0.333,0,3.259,1
0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,8.586,1
0,1.39,0.93,0,0.46,1.39,0,0,0,0,0,0,0,0,0,0.069,1.442,1
0.66,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,3.184,1
0,0.44,0,0,0,0.44,0,0,0,0,0,0,0.073,0,0,0,3.849,1
0,1.67,0,0,0.2,0.83,0,0,0,0,0,0,0,0,0,0,1.65,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071,1
0,0,0,0,0,0,0,0,0,0,0,0,0.611,0,0,0,5.5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.166,1
0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.059,3.836,1
0.05,0.1,0.05,0.1,0,0,0.3,0,0,0,0,0.05,0.045,0,0.118,0,2.37,1
0,1.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0.212,0,1.838,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,3.272,1
0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1
0,0.54,0,0,0,0.54,0,0,0,0,0,0,0.096,0,0,0,1.969,1
0.44,0.89,0,0,0,0.44,0,0,0,0,0,0,0,0,0.144,0.072,2.428,1
0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,1.307,1
2.12,0.53,0,0,0,1.59,0,0,0,0,0,0,0.467,0,0.186,0,2.823,1
0.54,0.54,0,0,0,0.54,0,0,0,0,0,0,0,0,0.252,0,5.323,1
0,1.17,0,0,0,0.39,0,0,0,0,0,0,0.062,0,0.186,0,4,1
0.22,1.77,0.44,0.22,0,0.44,0,0,0,0,0.44,0,0,0,0.15,0,86.65,1
0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.111,1
0.26,0.39,0.13,0,0,1.57,0,0,0,0,0,0,0.129,0,0.021,0.021,2.689,1
0,1.09,0,0,0,0,0,0,0,0,0,0,0.157,0,0,0.078,15.08,1
0,1.11,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0.079,16.739,1
0,0,0,0,0,2.15,0,0,0,0,1.07,0,0,0,0.437,0.291,1.823,1
0.48,0.27,0.27,0.27,0.41,1.11,0,0,0,0,0.06,0,0.105,0,0.305,0,3.401,1
0,1.24,0,0,0,0.31,0,0,0,0,0,0,0.086,0,0,0,1.741,1
0,0.34,0,0,0.17,0.17,0.17,0,0,0,0.17,0,0,0,0.083,0.083,6.294,1
0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.203,0,2.866,1
0.14,0,0,1.17,0.14,0.14,0.14,0,0,0,0,0,0.204,0,0.127,0.102,2.962,1
0,1.14,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0.081,16.217,1
0.4,0.2,0.6,0.2,0.2,0.4,1.81,0,0,0,0,0,0.096,0,0.129,0,3.946,1
0.08,1.46,0,0.25,0,0.51,0,0,0,0,0,0,0.077,0.064,0.103,0.012,5.392,1
0,0,0.37,0.37,0,0,0,0,0,0,0,0,0.08,0,0.107,0,2.542,1
0,0,0,0,0,0.18,0,0,0,0,0,0,0.14,0,0.07,0,2.616,1
0,0,0.67,0,0,0,0,0,0,0,0,0,0.511,0.085,0,0,4.617,1
0,0.32,0,0.65,0.16,2.13,0,0,0,0,0.16,0,0.089,0,0.67,0,4.835,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,4.5,1
0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0.23,0,5.538,1
0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,1,1
0,0.65,0.32,0,0,0.32,0,0,0,0,0,0,0.105,0,0.158,0,1.494,1
0.11,0.46,0.11,0.93,0.11,0,0,0,0,0,0.11,0,0.172,0,0.134,0,4.281,1
0.62,1.25,0,0,0,0.62,0,0,0,0,0,0,0,0,0.273,0,2.52,1
0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,1.312,1
0,0.76,0.5,0,0,0,0,0,0,0,0.5,0,0.074,0,0.412,0,2.441,1
0.33,0.22,0,0.44,0,0.56,0,0,0,0,0,0,0.157,0,0.196,0.078,2.576,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.681,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1
