@relation tae

@attribute Size numeric
@attribute Class {1,2,3}

@data
19,1
31,1
24,1
42,1
48,1
38,1
36,1
19,1
13,1
31,1
34,1
38,1
19,1
28,1
51,1
51,1
37,1
11,1
48,1
12,1
19,1
51,1
15,1
26,1
30,1
48,1
29,1
10,1
3,1
27,1
19,1
37,1
14,1
27,1
36,1
21,1
12,1
29,1
42,1
29,1
28,1
21,1
32,1
38,1
20,2
24,2
10,2
31,2
37,2
10,2
23,2
14,2
38,2
43,2
25,2
24,2
27,2
11,2
46,2
13,2
23,2
18,2
27,2
10,2
5,2
20,2
20,2
31,2
27,2
44,2
16,2
42,2
42,2
42,2
35,2
13,2
43,2
22,2
37,2
10,2
22,2
18,2
38,2
10,2
42,2
20,2
24,2
17,2
22,2
55,3
17,3
29,3
21,3
17,3
24,3
20,3
20,3
20,3
11,3
19,3
58,3
31,3
19,3
19,3
25,3
20,3
39,3
58,3
49,3
30,3
11,3
49,3
39,3
7,3
31,3
45,3
29,3
39,3
55,3
17,3
17,3
20,3
36,3
33,3
9,3
33,3
54,3
20,3
38,3
27,3
19,3
19,3
20,3
17,3
9,3
45,3
