@relation texture

@attribute A2 numeric
@attribute A6 numeric
@attribute A9 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute A25 numeric
@attribute A27 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A36 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.559,-0.177,-0.348,-1.139,-0.646,-0.524,-0.559,-0.618,-0.799,-0.951,-0.494,-0.58,-0.548,-0.495,2
-0.739,-0.419,-0.481,-1.103,-0.823,-0.799,-0.918,-0.707,-0.861,-0.969,-0.615,-0.648,-0.657,-0.653,2
-0.631,-0.296,-0.429,-1.113,-0.715,-0.639,-0.657,-0.73,-0.844,-0.967,-0.579,-0.613,-0.624,-0.597,2
-0.928,-0.511,-0.644,-1.352,-0.954,-0.774,-0.828,-0.664,-0.946,-1.013,-0.613,-0.626,-0.655,-0.605,2
-0.725,-0.383,-0.471,-1.141,-0.811,-0.761,-0.784,-0.771,-0.885,-1.012,-0.478,-0.56,-0.62,-0.592,2
-0.79,-0.302,-0.422,-1.303,-0.904,-0.752,-0.794,-0.644,-0.944,-0.944,-0.366,-0.466,-0.508,-0.452,2
-0.673,-0.533,-0.577,-0.978,-0.682,-0.66,-0.806,-0.528,-0.714,-0.83,-0.62,-0.653,-0.624,-0.637,2
-0.669,-0.391,-0.523,-1.156,-0.83,-0.794,-0.939,-0.806,-0.926,-1.142,-0.555,-0.579,-0.586,-0.542,2
-0.553,-0.319,-0.423,-0.948,-0.626,-0.599,-0.721,-0.581,-0.711,-0.824,-0.41,-0.488,-0.524,-0.504,2
-0.516,-0.293,-0.366,-0.946,-0.614,-0.626,-0.745,-0.633,-0.729,-0.931,-0.385,-0.516,-0.499,-0.488,2
-0.775,-0.394,-0.515,-1.149,-0.786,-0.693,-0.768,-0.683,-0.878,-0.947,-0.561,-0.593,-0.63,-0.592,2
-0.314,-0.204,-0.223,-0.596,-0.385,-0.461,-0.634,-0.386,-0.445,-0.79,-0.396,-0.505,-0.446,-0.501,2
-0.775,-0.441,-0.514,-1.221,-0.864,-0.736,-0.786,-0.589,-0.855,-0.908,-0.392,-0.51,-0.499,-0.479,2
-0.679,-0.37,-0.47,-1.133,-0.757,-0.673,-0.696,-0.681,-0.787,-0.926,-0.532,-0.593,-0.601,-0.572,2
-0.692,-0.342,-0.477,-1.124,-0.78,-0.725,-0.824,-0.734,-0.874,-1.036,-0.477,-0.547,-0.587,-0.548,2
-0.623,-0.278,-0.312,-1.092,-0.708,-0.568,-0.59,-0.547,-0.763,-0.848,-0.335,-0.426,-0.422,-0.39,2
-0.936,-0.429,-0.567,-1.342,-0.914,-0.706,-0.732,-0.702,-0.987,-1.006,-0.691,-0.651,-0.734,-0.679,2
-0.599,-0.266,-0.339,-0.992,-0.644,-0.477,-0.501,-0.445,-0.625,-0.726,-0.339,-0.334,-0.418,-0.352,2
-0.489,-0.102,-0.218,-0.999,-0.631,-0.519,-0.575,-0.59,-0.704,-0.849,-0.447,-0.436,-0.424,-0.369,2
-0.841,-0.54,-0.636,-1.173,-0.872,-0.795,-0.937,-0.697,-0.893,-1.002,-0.648,-0.612,-0.649,-0.603,2
-0.694,-0.436,-0.544,-1.055,-0.737,-0.753,-0.914,-0.612,-0.784,-0.97,-0.528,-0.607,-0.618,-0.603,2
-0.588,-0.332,-0.462,-1.031,-0.726,-0.668,-0.811,-0.696,-0.787,-1.006,-0.605,-0.649,-0.566,-0.566,2
-0.804,-0.501,-0.594,-1.159,-0.81,-0.765,-0.875,-0.661,-0.883,-1.035,-0.695,-0.658,-0.698,-0.657,2
-0.71,-0.357,-0.441,-1.156,-0.754,-0.637,-0.709,-0.577,-0.818,-0.896,-0.496,-0.461,-0.522,-0.443,2
-0.798,-0.412,-0.547,-1.223,-0.879,-0.778,-0.892,-0.699,-0.911,-1.015,-0.555,-0.587,-0.62,-0.568,2
-0.872,-0.557,-0.66,-1.218,-0.918,-0.852,-0.991,-0.755,-0.952,-1.045,-0.683,-0.641,-0.694,-0.654,2
-0.527,-0.22,-0.277,-0.987,-0.602,-0.544,-0.632,-0.54,-0.732,-0.846,-0.351,-0.318,-0.374,-0.323,2
-0.685,-0.321,-0.487,-1.086,-0.73,-0.685,-0.805,-0.648,-0.804,-1.004,-0.638,-0.619,-0.598,-0.575,2
-0.708,-0.393,-0.506,-1.184,-0.751,-0.698,-0.818,-0.767,-0.931,-1.078,-0.729,-0.675,-0.7,-0.677,2
-0.667,-0.436,-0.554,-1.111,-0.796,-0.802,-0.942,-0.742,-0.871,-1.12,-0.539,-0.569,-0.563,-0.528,2
-0.622,-0.302,-0.423,-1.12,-0.728,-0.591,-0.681,-0.556,-0.755,-0.903,-0.44,-0.522,-0.506,-0.474,2
-0.584,-0.377,-0.471,-1.002,-0.688,-0.574,-0.656,-0.624,-0.711,-0.894,-0.505,-0.557,-0.53,-0.508,2
-0.62,-0.228,-0.373,-1.174,-0.709,-0.588,-0.593,-0.551,-0.773,-0.929,-0.423,-0.535,-0.467,-0.43,2
-0.655,-0.467,-0.556,-1.021,-0.733,-0.748,-0.925,-0.612,-0.752,-0.938,-0.513,-0.539,-0.524,-0.497,2
-0.732,-0.222,-0.362,-1.316,-0.849,-0.65,-0.704,-0.713,-1,-1.012,-0.507,-0.541,-0.571,-0.511,2
-0.586,-0.216,-0.319,-1.102,-0.635,-0.49,-0.522,-0.528,-0.712,-0.853,-0.328,-0.511,-0.453,-0.451,2
-0.822,-0.497,-0.584,-1.191,-0.844,-0.718,-0.749,-0.665,-0.881,-0.959,-0.579,-0.579,-0.641,-0.594,2
-0.894,-0.596,-0.712,-1.293,-0.938,-0.855,-0.981,-0.803,-1.018,-1.102,-0.765,-0.658,-0.725,-0.665,2
-0.72,-0.544,-0.596,-1.07,-0.808,-0.847,-1.022,-0.729,-0.841,-1.019,-0.507,-0.526,-0.607,-0.572,2
-0.676,-0.291,-0.397,-1.183,-0.786,-0.715,-0.79,-0.59,-0.837,-0.876,-0.401,-0.485,-0.489,-0.458,2
-0.55,-0.277,-0.393,-1.015,-0.668,-0.637,-0.728,-0.534,-0.698,-0.818,-0.446,-0.54,-0.526,-0.489,2
-0.704,-0.417,-0.49,-1.063,-0.778,-0.733,-0.85,-0.748,-0.828,-0.944,-0.585,-0.645,-0.638,-0.617,2
-0.888,-0.568,-0.69,-1.244,-0.891,-0.812,-0.914,-0.782,-0.941,-1.029,-0.815,-0.736,-0.787,-0.741,2
-0.706,-0.285,-0.429,-1.228,-0.789,-0.653,-0.71,-0.685,-0.926,-1.033,-0.449,-0.55,-0.545,-0.503,2
-0.831,-0.333,-0.464,-1.321,-0.922,-0.768,-0.81,-0.753,-1.024,-1.015,-0.563,-0.596,-0.663,-0.609,2
-0.847,-0.476,-0.635,-1.215,-0.876,-0.816,-0.943,-0.753,-0.934,-1.061,-0.662,-0.641,-0.654,-0.613,2
-0.781,-0.47,-0.572,-1.097,-0.781,-0.791,-0.958,-0.679,-0.829,-1.02,-0.572,-0.551,-0.598,-0.561,2
-0.796,-0.484,-0.592,-1.107,-0.774,-0.769,-0.929,-0.66,-0.818,-1.012,-0.617,-0.58,-0.65,-0.613,2
-0.857,-0.472,-0.609,-1.246,-0.859,-0.689,-0.746,-0.638,-0.9,-1.025,-0.634,-0.654,-0.69,-0.642,2
-0.581,-0.254,-0.364,-1.154,-0.706,-0.587,-0.604,-0.556,-0.753,-0.904,-0.387,-0.524,-0.443,-0.42,2
-0.808,-0.337,-0.493,-1.293,-0.845,-0.714,-0.79,-0.766,-0.991,-1.023,-0.642,-0.583,-0.664,-0.61,2
-0.788,-0.459,-0.541,-1.203,-0.856,-0.753,-0.804,-0.766,-0.913,-0.957,-0.557,-0.622,-0.665,-0.647,2
-0.882,-0.568,-0.673,-1.235,-0.91,-0.802,-0.891,-0.706,-0.921,-1.025,-0.678,-0.688,-0.705,-0.665,2
-0.721,-0.442,-0.555,-1.093,-0.736,-0.748,-0.897,-0.737,-0.882,-1.014,-0.743,-0.746,-0.746,-0.715,2
-0.634,-0.246,-0.319,-1.165,-0.762,-0.678,-0.735,-0.644,-0.83,-0.961,-0.416,-0.55,-0.471,-0.468,2
-0.881,-0.545,-0.634,-1.229,-0.961,-0.881,-0.976,-0.809,-0.985,-1.025,-0.688,-0.628,-0.692,-0.655,2
-0.585,-0.294,-0.446,-1.033,-0.69,-0.666,-0.783,-0.512,-0.7,-0.863,-0.346,-0.45,-0.462,-0.426,2
-0.749,-0.496,-0.611,-1.111,-0.847,-0.853,-0.994,-0.73,-0.844,-1.036,-0.628,-0.669,-0.614,-0.595,2
-0.768,-0.411,-0.497,-1.225,-0.865,-0.739,-0.763,-0.6,-0.853,-0.911,-0.431,-0.491,-0.501,-0.47,2
-0.86,-0.611,-0.702,-1.199,-0.904,-0.839,-0.946,-0.799,-0.952,-1.084,-0.647,-0.623,-0.734,-0.69,2
-0.784,-0.439,-0.549,-1.189,-0.822,-0.698,-0.789,-0.52,-0.802,-0.865,-0.51,-0.523,-0.559,-0.501,2
-1.009,-0.664,-0.787,-1.367,-1.009,-0.879,-0.949,-0.777,-1.044,-1.051,-0.827,-0.719,-0.846,-0.775,2
-0.722,-0.376,-0.504,-1.192,-0.771,-0.672,-0.723,-0.565,-0.836,-0.938,-0.574,-0.581,-0.579,-0.559,2
-0.831,-0.499,-0.609,-1.215,-0.878,-0.743,-0.819,-0.685,-0.901,-0.962,-0.653,-0.626,-0.648,-0.612,2
-0.688,-0.282,-0.397,-1.241,-0.816,-0.7,-0.756,-0.615,-0.867,-0.921,-0.465,-0.501,-0.504,-0.453,2
-0.669,-0.228,-0.297,-1.096,-0.71,-0.565,-0.604,-0.605,-0.815,-0.87,-0.429,-0.42,-0.477,-0.427,2
-0.572,-0.241,-0.344,-1.012,-0.642,-0.506,-0.505,-0.677,-0.765,-0.886,-0.499,-0.502,-0.549,-0.518,2
-0.622,-0.206,-0.364,-1.145,-0.707,-0.631,-0.697,-0.643,-0.834,-0.965,-0.57,-0.593,-0.558,-0.527,2
-0.63,-0.326,-0.425,-1.072,-0.697,-0.616,-0.697,-0.62,-0.788,-0.934,-0.531,-0.563,-0.578,-0.555,2
-0.968,-0.68,-0.789,-1.322,-1.05,-0.998,-1.095,-0.855,-1.057,-1.118,-0.777,-0.71,-0.786,-0.731,2
-0.803,-0.52,-0.643,-1.157,-0.791,-0.737,-0.805,-0.597,-0.8,-0.977,-0.547,-0.584,-0.641,-0.584,2
-0.606,-0.384,-0.508,-1.002,-0.719,-0.682,-0.807,-0.679,-0.75,-0.961,-0.552,-0.55,-0.514,-0.482,2
-0.682,-0.567,-0.617,-0.927,-0.716,-0.801,-0.913,-0.711,-0.796,-0.974,-0.558,-0.53,-0.64,-0.601,2
-0.909,-0.598,-0.714,-1.24,-0.924,-0.848,-0.949,-0.772,-0.939,-1.041,-0.79,-0.71,-0.747,-0.711,2
-0.924,-0.675,-0.762,-1.267,-0.9,-0.783,-0.882,-0.665,-0.923,-0.989,-0.768,-0.677,-0.766,-0.719,2
-0.785,-0.405,-0.504,-1.237,-0.887,-0.747,-0.788,-0.605,-0.87,-0.914,-0.439,-0.491,-0.53,-0.491,2
-0.488,-0.282,-0.4,-0.921,-0.606,-0.638,-0.776,-0.614,-0.674,-0.893,-0.345,-0.469,-0.452,-0.439,2
-0.738,-0.394,-0.51,-1.171,-0.819,-0.72,-0.737,-0.701,-0.868,-0.955,-0.568,-0.608,-0.626,-0.59,2
-0.605,-0.174,-0.372,-1.098,-0.719,-0.562,-0.638,-0.594,-0.767,-0.877,-0.443,-0.548,-0.508,-0.459,2
-0.956,-0.591,-0.724,-1.324,-0.944,-0.785,-0.818,-0.679,-0.957,-1.019,-0.721,-0.692,-0.766,-0.696,2
-0.721,-0.291,-0.391,-1.208,-0.857,-0.778,-0.837,-0.584,-0.853,-0.866,-0.357,-0.426,-0.44,-0.4,2
-0.597,-0.2,-0.358,-1.182,-0.662,-0.521,-0.54,-0.57,-0.795,-0.95,-0.4,-0.511,-0.471,-0.429,2
