@relation texture

@attribute A2 numeric
@attribute A3 numeric
@attribute A5 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A23 numeric
@attribute A27 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A35 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.935,-0.937,-0.665,-0.759,-0.688,-0.954,-0.711,-0.839,-0.965,-0.973,-1.346,-0.868,-0.639,2
-0.759,-0.608,-0.439,-0.549,-0.446,-0.879,-0.549,-0.639,-1.06,-0.986,-1.265,-0.893,-0.565,2
-0.784,-0.813,-0.519,-0.613,-0.549,-0.822,-0.626,-0.789,-0.861,-0.802,-1.189,-0.719,-0.48,2
-0.722,-0.887,-0.532,-0.588,-0.556,-0.865,-0.765,-0.97,-1.118,-0.934,-1.182,-0.711,-0.53,2
-0.754,-0.949,-0.625,-0.671,-0.639,-0.868,-0.852,-1.038,-1.105,-0.823,-1.107,-0.684,-0.583,2
-0.862,-0.761,-0.498,-0.6,-0.496,-0.914,-0.662,-0.78,-0.992,-1.018,-1.331,-0.861,-0.545,2
-0.801,-0.853,-0.588,-0.646,-0.603,-0.831,-0.654,-0.827,-1.04,-0.895,-1.172,-0.78,-0.603,2
-0.768,-0.821,-0.523,-0.593,-0.497,-0.865,-0.635,-0.763,-0.901,-0.853,-1.225,-0.713,-0.425,2
-0.634,-0.894,-0.49,-0.575,-0.53,-0.719,-0.646,-0.817,-1.009,-0.807,-1.037,-0.664,-0.542,2
-0.587,-0.664,-0.406,-0.499,-0.451,-0.623,-0.604,-0.752,-0.954,-0.766,-0.991,-0.618,-0.465,2
-0.713,-0.781,-0.625,-0.676,-0.675,-0.74,-0.74,-0.926,-0.894,-0.807,-0.964,-0.693,-0.507,2
-0.619,-0.682,-0.421,-0.485,-0.442,-0.71,-0.63,-0.778,-0.999,-0.771,-1.031,-0.608,-0.464,2
-0.622,-0.708,-0.419,-0.486,-0.437,-0.741,-0.659,-0.84,-1.056,-0.841,-1.058,-0.643,-0.472,2
-0.633,-0.745,-0.429,-0.496,-0.434,-0.712,-0.712,-0.893,-0.945,-0.754,-1.065,-0.568,-0.446,2
-0.67,-0.761,-0.539,-0.579,-0.577,-0.758,-0.781,-0.971,-0.952,-0.79,-1.032,-0.658,-0.463,2
-0.69,-0.814,-0.523,-0.577,-0.559,-0.822,-0.786,-0.951,-1.08,-0.882,-1.13,-0.663,-0.506,2
-0.692,-0.833,-0.507,-0.543,-0.5,-0.768,-0.644,-0.811,-0.981,-0.797,-1.058,-0.671,-0.498,2
-0.63,-0.782,-0.4,-0.511,-0.432,-0.714,-0.614,-0.661,-0.893,-0.768,-1.131,-0.59,-0.405,2
-0.526,-0.617,-0.323,-0.386,-0.339,-0.623,-0.492,-0.658,-0.841,-0.723,-0.985,-0.559,-0.447,2
-0.729,-0.683,-0.464,-0.549,-0.498,-0.795,-0.615,-0.727,-0.948,-0.893,-1.167,-0.787,-0.522,2
-0.631,-0.657,-0.413,-0.468,-0.409,-0.717,-0.559,-0.676,-0.892,-0.765,-1.094,-0.658,-0.388,2
