@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,8,10,12-13,16,21,23,26,29,33,37,41'

@attribute A1 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A16 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A33 numeric
@attribute A37 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.254,-0.583,-0.332,-0.522,-0.689,-0.882,-0.726,-0.7,-1.254,-0.931,-0.474,-0.603,-0.347,-0.793,2
-1.184,-0.587,-0.4,-0.56,-0.732,-0.817,-0.643,-0.615,-1.184,-0.906,-0.515,-0.609,-0.457,-0.844,2
-1.014,-0.554,-0.391,-0.533,-0.787,-0.698,-0.629,-0.637,-1.014,-0.924,-0.578,-0.667,-0.532,-0.812,2
-1.052,-0.474,-0.286,-0.485,-0.86,-0.694,-0.571,-0.559,-1.052,-1.023,-0.624,-0.694,-0.661,-0.818,2
-1.154,-0.403,-0.254,-0.458,-0.743,-0.706,-0.492,-0.567,-1.154,-0.895,-0.42,-0.545,-0.387,-0.722,2
-1.139,-0.364,-0.177,-0.421,-0.719,-0.646,-0.463,-0.569,-1.139,-0.955,-0.492,-0.626,-0.494,-0.752,2
-0.925,-0.282,-0.099,-0.297,-0.656,-0.535,-0.351,-0.426,-0.925,-0.839,-0.329,-0.455,-0.322,-0.638,2
-1.215,-0.695,-0.499,-0.674,-0.906,-0.878,-0.729,-0.661,-1.215,-0.969,-0.565,-0.689,-0.653,-0.892,2
-1.035,-0.394,-0.259,-0.516,-0.933,-0.648,-0.551,-0.583,-1.035,-0.857,-0.331,-0.462,-0.32,-0.667,2
-1.128,-0.537,-0.349,-0.507,-0.802,-0.72,-0.592,-0.573,-1.128,-1.008,-0.675,-0.745,-0.589,-0.882,2
-0.611,-0.108,-0.034,-0.137,-0.347,-0.379,-0.471,-0.414,-0.611,-0.666,-0.404,-0.507,-0.395,-0.575,2
-1.163,-0.738,-0.54,-0.699,-0.929,-0.824,-0.713,-0.642,-1.163,-0.926,-0.572,-0.688,-0.678,-0.92,2
-1.235,-0.738,-0.568,-0.733,-0.978,-0.91,-0.805,-0.711,-1.235,-1.034,-0.559,-0.696,-0.678,-0.923,2
-1.002,-0.489,-0.377,-0.471,-0.815,-0.688,-0.5,-0.506,-1.002,-0.953,-0.515,-0.602,-0.505,-0.737,2
-1.131,-0.726,-0.59,-0.669,-0.884,-0.81,-0.843,-0.794,-1.131,-1.015,-0.544,-0.695,-0.627,-0.912,2
-0.688,-0.243,-0.251,-0.381,-0.778,-0.446,-0.587,-0.51,-0.688,-0.727,-0.295,-0.379,-0.288,-0.522,2
-1.194,-0.772,-0.628,-0.756,-0.956,-0.883,-0.757,-0.697,-1.194,-0.937,-0.499,-0.633,-0.671,-0.874,2
-1.086,-0.547,-0.321,-0.528,-0.854,-0.73,-0.693,-0.655,-1.086,-0.99,-0.508,-0.641,-0.638,-0.791,2
-1.176,-0.615,-0.411,-0.578,-0.792,-0.801,-0.704,-0.663,-1.176,-1.042,-0.604,-0.743,-0.668,-0.871,2
-1.097,-0.653,-0.47,-0.622,-0.847,-0.781,-0.839,-0.769,-1.097,-0.989,-0.565,-0.688,-0.572,-0.837,2
-1.026,-0.567,-0.394,-0.517,-0.769,-0.755,-0.667,-0.662,-1.026,-0.951,-0.629,-0.678,-0.54,-0.827,2
-1.089,-0.625,-0.471,-0.622,-0.906,-0.792,-0.733,-0.704,-1.089,-1.001,-0.57,-0.681,-0.65,-0.794,2
-1.05,-0.535,-0.396,-0.522,-0.804,-0.706,-0.637,-0.607,-1.05,-0.989,-0.431,-0.584,-0.576,-0.78,2
