@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,7-8,10-11,17-19,21'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-1.2036,0.5963,1.3859,1.0008,-0.9589,-0.5572,-0.4398,0.1983,-3.0514,-1.065,1
-0.1027,-1.7199,-0.1783,-0.7337,0.0451,-1.0377,-0.7889,-0.0672,-0.5987,-0.5343,1
-1.9511,-0.9682,-0.9885,-0.307,0.3553,-0.8768,-0.0612,0.1256,-3.0595,-0.9652,1
-1.2737,-0.4411,0.4517,-0.4717,0.7053,-0.4156,0.2384,1.5308,0.2589,0.1003,0
0.9371,-0.8895,-0.7496,0.1197,-0.003,-1.8778,-1.0638,-0.2041,-0.2326,-1.461,1
-1.134,1.5234,-2.0327,0.7383,0.9001,0.3515,1.2065,0.5534,-0.162,1.2226,0
1.6957,0.7636,0.5256,0.9908,-0.728,-1.6106,0.4619,0.3347,0.2534,-0.166,0
-1.0159,-1.1604,0.5086,1.881,1.409,0.425,1.573,0.8276,0.3924,0.3229,0
0.03,-0.0286,0.8808,1.4073,-0.1765,-0.1691,0.0407,0.2483,1.9971,-0.7262,0
-0.2051,-1.4042,0.0556,-0.9808,-0.6879,-0.143,-1.2536,0.9142,0.5791,0.6651,1
-1.2778,-1.967,-0.2728,-2.2128,1.6388,-0.4302,-2.2651,-0.6157,-0.3742,-1.5935,1
-1.2032,-1.1301,1.5268,0.3064,-0.2133,0.5614,1.2491,1.3188,1.0552,0.1087,0
0.2695,-0.0913,-1.1854,-1.7243,-2.5025,-1.3383,0.5655,-1.1754,1.2332,-1.0529,1
1.0772,0.2379,1.0911,-1.9988,-0.375,-1.7219,-1.959,-0.7593,-0.2851,-0.1333,1
