@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1-2,9,11-13,15-16,19-21'

@attribute A1 numeric
@attribute A2 numeric
@attribute A9 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
0.7743,-0.606,-0.5478,-0.3664,0.5462,-0.2295,0.6551,-1.146,-1.1497,0.0191,1
-0.552,0.3249,-2.3584,0.2229,0.9096,-0.0908,1.5287,-0.196,-0.2981,0.5216,1
1.2268,-0.4586,-2.0609,-0.1957,0.0051,1.0733,0.3324,-1.0612,0.2584,0.4489,1
-0.6421,1.2597,2.8203,1.8319,1.5014,1.9451,-0.6084,0.2132,0.739,-0.0683,0
-0.1769,-1.6978,-1.1332,0.2564,-1.213,-0.5503,-0.8091,-0.3889,1.0598,-0.2599,1
0.5283,0.1669,0.4476,-0.2842,-0.0062,1.16,-1.7294,-1.3107,0.8917,0.345,0
0.8945,1.3853,-0.3283,-0.0647,1.9233,0.53,-0.8953,-0.096,-0.9387,0.8343,0
0.259,0.9724,1.0219,0.4087,0.984,0.7939,0.2306,-0.1282,1.1105,0.7909,0
-0.3438,-0.1739,0.0744,0.0817,-0.1063,0.232,-0.3211,-0.3333,-0.7787,1.5534,0
0.3672,-0.1598,-0.4834,-1.3169,-0.092,-0.8363,-1.1099,1.2035,0.09,0.2314,1
0.2712,-1.1028,0.7981,-0.0843,-1.3433,0.0181,0.4571,-0.009,-0.7493,-1.5959,1
1.1832,0.935,0.8606,-2.3166,1.2382,1.0141,0.9439,-0.5491,1.3361,1.4905,0
-0.6302,0.752,-1.6554,-0.1032,-0.6549,-0.2763,-0.0504,-0.3175,0.0672,1.5635,1
-1.5159,-1.6066,-0.3323,2.0281,0.1516,0.467,1.1569,-0.779,-0.3318,0.8119,1
0.6285,0.9687,-0.4005,-1.3226,-0.2236,0.3525,0.6117,0.2471,-0.7416,3.4198,0
0.7603,-1.2782,0.1261,-1.2136,0.4436,0.1806,1.1273,0.9028,0.6254,-1.6539,1
-0.8091,1.2597,0.9031,-0.3238,0.632,0.3742,0.0773,-0.1732,0.1772,-0.0907,0
0.2972,0.9267,-0.2913,1.5405,-0.7893,-0.4161,0.3573,0.5657,-0.9297,-0.916,1
0.1396,-0.4202,1.0328,-1.3367,1.045,0.6301,2.208,-1.6764,-0.4694,-0.7979,0
-0.7829,2.1203,-2.7147,3.1185,0.6748,-0.3048,0.9864,-0.0504,0.2043,1.0967,0
1.7321,0.4835,1.1411,1.4121,-0.548,0.2058,0.6275,1.7821,-0.3798,1.7285,0
-0.0765,-0.2471,0.2457,-1.3885,-0.4898,0.9713,0.5673,0.8953,-0.7089,-0.595,1
0.9515,0.8361,0.329,1.9735,1.5558,-0.0316,1.0744,0.1973,1.5342,0.7273,0
-1.9599,-1.9086,0.1198,0.0016,-0.6931,0.2658,-0.5672,-1.0273,-1.2977,-1.3023,1
-0.6433,0.5499,-0.0747,-1.1494,-2.6634,0.2011,-1.2883,0.6632,-2.4489,0.2519,1
0.4681,-0.3242,0.2134,0.8709,0.4254,-0.0938,-1.0529,-1.8608,-3.0303,0.668,1
-0.4526,-1.4278,-0.9071,-0.827,-0.7172,-0.2498,0.1513,0.2214,0.282,-0.7929,1
-0.4513,-0.2651,-1.1235,-1.1433,-1.4354,-1.181,-1.3626,-1.1011,0.6037,0.3438,1
-0.077,0.6241,0.8538,-1.4632,0.9961,3.5692,-0.3497,-0.2102,0.3887,-0.0148,0
-1.7674,-0.9873,-0.2014,-0.172,-1.7048,-0.8391,-0.3377,0.5829,0.4991,1.0707,1
-0.3044,0.275,-1.4478,-0.0527,0.4787,-1.5187,-0.4624,-0.7104,0.4474,-2.5503,1
-3.4302,-0.3857,-0.5749,-0.219,0.9148,-0.4553,-2.6998,0.4634,-1.3986,-0.2833,1
-0.3588,-0.9743,-1.2591,-0.2591,0.1527,-0.4828,0.49,-0.9689,-1.1644,-1.0712,1
-0.851,0.0196,-1.1568,-1.3596,-0.7172,-1.8936,0.1152,-1.2652,-0.7408,-2.3168,1
0.8145,-1.4633,-0.6388,-2.8955,-1.7194,-1.3205,-0.8272,-0.212,0.2691,0.0448,1
0.3585,1.2185,-0.1921,-0.5079,1.0281,0.9749,0.541,-0.34,-1.0401,1.0725,0
-1.7813,0.7992,1.0415,-0.1152,1.2276,-0.7163,1.1293,0.6021,1.3274,1.4209,0
-1.2833,-0.1642,-0.3667,-2.8348,0.079,-0.3627,-0.9599,-1.1374,-1.2267,-0.4664,1
0.1046,1.9766,1.3553,1.3136,-0.1092,1.0628,-0.4088,0.0086,-1.277,-0.805,0
-0.7826,1.2099,0.0662,-1.4604,0.7798,-0.3834,-1.8818,-2.7488,-0.2094,-2.0966,1
-1.4051,-1.4257,-1.3495,-0.8843,1.2196,0.3072,-0.2041,-1.6395,-0.1218,0.1229,1
3.2569,1.7807,0.479,1.8583,0.8611,0.5955,0.6645,0.0598,0.7773,1.7723,0
-1.1263,0.7743,0.1773,-0.8168,1.6731,2.3327,0.5282,-0.0825,-0.627,-0.6298,0
0.0627,0.0566,-0.0619,0.5818,1.0768,0.3161,1.3693,-0.3501,1.746,1.9237,0
-0.6851,0.3293,0.0068,-1.0151,-0.6821,-0.1711,-0.4111,0.1234,-0.8328,-0.0744,0
2.6811,0.8634,0.8012,1.4412,0.8567,1.5442,0.2436,-0.4317,3.2485,-0.0702,0
0.9882,-1.2415,-0.1221,0.3628,-0.0644,-1.2877,1.3621,-1.9099,-0.5532,-2.5365,1
-0.2413,0.8985,-0.5553,0.4658,0.9663,-2.624,-2.0712,-1.2609,-0.5677,-0.9175,1
1.1516,-1.1774,0.0011,0.5766,0.4,0.7159,1.5462,-1.7647,0.6222,0.3479,0
-1.1833,-0.1961,-1.0689,-0.523,1.2562,-0.8545,0.9534,-1.0744,-0.7579,-0.205,1
0.8719,-0.1109,0.0327,3.4562,-0.6211,1.0007,1.3315,-0.4568,-0.3991,-0.5654,0
