@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R2-3,7-9,12-13,20-21'

@attribute A2 numeric
@attribute A3 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-2.624,0.5963,1.0008,-0.9589,-1.3487,-1.1223,-0.1817,-0.8541,1
-0.7236,-1.7199,-0.7337,0.0451,-0.7099,-0.0449,1.0685,0.2151,1
0.2898,-0.9682,-0.307,0.3553,-0.2402,-1.9158,-1.0668,1.2911,1
1.3905,-0.4411,-0.4717,0.7053,1.3503,1.0078,0.886,-0.7151,0
0.0505,-0.8895,0.1197,-0.003,-0.7758,-1.3011,-3.331,-0.1735,1
0.7671,1.5234,0.7383,0.9001,1.0131,0.2923,-0.8487,1.9173,0
-0.208,0.7636,0.9908,-0.728,0.0782,1.3764,2.0868,0.0357,0
-0.273,-1.1604,1.881,1.409,0.2265,0.2616,0.6503,0.6529,0
0.5066,-0.0286,1.4073,-0.1765,1.7045,0.8613,0.5388,0.6014,0
2.1656,-1.4042,-0.9808,-0.6879,-0.4347,-0.3746,1.0041,-1.11,1
-1.0134,-1.967,-2.2128,1.6388,1.6427,-1.4099,0.0912,0.6066,1
0.9064,-1.1301,0.3064,-0.2133,2.837,-0.3957,0.5326,-0.5661,0
1.2942,-0.0913,-1.7243,-2.5025,0.278,-2.2152,-1.2691,-1.7052,1
1.7659,0.2379,-1.9988,-0.375,-1.1374,1.8876,-1.8072,-0.9027,1
-1.0319,-1.5515,-0.1645,-1.0763,-0.0894,-0.8419,-0.0066,-2.3656,1
-1.6219,-1.8902,0.0378,-0.8273,-0.2135,-1.7074,-0.9979,2.0192,1
-0.6629,0.5305,-0.5078,-1.7047,1.2283,0.904,1.1787,1.5756,0
1.9258,-0.751,-1.3272,0.8548,-0.9394,1.0476,-0.5938,-0.5895,1
-2.3468,1.1849,-1.3694,0.8897,0.8392,0.3422,-0.3,-0.758,1
-2.2569,-2.4675,-1.8781,1.9108,-1.816,-0.7593,-1.2052,-0.3309,1
-0.7061,0.8314,0.5918,-0.7369,0.5652,1.0366,0.5834,0.7948,0
-2.2921,0.5144,-1.2923,-1.0114,0.1207,0.6116,0.5991,1.3531,1
-0.5485,1.264,0.2884,1.0673,-1.2148,-1.8834,1.9491,0.6396,0
-1.8066,-2.0271,-0.5177,-0.814,-0.604,-1.1765,1.116,0.9474,1
0.3436,-1.8499,1.3225,0.3079,0.1613,0.9179,1.4803,0.2673,0
0.9592,0.0453,1.371,-0.2204,-1.0056,1.5864,-1.0948,1.8321,0
0.1215,0.2252,0.1096,0.8989,-0.7584,-0.8394,-0.8721,1.1356,1
1.1729,0.748,-0.0747,-1.0265,1.9416,2.7323,0.8962,0.5049,0
-1.1141,3.0907,0.9958,1.9477,0.4025,1.2302,0.1975,-0.1892,0
-1.2614,-0.4825,-1.583,1.0608,-0.9012,-0.551,0.6103,-0.2308,1
0.1094,-1.1868,0.9724,0.3235,1.5897,0.7891,0.2519,1.2863,0
2.6479,-1.5462,0.3633,0.9615,0.8103,-1.4085,-0.1202,-1.1682,1
0.566,-0.0263,0.4692,-0.6264,-2.7157,0.6941,-0.6897,-0.4343,1
0.1401,-1.0683,-0.6138,-0.7679,-0.124,-0.8169,-0.3072,-0.377,1
-2.3182,-0.072,-0.0266,-0.1547,0.568,-1.8316,-2.4294,-1.5062,1
0.3678,1.3938,-0.0733,1.1929,2.6599,0.0366,0.4276,0.5549,0
1.8497,-0.6132,2.954,-0.6533,0.4678,-0.0752,0.6614,-0.4286,0
0.6613,1.0977,0.3063,0.3683,0.7555,1.7389,0.153,-1.152,0
-0.0379,-0.3751,-1.7116,0.1713,0.3564,-0.7061,1.112,-1.0236,1
-1.1998,-0.4851,0.6493,-1.941,-2.0929,-0.205,-0.5264,0.4544,1
0.6558,-0.0143,0.1693,-1.3053,-0.2738,-0.2519,-1.5212,-0.7783,1
0.292,1.0088,-0.3767,0.4506,-0.6022,1.7991,-1.1672,0.8977,0
-1.6286,-1.9667,-0.1285,-2.1269,-0.5958,-1.5987,-0.27,-0.5566,1
-0.7824,0.7345,-0.8779,0.4276,1.1094,0.1832,0.4985,-0.0788,0
1.2836,1.2729,1.1741,-0.2478,0.5291,3.449,-0.3472,1.3465,0
-2.5253,-0.5406,-2.4561,-0.1355,-1.381,0.0984,-0.2519,-1.3914,1
-0.5473,0.5046,-1.1666,0.9655,0.774,-0.4691,-0.522,-0.0615,1
0.8049,-0.0922,1.2381,0.0861,0.4093,3.194,1.5143,0.6773,0
-0.6365,2.3695,0.1518,0.327,-0.0824,0.4311,1.2022,0.8335,0
-0.4523,0.6541,-0.4973,1.251,0.9458,0.241,-0.6292,1.2121,1
-1.092,-0.4079,-0.8968,-0.6243,0.3197,-0.2723,-0.6764,-0.8191,1
-0.237,-0.4831,-0.7686,-0.5427,-1.0642,-0.1881,-0.9503,-0.2961,1
-0.4228,-1.0645,-0.0621,1.3342,0.0641,-1.176,-1.1743,-0.1954,1
-1.2395,-1.5579,-1.8616,-0.4716,0.4601,-1.6446,-0.024,0.869,1
0.7101,1.602,0.1918,-1.0748,-2.3765,-0.3428,-1.7114,-0.1092,1
-0.2217,-0.2342,1.2812,1.9585,0.6091,0.8344,0.1883,-1.8539,0
0.0251,0.5087,0.8857,0.0721,-2.5663,0.1535,-1.7908,-1.0402,1
-0.9398,-1.3224,-0.4754,-1.2445,-0.0868,-1.6319,-0.9169,1.597,1
-0.4545,-0.7925,-0.5311,-0.335,-0.312,-2.2019,-0.2068,-1.631,1
-0.4989,2.1404,0.7079,-0.0169,0.0362,-2.0717,-0.1126,-1.4796,1
1.4847,-2.0861,-2.7528,0.7633,0.0429,-2.01,-0.0846,0.6879,1
-1.4628,-0.2945,0.6197,-1.3459,-0.3137,-1.717,-1.6608,-2.2466,1
0.6844,0.6051,-0.6662,0.6546,0.7741,0.8945,0.6646,-0.0743,0
1.4108,0.9346,0.7522,-0.4202,0.4499,0.341,0.1473,0.1131,0
0.5798,1.4069,1.1385,-2.5463,-1.9866,-0.9123,-2.2125,2.1085,1
0.7399,-0.9003,1.6265,0.6756,-1.161,-0.927,-1.3762,-0.5106,1
-0.6352,-0.8154,-1.3604,0.6799,1.0556,-1.2106,0.2869,0.0637,1
0.6965,-2.1251,0.0075,-0.514,0.0808,-0.0424,-1.1737,-1.0564,1
-0.0401,-0.1357,-1.1024,0.8672,1.496,-0.6952,-0.8554,-0.6182,0
-0.4781,-1.1549,0.2864,-0.0745,-1.8588,-1.0008,-0.6506,-0.2174,1
-0.0714,0.3438,-0.2632,2.0849,-0.0728,0.7754,1.211,0.4902,0
0.5118,-1.44,-0.5398,1.4687,0.6742,1.2674,0.8212,2.1545,0
-0.582,-1.6864,0.147,1.035,-1.291,-2.645,-1.0708,-0.528,1
0.8877,1.0837,1.2613,0.1061,0.7842,0.5008,-1.0705,-0.7298,1
0.6961,1.1955,0.2864,-0.0078,-0.5695,0.068,-1.4728,-0.406,1
-0.7764,-1.1203,0.0609,-1.2711,0.4576,-0.2042,-0.5942,-0.2869,1
0.9413,-0.0762,1.2403,-0.0115,-0.8646,0.0189,1.2303,-0.3843,0
-0.6257,2.0892,-0.0803,0.1293,1.2619,0.1498,0.3444,0.7343,0
1.1762,2.1174,1.1726,0.995,-0.8113,-0.0597,0.7872,1.416,0
1.4752,-0.94,-0.3613,-0.2705,-0.5776,0.7626,-0.2769,1.8367,0
0.4659,0.267,-0.7351,1.339,0.0615,0.607,0.759,0.2484,0
-0.513,1.6906,-0.3174,0.6796,-0.7262,0.6963,-0.7061,-0.8755,1
0.0541,0.1415,1.1033,1.3657,-0.3962,1.1201,-1.4212,2.2986,0
-0.6147,3.2099,0.9613,2.3805,0.167,1.5052,2.386,0.5484,0
1.2236,-0.9845,0.4203,1.3716,0.1971,0.0047,0.8777,-0.1711,0
-1.0629,-0.8592,-0.7732,-0.2774,-0.5915,-0.3803,-0.88,-1.2405,1
-0.4601,-1.6143,-1.3362,0.262,-1.0564,0.2493,0.3445,-0.5298,1
-0.5811,-1.2239,0.6045,-0.2843,0.4628,1.9037,-1.0376,-0.28,1
-1.0097,1.0208,-0.163,-0.8801,-0.8525,-0.3538,-0.3489,-0.5765,1
-1.2843,2.7441,0.252,2.2805,0.2221,0.8699,0.6459,0.478,0
-0.2678,0.0359,-1.6297,-1.5307,0.0137,-1.0579,0.6488,0.0242,0
0.3733,3.0347,1.5993,0.4584,-0.3383,-0.3047,0.6479,-0.5728,0
1.2618,-1.4755,-0.9367,1.5297,0.6518,1.4431,1.7297,0.9377,0
0.6579,0.4215,1.9248,0.1433,1.9679,0.0724,-1.0638,0.0068,0
-1.474,0.1201,-0.001,1.0794,0.564,-2.2698,-2.1742,-0.2318,1
2.3602,0.3272,0.7333,1.5103,-0.1502,-0.8969,0.2162,1.143,0
0.1632,0.2057,0.9879,0.5777,1.2161,-1.8146,-1.1015,-1.3878,1
0.8956,-1.159,0.7355,1.3159,1.1103,1.9519,1.0692,2.6222,0
1.5957,-0.2316,0.4416,0.4364,-0.869,0.0082,-0.1786,1.2851,0
-0.538,0.3774,-0.1658,-1.2321,-1.3864,-1.3858,0.2122,2.2225,1
0.445,0.057,-0.2286,1.0537,1.118,0.5556,0.5787,0.4588,0
0.8592,-0.1571,-0.7818,1.5966,1.2154,0.619,-0.0281,-0.229,0
2.1744,-0.8603,0.162,0.1859,1.4196,0.7052,1.1242,-0.0371,0
-0.4197,1.1955,1.2685,0.4906,2.3235,-0.7331,0.1603,2.5114,0
0.8462,1.8344,-1.0582,1.1913,0.2546,-0.3038,-0.2253,0.1228,0
0.4978,-1.3776,-2.3988,-1.5776,0.6079,-1.3794,-0.3606,-1.4904,1
-0.3731,-2.3283,-0.8037,0.0264,-0.141,-0.0756,1.1709,-1.2086,1
-0.4907,-1.5274,-0.9526,-1.8338,0.2718,-1.4455,0.0171,-1.5739,1
-0.6374,-0.4413,-0.5647,-0.6904,-0.9021,-1.5249,-1.4955,-2.5251,1
1.9636,0.2181,0.7474,-0.9249,0.2181,-0.1336,-0.3195,-1.1758,0
-2.5254,-0.9375,-0.4436,-0.6716,0.0205,-0.971,-2.9253,-0.3127,1
-3.2756,-0.3312,-1.3041,-0.9602,-1.1211,0.149,-1.8311,0.3965,1
0.4985,-1.9238,-0.3336,-1.0148,0.0191,-0.4339,-0.9542,-0.7708,1
0.3275,0.8834,-0.1143,-0.98,-0.9015,-0.3637,2.3168,-0.9622,1
1.2722,-0.8442,0.7831,-1.0227,0.7448,0.2113,-0.3943,1.1005,1
0.4061,1.3823,0.768,-0.128,0.0116,-0.1466,1.1674,0.5678,0
-0.5023,0.6885,-0.3594,1.6121,1.9974,0.2996,-0.0623,-0.4226,0
0.7041,-1.9456,1.8908,0.0421,-0.069,0.5315,0.3401,0.3719,1
-1.1348,-0.135,-1.8544,1.7671,-0.9387,-1.2867,-0.6366,-1.4081,1
-0.5435,-0.6169,0.0201,0.5188,-0.4043,0.0186,-0.5933,0.0337,1
1.4215,0.0296,0.2714,-0.1603,-0.315,2.0443,-1.1796,-0.3808,0
1.1851,-0.7606,-1.71,0.3473,0.004,-0.2956,-1.7421,0.1551,1
0.0941,1.8921,1.2123,1.5669,0.0796,-0.0575,0.3423,-1.6327,0
0.398,1.6854,0.9069,-2.7155,-2.0821,-0.0479,1.2083,0.0445,1
1.3321,0.2203,0.9252,0.3633,1.545,0.9605,-0.6,1.0046,0
1.0789,0.1435,1.5506,-0.6847,-0.2337,0.1651,-1.0241,-0.1161,1
-0.0009,-1.6298,-1.6755,-0.8676,-0.3886,-0.0434,1.8493,0.5871,1
-0.9623,-0.8825,1.6826,-0.8587,1.8925,1.0454,-0.3387,0.3682,0
-1.4105,1.012,1.7051,1.4917,1.263,-0.0931,0.6876,0.7142,0
-1.5021,-2.3625,-0.2753,-0.843,-0.1555,-0.4001,0.9039,0.4017,1
-0.4267,-0.9922,0.7461,-0.3598,1.6225,0.612,0.0669,1.4756,0
-0.0571,-0.1483,-0.1929,-0.8056,-0.188,0.7577,-0.3962,-1.7056,1
-0.9286,-0.4662,0.8838,-1.054,1.2773,0.8102,1.2989,-0.6728,0
0.67,-0.0838,2.3604,0.3903,-0.2548,-0.1204,1.1149,0.8546,0
0.7593,0.414,0.9262,0.9516,0.9892,1.8956,-1.2674,0.0723,0
0.7701,-1.4476,-0.2462,-1.6325,-1.5764,0.4224,-0.6538,-1.9324,1
-0.0631,1.0301,-0.7929,0.7931,-1.4738,-0.1454,-1.8885,-0.018,1
-0.4746,-1.9672,-1.7776,0.5758,1.23,-0.2006,-0.8019,-0.0988,1
0.3918,-0.627,-1.5898,-0.1559,1.929,0.6674,-1.0937,0.3619,0
-2.1137,0.1964,0.3339,-2.3426,-1.5722,-0.8348,-0.5304,0.1537,1
-1.0746,-0.5089,-0.6036,0.5203,-1.6742,0.2071,-1.3185,-0.7924,1
0.7085,-0.1174,-1.0737,1.0562,0.0591,-0.7221,1.099,1.1762,0
0.9536,-2.1325,-0.1322,1.1101,-0.7873,-1.2679,1.0748,-1.4406,1
-0.6726,-0.4132,0.1392,-1.3026,-1.4951,-1.9069,-1.1635,-0.8592,1
0.79,-0.1794,-0.6015,0.4585,-0.1153,-0.9159,-0.068,-2.8463,1
-0.9999,0.1041,-0.5264,-0.1666,1.8068,-0.8424,-0.0087,-0.4372,0
1.4398,-0.126,1.618,-1.8202,-0.907,-0.1337,2.9321,0.653,0
0.6926,1.1451,0.4847,-0.0392,0.1212,2.4733,1.679,0.5857,0
-0.5915,-0.3688,0.2424,-0.4966,-1.4842,0.7432,1.4735,2.0725,0
0.7645,-1.1678,2.611,0.9743,0.7539,-0.5791,0.8306,-1.0916,0
3.3237,0.0552,1.4457,1.7632,1.0137,0.805,0.777,0.5044,0
0.408,2.1584,-0.1277,0.1495,1.9208,1.3604,0.5806,-0.8566,0
-0.2658,-0.2324,0.6817,-1.2777,0.3788,0.2452,0.7167,0.6825,0
0.3376,-1.1738,0.235,1.1732,-2.5502,-0.1408,-1.0694,-0.6677,1
1.8197,0.2734,-0.455,1.5012,1.5077,-1.0097,0.0174,0.1489,1
0.305,1.7994,0.1521,1.5658,-0.5874,-0.8128,0.5081,0.006,0
1.0757,1.5808,2.3828,0.2841,1.2081,2.4386,-0.7717,0.7961,0
1.7604,1.3996,1.0959,0.9002,0.0577,1.1071,0.9063,-0.031,0
-2.5927,-0.3443,-0.0009,0.5895,-1.1053,-1.2136,-0.7982,-1.1618,1
0.046,-1.9931,0.0822,-0.1098,-0.6601,0.2852,0.7675,-1.0937,0
0.4171,-1.1432,0.3521,-0.3872,-1.537,-1.0823,-1.5098,-1.4411,1
-0.5762,-1.6131,-2.5343,1.2989,0.0264,-1.4102,0.4191,-0.0951,1
0.9845,0.1162,0.5463,0.5027,-0.834,0.6652,-1.4804,1.158,0
-0.4219,-1.4797,-1.2309,-0.8565,-0.969,-1.9349,-0.9612,-0.9719,1
-0.1647,0.2987,0.6275,-0.1108,0.2192,-1.8987,-0.0947,0.0503,1
0.6507,1.0213,0.3022,-0.0184,-0.3422,0.0526,0.4942,-0.7316,0
-0.4475,0.7606,-1.1955,0.4315,-1.9887,-0.0207,0.8013,0.2401,0
-1.7961,1.168,0.544,0.4451,-0.6671,0.0521,-1.838,-0.734,1
0.5568,-0.5004,1.541,-0.2178,-0.8798,0.9648,-0.4853,1.235,0
-0.8199,0.2662,3.3434,-0.0758,-0.4287,0.8787,0.1363,1.3392,0
1.1294,-0.6114,0.5739,0.812,0.6527,1.4233,1.5102,0.0697,0
0.7735,0.3598,-1.281,2.3638,0.6566,1.0826,0.863,0.0841,0
0.4512,0.3127,1.9759,0.9905,1.2878,-1.0528,1.9034,1.9132,0
0.6581,0.4206,0.951,2.5262,0.6298,-0.732,1.4041,1.0339,0
0.6769,0.2343,0.3692,-0.0034,0.108,0.3348,1.5645,0.4085,0
1.5812,1.4369,0.3859,1.7798,0.5272,0.0161,0.7203,1.6618,0
-0.6295,-1.3246,0.5059,0.5252,-1.8504,1.7139,0.3606,0.1013,1
-0.6836,-0.5768,-1.7617,-2.2504,0.4433,2.0261,-0.225,-0.3743,1
-0.4874,-0.8414,0.5198,1.271,0.0984,-0.5348,0.1601,0.4247,0
-1.0257,1.0809,-2.0494,0.8234,-0.1888,-0.1346,-1.4905,-1.2572,1
0.2169,-0.2029,-2.0673,-1.1354,0.4511,0.1134,0.4099,-0.9632,1
2.4734,-1.1735,0.4861,1.6291,0.3177,0.2742,-0.1071,1.3095,0
-2.4694,-0.2168,0.1921,-0.2897,-0.9611,-1.7414,0.5531,-2.4076,1
-1.2842,-0.1968,-1.6773,1.132,-1.6978,1.1543,-0.1082,-1.4447,1
0.3227,-0.0266,0.6789,2.3976,0.0106,-0.3874,0.8919,1.0068,0
3.5431,-1.6236,1.5932,-1.1082,1.7537,0.6332,-0.0939,-0.3049,0
-0.453,0.4374,-0.5397,-1.1013,-0.4998,-0.2346,-1.751,-0.9627,1
0.3644,-0.3649,-0.9366,-1.6451,-1.5739,-0.6364,-0.7399,-1.2447,1
-1.7643,-0.1026,-1.1942,-1.9299,-1.5162,0.0751,-0.547,-1.844,1
-1.649,-0.8319,-0.6982,0.4413,-3.2758,0.5538,-1.7507,2.0846,1
0.4232,-1.6583,-0.8802,-0.2561,-0.4989,0.5736,0.4087,-1.6812,1
0.5072,1.2798,-0.9346,-1.162,-0.2308,0.7527,0.5177,-0.0012,1
0.0405,-0.4673,2.759,0.8387,1.1202,1.0759,-0.1744,-0.2434,0
1.1967,-0.6217,0.6934,-0.9956,2.1709,0.2112,0.6215,-0.4997,1
-0.822,0.8506,0.4012,-0.3461,-0.2511,1.1232,2.4044,1.1536,0
2.5158,-0.5516,0.735,0.6549,-0.926,1.571,0.8652,0.9301,0
-0.2204,0.5734,1.477,-0.8261,1.9207,-0.9586,0.6407,0.2975,0
-0.3463,-0.9648,-0.6483,-1.0577,-0.3637,-0.2585,-0.1848,-0.5012,1
-0.9502,-1.8458,0.1179,-0.0569,-2.1933,-0.3,-1.3927,-0.5102,1
-0.8914,-0.2097,-1.7364,0.0328,-2.2531,-0.6824,-1.1579,-0.6426,1
-0.6575,0.1341,-1.7681,-0.3155,0.1616,-1.1389,-0.8432,2.2516,1
-0.2283,-0.1635,-1.6462,-1.8804,-0.6134,-0.1955,1.5437,-0.4217,1
0.741,-0.0722,0.7417,0.3866,1.1478,1.3977,-0.5419,-1.0844,0
-1.3965,-0.2633,0.4947,-0.8985,-0.6545,-1.79,-1.288,-1.1692,1
0.6361,-0.5262,0.5295,0.7541,-0.867,0.6343,0.5255,0.4535,0
0.6715,-0.4037,0.8568,-1.1191,1.6478,-0.9675,-0.4737,1.8797,0
-0.5421,2.1275,1.2613,-0.7132,0.1491,0.4329,1.3122,-0.3826,0
0.2268,-0.7021,-0.3371,1.5309,1.56,1.9668,-1.1088,1.9721,0
-0.3293,-2.2281,-0.8382,-0.8054,-1.3701,-2.3954,1.5722,-0.0638,1
-0.3295,-0.2012,0.469,-0.4484,-1.3388,0.781,-0.2228,-0.4317,1
-0.403,0.4721,0.0272,1.2496,0.6375,0.3661,0.7089,0.9281,0
-1.4429,1.7325,1.3045,-0.7203,-0.5178,-0.062,-1.2499,1.2456,0
-0.0979,-0.3902,-0.1247,-1.6978,0.0955,-1.651,-1.2683,-0.7286,1
1.7931,2.3341,0.8565,1.0146,0.4382,0.0796,0.7969,-2.3102,0
1.2081,-0.4853,-0.7301,0.2267,1.4951,0.0552,1.4971,0.6353,0
