@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1-3,5-7,9,12,19-21'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-1.2036,-2.624,0.5963,-1.3597,0.6758,1.0008,-1.3487,-1.1223,-1.065,-0.8541,1
-0.1027,-0.7236,-1.7199,-1.3352,-1.5999,-0.7337,-0.7099,-0.0449,-0.5343,0.2151,1
-1.9511,0.2898,-0.9682,-0.6495,0.4074,-0.307,-0.2402,-1.9158,-0.9652,1.2911,1
-1.2737,1.3905,-0.4411,-1.4507,-0.6442,-0.4717,1.3503,1.0078,0.1003,-0.7151,0
0.9371,0.0505,-0.8895,0.0076,-1.1231,0.1197,-0.7758,-1.3011,-1.461,-0.1735,1
-1.134,0.7671,1.5234,-0.2262,1.7874,0.7383,1.0131,0.2923,1.2226,1.9173,0
1.6957,-0.208,0.7636,-0.2174,0.4135,0.9908,0.0782,1.3764,-0.166,0.0357,0
-1.0159,-0.273,-1.1604,-0.3406,0.3504,1.881,0.2265,0.2616,0.3229,0.6529,0
0.03,0.5066,-0.0286,1.0264,-0.0206,1.4073,1.7045,0.8613,-0.7262,0.6014,0
-0.2051,2.1656,-1.4042,0.1495,-2.7121,-0.9808,-0.4347,-0.3746,0.6651,-1.11,1
-1.2778,-1.0134,-1.967,1.0498,-1.0225,-2.2128,1.6427,-1.4099,-1.5935,0.6066,1
-1.2032,0.9064,-1.1301,-0.9889,1.3497,0.3064,2.837,-0.3957,0.1087,-0.5661,0
0.2695,1.2942,-0.0913,-0.3612,0.1462,-1.7243,0.278,-2.2152,-1.0529,-1.7052,1
1.0772,1.7659,0.2379,-2.612,2.2107,-1.9988,-1.1374,1.8876,-0.1333,-0.9027,1
-1.5949,-1.0319,-1.5515,0.5365,-1.5597,-0.1645,-0.0894,-0.8419,0.187,-2.3656,1
-0.4755,-1.6219,-1.8902,0.9495,-1.2354,0.0378,-0.2135,-1.7074,0.0788,2.0192,1
-0.6612,-0.6629,0.5305,1.8863,0.4244,-0.5078,1.2283,0.904,0.1212,1.5756,0
1.8141,1.9258,-0.751,0.5169,-0.8775,-1.3272,-0.9394,1.0476,-1.2527,-0.5895,1
-1.1147,-2.3468,1.1849,-0.0482,-0.3266,-1.3694,0.8392,0.3422,-0.3376,-0.758,1
0.1638,-2.2569,-2.4675,-0.3776,-1.2369,-1.8781,-1.816,-0.7593,-1.6389,-0.3309,1
0.9772,-0.7061,0.8314,0.0586,-0.247,0.5918,0.5652,1.0366,0.4796,0.7948,0
1.267,-2.2921,0.5144,-0.8694,-0.0715,-1.2923,0.1207,0.6116,-0.5125,1.3531,1
1.1008,-0.5485,1.264,1.2831,1.4305,0.2884,-1.2148,-1.8834,1.8539,0.6396,0
-0.8408,-1.8066,-2.0271,0.6896,-1.3569,-0.5177,-0.604,-1.1765,-0.6993,0.9474,1
0.707,0.3436,-1.8499,-1.8147,2.0424,1.3225,0.1613,0.9179,-0.0562,0.2673,0
1.1594,0.9592,0.0453,-0.7683,0.1114,1.371,-1.0056,1.5864,2.8057,1.8321,0
-0.0663,0.1215,0.2252,-1.084,0.2679,0.1096,-0.7584,-0.8394,-1.1729,1.1356,1
0.2847,1.1729,0.748,0.3113,-0.1392,-0.0747,1.9416,2.7323,0.8006,0.5049,0
-0.5726,-1.1141,3.0907,0.9524,0.1896,0.9958,0.4025,1.2302,1.8801,-0.1892,0
1.3489,-1.2614,-0.4825,0.181,0.1673,-1.583,-0.9012,-0.551,-1.2985,-0.2308,1
1.2452,0.1094,-1.1868,-0.544,1.1045,0.9724,1.5897,0.7891,0.9909,1.2863,0
-0.9136,2.6479,-1.5462,-1.4574,0.3515,0.3633,0.8103,-1.4085,1.0228,-1.1682,1
0.9108,0.566,-0.0263,-0.9156,-1.8925,0.4692,-2.7157,0.6941,-1.6479,-0.4343,1
0.6886,0.1401,-1.0683,1.6313,-1.4359,-0.6138,-0.124,-0.8169,-2.095,-0.377,1
-0.2434,-2.3182,-0.072,-2.3623,0.0276,-0.0266,0.568,-1.8316,-0.6836,-1.5062,1
1.8738,0.3678,1.3938,0.1999,1.2057,-0.0733,2.6599,0.0366,0.4638,0.5549,0
0.0675,1.8497,-0.6132,0.4871,0.1113,2.954,0.4678,-0.0752,0.2873,-0.4286,0
-1.7216,0.6613,1.0977,0.1134,3.1644,0.3063,0.7555,1.7389,0.2442,-1.152,0
0.6355,-0.0379,-0.3751,-0.9152,-1.716,-1.7116,0.3564,-0.7061,1.6126,-1.0236,1
0.6011,-1.1998,-0.4851,-0.5269,1.3689,0.6493,-2.0929,-0.205,2.2072,0.4544,1
-1.0365,0.6558,-0.0143,-0.1969,-1.3132,0.1693,-0.2738,-0.2519,-0.6152,-0.7783,1
0.8288,0.292,1.0088,1.4583,-0.1938,-0.3767,-0.6022,1.7991,1.0362,0.8977,0
1.0912,-1.6286,-1.9667,-1.761,-0.1102,-0.1285,-0.5958,-1.5987,-1.5693,-0.5566,1
1.3218,-0.7824,0.7345,1.0506,0.5931,-0.8779,1.1094,0.1832,0.6805,-0.0788,0
-1.1195,1.2836,1.2729,-0.3164,0.6418,1.1741,0.5291,3.449,1.1422,1.3465,0
-1.2104,-2.5253,-0.5406,1.2627,-0.4341,-2.4561,-1.381,0.0984,0.1631,-1.3914,1
-0.9387,-0.5473,0.5046,0.6918,0.3963,-1.1666,0.774,-0.4691,-0.7404,-0.0615,1
1.0072,0.8049,-0.0922,1.0807,0.2411,1.2381,0.4093,3.194,-0.9685,0.6773,0
1.4604,-0.6365,2.3695,3.3984,0.9955,0.1518,-0.0824,0.4311,0.402,0.8335,0
-1.6617,-0.4523,0.6541,-0.9531,0.3552,-0.4973,0.9458,0.241,-2.9451,1.2121,1
-0.8239,-1.092,-0.4079,-2.3312,1.0883,-0.8968,0.3197,-0.2723,-1.1714,-0.8191,1
0.2806,-0.237,-0.4831,-0.0309,0.6243,-0.7686,-1.0642,-0.1881,-3.1407,-0.2961,1
-0.3885,-0.4228,-1.0645,-0.9141,-1.7557,-0.0621,0.0641,-1.176,-0.1201,-0.1954,1
-1.0544,-1.2395,-1.5579,-1.1425,-0.0518,-1.8616,0.4601,-1.6446,-1.3296,0.869,1
-0.2549,0.7101,1.602,0.3245,-0.157,0.1918,-2.3765,-0.3428,0.7109,-0.1092,1
2.266,-0.2217,-0.2342,1.5876,-0.1504,1.2812,0.6091,0.8344,-0.3915,-1.8539,0
-1.798,0.0251,0.5087,0.3129,0.8837,0.8857,-2.5663,0.1535,1.3712,-1.0402,1
-0.6004,-0.9398,-1.3224,1.05,1.0263,-0.4754,-0.0868,-1.6319,-0.3372,1.597,1
-1.2207,-0.4545,-0.7925,0.781,-0.788,-0.5311,-0.312,-2.2019,-0.2937,-1.631,1
-0.598,-0.4989,2.1404,-1.0929,0.2989,0.7079,0.0362,-2.0717,-1.3503,-1.4796,1
-0.5407,1.4847,-2.0861,-0.2131,-0.644,-2.7528,0.0429,-2.01,-0.7094,0.6879,1
0.4124,-1.4628,-0.2945,-1.5465,-0.0683,0.6197,-0.3137,-1.717,-1.7038,-2.2466,1
0.2255,0.6844,0.6051,1.2661,1.2254,-0.6662,0.7741,0.8945,0.708,-0.0743,0
2.5677,1.4108,0.9346,-0.321,0.0956,0.7522,0.4499,0.341,2.2493,0.1131,0
