@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R6-7,9,11,13-14,16-18,21'

@attribute A6 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A11 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
-1.2382,-1.4933,0.645,-0.9652,-0.5912,-0.9731,-2.0039,-1.3395,-1.1801,1
-1.0667,-0.3491,-1.7985,0.5124,1.2052,0.8229,-0.0754,-0.3115,-0.8571,1
-1.9344,-2.1996,-1.1568,-0.9255,0.1303,0.0052,0.7856,-1.5538,-1.0281,1
0.6665,-1.2168,-0.07,-0.7377,-0.7977,0.3254,-0.0331,-1.5656,0.0141,1
-1.6196,-0.7602,-2.3324,0.9253,-0.5905,-1.517,-0.4296,-2.4746,-0.8375,1
-1.7706,-1.2487,-0.4,0.2046,0.4705,0.6238,-1.887,1.2586,-0.2443,1
-1.4074,1.3047,-0.5016,0.3665,0.9624,0.2951,0.9429,3.1887,0.6173,0
1.7842,0.406,-0.7945,-0.3751,-0.8303,1.1434,-0.2181,0.4712,0.8698,0
-1.5447,0.6747,0.9926,-0.8922,-1.2294,-0.5935,-0.6759,0.4816,-2.9967,1
-0.7132,-0.8408,1.4186,1.2832,0.4315,-0.8201,0.0371,1.1465,1.1687,0
-0.7134,-0.5844,-0.7629,-1.1508,0.4676,-0.9664,2.4691,-0.3858,-0.9138,1
1.2536,-0.5896,-0.1141,2.97,0.5275,0.7804,-0.4631,0.6532,0.1684,0
0.1607,1.0011,-0.5969,0.5185,0.8949,0.2954,2.6002,2.9243,1.9223,0
-1.8986,2.2758,0.3924,0.8931,0.0296,-0.5082,-0.3167,-1.6112,-2.1758,1
-1.8191,0.5002,1.2087,-0.2238,0.828,-0.9901,0.4509,-0.1453,0.4028,1
-0.5426,1.9726,-0.3345,-0.7166,-1.0699,1.2831,-1.8071,0.6056,-1.0551,1
-2.0378,0.7294,-0.6694,-1.6096,-0.1172,0.1803,-0.3873,-0.6359,-1.1302,1
0.7479,-2.1706,1.0706,1.3004,-1.1022,0.5401,-1.6257,-0.2892,-1.301,1
