@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
85,20,160,195,van
84,20,165,195,van
66,18,146,194,van
84,19,148,206,van
68,18,130,203,van
83,19,153,196,van
58,17,140,206,van
63,18,136,201,van
68,18,144,187,van
58,17,132,203,van
70,18,141,183,van
85,19,147,204,van
88,19,148,199,van
80,19,144,197,van
81,19,149,196,van
62,18,143,186,van
44,17,121,183,van
53,17,125,183,van
70,17,128,207,van
66,18,127,201,van
52,17,126,190,van
82,20,156,193,van
64,18,142,201,van
90,20,150,200,van
77,20,164,191,van
64,18,142,201,van
76,18,137,209,van
70,18,139,202,van
88,20,149,202,van
83,20,159,197,van
87,20,149,202,van
68,18,134,209,van
51,17,129,185,van
66,17,128,190,van
78,18,145,210,van
60,17,132,194,van
66,18,144,191,van
82,19,149,197,van
86,19,156,194,van
63,17,137,188,van
58,17,129,186,van
68,18,132,196,van
80,19,148,207,van
60,18,129,209,van
78,18,147,201,van
80,19,148,199,van
49,17,128,184,van
75,20,165,191,van
85,19,155,196,van
81,19,156,195,van
62,17,135,204,van
74,20,158,191,van
62,17,139,210,van
78,19,152,200,van
74,18,133,193,van
80,19,145,199,van
73,18,138,188,van
85,19,155,197,van
66,18,129,200,van
83,20,163,194,van
91,19,148,205,van
53,17,125,183,van
83,20,155,197,van
69,18,145,191,van
72,18,144,203,van
64,18,136,204,van
62,17,129,185,van
57,17,135,202,van
51,17,128,183,van
73,20,153,191,van
92,20,157,200,van
88,19,147,206,van
75,18,141,185,van
66,18,142,197,van
79,19,139,197,van
66,17,144,198,van
82,20,162,191,van
82,19,140,206,van
80,20,163,193,van
62,17,127,208,van
70,18,145,190,van
82,19,145,207,van
64,18,142,210,van
85,20,167,192,van
79,19,150,203,van
89,19,145,199,van
88,19,157,207,van
85,20,158,195,van
88,20,157,200,van
85,19,150,202,van
75,20,161,192,van
84,20,160,192,van
70,18,145,199,van
70,18,146,194,van
80,20,156,193,van
72,18,145,209,van
77,18,139,209,van
58,18,139,182,van
73,18,148,199,van
64,17,125,203,van
85,19,157,196,van
82,20,160,194,van
66,18,148,196,van
87,19,149,201,van
87,20,162,194,van
77,18,150,208,van
66,18,138,194,van
60,17,130,198,van
91,20,155,200,van
70,18,139,185,van
64,18,142,201,van
82,20,160,192,van
85,20,167,195,van
66,18,135,208,van
85,20,157,199,van
81,19,147,202,van
78,20,167,192,van
76,18,135,192,van
60,17,132,190,van
76,20,155,193,van
64,18,141,201,van
78,20,160,194,van
60,17,137,199,van
70,18,140,205,van
84,20,159,197,van
68,18,142,186,van
71,19,147,196,van
63,18,142,204,van
81,19,139,199,van
70,18,146,187,van
72,18,135,195,van
85,20,155,195,van
51,17,124,184,van
82,19,137,201,van
62,18,145,184,van
66,18,143,184,van
69,18,134,195,van
66,18,146,202,van
59,18,137,183,van
87,20,158,194,van
66,18,144,194,van
66,19,140,183,van
76,19,149,200,van
55,18,139,183,van
77,20,160,191,van
87,20,161,195,van
58,17,134,194,van
90,19,156,203,van
64,18,141,184,van
64,18,144,185,van
82,19,143,207,van
85,19,155,196,van
58,18,130,206,van
85,19,144,197,van
57,18,139,182,van
68,18,135,187,van
88,19,148,202,van
75,20,163,192,van
78,20,159,193,van
85,20,158,193,van
81,20,163,193,van
85,19,153,196,van
85,19,151,197,van
53,17,128,183,van
84,19,150,196,van
66,18,140,183,van
73,20,158,193,van
51,17,127,183,van
78,18,140,208,van
76,18,131,196,van
85,20,163,196,van
85,19,151,196,van
84,20,170,191,van
78,18,148,207,van
70,18,137,190,van
76,20,151,193,van
70,18,134,202,van
73,18,144,199,van
81,20,160,192,van
