@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R4,8,11,14,17-19'

@attribute Radius_ratio numeric
@attribute Elongatedness numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
171,43,180,71,189,195,bus
222,32,232,70,190,202,opel
118,44,174,82,180,185,bus
145,43,180,77,183,194,van
133,51,159,70,190,194,van
122,46,172,88,180,182,bus
133,44,169,74,182,192,van
219,34,208,74,195,195,bus
203,34,210,68,191,198,opel
159,44,175,73,186,190,bus
222,31,232,71,188,199,saab
151,45,176,73,184,193,opel
162,43,177,74,185,196,van
209,32,216,73,192,194,bus
211,32,224,68,190,202,saab
191,40,184,62,197,205,saab
122,59,135,76,183,190,saab
179,42,182,66,192,198,opel
163,44,172,74,183,195,van
168,31,238,78,190,189,bus
148,45,165,80,182,185,saab
115,61,130,86,181,183,saab
228,31,229,71,188,199,saab
121,44,168,77,182,191,van
189,38,197,69,191,198,saab
131,56,143,65,193,199,van
138,53,147,64,199,207,van
187,40,189,63,198,207,saab
179,45,167,69,194,201,bus
194,26,288,85,182,183,bus
155,45,175,72,192,196,bus
149,43,179,75,185,196,van
177,36,205,74,196,198,bus
166,44,170,66,194,203,van
165,43,176,74,188,194,bus
169,41,189,72,188,192,opel
162,31,226,74,186,194,opel
204,33,215,66,192,202,opel
130,51,152,76,179,188,opel
175,39,191,68,191,199,saab
188,41,190,66,194,201,saab
133,43,170,76,183,193,van
197,36,202,66,193,200,opel
203,30,228,71,188,197,opel
195,37,203,67,192,198,opel
194,34,219,67,192,201,saab
151,48,166,72,188,194,van
230,30,230,67,191,202,opel
164,27,269,84,181,182,bus
179,41,181,69,193,198,bus
189,30,225,70,187,201,opel
139,49,166,73,187,188,van
114,51,155,85,183,182,van
119,57,140,78,184,186,van
194,40,199,74,186,192,opel
161,43,175,67,193,198,saab
199,32,219,74,193,193,bus
184,41,187,66,195,203,saab
130,51,145,65,188,198,opel
152,48,158,62,204,210,opel
135,50,152,70,187,191,saab
140,45,170,82,181,183,bus
153,47,162,61,202,209,saab
161,45,174,71,188,193,saab
213,32,223,72,187,196,saab
110,57,139,90,180,183,van
194,38,199,65,197,206,opel
162,42,175,74,184,193,van
184,39,193,71,200,202,bus
156,43,179,70,187,192,saab
177,32,219,73,187,194,opel
250,48,231,99,190,199,van
225,30,241,73,188,199,opel
160,30,240,81,188,188,bus
169,44,169,67,195,204,van
209,36,211,70,189,196,saab
225,31,228,71,187,196,opel
199,34,219,73,186,194,opel
120,45,170,80,180,185,bus
111,52,160,80,183,184,van
139,44,172,74,185,191,bus
120,48,153,81,180,183,saab
127,49,155,69,187,190,opel
185,40,179,68,200,205,bus
114,50,150,86,181,182,saab
