@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,5,9,17-19'

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
95,72,20,187,197,van
107,50,28,181,183,bus
89,58,19,187,197,van
85,64,19,188,199,van
107,65,25,187,199,saab
100,67,20,192,200,van
89,64,20,184,193,van
101,67,19,202,209,bus
86,62,19,180,185,saab
104,66,24,193,191,bus
99,65,24,191,189,bus
110,51,28,181,182,bus
89,133,20,184,194,van
90,58,20,201,209,saab
104,65,22,195,206,saab
94,74,22,196,197,bus
82,59,18,177,183,opel
92,57,19,203,211,saab
110,57,24,191,199,saab
98,52,18,186,185,van
100,71,21,197,197,bus
92,60,20,190,196,saab
86,63,18,189,195,van
93,63,19,195,203,van
85,58,19,179,182,bus
95,52,18,184,183,van
92,56,19,198,203,opel
82,65,19,185,189,bus
88,55,19,185,196,van
88,62,18,180,184,saab
87,65,19,189,193,bus
90,64,19,195,204,bus
98,61,21,199,201,bus
89,60,18,201,209,van
107,57,24,189,198,opel
98,66,22,191,199,saab
98,63,21,193,201,saab
109,59,24,191,202,saab
82,63,18,179,185,saab
80,56,18,179,186,opel
100,63,25,186,198,opel
108,51,28,182,181,bus
88,68,19,196,200,bus
80,60,19,180,184,bus
86,59,20,193,202,opel
112,58,24,191,202,saab
98,59,23,194,208,saab
92,62,20,197,206,opel
92,59,17,204,210,van
86,57,18,183,187,opel
97,67,22,188,197,opel
101,59,24,190,206,saab
89,59,18,189,193,van
89,59,17,186,188,van
92,74,19,195,201,bus
88,59,18,199,206,van
88,61,18,196,203,bus
107,56,24,188,198,saab
86,57,19,179,182,bus
105,56,25,187,194,opel
99,62,23,189,198,opel
89,61,19,187,194,opel
104,70,25,188,196,opel
93,58,18,198,204,saab
84,55,18,189,195,saab
98,72,21,196,199,bus
103,54,24,191,200,opel
108,68,24,190,197,opel
91,62,22,190,199,opel
90,69,20,198,205,bus
110,61,22,194,203,saab
90,55,20,182,192,van
93,60,20,187,192,opel
93,64,18,203,210,van
105,61,22,194,202,opel
91,55,18,191,192,van
96,70,19,202,206,bus
115,60,23,198,208,saab
103,55,24,187,197,saab
84,54,19,181,184,bus
94,60,18,192,195,van
100,52,23,188,196,opel
89,66,20,194,199,opel
105,67,23,190,198,opel
