@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6,9,12,19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
104,106,66,10,23,635,saab
101,100,69,10,24,651,opel
102,85,64,6,22,570,bus
80,63,55,7,19,314,saab
87,85,61,8,20,402,opel
97,108,70,11,25,732,opel
77,75,59,6,19,315,opel
109,109,69,12,25,712,saab
85,64,56,8,19,324,bus
89,54,53,5,18,266,saab
98,68,49,7,18,261,van
88,63,58,5,18,230,saab
93,70,56,7,18,240,van
91,75,57,6,19,335,opel
98,104,59,10,24,665,opel
88,78,73,6,20,379,bus
86,66,56,7,19,340,bus
101,100,55,11,24,681,opel
94,89,62,9,21,444,opel
90,71,68,7,19,336,bus
88,85,56,11,20,363,van
100,101,57,10,25,731,opel
93,85,65,12,19,354,van
91,77,56,7,19,361,saab
106,98,60,10,24,681,saab
90,90,61,10,21,492,saab
82,70,64,7,19,328,bus
105,100,69,10,25,718,saab
87,65,56,8,19,322,bus
106,96,61,10,21,494,opel
89,76,54,10,20,352,van
102,101,58,10,25,728,opel
88,58,60,5,19,319,saab
87,82,60,8,19,366,opel
95,81,59,7,20,425,saab
84,68,64,6,19,317,bus
104,108,59,11,24,694,saab
82,54,53,7,18,229,saab
98,70,68,6,20,413,bus
91,75,53,6,19,305,saab
98,101,61,11,23,650,opel
90,73,58,11,20,376,van
91,82,68,10,19,308,van
106,107,62,8,23,602,opel
100,80,70,6,21,517,bus
105,93,54,4,25,735,bus
94,79,62,8,20,418,opel
88,77,56,7,20,395,opel
109,103,57,11,23,630,opel
98,88,67,10,20,367,van
108,102,75,6,26,855,bus
85,66,54,7,19,324,bus
89,75,55,6,19,312,opel
101,85,60,11,21,458,saab
85,66,53,7,19,325,bus
85,64,57,6,17,200,van
96,82,55,5,22,534,bus
93,78,66,8,18,290,van
97,62,56,7,18,247,van
96,88,64,9,19,339,van
96,94,67,9,22,525,saab
90,85,64,10,20,389,van
110,104,66,10,24,659,saab
94,91,70,12,20,358,van
97,88,60,7,23,596,bus
108,100,63,10,23,576,saab
92,75,70,6,19,363,bus
106,98,58,11,24,693,opel
100,102,65,10,23,587,saab
94,70,72,8,19,361,bus
96,88,68,10,19,354,van
85,69,62,7,19,341,bus
94,84,57,10,20,351,van
106,98,47,4,26,838,bus
81,68,64,7,19,330,bus
97,103,63,11,24,677,opel
90,77,56,10,20,354,van
81,68,69,22,19,335,bus
90,85,64,11,20,375,van
95,82,65,9,19,314,van
86,84,57,8,20,358,opel
92,83,56,6,20,382,saab
94,77,60,8,20,373,saab
86,78,58,7,18,270,saab
85,66,55,5,17,212,van
