@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,6,8,12,19'

@attribute Compactness numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
93,9,46,309,van
84,6,43,354,bus
83,6,53,238,saab
93,6,46,304,opel
106,10,31,691,saab
81,8,46,323,bus
96,10,31,683,opel
89,11,44,338,van
86,5,56,209,van
84,6,46,312,bus
100,8,32,611,opel
97,10,43,365,van
86,10,43,371,van
81,8,46,320,bus
100,11,42,387,van
110,5,26,928,bus
103,11,31,707,opel
93,11,44,354,van
102,11,32,638,saab
90,7,41,388,opel
81,6,44,347,bus
90,11,43,366,van
89,8,42,367,opel
86,6,45,335,bus
82,5,45,322,bus
86,7,50,266,opel
116,12,31,692,saab
98,7,51,251,van
89,43,44,347,van
93,10,43,364,van
94,7,39,435,saab
89,7,41,389,saab
109,11,30,720,saab
87,7,44,341,bus
101,7,28,833,bus
97,8,35,546,opel
89,8,41,388,opel
88,8,48,296,opel
96,8,47,294,van
86,7,45,322,bus
89,6,47,299,bus
96,6,43,341,bus
84,9,48,280,van
99,5,32,629,bus
104,10,32,641,saab
89,9,44,356,van
81,7,46,323,bus
78,8,46,319,bus
104,10,31,680,saab
91,7,46,314,saab
95,11,42,372,van
101,10,31,678,opel
101,10,33,601,opel
113,11,31,688,saab
96,10,44,351,van
109,11,30,707,saab
92,8,40,409,opel
84,6,54,232,opel
90,8,37,472,opel
98,8,52,251,van
102,10,33,616,opel
105,11,31,661,saab
100,10,38,440,saab
85,6,45,323,bus
110,5,27,928,bus
100,10,36,489,saab
96,8,39,438,opel
110,11,31,669,saab
97,9,38,459,saab
96,5,39,408,bus
105,12,31,687,saab
86,7,43,352,opel
109,12,31,691,saab
97,6,37,450,bus
111,11,31,663,saab
88,8,51,253,van
87,10,35,535,opel
115,10,31,697,saab
85,5,46,320,bus
88,8,45,318,van
84,5,50,261,opel
93,7,36,476,bus
104,10,33,587,opel
108,11,31,665,saab
89,11,43,368,van
